CODIGO,ESTACION,YEAR,MONTH,PP,TMAX,TMIN
106112,PELEJO,1990,1,139.9,-999.0,-999.0
106112,PELEJO,1990,2,124.0,-999.0,-999.0
106112,PELEJO,1990,3,-999.0,-999.0,-999.0
106112,PELEJO,1990,4,41.6,-999.0,-999.0
106112,PELEJO,1990,5,12.2,-999.0,-999.0
106112,PELEJO,1990,6,27.7,-999.0,-999.0
106112,PELEJO,1990,7,35.0,-999.0,-999.0
106112,PELEJO,1990,8,48.6,-999.0,-999.0
106112,PELEJO,1990,9,61.9,-999.0,-999.0
106112,PELEJO,1990,10,-999.0,-999.0,-999.0
106112,PELEJO,1990,11,-999.0,-999.0,-999.0
106112,PELEJO,1990,12,-999.0,-999.0,-999.0
106112,PELEJO,1991,1,80.5,-999.0,-999.0
106112,PELEJO,1991,2,-999.0,-999.0,-999.0
106112,PELEJO,1991,3,319.5,-999.0,-999.0
106112,PELEJO,1991,4,-999.0,-999.0,-999.0
106112,PELEJO,1991,5,6.4,-999.0,-999.0
106112,PELEJO,1991,6,53.6,-999.0,-999.0
106112,PELEJO,1991,7,0.0,-999.0,-999.0
106112,PELEJO,1991,8,0.3,-999.0,-999.0
106112,PELEJO,1991,9,21.9,-999.0,-999.0
106112,PELEJO,1991,10,-999.0,-999.0,-999.0
106112,PELEJO,1991,11,80.2,-999.0,-999.0
106112,PELEJO,1991,12,-999.0,-999.0,-999.0
106112,PELEJO,1992,1,14.4,-999.0,-999.0
106112,PELEJO,1992,2,80.4,-999.0,-999.0
106112,PELEJO,1992,3,49.8,-999.0,-999.0
106112,PELEJO,1992,4,85.8,-999.0,-999.0
106112,PELEJO,1992,5,12.9,-999.0,-999.0
106112,PELEJO,1992,6,41.4,-999.0,-999.0
106112,PELEJO,1992,7,6.8,-999.0,-999.0
106112,PELEJO,1992,8,61.1,-999.0,-999.0
106112,PELEJO,1992,9,130.7,-999.0,-999.0
106112,PELEJO,1992,10,88.8,-999.0,-999.0
106112,PELEJO,1992,11,93.0,-999.0,-999.0
106112,PELEJO,1992,12,-999.0,-999.0,-999.0
106112,PELEJO,1993,1,142.5,-999.0,-999.0
106112,PELEJO,1993,2,277.3,-999.0,-999.0
106112,PELEJO,1993,3,269.1,-999.0,-999.0
106112,PELEJO,1993,4,201.4,-999.0,-999.0
106112,PELEJO,1993,5,125.3,-999.0,-999.0
106112,PELEJO,1993,6,146.8,-999.0,-999.0
106112,PELEJO,1993,7,91.4,-999.0,-999.0
106112,PELEJO,1993,8,83.2,-999.0,-999.0
106112,PELEJO,1993,9,161.8,-999.0,-999.0
106112,PELEJO,1993,10,-999.0,-999.0,-999.0
106112,PELEJO,1993,11,189.6,-999.0,-999.0
106112,PELEJO,1993,12,259.6,-999.0,-999.0
106112,PELEJO,1994,1,137.8,-999.0,-999.0
106112,PELEJO,1994,2,123.4,-999.0,-999.0
106112,PELEJO,1994,3,228.0,-999.0,-999.0
106112,PELEJO,1994,4,336.2,-999.0,-999.0
106112,PELEJO,1994,5,181.2,-999.0,-999.0
106112,PELEJO,1994,6,172.0,-999.0,-999.0
106112,PELEJO,1994,7,115.4,-999.0,-999.0
106112,PELEJO,1994,8,55.5,-999.0,-999.0
106112,PELEJO,1994,9,141.6,-999.0,-999.0
106112,PELEJO,1994,10,85.2,-999.0,-999.0
106112,PELEJO,1994,11,124.0,-999.0,-999.0
106112,PELEJO,1994,12,314.0,-999.0,-999.0
106112,PELEJO,1995,1,50.1,-999.0,-999.0
106112,PELEJO,1995,2,210.3,-999.0,-999.0
106112,PELEJO,1995,3,265.0,-999.0,-999.0
106112,PELEJO,1995,4,177.0,-999.0,-999.0
106112,PELEJO,1995,5,203.1,-999.0,-999.0
106112,PELEJO,1995,6,79.3,-999.0,-999.0
106112,PELEJO,1995,7,98.5,-999.0,-999.0
106112,PELEJO,1995,8,46.0,-999.0,-999.0
106112,PELEJO,1995,9,172.0,-999.0,-999.0
106112,PELEJO,1995,10,204.3,-999.0,-999.0
106112,PELEJO,1995,11,181.5,-999.0,-999.0
106112,PELEJO,1995,12,289.5,-999.0,-999.0
106112,PELEJO,1996,1,224.7,-999.0,-999.0
106112,PELEJO,1996,2,314.6,-999.0,-999.0
106112,PELEJO,1996,3,243.7,-999.0,-999.0
106112,PELEJO,1996,4,201.0,-999.0,-999.0
106112,PELEJO,1996,5,260.7,-999.0,-999.0
106112,PELEJO,1996,6,107.4,-999.0,-999.0
106112,PELEJO,1996,7,130.1,-999.0,-999.0
106112,PELEJO,1996,8,37.2,-999.0,-999.0
106112,PELEJO,1996,9,94.3,-999.0,-999.0
106112,PELEJO,1996,10,116.9,-999.0,-999.0
106112,PELEJO,1996,11,196.9,-999.0,-999.0
106112,PELEJO,1996,12,172.2,-999.0,-999.0
106112,PELEJO,1997,1,139.8,-999.0,-999.0
106112,PELEJO,1997,2,206.2,-999.0,-999.0
106112,PELEJO,1997,3,198.1,-999.0,-999.0
106112,PELEJO,1997,4,165.5,-999.0,-999.0
106112,PELEJO,1997,5,172.0,-999.0,-999.0
106112,PELEJO,1997,6,43.2,-999.0,-999.0
106112,PELEJO,1997,7,61.2,-999.0,-999.0
106112,PELEJO,1997,8,57.5,-999.0,-999.0
106112,PELEJO,1997,9,107.1,-999.0,-999.0
106112,PELEJO,1997,10,92.7,-999.0,-999.0
106112,PELEJO,1997,11,118.5,-999.0,-999.0
