CODIGO,ESTACION,YEAR,MONTH,PP,TMAX,TMIN
107005,SAN JUAN,1990,1,126.4,21.74,-999.0
107005,SAN JUAN,1990,2,115.3,20.86,-999.0
107005,SAN JUAN,1990,3,155.7,21.83,-999.0
107005,SAN JUAN,1990,4,51.7,20.91,-999.0
107005,SAN JUAN,1990,5,30.5,22.3,-999.0
107005,SAN JUAN,1990,6,26.9,22.46,-999.0
107005,SAN JUAN,1990,7,3.3,22.84,-999.0
107005,SAN JUAN,1990,8,0.5,23.65,-999.0
107005,SAN JUAN,1990,9,0.7,23.56,-999.0
107005,SAN JUAN,1990,10,75.1,21.46,-999.0
107005,SAN JUAN,1990,11,134.7,21.93,-999.0
107005,SAN JUAN,1990,12,94.8,21.93,-999.0
107005,SAN JUAN,1991,1,26.7,21.97,-999.0
107005,SAN JUAN,1991,2,91.8,22.29,-999.0
107005,SAN JUAN,1991,3,194.3,20.74,-999.0
107005,SAN JUAN,1991,4,82.3,21.55,-999.0
107005,SAN JUAN,1991,5,8.1,22.01,-999.0
107005,SAN JUAN,1991,6,2.0,23.18,-999.0
107005,SAN JUAN,1991,7,0.0,23.74,-999.0
107005,SAN JUAN,1991,8,0.0,24.51,-999.0
107005,SAN JUAN,1991,9,3.9,24.39,-999.0
107005,SAN JUAN,1991,10,50.0,22.93,-999.0
107005,SAN JUAN,1991,11,38.2,23.03,-999.0
107005,SAN JUAN,1991,12,87.1,22.28,-999.0
107005,SAN JUAN,1992,1,139.3,21.74,-999.0
107005,SAN JUAN,1992,2,55.9,22.24,-999.0
107005,SAN JUAN,1992,3,141.5,22.38,-999.0
107005,SAN JUAN,1992,4,177.6,21.39,-999.0
107005,SAN JUAN,1992,5,46.6,21.53,-999.0
107005,SAN JUAN,1992,6,30.3,22.47,-999.0
107005,SAN JUAN,1992,7,0.9,23.59,-999.0
107005,SAN JUAN,1992,8,2.3,23.88,-999.0
107005,SAN JUAN,1992,9,92.3,22.9,-999.0
107005,SAN JUAN,1992,10,158.9,23.01,-999.0
107005,SAN JUAN,1992,11,46.6,22.73,-999.0
107005,SAN JUAN,1992,12,30.5,23.1,-999.0
107005,SAN JUAN,1993,1,103.9,22.09,12.1
107005,SAN JUAN,1993,2,199.6,20.03,11.47
107005,SAN JUAN,1993,3,286.5,-999.0,11.34
107005,SAN JUAN,1993,4,141.1,21.75,11.46
107005,SAN JUAN,1993,5,27.6,21.5,11.85
107005,SAN JUAN,1993,6,1.2,23.61,12.39
107005,SAN JUAN,1993,7,5.3,23.43,12.1
107005,SAN JUAN,1993,8,2.0,23.92,12.23
107005,SAN JUAN,1993,9,33.8,22.79,12.12
107005,SAN JUAN,1993,10,109.4,-999.0,12.47
107005,SAN JUAN,1993,11,80.2,21.93,11.9
