CODIGO,ESTACION,YEAR,MONTH,PP,TMAX,TMIN
107008,CAJABAMBA,1990,1,232.5,21.24,10.62
107008,CAJABAMBA,1990,2,144.8,21.06,10.13
107008,CAJABAMBA,1990,3,75.5,22.23,10.42
107008,CAJABAMBA,1990,4,95.6,23.04,10.54
107008,CAJABAMBA,1990,5,25.3,22.39,8.5
107008,CAJABAMBA,1990,6,27.8,21.24,8.93
107008,CAJABAMBA,1990,7,1.5,22.03,7.0
107008,CAJABAMBA,1990,8,1.2,21.59,7.03
107008,CAJABAMBA,1990,9,11.7,23.22,9.84
107008,CAJABAMBA,1990,10,202.0,23.25,10.32
107008,CAJABAMBA,1990,11,181.7,23.07,11.21
107008,CAJABAMBA,1990,12,100.0,23.18,9.52
107008,CAJABAMBA,1991,1,77.9,22.3,10.07
107008,CAJABAMBA,1991,2,93.6,22.28,10.01
107008,CAJABAMBA,1991,3,176.0,22.07,10.55
107008,CAJABAMBA,1991,4,70.0,22.14,10.4
107008,CAJABAMBA,1991,5,19.0,22.62,8.63
107008,CAJABAMBA,1991,6,6.0,24.53,7.27
107008,CAJABAMBA,1991,7,3.5,23.39,5.66
107008,CAJABAMBA,1991,8,0.0,23.5,6.97
107008,CAJABAMBA,1991,9,20.5,25.01,8.2
107008,CAJABAMBA,1991,10,56.8,23.4,9.68
107008,CAJABAMBA,1991,11,156.0,23.95,9.67
107008,CAJABAMBA,1991,12,81.5,25.05,9.61
107008,CAJABAMBA,1992,1,55.4,24.27,9.95
107008,CAJABAMBA,1992,2,70.2,25.48,9.93
107008,CAJABAMBA,1992,3,65.9,23.83,10.67
107008,CAJABAMBA,1992,4,59.5,23.54,10.74
107008,CAJABAMBA,1992,5,12.0,24.3,9.84
107008,CAJABAMBA,1992,6,20.5,21.05,8.88
107008,CAJABAMBA,1992,7,1.5,21.25,7.1
107008,CAJABAMBA,1992,8,10.5,-999.0,8.17
107008,CAJABAMBA,1992,9,79.7,23.97,9.73
107008,CAJABAMBA,1992,10,162.0,23.26,10.06
107008,CAJABAMBA,1992,11,65.5,23.66,9.82
107008,CAJABAMBA,1992,12,74.0,24.1,8.85
107008,CAJABAMBA,1993,1,87.0,22.96,9.92
107008,CAJABAMBA,1993,2,230.0,20.03,9.87
107008,CAJABAMBA,1993,3,309.0,19.69,9.92
107008,CAJABAMBA,1993,4,216.5,-999.0,10.91
107008,CAJABAMBA,1993,5,66.8,27.92,13.36
107008,CAJABAMBA,1993,6,0.5,27.8,11.11
107008,CAJABAMBA,1993,7,5.2,22.81,7.79
107008,CAJABAMBA,1993,8,1.0,22.28,6.6
107008,CAJABAMBA,1993,9,67.6,21.67,9.69
107008,CAJABAMBA,1993,10,166.6,22.68,10.25
107008,CAJABAMBA,1993,11,173.0,21.93,9.47
107008,CAJABAMBA,1993,12,287.8,21.48,11.35
107008,CAJABAMBA,1994,1,195.0,21.4,10.75
107008,CAJABAMBA,1994,2,248.2,20.89,9.71
107008,CAJABAMBA,1994,3,182.8,21.38,10.32
107008,CAJABAMBA,1994,4,162.6,21.3,10.27
107008,CAJABAMBA,1994,5,62.9,22.13,9.45
107008,CAJABAMBA,1994,6,4.5,21.21,8.29
107008,CAJABAMBA,1994,7,8.6,23.6,7.25
107008,CAJABAMBA,1994,8,1.0,24.45,8.04
107008,CAJABAMBA,1994,9,19.1,24.89,9.86
107008,CAJABAMBA,1994,10,106.1,23.04,9.25
107008,CAJABAMBA,1994,11,116.4,21.57,8.78
107008,CAJABAMBA,1994,12,135.1,21.14,10.03
107008,CAJABAMBA,1995,1,46.9,23.86,10.32
107008,CAJABAMBA,1995,2,156.7,21.68,10.32
