CODIGO,ESTACION,YEAR,MONTH,PP,TMAX,TMIN
107009,HUAMACHUCO,1990,1,160.4,18.27,8.11
107009,HUAMACHUCO,1990,2,119.3,18.5,6.91
107009,HUAMACHUCO,1990,3,-999.0,19.18,7.87
107009,HUAMACHUCO,1990,4,102.3,18.99,7.63
107009,HUAMACHUCO,1990,5,24.0,18.77,6.34
107009,HUAMACHUCO,1990,6,49.8,17.19,7.03
107009,HUAMACHUCO,1990,7,1.2,18.32,5.07
107009,HUAMACHUCO,1990,8,0.0,18.81,5.79
107009,HUAMACHUCO,1990,9,78.7,19.27,6.56
107009,HUAMACHUCO,1990,10,216.4,18.17,7.31
107009,HUAMACHUCO,1990,11,100.1,18.21,-999.0
107009,HUAMACHUCO,1990,12,50.6,18.98,6.15
107009,HUAMACHUCO,1991,1,53.0,18.92,6.5
107009,HUAMACHUCO,1991,2,-999.0,-999.0,-999.0
107009,HUAMACHUCO,1991,3,-999.0,-999.0,-999.0
107009,HUAMACHUCO,1991,4,-999.0,-999.0,-999.0
107009,HUAMACHUCO,1991,5,-999.0,-999.0,-999.0
107009,HUAMACHUCO,1991,6,-999.0,-999.0,-999.0
107009,HUAMACHUCO,1991,7,-999.0,-999.0,-999.0
107009,HUAMACHUCO,1991,8,-999.0,-999.0,-999.0
107009,HUAMACHUCO,1991,9,-999.0,-999.0,-999.0
107009,HUAMACHUCO,1991,10,-999.0,-999.0,-999.0
107009,HUAMACHUCO,1991,11,-999.0,-999.0,-999.0
107009,HUAMACHUCO,1991,12,-999.0,-999.0,-999.0
107009,HUAMACHUCO,1992,1,-999.0,-999.0,-999.0
107009,HUAMACHUCO,1992,2,-999.0,-999.0,-999.0
107009,HUAMACHUCO,1992,3,-999.0,-999.0,-999.0
107009,HUAMACHUCO,1992,4,-999.0,-999.0,-999.0
107009,HUAMACHUCO,1992,5,19.1,-999.0,-999.0
107009,HUAMACHUCO,1992,6,32.9,-999.0,-999.0
107009,HUAMACHUCO,1992,7,-999.0,-999.0,-999.0
107009,HUAMACHUCO,1992,8,29.3,-999.0,-999.0
107009,HUAMACHUCO,1992,9,79.1,-999.0,-999.0
107009,HUAMACHUCO,1992,10,81.6,-999.0,-999.0
107009,HUAMACHUCO,1992,11,31.6,-999.0,-999.0
107009,HUAMACHUCO,1992,12,67.3,-999.0,-999.0
107009,HUAMACHUCO,1993,1,104.7,-999.0,-999.0
107009,HUAMACHUCO,1993,2,185.1,-999.0,-999.0
107009,HUAMACHUCO,1993,3,224.7,-999.0,-999.0
107009,HUAMACHUCO,1993,4,106.2,-999.0,-999.0
107009,HUAMACHUCO,1993,5,41.3,-999.0,-999.0
107009,HUAMACHUCO,1993,6,0.0,-999.0,-999.0
107009,HUAMACHUCO,1993,7,11.5,-999.0,-999.0
107009,HUAMACHUCO,1993,8,1.2,-999.0,-999.0
107009,HUAMACHUCO,1993,9,82.5,18.4,-999.0
107009,HUAMACHUCO,1993,10,117.6,17.65,-999.0
107009,HUAMACHUCO,1993,11,159.6,17.49,-999.0
107009,HUAMACHUCO,1993,12,197.3,-999.0,-999.0
107009,HUAMACHUCO,1994,1,129.7,-999.0,-999.0
107009,HUAMACHUCO,1994,2,300.5,-999.0,-999.0
107009,HUAMACHUCO,1994,3,150.7,-999.0,-999.0
107009,HUAMACHUCO,1994,4,138.9,-999.0,-999.0
107009,HUAMACHUCO,1994,5,38.8,-999.0,-999.0
107009,HUAMACHUCO,1994,6,5.5,-999.0,-999.0
107009,HUAMACHUCO,1994,7,2.5,-999.0,-999.0
107009,HUAMACHUCO,1994,8,12.6,-999.0,-999.0
107009,HUAMACHUCO,1994,9,26.9,-999.0,-999.0
107009,HUAMACHUCO,1994,10,99.9,18.57,-999.0
107009,HUAMACHUCO,1994,11,143.2,18.46,-999.0
