CODIGO,ESTACION,YEAR,MONTH,PP,TMAX,TMIN
107013,LA UNION,1990,1,-999.0,-999.0,-999.0
107013,LA UNION,1990,2,-999.0,-999.0,-999.0
107013,LA UNION,1990,3,-999.0,-999.0,-999.0
107013,LA UNION,1990,4,-999.0,-999.0,-999.0
107013,LA UNION,1990,5,-999.0,-999.0,-999.0
107013,LA UNION,1990,6,-999.0,-999.0,-999.0
107013,LA UNION,1990,7,-999.0,-999.0,-999.0
107013,LA UNION,1990,8,-999.0,-999.0,-999.0
107013,LA UNION,1990,9,-999.0,-999.0,-999.0
107013,LA UNION,1990,10,-999.0,-999.0,-999.0
107013,LA UNION,1990,11,-999.0,-999.0,-999.0
107013,LA UNION,1990,12,-999.0,-999.0,-999.0
107013,LA UNION,1991,1,-999.0,-999.0,-999.0
107013,LA UNION,1991,2,-999.0,-999.0,-999.0
107013,LA UNION,1991,3,-999.0,-999.0,-999.0
107013,LA UNION,1991,4,-999.0,-999.0,-999.0
107013,LA UNION,1991,5,-999.0,-999.0,-999.0
107013,LA UNION,1991,6,-999.0,-999.0,-999.0
107013,LA UNION,1991,7,-999.0,-999.0,-999.0
107013,LA UNION,1991,8,-999.0,-999.0,-999.0
107013,LA UNION,1991,9,-999.0,-999.0,-999.0
107013,LA UNION,1991,10,-999.0,-999.0,-999.0
107013,LA UNION,1991,11,-999.0,-999.0,-999.0
107013,LA UNION,1991,12,-999.0,-999.0,-999.0
107013,LA UNION,1992,1,-999.0,-999.0,-999.0
107013,LA UNION,1992,2,-999.0,-999.0,-999.0
107013,LA UNION,1992,3,-999.0,-999.0,-999.0
107013,LA UNION,1992,4,-999.0,-999.0,-999.0
107013,LA UNION,1992,5,-999.0,-999.0,-999.0
107013,LA UNION,1992,6,-999.0,-999.0,-999.0
107013,LA UNION,1992,7,-999.0,-999.0,-999.0
107013,LA UNION,1992,8,-999.0,-999.0,-999.0
107013,LA UNION,1992,9,-999.0,-999.0,-999.0
107013,LA UNION,1992,10,-999.0,-999.0,-999.0
107013,LA UNION,1992,11,-999.0,-999.0,-999.0
107013,LA UNION,1992,12,-999.0,-999.0,-999.0
107013,LA UNION,1993,1,-999.0,-999.0,-999.0
107013,LA UNION,1993,2,-999.0,-999.0,-999.0
107013,LA UNION,1993,3,-999.0,-999.0,-999.0
107013,LA UNION,1993,4,90.3,30.71,-999.0
107013,LA UNION,1993,5,48.7,32.19,20.99
107013,LA UNION,1993,6,92.6,31.05,19.47
107013,LA UNION,1993,7,55.5,31.85,18.64
107013,LA UNION,1993,8,51.4,32.3,17.9
107013,LA UNION,1993,9,37.7,33.38,19.41
107013,LA UNION,1993,10,42.6,33.89,20.49
107013,LA UNION,1993,11,63.1,33.17,21.23
107013,LA UNION,1993,12,41.4,-999.0,21.35
107013,LA UNION,1994,1,14.5,34.7,21.05
107013,LA UNION,1994,2,41.6,33.79,20.36
107013,LA UNION,1994,3,131.4,32.25,20.64
107013,LA UNION,1994,4,134.2,-999.0,20.77
107013,LA UNION,1994,5,33.4,32.46,20.07
107013,LA UNION,1994,6,59.9,-999.0,19.07
107013,LA UNION,1994,7,49.8,31.71,18.02
107013,LA UNION,1994,8,35.3,-999.0,18.34
107013,LA UNION,1994,9,19.0,-999.0,19.47
107013,LA UNION,1994,10,161.3,33.22,20.52
107013,LA UNION,1994,11,203.7,-999.0,20.16
107013,LA UNION,1994,12,161.5,-999.0,21.06
107013,LA UNION,1995,1,48.9,33.56,20.96
107013,LA UNION,1995,2,100.9,33.62,20.84
107013,LA UNION,1995,3,314.4,-999.0,20.54
107013,LA UNION,1995,4,74.5,33.22,19.38
107013,LA UNION,1995,5,23.9,32.01,-999.0
107013,LA UNION,1995,6,41.8,33.12,19.24
107013,LA UNION,1995,7,67.0,33.72,18.64
107013,LA UNION,1995,8,10.8,34.58,18.7
107013,LA UNION,1995,9,76.9,34.96,18.59
107013,LA UNION,1995,10,121.9,34.3,19.34
107013,LA UNION,1995,11,84.7,34.18,19.47
107013,LA UNION,1995,12,91.1,33.21,19.19
107013,LA UNION,1996,1,50.0,34.0,19.07
107013,LA UNION,1996,2,-999.0,32.1,19.88
107013,LA UNION,1996,3,157.1,32.06,19.66
107013,LA UNION,1996,4,75.1,-999.0,19.8
107013,LA UNION,1996,5,37.5,31.97,19.02
107013,LA UNION,1996,6,19.9,32.56,18.37
107013,LA UNION,1996,7,24.4,33.69,16.9
107013,LA UNION,1996,8,75.9,-999.0,17.5
107013,LA UNION,1996,9,121.1,-999.0,18.18
107013,LA UNION,1996,10,125.3,-999.0,19.37
107013,LA UNION,1996,11,46.3,-999.0,19.31
107013,LA UNION,1996,12,91.5,-999.0,19.15
107013,LA UNION,1997,1,26.9,34.88,20.01
107013,LA UNION,1997,2,174.0,32.49,19.51
107013,LA UNION,1997,3,54.8,31.95,19.29
107013,LA UNION,1997,4,84.2,32.54,19.2
107013,LA UNION,1997,5,154.5,31.51,18.9
107013,LA UNION,1997,6,2.9,33.53,18.7
107013,LA UNION,1997,7,56.1,34.03,17.96
107013,LA UNION,1997,8,38.4,32.59,18.45
107013,LA UNION,1997,9,59.0,35.43,19.33
107013,LA UNION,1997,10,24.1,36.5,20.96
107013,LA UNION,1997,11,67.4,35.65,21.47
107013,LA UNION,1997,12,83.8,35.22,21.35
107013,LA UNION,1998,1,33.6,35.76,21.62
107013,LA UNION,1998,2,88.0,-999.0,22.18
107013,LA UNION,1998,3,73.1,34.25,22.17
107013,LA UNION,1998,4,67.6,33.52,21.35
107013,LA UNION,1998,5,62.4,33.72,20.04
107013,LA UNION,1998,6,114.0,-999.0,18.74
107013,LA UNION,1998,7,63.7,32.99,18.52
107013,LA UNION,1998,8,38.9,35.36,19.09
107013,LA UNION,1998,9,118.1,33.87,18.91
107013,LA UNION,1998,10,131.3,34.34,20.35
107013,LA UNION,1998,11,54.3,34.52,21.05
