CODIGO,ESTACION,YEAR,MONTH,PP,TMAX,TMIN
107017,MAGDALENA,1990,1,-999.0,-999.0,-999.0
107017,MAGDALENA,1990,2,-999.0,-999.0,-999.0
107017,MAGDALENA,1990,3,-999.0,-999.0,-999.0
107017,MAGDALENA,1990,4,-999.0,-999.0,-999.0
107017,MAGDALENA,1990,5,-999.0,-999.0,-999.0
107017,MAGDALENA,1990,6,-999.0,-999.0,-999.0
107017,MAGDALENA,1990,7,-999.0,-999.0,-999.0
107017,MAGDALENA,1990,8,-999.0,-999.0,-999.0
107017,MAGDALENA,1990,9,-999.0,-999.0,-999.0
107017,MAGDALENA,1990,10,-999.0,-999.0,-999.0
107017,MAGDALENA,1990,11,-999.0,-999.0,-999.0
107017,MAGDALENA,1990,12,-999.0,-999.0,-999.0
107017,MAGDALENA,1991,1,-999.0,-999.0,-999.0
107017,MAGDALENA,1991,2,-999.0,-999.0,-999.0
107017,MAGDALENA,1991,3,-999.0,-999.0,-999.0
107017,MAGDALENA,1991,4,-999.0,-999.0,-999.0
107017,MAGDALENA,1991,5,-999.0,-999.0,-999.0
107017,MAGDALENA,1991,6,-999.0,-999.0,-999.0
107017,MAGDALENA,1991,7,-999.0,-999.0,-999.0
107017,MAGDALENA,1991,8,-999.0,-999.0,-999.0
107017,MAGDALENA,1991,9,-999.0,-999.0,-999.0
107017,MAGDALENA,1991,10,-999.0,-999.0,-999.0
107017,MAGDALENA,1991,11,-999.0,-999.0,-999.0
107017,MAGDALENA,1991,12,-999.0,-999.0,-999.0
107017,MAGDALENA,1992,1,-999.0,-999.0,-999.0
107017,MAGDALENA,1992,2,-999.0,-999.0,-999.0
107017,MAGDALENA,1992,3,-999.0,-999.0,-999.0
107017,MAGDALENA,1992,4,-999.0,-999.0,-999.0
107017,MAGDALENA,1992,5,-999.0,-999.0,-999.0
107017,MAGDALENA,1992,6,-999.0,-999.0,-999.0
107017,MAGDALENA,1992,7,-999.0,-999.0,-999.0
107017,MAGDALENA,1992,8,-999.0,-999.0,-999.0
107017,MAGDALENA,1992,9,-999.0,-999.0,-999.0
107017,MAGDALENA,1992,10,-999.0,-999.0,-999.0
107017,MAGDALENA,1992,11,-999.0,-999.0,-999.0
107017,MAGDALENA,1992,12,-999.0,-999.0,-999.0
107017,MAGDALENA,1993,1,-999.0,-999.0,-999.0
107017,MAGDALENA,1993,2,-999.0,-999.0,-999.0
107017,MAGDALENA,1993,3,-999.0,-999.0,-999.0
107017,MAGDALENA,1993,4,-999.0,-999.0,-999.0
107017,MAGDALENA,1993,5,-999.0,-999.0,-999.0
107017,MAGDALENA,1993,6,-999.0,-999.0,-999.0
107017,MAGDALENA,1993,7,-999.0,-999.0,-999.0
107017,MAGDALENA,1993,8,-999.0,-999.0,-999.0
107017,MAGDALENA,1993,9,-999.0,-999.0,-999.0
107017,MAGDALENA,1993,10,-999.0,-999.0,-999.0
107017,MAGDALENA,1993,11,-999.0,-999.0,-999.0
107017,MAGDALENA,1993,12,-999.0,-999.0,-999.0
107017,MAGDALENA,1994,1,-999.0,-999.0,-999.0
107017,MAGDALENA,1994,2,-999.0,-999.0,-999.0
107017,MAGDALENA,1994,3,122.7,-999.0,-999.0
107017,MAGDALENA,1994,4,51.3,28.21,-999.0
107017,MAGDALENA,1994,5,5.7,29.46,-999.0
107017,MAGDALENA,1994,6,0.0,29.45,-999.0
107017,MAGDALENA,1994,7,0.0,30.14,-999.0
107017,MAGDALENA,1994,8,0.0,30.35,-999.0
107017,MAGDALENA,1994,9,7.1,30.95,-999.0
107017,MAGDALENA,1994,10,2.7,31.16,-999.0
107017,MAGDALENA,1994,11,18.7,31.54,16.16
107017,MAGDALENA,1994,12,50.6,30.02,17.12
107017,MAGDALENA,1995,1,28.1,31.25,17.55
107017,MAGDALENA,1995,2,82.2,27.96,17.74
107017,MAGDALENA,1995,3,94.9,28.81,17.52
107017,MAGDALENA,1995,4,47.7,30.39,16.98
107017,MAGDALENA,1995,5,12.6,30.15,16.24
107017,MAGDALENA,1995,6,2.2,30.08,15.26
107017,MAGDALENA,1995,7,0.0,29.81,15.0
107017,MAGDALENA,1995,8,0.0,30.73,14.99
107017,MAGDALENA,1995,9,2.9,30.96,15.62
107017,MAGDALENA,1995,10,18.2,31.1,16.61
