CODIGO,ESTACION,YEAR,MONTH,PP,TMAX,TMIN
107028,AUGUSTO WEBERBAUER,1990,1,101.8,21.85,9.63
107028,AUGUSTO WEBERBAUER,1990,2,68.5,21.96,8.3
107028,AUGUSTO WEBERBAUER,1990,3,58.3,22.13,9.21
107028,AUGUSTO WEBERBAUER,1990,4,27.4,22.33,8.94
107028,AUGUSTO WEBERBAUER,1990,5,39.5,22.42,6.9
107028,AUGUSTO WEBERBAUER,1990,6,24.6,21.41,7.17
107028,AUGUSTO WEBERBAUER,1990,7,0.8,22.11,5.2
107028,AUGUSTO WEBERBAUER,1990,8,7.1,22.86,5.26
107028,AUGUSTO WEBERBAUER,1990,9,20.1,23.29,7.01
107028,AUGUSTO WEBERBAUER,1990,10,87.6,21.85,9.32
107028,AUGUSTO WEBERBAUER,1990,11,99.1,21.82,9.48
107028,AUGUSTO WEBERBAUER,1990,12,72.3,22.33,7.31
107028,AUGUSTO WEBERBAUER,1991,1,43.8,21.91,8.05
107028,AUGUSTO WEBERBAUER,1991,2,90.0,21.96,9.01
107028,AUGUSTO WEBERBAUER,1991,3,133.7,21.68,-999.0
107028,AUGUSTO WEBERBAUER,1991,4,55.2,21.95,8.07
107028,AUGUSTO WEBERBAUER,1991,5,17.9,22.52,6.57
107028,AUGUSTO WEBERBAUER,1991,6,0.7,23.79,5.02
107028,AUGUSTO WEBERBAUER,1991,7,0.4,23.35,2.76
107028,AUGUSTO WEBERBAUER,1991,8,0.3,22.59,5.63
107028,AUGUSTO WEBERBAUER,1991,9,10.2,23.15,6.03
107028,AUGUSTO WEBERBAUER,1991,10,28.2,22.19,7.55
107028,AUGUSTO WEBERBAUER,1991,11,55.1,22.78,6.65
107028,AUGUSTO WEBERBAUER,1991,12,71.9,23.15,7.56
107028,AUGUSTO WEBERBAUER,1992,1,52.6,22.67,9.68
107028,AUGUSTO WEBERBAUER,1992,2,31.8,23.03,9.12
107028,AUGUSTO WEBERBAUER,1992,3,66.6,22.86,9.46
107028,AUGUSTO WEBERBAUER,1992,4,46.5,22.38,9.29
107028,AUGUSTO WEBERBAUER,1992,5,18.9,23.42,6.38
107028,AUGUSTO WEBERBAUER,1992,6,21.2,22.35,6.21
107028,AUGUSTO WEBERBAUER,1992,7,4.6,21.55,4.29
107028,AUGUSTO WEBERBAUER,1992,8,10.0,22.64,5.35
107028,AUGUSTO WEBERBAUER,1992,9,40.8,21.88,7.37
107028,AUGUSTO WEBERBAUER,1992,10,64.0,21.7,8.01
107028,AUGUSTO WEBERBAUER,1992,11,32.0,22.95,8.16
107028,AUGUSTO WEBERBAUER,1992,12,34.1,23.53,7.46
107028,AUGUSTO WEBERBAUER,1993,1,61.0,22.01,9.12
107028,AUGUSTO WEBERBAUER,1993,2,106.2,21.13,9.11
107028,AUGUSTO WEBERBAUER,1993,3,245.0,20.24,9.84
107028,AUGUSTO WEBERBAUER,1993,4,102.9,20.98,10.22
107028,AUGUSTO WEBERBAUER,1993,5,30.2,21.86,7.78
107028,AUGUSTO WEBERBAUER,1993,6,1.9,21.96,5.03
107028,AUGUSTO WEBERBAUER,1993,7,3.3,22.23,4.7
107028,AUGUSTO WEBERBAUER,1993,8,2.9,22.04,5.72
107028,AUGUSTO WEBERBAUER,1993,9,51.4,21.71,7.27
107028,AUGUSTO WEBERBAUER,1993,10,106.3,21.07,8.81
107028,AUGUSTO WEBERBAUER,1993,11,71.4,21.31,7.93
107028,AUGUSTO WEBERBAUER,1993,12,84.1,21.2,10.87
107028,AUGUSTO WEBERBAUER,1994,1,116.9,20.77,10.34
107028,AUGUSTO WEBERBAUER,1994,2,103.1,20.84,10.47
107028,AUGUSTO WEBERBAUER,1994,3,170.2,20.82,9.55
107028,AUGUSTO WEBERBAUER,1994,4,144.9,20.84,9.36
107028,AUGUSTO WEBERBAUER,1994,5,35.3,21.22,7.88
107028,AUGUSTO WEBERBAUER,1994,6,3.3,20.82,5.79
107028,AUGUSTO WEBERBAUER,1994,7,0.0,21.18,5.38
107028,AUGUSTO WEBERBAUER,1994,8,0.2,21.27,5.22
107028,AUGUSTO WEBERBAUER,1994,9,11.9,22.25,6.86
107028,AUGUSTO WEBERBAUER,1994,10,27.2,22.4,7.27
107028,AUGUSTO WEBERBAUER,1994,11,89.8,21.75,8.04
107028,AUGUSTO WEBERBAUER,1994,12,122.6,21.38,9.07
107028,AUGUSTO WEBERBAUER,1995,1,43.8,22.19,8.74
107028,AUGUSTO WEBERBAUER,1995,2,108.3,21.11,9.54
107028,AUGUSTO WEBERBAUER,1995,3,75.7,20.98,9.91
107028,AUGUSTO WEBERBAUER,1995,4,49.7,21.87,8.12
107028,AUGUSTO WEBERBAUER,1995,5,20.6,21.91,6.76
107028,AUGUSTO WEBERBAUER,1995,6,1.7,22.34,5.37
107028,AUGUSTO WEBERBAUER,1995,7,13.2,21.69,6.06
107028,AUGUSTO WEBERBAUER,1995,8,10.8,22.81,5.97
107028,AUGUSTO WEBERBAUER,1995,9,11.5,21.91,6.86
107028,AUGUSTO WEBERBAUER,1995,10,51.8,22.14,8.16
107028,AUGUSTO WEBERBAUER,1995,11,50.5,21.79,9.05
107028,AUGUSTO WEBERBAUER,1995,12,76.4,21.81,8.63
107028,AUGUSTO WEBERBAUER,1996,1,65.2,20.44,8.99
107028,AUGUSTO WEBERBAUER,1996,2,124.0,20.5,9.34
107028,AUGUSTO WEBERBAUER,1996,3,120.1,20.57,10.26
107028,AUGUSTO WEBERBAUER,1996,4,50.4,20.72,8.9
107028,AUGUSTO WEBERBAUER,1996,5,7.7,21.52,6.88
107028,AUGUSTO WEBERBAUER,1996,6,0.8,22.07,5.53
107028,AUGUSTO WEBERBAUER,1996,7,0.5,21.8,5.01
107028,AUGUSTO WEBERBAUER,1996,8,15.8,21.26,5.65
107028,AUGUSTO WEBERBAUER,1996,9,13.9,22.14,7.41
107028,AUGUSTO WEBERBAUER,1996,10,76.2,21.79,9.05
107028,AUGUSTO WEBERBAUER,1996,11,68.8,22.51,5.91
107028,AUGUSTO WEBERBAUER,1996,12,34.1,22.24,8.49
107028,AUGUSTO WEBERBAUER,1997,1,64.8,21.58,7.89
107028,AUGUSTO WEBERBAUER,1997,2,152.9,20.34,10.37
107028,AUGUSTO WEBERBAUER,1997,3,26.5,22.24,7.14
107028,AUGUSTO WEBERBAUER,1997,4,40.4,21.89,8.26
107028,AUGUSTO WEBERBAUER,1997,5,17.0,22.4,7.27
107028,AUGUSTO WEBERBAUER,1997,6,15.4,22.73,5.02
107028,AUGUSTO WEBERBAUER,1997,7,0.2,22.3,6.43
107028,AUGUSTO WEBERBAUER,1997,8,0.0,22.04,7.18
107028,AUGUSTO WEBERBAUER,1997,9,27.4,22.98,8.16
