CODIGO,ESTACION,YEAR,MONTH,PP,TMAX,TMIN
107037,NAMORA,1990,1,84.9,-999.0,-999.0
107037,NAMORA,1990,2,99.7,-999.0,-999.0
107037,NAMORA,1990,3,49.1,-999.0,-999.0
107037,NAMORA,1990,4,47.7,-999.0,-999.0
107037,NAMORA,1990,5,23.8,-999.0,-999.0
107037,NAMORA,1990,6,24.1,-999.0,-999.0
107037,NAMORA,1990,7,1.5,-999.0,-999.0
107037,NAMORA,1990,8,2.6,-999.0,-999.0
107037,NAMORA,1990,9,16.7,-999.0,-999.0
107037,NAMORA,1990,10,194.6,-999.0,-999.0
107037,NAMORA,1990,11,193.0,-999.0,-999.0
107037,NAMORA,1990,12,60.0,-999.0,-999.0
107037,NAMORA,1991,1,38.5,-999.0,-999.0
107037,NAMORA,1991,2,99.9,-999.0,-999.0
107037,NAMORA,1991,3,160.5,-999.0,-999.0
107037,NAMORA,1991,4,48.2,-999.0,-999.0
107037,NAMORA,1991,5,43.6,-999.0,-999.0
107037,NAMORA,1991,6,2.3,-999.0,-999.0
107037,NAMORA,1991,7,0.0,-999.0,-999.0
107037,NAMORA,1991,8,0.0,-999.0,-999.0
107037,NAMORA,1991,9,38.7,-999.0,-999.0
107037,NAMORA,1991,10,65.2,-999.0,-999.0
107037,NAMORA,1991,11,61.9,-999.0,-999.0
107037,NAMORA,1991,12,88.2,-999.0,-999.0
107037,NAMORA,1992,1,28.1,-999.0,-999.0
107037,NAMORA,1992,2,35.0,-999.0,-999.0
107037,NAMORA,1992,3,54.8,-999.0,-999.0
107037,NAMORA,1992,4,48.9,-999.0,-999.0
107037,NAMORA,1992,5,22.4,-999.0,-999.0
107037,NAMORA,1992,6,21.1,-999.0,-999.0
107037,NAMORA,1992,7,2.9,-999.0,-999.0
107037,NAMORA,1992,8,11.3,-999.0,-999.0
107037,NAMORA,1992,9,30.8,-999.0,-999.0
107037,NAMORA,1992,10,137.6,-999.0,-999.0
107037,NAMORA,1992,11,33.6,-999.0,-999.0
107037,NAMORA,1992,12,44.0,-999.0,-999.0
107037,NAMORA,1993,1,94.9,-999.0,-999.0
107037,NAMORA,1993,2,176.5,-999.0,8.82
107037,NAMORA,1993,3,222.5,-999.0,9.08
107037,NAMORA,1993,4,148.6,-999.0,9.7
107037,NAMORA,1993,5,55.0,-999.0,8.43
107037,NAMORA,1993,6,0.0,-999.0,-999.0
107037,NAMORA,1993,7,0.0,-999.0,5.44
107037,NAMORA,1993,8,11.2,-999.0,5.48
107037,NAMORA,1993,9,72.9,-999.0,7.95
107037,NAMORA,1993,10,92.0,-999.0,8.65
107037,NAMORA,1993,11,74.0,-999.0,8.15
107037,NAMORA,1993,12,136.0,-999.0,10.11
107037,NAMORA,1994,1,137.9,-999.0,10.13
107037,NAMORA,1994,2,162.8,-999.0,9.95
107037,NAMORA,1994,3,262.6,-999.0,9.31
107037,NAMORA,1994,4,133.7,-999.0,9.2
107037,NAMORA,1994,5,23.7,-999.0,8.08
107037,NAMORA,1994,6,14.7,-999.0,4.59
107037,NAMORA,1994,7,0.0,-999.0,4.3
107037,NAMORA,1994,8,1.7,-999.0,4.73
107037,NAMORA,1994,9,20.6,-999.0,6.52
107037,NAMORA,1994,10,50.8,-999.0,7.19
107037,NAMORA,1994,11,62.0,-999.0,7.46
107037,NAMORA,1994,12,110.5,-999.0,8.68
107037,NAMORA,1995,1,48.7,-999.0,8.13
107037,NAMORA,1995,2,131.9,-999.0,8.7
107037,NAMORA,1995,3,112.0,-999.0,9.59
107037,NAMORA,1995,4,47.6,-999.0,8.3
