CODIGO,ESTACION,YEAR,MONTH,PP,TMAX,TMIN
107054,CALLANCAS,1990,1,1.1,-999.0,-999.0
107054,CALLANCAS,1990,2,0.0,-999.0,-999.0
107054,CALLANCAS,1990,3,-999.0,-999.0,-999.0
107054,CALLANCAS,1990,4,59.4,-999.0,-999.0
107054,CALLANCAS,1990,5,4.0,-999.0,-999.0
107054,CALLANCAS,1990,6,0.0,-999.0,-999.0
107054,CALLANCAS,1990,7,0.0,-999.0,-999.0
107054,CALLANCAS,1990,8,0.0,-999.0,-999.0
107054,CALLANCAS,1990,9,14.6,-999.0,-999.0
107054,CALLANCAS,1990,10,25.0,-999.0,-999.0
107054,CALLANCAS,1990,11,-999.0,-999.0,-999.0
107054,CALLANCAS,1990,12,-999.0,-999.0,-999.0
107054,CALLANCAS,1991,1,1.1,-999.0,-999.0
107054,CALLANCAS,1991,2,-999.0,-999.0,-999.0
107054,CALLANCAS,1991,3,-999.0,-999.0,-999.0
107054,CALLANCAS,1991,4,-999.0,-999.0,-999.0
107054,CALLANCAS,1991,5,8.3,-999.0,-999.0
107054,CALLANCAS,1991,6,1.1,-999.0,-999.0
107054,CALLANCAS,1991,7,0.0,-999.0,-999.0
107054,CALLANCAS,1991,8,0.0,-999.0,-999.0
107054,CALLANCAS,1991,9,0.0,-999.0,-999.0
107054,CALLANCAS,1991,10,31.8,-999.0,-999.0
107054,CALLANCAS,1991,11,32.8,-999.0,-999.0
107054,CALLANCAS,1991,12,23.6,-999.0,-999.0
107054,CALLANCAS,1992,1,0.0,-999.0,-999.0
107054,CALLANCAS,1992,2,15.4,-999.0,-999.0
107054,CALLANCAS,1992,3,22.7,-999.0,-999.0
107054,CALLANCAS,1992,4,5.0,-999.0,-999.0
107054,CALLANCAS,1992,5,0.0,-999.0,-999.0
107054,CALLANCAS,1992,6,0.0,-999.0,-999.0
107054,CALLANCAS,1992,7,0.0,-999.0,-999.0
107054,CALLANCAS,1992,8,0.0,-999.0,-999.0
107054,CALLANCAS,1992,9,0.0,-999.0,-999.0
107054,CALLANCAS,1992,10,0.0,-999.0,-999.0
107054,CALLANCAS,1992,11,0.0,-999.0,-999.0
107054,CALLANCAS,1992,12,2.2,-999.0,-999.0
107054,CALLANCAS,1993,1,-999.0,-999.0,-999.0
107054,CALLANCAS,1993,2,97.0,-999.0,-999.0
107054,CALLANCAS,1993,3,164.1,-999.0,-999.0
107054,CALLANCAS,1993,4,64.5,-999.0,-999.0
107054,CALLANCAS,1993,5,20.6,-999.0,-999.0
