CODIGO,ESTACION,YEAR,MONTH,PP,TMAX,TMIN
107055,LIVES,1990,1,27.5,-999.0,-999.0
107055,LIVES,1990,2,52.1,-999.0,-999.0
107055,LIVES,1990,3,76.2,-999.0,-999.0
107055,LIVES,1990,4,17.6,-999.0,-999.0
107055,LIVES,1990,5,2.0,-999.0,-999.0
107055,LIVES,1990,6,29.2,-999.0,-999.0
107055,LIVES,1990,7,0.0,-999.0,-999.0
107055,LIVES,1990,8,0.0,-999.0,-999.0
107055,LIVES,1990,9,8.0,-999.0,-999.0
107055,LIVES,1990,10,48.7,-999.0,-999.0
107055,LIVES,1990,11,49.5,-999.0,-999.0
107055,LIVES,1990,12,29.3,-999.0,-999.0
107055,LIVES,1991,1,0.0,-999.0,-999.0
107055,LIVES,1991,2,48.1,-999.0,-999.0
107055,LIVES,1991,3,82.3,-999.0,-999.0
107055,LIVES,1991,4,45.4,-999.0,-999.0
107055,LIVES,1991,5,17.5,-999.0,-999.0
107055,LIVES,1991,6,0.0,-999.0,-999.0
107055,LIVES,1991,7,0.0,-999.0,-999.0
107055,LIVES,1991,8,0.0,-999.0,-999.0
107055,LIVES,1991,9,11.2,-999.0,-999.0
107055,LIVES,1991,10,56.5,-999.0,-999.0
107055,LIVES,1991,11,45.3,-999.0,-999.0
107055,LIVES,1991,12,27.1,-999.0,-999.0
107055,LIVES,1992,1,61.6,-999.0,-999.0
107055,LIVES,1992,2,73.1,-999.0,-999.0
107055,LIVES,1992,3,166.3,-999.0,-999.0
107055,LIVES,1992,4,97.0,-999.0,-999.0
107055,LIVES,1992,5,40.6,-999.0,-999.0
107055,LIVES,1992,6,6.5,-999.0,-999.0
107055,LIVES,1992,7,0.0,-999.0,-999.0
107055,LIVES,1992,8,0.0,-999.0,-999.0
107055,LIVES,1992,9,7.5,-999.0,-999.0
107055,LIVES,1992,10,31.1,-999.0,-999.0
107055,LIVES,1992,11,21.2,-999.0,-999.0
107055,LIVES,1992,12,12.6,-999.0,-999.0
107055,LIVES,1993,1,72.2,-999.0,-999.0
107055,LIVES,1993,2,238.4,-999.0,-999.0
107055,LIVES,1993,3,237.0,-999.0,-999.0
107055,LIVES,1993,4,57.3,-999.0,-999.0
107055,LIVES,1993,5,34.2,-999.0,-999.0
107055,LIVES,1993,6,0.0,-999.0,-999.0
107055,LIVES,1993,7,0.7,-999.0,-999.0
107055,LIVES,1993,8,1.1,-999.0,-999.0
107055,LIVES,1993,9,4.1,-999.0,-999.0
107055,LIVES,1993,10,30.9,-999.0,-999.0
107055,LIVES,1993,11,24.4,-999.0,-999.0
107055,LIVES,1993,12,26.3,-999.0,-999.0
107055,LIVES,1994,1,71.2,-999.0,-999.0
107055,LIVES,1994,2,144.1,-999.0,-999.0
107055,LIVES,1994,3,197.4,-999.0,-999.0
107055,LIVES,1994,4,95.1,-999.0,-999.0
107055,LIVES,1994,5,11.8,-999.0,-999.0
107055,LIVES,1994,6,10.7,-999.0,-999.0
107055,LIVES,1994,7,2.5,-999.0,-999.0
107055,LIVES,1994,8,0.0,-999.0,-999.0
107055,LIVES,1994,9,7.3,-999.0,-999.0
107055,LIVES,1994,10,5.3,-999.0,-999.0
107055,LIVES,1994,11,35.3,-999.0,-999.0
107055,LIVES,1994,12,51.0,-999.0,-999.0
107055,LIVES,1995,1,102.4,-999.0,-999.0
107055,LIVES,1995,2,122.4,-999.0,-999.0
107055,LIVES,1995,3,71.6,-999.0,-999.0
107055,LIVES,1995,4,40.0,-999.0,-999.0
107055,LIVES,1995,5,6.6,-999.0,-999.0
107055,LIVES,1995,6,9.1,-999.0,-999.0
