CODIGO,ESTACION,YEAR,MONTH,PP,TMAX,TMIN
107058,CHILETE,1990,1,30.9,-999.0,-999.0
107058,CHILETE,1990,2,33.3,-999.0,-999.0
107058,CHILETE,1990,3,28.4,-999.0,-999.0
107058,CHILETE,1990,4,7.3,-999.0,-999.0
107058,CHILETE,1990,5,3.9,-999.0,-999.0
107058,CHILETE,1990,6,8.6,-999.0,-999.0
107058,CHILETE,1990,7,0.0,-999.0,-999.0
107058,CHILETE,1990,8,0.0,-999.0,-999.0
107058,CHILETE,1990,9,0.0,-999.0,-999.0
107058,CHILETE,1990,10,20.3,-999.0,-999.0
107058,CHILETE,1990,11,20.7,-999.0,-999.0
107058,CHILETE,1990,12,3.7,-999.0,-999.0
107058,CHILETE,1991,1,0.0,-999.0,-999.0
107058,CHILETE,1991,2,32.3,-999.0,-999.0
107058,CHILETE,1991,3,57.5,-999.0,-999.0
107058,CHILETE,1991,4,29.6,-999.0,-999.0
107058,CHILETE,1991,5,4.4,-999.0,-999.0
107058,CHILETE,1991,6,0.0,-999.0,-999.0
107058,CHILETE,1991,7,0.0,-999.0,-999.0
107058,CHILETE,1991,8,0.0,-999.0,-999.0
107058,CHILETE,1991,9,0.0,-999.0,-999.0
107058,CHILETE,1991,10,14.9,-999.0,-999.0
107058,CHILETE,1991,11,25.6,-999.0,-999.0
107058,CHILETE,1991,12,18.3,-999.0,-999.0
107058,CHILETE,1992,1,20.4,-999.0,-999.0
107058,CHILETE,1992,2,14.0,-999.0,-999.0
107058,CHILETE,1992,3,33.8,-999.0,-999.0
107058,CHILETE,1992,4,24.2,-999.0,-999.0
107058,CHILETE,1992,5,14.4,-999.0,-999.0
107058,CHILETE,1992,6,8.4,-999.0,-999.0
107058,CHILETE,1992,7,0.0,-999.0,-999.0
107058,CHILETE,1992,8,0.0,-999.0,-999.0
107058,CHILETE,1992,9,1.5,-999.0,-999.0
107058,CHILETE,1992,10,8.5,-999.0,-999.0
107058,CHILETE,1992,11,0.0,-999.0,-999.0
107058,CHILETE,1992,12,3.3,-999.0,-999.0
107058,CHILETE,1993,1,24.9,-999.0,-999.0
107058,CHILETE,1993,2,78.7,-999.0,-999.0
107058,CHILETE,1993,3,131.4,-999.0,-999.0
107058,CHILETE,1993,4,44.3,-999.0,-999.0
107058,CHILETE,1993,5,6.2,-999.0,-999.0
107058,CHILETE,1993,6,0.0,-999.0,-999.0
107058,CHILETE,1993,7,0.0,-999.0,-999.0
107058,CHILETE,1993,8,0.0,-999.0,-999.0
107058,CHILETE,1993,9,5.2,-999.0,-999.0
107058,CHILETE,1993,10,21.7,-999.0,-999.0
107058,CHILETE,1993,11,9.2,-999.0,-999.0
107058,CHILETE,1993,12,30.8,-999.0,-999.0
107058,CHILETE,1994,1,20.3,-999.0,-999.0
107058,CHILETE,1994,2,53.3,-999.0,-999.0
107058,CHILETE,1994,3,88.9,-999.0,-999.0
107058,CHILETE,1994,4,21.0,-999.0,-999.0
107058,CHILETE,1994,5,3.6,-999.0,-999.0
107058,CHILETE,1994,6,1.4,-999.0,-999.0
107058,CHILETE,1994,7,0.0,-999.0,-999.0
107058,CHILETE,1994,8,0.0,-999.0,-999.0
107058,CHILETE,1994,9,1.2,-999.0,-999.0
107058,CHILETE,1994,10,0.0,-999.0,-999.0
107058,CHILETE,1994,11,7.0,-999.0,-999.0
107058,CHILETE,1994,12,20.9,-999.0,-999.0
107058,CHILETE,1995,1,28.9,-999.0,-999.0
107058,CHILETE,1995,2,89.8,-999.0,-999.0
107058,CHILETE,1995,3,34.4,-999.0,-999.0
107058,CHILETE,1995,4,15.8,-999.0,-999.0
107058,CHILETE,1995,5,6.8,-999.0,-999.0
107058,CHILETE,1995,6,0.0,-999.0,-999.0
107058,CHILETE,1995,7,0.5,-999.0,-999.0
107058,CHILETE,1995,8,0.0,-999.0,-999.0
107058,CHILETE,1995,9,0.0,-999.0,-999.0
107058,CHILETE,1995,10,2.9,-999.0,-999.0
107058,CHILETE,1995,11,2.2,-999.0,-999.0
107058,CHILETE,1995,12,30.7,-999.0,-999.0
107058,CHILETE,1996,1,42.9,-999.0,-999.0
107058,CHILETE,1996,2,46.7,-999.0,-999.0
107058,CHILETE,1996,3,92.8,-999.0,-999.0
107058,CHILETE,1996,4,29.6,-999.0,-999.0
107058,CHILETE,1996,5,0.0,-999.0,-999.0
107058,CHILETE,1996,6,0.0,-999.0,-999.0
107058,CHILETE,1996,7,0.0,-999.0,-999.0
107058,CHILETE,1996,8,0.0,-999.0,-999.0
107058,CHILETE,1996,9,0.7,-999.0,-999.0
107058,CHILETE,1996,10,5.2,-999.0,-999.0
107058,CHILETE,1996,11,0.0,-999.0,-999.0
107058,CHILETE,1996,12,3.6,-999.0,-999.0
107058,CHILETE,1997,1,0.0,-999.0,-999.0
107058,CHILETE,1997,2,50.2,-999.0,-999.0
107058,CHILETE,1997,3,18.4,-999.0,-999.0
107058,CHILETE,1997,4,6.2,-999.0,-999.0
107058,CHILETE,1997,5,0.0,-999.0,-999.0
107058,CHILETE,1997,6,0.0,-999.0,-999.0
107058,CHILETE,1997,7,0.0,-999.0,-999.0
107058,CHILETE,1997,8,0.0,-999.0,-999.0
107058,CHILETE,1997,9,13.8,-999.0,-999.0
107058,CHILETE,1997,10,12.0,-999.0,-999.0
107058,CHILETE,1997,11,34.1,-999.0,-999.0
107058,CHILETE,1997,12,59.7,-999.0,-999.0
107058,CHILETE,1998,1,70.3,-999.0,-999.0
107058,CHILETE,1998,2,109.9,-999.0,-999.0
107058,CHILETE,1998,3,142.2,-999.0,-999.0
107058,CHILETE,1998,4,28.9,-999.0,-999.0
107058,CHILETE,1998,5,0.0,-999.0,-999.0
107058,CHILETE,1998,6,0.0,-999.0,-999.0
107058,CHILETE,1998,7,0.0,-999.0,-999.0
107058,CHILETE,1998,8,0.0,-999.0,-999.0
107058,CHILETE,1998,9,0.0,-999.0,-999.0
107058,CHILETE,1998,10,0.0,-999.0,-999.0
107058,CHILETE,1998,11,0.0,-999.0,-999.0
107058,CHILETE,1998,12,0.0,-999.0,-999.0
107058,CHILETE,1999,1,29.7,-999.0,-999.0
107058,CHILETE,1999,2,147.7,-999.0,-999.0
107058,CHILETE,1999,3,9.5,-999.0,-999.0
107058,CHILETE,1999,4,17.4,-999.0,-999.0
107058,CHILETE,1999,5,23.6,-999.0,-999.0
107058,CHILETE,1999,6,8.3,-999.0,-999.0
107058,CHILETE,1999,7,0.0,-999.0,-999.0
107058,CHILETE,1999,8,0.0,-999.0,-999.0
107058,CHILETE,1999,9,4.6,-999.0,-999.0
107058,CHILETE,1999,10,0.0,-999.0,-999.0
107058,CHILETE,1999,11,3.2,-999.0,-999.0
107058,CHILETE,1999,12,13.8,-999.0,-999.0
107058,CHILETE,2000,1,0.0,-999.0,-999.0
107058,CHILETE,2000,2,53.0,-999.0,-999.0
107058,CHILETE,2000,3,56.0,-999.0,-999.0
107058,CHILETE,2000,4,10.5,-999.0,-999.0
107058,CHILETE,2000,5,7.6,-999.0,-999.0
107058,CHILETE,2000,6,0.0,-999.0,-999.0
107058,CHILETE,2000,7,0.0,-999.0,-999.0
107058,CHILETE,2000,8,0.0,-999.0,-999.0
107058,CHILETE,2000,9,0.0,-999.0,-999.0
107058,CHILETE,2000,10,0.0,-999.0,-999.0
107058,CHILETE,2000,11,0.0,-999.0,-999.0
107058,CHILETE,2000,12,9.4,-999.0,-999.0
107058,CHILETE,2001,1,34.6,-999.0,-999.0
107058,CHILETE,2001,2,30.2,-999.0,-999.0
107058,CHILETE,2001,3,146.9,-999.0,-999.0
107058,CHILETE,2001,4,12.7,-999.0,-999.0
107058,CHILETE,2001,5,0.0,-999.0,-999.0
107058,CHILETE,2001,6,0.0,-999.0,-999.0
107058,CHILETE,2001,7,0.0,-999.0,-999.0
107058,CHILETE,2001,8,0.0,-999.0,-999.0
107058,CHILETE,2001,9,7.5,-999.0,-999.0
107058,CHILETE,2001,10,0.0,-999.0,-999.0
107058,CHILETE,2001,11,4.2,-999.0,-999.0
107058,CHILETE,2001,12,5.7,-999.0,-999.0
107058,CHILETE,2002,1,2.1,-999.0,-999.0
107058,CHILETE,2002,2,25.6,-999.0,-999.0
107058,CHILETE,2002,3,42.0,-999.0,-999.0
107058,CHILETE,2002,4,15.9,-999.0,-999.0
107058,CHILETE,2002,5,0.0,-999.0,-999.0
107058,CHILETE,2002,6,0.0,-999.0,-999.0
107058,CHILETE,2002,7,0.0,-999.0,-999.0
107058,CHILETE,2002,8,0.0,-999.0,-999.0
107058,CHILETE,2002,9,0.0,-999.0,-999.0
107058,CHILETE,2002,10,0.0,-999.0,-999.0
107058,CHILETE,2002,11,22.0,-999.0,-999.0
107058,CHILETE,2002,12,7.7,-999.0,-999.0
107058,CHILETE,2003,1,5.5,-999.0,-999.0
107058,CHILETE,2003,2,9.6,-999.0,-999.0
107058,CHILETE,2003,3,16.3,-999.0,-999.0
107058,CHILETE,2003,4,1.4,-999.0,-999.0
107058,CHILETE,2003,5,0.0,-999.0,-999.0
107058,CHILETE,2003,6,0.0,-999.0,-999.0
107058,CHILETE,2003,7,0.0,-999.0,-999.0
107058,CHILETE,2003,8,0.0,-999.0,-999.0
107058,CHILETE,2003,9,0.0,-999.0,-999.0
107058,CHILETE,2003,10,0.0,-999.0,-999.0
107058,CHILETE,2003,11,0.0,-999.0,-999.0
107058,CHILETE,2003,12,9.4,-999.0,-999.0
107058,CHILETE,2004,1,0.0,-999.0,-999.0
107058,CHILETE,2004,2,13.7,-999.0,-999.0
107058,CHILETE,2004,3,4.2,-999.0,-999.0
107058,CHILETE,2004,4,2.1,-999.0,-999.0
107058,CHILETE,2004,5,0.0,-999.0,-999.0
107058,CHILETE,2004,6,0.0,-999.0,-999.0
107058,CHILETE,2004,7,0.0,-999.0,-999.0
107058,CHILETE,2004,8,0.0,-999.0,-999.0
107058,CHILETE,2004,9,0.0,-999.0,-999.0
107058,CHILETE,2004,10,0.3,-999.0,-999.0
107058,CHILETE,2004,11,0.0,-999.0,-999.0
107058,CHILETE,2004,12,3.2,-999.0,-999.0
107058,CHILETE,2005,1,23.4,-999.0,-999.0
107058,CHILETE,2005,2,10.3,-999.0,-999.0
107058,CHILETE,2005,3,63.4,-999.0,-999.0
107058,CHILETE,2005,4,11.4,-999.0,-999.0
107058,CHILETE,2005,5,0.0,-999.0,-999.0
107058,CHILETE,2005,6,0.0,-999.0,-999.0
107058,CHILETE,2005,7,0.0,-999.0,-999.0
107058,CHILETE,2005,8,0.0,-999.0,-999.0
107058,CHILETE,2005,9,3.7,-999.0,-999.0
107058,CHILETE,2005,10,3.9,-999.0,-999.0
107058,CHILETE,2005,11,3.7,-999.0,-999.0
107058,CHILETE,2005,12,5.4,-999.0,-999.0
107058,CHILETE,2006,1,42.4,-999.0,-999.0
107058,CHILETE,2006,2,76.5,-999.0,-999.0
107058,CHILETE,2006,3,194.3,-999.0,-999.0
107058,CHILETE,2006,4,31.6,-999.0,-999.0
107058,CHILETE,2006,5,0.0,-999.0,-999.0
107058,CHILETE,2006,6,0.0,-999.0,-999.0
107058,CHILETE,2006,7,0.0,-999.0,-999.0
107058,CHILETE,2006,8,0.0,-999.0,-999.0
107058,CHILETE,2006,9,0.0,-999.0,-999.0
107058,CHILETE,2006,10,0.0,-999.0,-999.0
