CODIGO,ESTACION,YEAR,MONTH,PP,TMAX,TMIN
107059,SINSICAP,1990,1,5.7,-999.0,-999.0
107059,SINSICAP,1990,2,24.0,-999.0,-999.0
107059,SINSICAP,1990,3,52.3,-999.0,-999.0
107059,SINSICAP,1990,4,3.3,-999.0,-999.0
107059,SINSICAP,1990,5,0.0,-999.0,-999.0
107059,SINSICAP,1990,6,1.2,-999.0,-999.0
107059,SINSICAP,1990,7,0.0,-999.0,-999.0
107059,SINSICAP,1990,8,0.0,-999.0,-999.0
107059,SINSICAP,1990,9,0.9,-999.0,-999.0
107059,SINSICAP,1990,10,14.4,-999.0,-999.0
107059,SINSICAP,1990,11,53.7,-999.0,-999.0
107059,SINSICAP,1990,12,8.4,-999.0,-999.0
107059,SINSICAP,1991,1,3.4,-999.0,-999.0
107059,SINSICAP,1991,2,16.9,-999.0,-999.0
107059,SINSICAP,1991,3,53.2,-999.0,-999.0
107059,SINSICAP,1991,4,27.8,-999.0,-999.0
107059,SINSICAP,1991,5,4.4,-999.0,-999.0
107059,SINSICAP,1991,6,0.0,-999.0,-999.0
107059,SINSICAP,1991,7,0.0,-999.0,-999.0
107059,SINSICAP,1991,8,0.0,-999.0,-999.0
107059,SINSICAP,1991,9,0.0,-999.0,-999.0
107059,SINSICAP,1991,10,17.9,-999.0,-999.0
107059,SINSICAP,1991,11,3.6,-999.0,-999.0
107059,SINSICAP,1991,12,10.6,-999.0,-999.0
107059,SINSICAP,1992,1,44.8,-999.0,-999.0
107059,SINSICAP,1992,2,40.2,-999.0,-999.0
107059,SINSICAP,1992,3,107.1,-999.0,-999.0
107059,SINSICAP,1992,4,126.3,-999.0,-999.0
107059,SINSICAP,1992,5,-999.0,-999.0,-999.0
107059,SINSICAP,1992,6,13.7,-999.0,-999.0
107059,SINSICAP,1992,7,0.0,-999.0,-999.0
107059,SINSICAP,1992,8,0.0,-999.0,-999.0
107059,SINSICAP,1992,9,5.3,-999.0,-999.0
107059,SINSICAP,1992,10,1.2,-999.0,-999.0
107059,SINSICAP,1992,11,1.3,-999.0,-999.0
107059,SINSICAP,1992,12,1.3,-999.0,-999.0
107059,SINSICAP,1993,1,28.2,-999.0,-999.0
107059,SINSICAP,1993,2,130.2,-999.0,-999.0
107059,SINSICAP,1993,3,258.8,-999.0,-999.0
107059,SINSICAP,1993,4,-999.0,-999.0,-999.0
107059,SINSICAP,1993,5,-999.0,-999.0,-999.0
107059,SINSICAP,1993,6,0.0,-999.0,-999.0
107059,SINSICAP,1993,7,0.0,-999.0,-999.0
107059,SINSICAP,1993,8,0.0,-999.0,-999.0
107059,SINSICAP,1993,9,10.5,-999.0,-999.0
107059,SINSICAP,1993,10,-999.0,-999.0,-999.0
107059,SINSICAP,1993,11,18.3,-999.0,-999.0
107059,SINSICAP,1993,12,30.5,-999.0,-999.0
107059,SINSICAP,1994,1,-999.0,-999.0,-999.0
107059,SINSICAP,1994,2,-999.0,-999.0,-999.0
107059,SINSICAP,1994,3,106.3,-999.0,-999.0
107059,SINSICAP,1994,4,51.0,-999.0,-999.0
107059,SINSICAP,1994,5,-999.0,-999.0,-999.0
107059,SINSICAP,1994,6,4.7,-999.0,-999.0
107059,SINSICAP,1994,7,0.0,-999.0,-999.0
107059,SINSICAP,1994,8,0.0,-999.0,-999.0
107059,SINSICAP,1994,9,2.5,-999.0,-999.0
107059,SINSICAP,1994,10,2.8,-999.0,-999.0
107059,SINSICAP,1994,11,19.1,-999.0,-999.0
107059,SINSICAP,1994,12,-999.0,-999.0,-999.0
107059,SINSICAP,1995,1,38.0,-999.0,-999.0
107059,SINSICAP,1995,2,52.6,-999.0,-999.0
107059,SINSICAP,1995,3,38.4,-999.0,-999.0
107059,SINSICAP,1995,4,16.2,-999.0,-999.0
107059,SINSICAP,1995,5,6.2,-999.0,-999.0
107059,SINSICAP,1995,6,2.8,-999.0,-999.0
107059,SINSICAP,1995,7,0.8,-999.0,-999.0
107059,SINSICAP,1995,8,0.0,-999.0,-999.0
107059,SINSICAP,1995,9,1.4,-999.0,-999.0
107059,SINSICAP,1995,10,9.0,-999.0,-999.0
107059,SINSICAP,1995,11,10.6,-999.0,-999.0
107059,SINSICAP,1995,12,32.3,-999.0,-999.0
107059,SINSICAP,1996,1,43.2,-999.0,-999.0
107059,SINSICAP,1996,2,99.8,-999.0,-999.0
107059,SINSICAP,1996,3,142.3,-999.0,-999.0
107059,SINSICAP,1996,4,24.5,-999.0,-999.0
107059,SINSICAP,1996,5,1.2,-999.0,-999.0
107059,SINSICAP,1996,6,0.0,-999.0,-999.0
107059,SINSICAP,1996,7,0.0,-999.0,-999.0
107059,SINSICAP,1996,8,0.0,-999.0,-999.0
107059,SINSICAP,1996,9,3.6,-999.0,-999.0
107059,SINSICAP,1996,10,16.6,-999.0,-999.0
107059,SINSICAP,1996,11,3.6,-999.0,-999.0
107059,SINSICAP,1996,12,2.5,-999.0,-999.0
107059,SINSICAP,1997,1,12.7,-999.0,-999.0
107059,SINSICAP,1997,2,58.0,-999.0,-999.0
107059,SINSICAP,1997,3,29.8,-999.0,-999.0
