CODIGO,ESTACION,YEAR,MONTH,PP,TMAX,TMIN
108021,PUCALLPA,1990,1,-999.0,-999.0,-999.0
108021,PUCALLPA,1990,2,-999.0,-999.0,-999.0
108021,PUCALLPA,1990,3,-999.0,-999.0,-999.0
108021,PUCALLPA,1990,4,-999.0,-999.0,-999.0
108021,PUCALLPA,1990,5,-999.0,-999.0,-999.0
108021,PUCALLPA,1990,6,-999.0,-999.0,-999.0
108021,PUCALLPA,1990,7,-999.0,-999.0,-999.0
108021,PUCALLPA,1990,8,-999.0,-999.0,-999.0
108021,PUCALLPA,1990,9,-999.0,-999.0,-999.0
108021,PUCALLPA,1990,10,-999.0,-999.0,-999.0
108021,PUCALLPA,1990,11,-999.0,-999.0,-999.0
108021,PUCALLPA,1990,12,-999.0,-999.0,-999.0
108021,PUCALLPA,1991,1,-999.0,-999.0,-999.0
108021,PUCALLPA,1991,2,-999.0,-999.0,-999.0
108021,PUCALLPA,1991,3,-999.0,-999.0,-999.0
108021,PUCALLPA,1991,4,-999.0,-999.0,-999.0
108021,PUCALLPA,1991,5,-999.0,-999.0,-999.0
108021,PUCALLPA,1991,6,-999.0,-999.0,-999.0
108021,PUCALLPA,1991,7,-999.0,-999.0,-999.0
108021,PUCALLPA,1991,8,-999.0,-999.0,-999.0
108021,PUCALLPA,1991,9,-999.0,-999.0,-999.0
108021,PUCALLPA,1991,10,-999.0,-999.0,-999.0
108021,PUCALLPA,1991,11,-999.0,-999.0,-999.0
108021,PUCALLPA,1991,12,-999.0,-999.0,-999.0
108021,PUCALLPA,1992,1,-999.0,-999.0,-999.0
108021,PUCALLPA,1992,2,-999.0,-999.0,-999.0
108021,PUCALLPA,1992,3,-999.0,-999.0,-999.0
108021,PUCALLPA,1992,4,-999.0,-999.0,-999.0
108021,PUCALLPA,1992,5,-999.0,-999.0,-999.0
108021,PUCALLPA,1992,6,-999.0,-999.0,-999.0
108021,PUCALLPA,1992,7,-999.0,-999.0,-999.0
108021,PUCALLPA,1992,8,-999.0,-999.0,-999.0
108021,PUCALLPA,1992,9,-999.0,-999.0,-999.0
108021,PUCALLPA,1992,10,-999.0,-999.0,-999.0
108021,PUCALLPA,1992,11,-999.0,-999.0,-999.0
108021,PUCALLPA,1992,12,-999.0,-999.0,-999.0
108021,PUCALLPA,1993,1,-999.0,-999.0,-999.0
108021,PUCALLPA,1993,2,-999.0,-999.0,-999.0
108021,PUCALLPA,1993,3,-999.0,-999.0,-999.0
108021,PUCALLPA,1993,4,-999.0,-999.0,-999.0
108021,PUCALLPA,1993,5,-999.0,-999.0,-999.0
108021,PUCALLPA,1993,6,-999.0,-999.0,-999.0
108021,PUCALLPA,1993,7,-999.0,-999.0,-999.0
108021,PUCALLPA,1993,8,-999.0,-999.0,-999.0
108021,PUCALLPA,1993,9,-999.0,-999.0,-999.0
108021,PUCALLPA,1993,10,-999.0,-999.0,-999.0
108021,PUCALLPA,1993,11,-999.0,-999.0,-999.0
108021,PUCALLPA,1993,12,-999.0,-999.0,-999.0
108021,PUCALLPA,1994,1,228.4,31.16,-999.0
108021,PUCALLPA,1994,2,63.6,30.56,-999.0
108021,PUCALLPA,1994,3,273.8,31.84,-999.0
108021,PUCALLPA,1994,4,196.8,30.94,-999.0
108021,PUCALLPA,1994,5,85.6,31.22,-999.0
108021,PUCALLPA,1994,6,89.6,30.85,-999.0
108021,PUCALLPA,1994,7,9.7,30.86,-999.0
108021,PUCALLPA,1994,8,0.0,-999.0,-999.0
108021,PUCALLPA,1994,9,48.8,-999.0,-999.0
108021,PUCALLPA,1994,10,254.6,32.38,-999.0
108021,PUCALLPA,1994,11,180.6,31.39,-999.0
108021,PUCALLPA,1994,12,229.3,31.43,-999.0
108021,PUCALLPA,1995,1,40.0,32.05,-999.0
108021,PUCALLPA,1995,2,119.2,-999.0,-999.0
108021,PUCALLPA,1995,3,230.6,30.57,-999.0
108021,PUCALLPA,1995,4,190.8,31.25,-999.0
108021,PUCALLPA,1995,5,66.4,30.71,-999.0
108021,PUCALLPA,1995,6,101.7,30.56,-999.0
108021,PUCALLPA,1995,7,42.7,31.9,-999.0
108021,PUCALLPA,1995,8,54.1,32.53,-999.0
108021,PUCALLPA,1995,9,62.6,33.54,-999.0
108021,PUCALLPA,1995,10,183.4,-999.0,-999.0
108021,PUCALLPA,1995,11,126.7,32.39,-999.0
108021,PUCALLPA,1995,12,179.5,31.65,-999.0
108021,PUCALLPA,1996,1,299.7,-999.0,-999.0
108021,PUCALLPA,1996,2,502.0,-999.0,-999.0
108021,PUCALLPA,1996,3,303.2,-999.0,-999.0
108021,PUCALLPA,1996,4,144.6,31.1,-999.0
108021,PUCALLPA,1996,5,104.4,-999.0,-999.0
108021,PUCALLPA,1996,6,59.8,29.8,-999.0
108021,PUCALLPA,1996,7,37.2,30.78,-999.0
108021,PUCALLPA,1996,8,104.1,32.11,-999.0
108021,PUCALLPA,1996,9,101.7,-999.0,-999.0
108021,PUCALLPA,1996,10,126.9,32.18,-999.0
108021,PUCALLPA,1996,11,208.1,-999.0,-999.0
108021,PUCALLPA,1996,12,156.0,31.26,-999.0
108021,PUCALLPA,1997,1,167.1,-999.0,-999.0
108021,PUCALLPA,1997,2,238.4,-999.0,-999.0
108021,PUCALLPA,1997,3,438.5,30.89,-999.0
108021,PUCALLPA,1997,4,185.9,31.77,-999.0
108021,PUCALLPA,1997,5,100.1,30.56,-999.0
108021,PUCALLPA,1997,6,-999.0,-999.0,-999.0
108021,PUCALLPA,1997,7,-999.0,-999.0,-999.0
108021,PUCALLPA,1997,8,50.7,31.11,-999.0
108021,PUCALLPA,1997,9,90.2,33.31,-999.0
108021,PUCALLPA,1997,10,-999.0,-999.0,-999.0
108021,PUCALLPA,1997,11,136.8,32.92,-999.0
108021,PUCALLPA,1997,12,60.5,32.69,-999.0
108021,PUCALLPA,1998,1,28.2,33.24,-999.0
108021,PUCALLPA,1998,2,120.1,32.94,-999.0
108021,PUCALLPA,1998,3,222.0,31.77,-999.0
108021,PUCALLPA,1998,4,285.9,32.44,-999.0
108021,PUCALLPA,1998,5,162.5,31.08,-999.0
108021,PUCALLPA,1998,6,44.6,30.46,-999.0
108021,PUCALLPA,1998,7,19.3,32.49,-999.0
108021,PUCALLPA,1998,8,34.1,-999.0,-999.0
108021,PUCALLPA,1998,9,199.1,-999.0,-999.0
108021,PUCALLPA,1998,10,140.8,33.0,-999.0
108021,PUCALLPA,1998,11,193.8,-999.0,-999.0
108021,PUCALLPA,1998,12,178.6,31.28,-999.0
108021,PUCALLPA,1999,1,409.0,-999.0,-999.0
108021,PUCALLPA,1999,2,302.0,30.65,-999.0
108021,PUCALLPA,1999,3,253.1,31.3,-999.0
108021,PUCALLPA,1999,4,251.2,30.58,-999.0
108021,PUCALLPA,1999,5,346.9,30.72,-999.0
108021,PUCALLPA,1999,6,45.2,30.56,-999.0
108021,PUCALLPA,1999,7,31.7,30.5,-999.0
108021,PUCALLPA,1999,8,45.2,31.3,-999.0
108021,PUCALLPA,1999,9,216.1,-999.0,-999.0
108021,PUCALLPA,1999,10,68.9,31.95,-999.0
108021,PUCALLPA,1999,11,196.6,-999.0,-999.0
108021,PUCALLPA,1999,12,240.3,-999.0,-999.0
108021,PUCALLPA,2000,1,99.7,30.93,-999.0
108021,PUCALLPA,2000,2,334.2,30.98,-999.0
108021,PUCALLPA,2000,3,219.2,31.41,-999.0
108021,PUCALLPA,2000,4,337.3,31.27,-999.0
108021,PUCALLPA,2000,5,95.5,31.47,-999.0
108021,PUCALLPA,2000,6,92.6,31.18,-999.0
108021,PUCALLPA,2000,7,92.4,-999.0,-999.0
108021,PUCALLPA,2000,8,46.7,32.4,-999.0
108021,PUCALLPA,2000,9,69.0,33.05,-999.0
108021,PUCALLPA,2000,10,100.4,-999.0,-999.0
108021,PUCALLPA,2000,11,185.2,32.46,-999.0
108021,PUCALLPA,2000,12,160.7,31.69,-999.0
108021,PUCALLPA,2001,1,222.8,-999.0,-999.0
108021,PUCALLPA,2001,2,222.1,31.38,-999.0
108021,PUCALLPA,2001,3,113.8,29.94,-999.0
108021,PUCALLPA,2001,4,192.7,-999.0,-999.0
108021,PUCALLPA,2001,5,64.9,31.28,-999.0
108021,PUCALLPA,2001,6,122.4,-999.0,-999.0
108021,PUCALLPA,2001,7,108.7,31.43,-999.0
108021,PUCALLPA,2001,8,12.8,33.08,-999.0
108021,PUCALLPA,2001,9,115.6,33.1,-999.0
108021,PUCALLPA,2001,10,152.2,34.36,-999.0
108021,PUCALLPA,2001,11,183.6,32.95,-999.0
108021,PUCALLPA,2001,12,-999.0,-999.0,-999.0
108021,PUCALLPA,2002,1,-999.0,-999.0,-999.0
108021,PUCALLPA,2002,2,-999.0,-999.0,-999.0
108021,PUCALLPA,2002,3,-999.0,-999.0,-999.0
108021,PUCALLPA,2002,4,-999.0,-999.0,-999.0
108021,PUCALLPA,2002,5,-999.0,-999.0,-999.0
108021,PUCALLPA,2002,6,-999.0,-999.0,-999.0
108021,PUCALLPA,2002,7,-999.0,-999.0,-999.0
108021,PUCALLPA,2002,8,-999.0,-999.0,-999.0
108021,PUCALLPA,2002,9,-999.0,-999.0,-999.0
108021,PUCALLPA,2002,10,-999.0,-999.0,-999.0
108021,PUCALLPA,2002,11,99.7,-999.0,-999.0
108021,PUCALLPA,2002,12,173.2,32.02,23.12
108021,PUCALLPA,2003,1,132.0,32.16,23.38
108021,PUCALLPA,2003,2,161.5,31.6,23.14
108021,PUCALLPA,2003,3,227.5,31.29,22.91
108021,PUCALLPA,2003,4,154.9,31.32,22.76
108021,PUCALLPA,2003,5,229.0,30.65,22.28
108021,PUCALLPA,2003,6,210.2,31.26,22.06
108021,PUCALLPA,2003,7,17.9,30.7,20.12
108021,PUCALLPA,2003,8,87.7,30.89,20.3
108021,PUCALLPA,2003,9,288.4,31.55,20.79
108021,PUCALLPA,2003,10,59.1,33.22,22.89
108021,PUCALLPA,2003,11,55.8,32.92,22.6
108021,PUCALLPA,2003,12,250.9,31.69,23.29
108021,PUCALLPA,2004,1,156.1,31.26,23.03
108021,PUCALLPA,2004,2,104.9,31.1,22.97
108021,PUCALLPA,2004,3,235.5,30.89,23.06
108021,PUCALLPA,2004,4,272.5,31.67,23.07
108021,PUCALLPA,2004,5,62.7,29.3,21.13
108021,PUCALLPA,2004,6,79.4,30.48,21.01
108021,PUCALLPA,2004,7,186.5,29.78,20.93
108021,PUCALLPA,2004,8,127.0,31.14,20.68
108021,PUCALLPA,2004,9,202.7,31.45,21.32
108021,PUCALLPA,2004,10,113.0,31.95,22.9
108021,PUCALLPA,2004,11,221.3,31.3,22.78
108021,PUCALLPA,2004,12,240.7,31.48,23.22
108021,PUCALLPA,2005,1,81.6,31.6,23.1
108021,PUCALLPA,2005,2,141.3,31.13,23.05
108021,PUCALLPA,2005,3,234.5,31.31,-999.0
108021,PUCALLPA,2005,4,203.7,30.75,22.86
108021,PUCALLPA,2005,5,26.0,32.12,22.24
108021,PUCALLPA,2005,6,65.8,-999.0,21.33
108021,PUCALLPA,2005,7,5.4,31.48,18.97
108021,PUCALLPA,2005,8,43.8,-999.0,21.08
108021,PUCALLPA,2005,9,28.4,-999.0,21.39
108021,PUCALLPA,2005,10,213.5,-999.0,22.74
