CODIGO,ESTACION,YEAR,MONTH,PP,TMAX,TMIN
108047,SIHUAS,1990,1,-999.0,-999.0,-999.0
108047,SIHUAS,1990,2,-999.0,-999.0,-999.0
108047,SIHUAS,1990,3,-999.0,-999.0,-999.0
108047,SIHUAS,1990,4,-999.0,-999.0,-999.0
108047,SIHUAS,1990,5,-999.0,-999.0,-999.0
108047,SIHUAS,1990,6,-999.0,-999.0,-999.0
108047,SIHUAS,1990,7,-999.0,-999.0,-999.0
108047,SIHUAS,1990,8,-999.0,-999.0,-999.0
108047,SIHUAS,1990,9,-999.0,-999.0,-999.0
108047,SIHUAS,1990,10,-999.0,-999.0,-999.0
108047,SIHUAS,1990,11,-999.0,-999.0,-999.0
108047,SIHUAS,1990,12,-999.0,-999.0,-999.0
108047,SIHUAS,1991,1,-999.0,-999.0,-999.0
108047,SIHUAS,1991,2,-999.0,-999.0,-999.0
108047,SIHUAS,1991,3,-999.0,-999.0,-999.0
108047,SIHUAS,1991,4,-999.0,-999.0,-999.0
108047,SIHUAS,1991,5,-999.0,-999.0,-999.0
108047,SIHUAS,1991,6,-999.0,-999.0,-999.0
108047,SIHUAS,1991,7,-999.0,-999.0,-999.0
108047,SIHUAS,1991,8,-999.0,-999.0,-999.0
108047,SIHUAS,1991,9,-999.0,-999.0,-999.0
108047,SIHUAS,1991,10,140.3,-999.0,-999.0
108047,SIHUAS,1991,11,97.0,-999.0,-999.0
108047,SIHUAS,1991,12,83.1,-999.0,-999.0
108047,SIHUAS,1992,1,7.3,-999.0,-999.0
108047,SIHUAS,1992,2,49.5,-999.0,-999.0
108047,SIHUAS,1992,3,158.5,-999.0,-999.0
108047,SIHUAS,1992,4,167.5,-999.0,-999.0
108047,SIHUAS,1992,5,48.3,-999.0,-999.0
108047,SIHUAS,1992,6,1.1,-999.0,-999.0
108047,SIHUAS,1992,7,9.9,-999.0,-999.0
108047,SIHUAS,1992,8,6.3,-999.0,-999.0
108047,SIHUAS,1992,9,24.8,-999.0,-999.0
108047,SIHUAS,1992,10,0.0,-999.0,-999.0
108047,SIHUAS,1992,11,0.0,-999.0,-999.0
108047,SIHUAS,1992,12,0.0,-999.0,-999.0
108047,SIHUAS,1993,1,33.3,-999.0,-999.0
108047,SIHUAS,1993,2,387.7,-999.0,-999.0
108047,SIHUAS,1993,3,658.8,-999.0,-999.0
108047,SIHUAS,1993,4,174.3,-999.0,-999.0
108047,SIHUAS,1993,5,0.0,-999.0,-999.0
108047,SIHUAS,1993,6,0.0,-999.0,-999.0
108047,SIHUAS,1993,7,31.8,-999.0,-999.0
108047,SIHUAS,1993,8,48.5,-999.0,-999.0
108047,SIHUAS,1993,9,58.4,-999.0,-999.0
108047,SIHUAS,1993,10,101.1,-999.0,-999.0
108047,SIHUAS,1993,11,134.3,-999.0,-999.0
108047,SIHUAS,1993,12,422.1,-999.0,-999.0
108047,SIHUAS,1994,1,273.7,-999.0,-999.0
108047,SIHUAS,1994,2,284.8,-999.0,-999.0
108047,SIHUAS,1994,3,210.3,-999.0,-999.0
108047,SIHUAS,1994,4,167.6,-999.0,-999.0
108047,SIHUAS,1994,5,0.0,-999.0,-999.0
108047,SIHUAS,1994,6,0.0,-999.0,-999.0
108047,SIHUAS,1994,7,0.0,-999.0,-999.0
108047,SIHUAS,1994,8,0.0,-999.0,-999.0
108047,SIHUAS,1994,9,0.0,-999.0,-999.0
108047,SIHUAS,1994,10,30.0,-999.0,-999.0
108047,SIHUAS,1994,11,164.8,-999.0,-999.0
108047,SIHUAS,1994,12,74.8,-999.0,-999.0
108047,SIHUAS,1995,1,70.8,-999.0,-999.0
108047,SIHUAS,1995,2,121.1,-999.0,-999.0
108047,SIHUAS,1995,3,105.7,-999.0,-999.0
108047,SIHUAS,1995,4,46.0,-999.0,-999.0
108047,SIHUAS,1995,5,11.7,-999.0,-999.0
108047,SIHUAS,1995,6,15.5,-999.0,-999.0
108047,SIHUAS,1995,7,0.0,-999.0,-999.0
108047,SIHUAS,1995,8,5.6,-999.0,-999.0
108047,SIHUAS,1995,9,10.5,-999.0,-999.0
108047,SIHUAS,1995,10,58.8,-999.0,-999.0
108047,SIHUAS,1995,11,100.4,-999.0,-999.0
108047,SIHUAS,1995,12,75.3,-999.0,-999.0
108047,SIHUAS,1996,1,143.2,-999.0,-999.0
108047,SIHUAS,1996,2,123.9,-999.0,-999.0
108047,SIHUAS,1996,3,139.8,-999.0,-999.0
108047,SIHUAS,1996,4,197.8,-999.0,-999.0
108047,SIHUAS,1996,5,58.6,-999.0,-999.0
108047,SIHUAS,1996,6,0.0,-999.0,-999.0
108047,SIHUAS,1996,7,0.0,-999.0,-999.0
108047,SIHUAS,1996,8,4.5,-999.0,-999.0
108047,SIHUAS,1996,9,42.0,-999.0,-999.0
108047,SIHUAS,1996,10,177.6,-999.0,-999.0
