CODIGO,ESTACION,YEAR,MONTH,PP,TMAX,TMIN
109003,HUANUCO,1990,1,45.8,24.7,13.58
109003,HUANUCO,1990,2,13.5,26.32,13.77
109003,HUANUCO,1990,3,34.7,26.23,13.98
109003,HUANUCO,1990,4,52.2,26.7,13.85
109003,HUANUCO,1990,5,32.6,26.02,12.91
109003,HUANUCO,1990,6,15.1,24.55,12.95
109003,HUANUCO,1990,7,1.5,24.88,11.14
109003,HUANUCO,1990,8,7.1,25.66,10.82
109003,HUANUCO,1990,9,10.9,25.87,12.78
109003,HUANUCO,1990,10,86.8,25.05,13.93
109003,HUANUCO,1990,11,77.0,23.09,13.38
109003,HUANUCO,1990,12,59.2,25.18,13.86
109003,HUANUCO,1991,1,25.7,25.38,14.0
109003,HUANUCO,1991,2,44.3,25.12,13.81
109003,HUANUCO,1991,3,93.4,24.39,14.07
109003,HUANUCO,1991,4,29.1,26.67,13.9
109003,HUANUCO,1991,5,3.0,26.89,12.46
109003,HUANUCO,1991,6,10.1,26.24,11.72
109003,HUANUCO,1991,7,4.8,25.29,7.55
109003,HUANUCO,1991,8,0.0,24.88,9.15
109003,HUANUCO,1991,9,8.2,24.85,11.12
109003,HUANUCO,1991,10,32.3,23.92,12.34
109003,HUANUCO,1991,11,40.2,25.06,13.46
109003,HUANUCO,1991,12,39.6,25.91,13.36
109003,HUANUCO,1992,1,43.1,24.94,13.35
109003,HUANUCO,1992,2,85.6,24.39,13.2
109003,HUANUCO,1992,3,66.2,24.69,13.53
109003,HUANUCO,1992,4,20.6,25.87,13.28
109003,HUANUCO,1992,5,0.0,27.34,13.25
109003,HUANUCO,1992,6,14.4,25.64,12.77
109003,HUANUCO,1992,7,0.0,26.93,11.89
109003,HUANUCO,1992,8,36.0,26.47,13.02
109003,HUANUCO,1992,9,4.0,26.82,14.09
109003,HUANUCO,1992,10,97.4,25.39,11.46
109003,HUANUCO,1992,11,37.4,-999.0,-999.0
109003,HUANUCO,1992,12,21.6,-999.0,-999.0
109003,HUANUCO,1993,1,17.5,-999.0,-999.0
109003,HUANUCO,1993,2,40.9,-999.0,-999.0
109003,HUANUCO,1993,3,74.3,-999.0,-999.0
109003,HUANUCO,1993,4,25.9,-999.0,-999.0
109003,HUANUCO,1993,5,16.8,-999.0,-999.0
109003,HUANUCO,1993,6,12.3,-999.0,-999.0
109003,HUANUCO,1993,7,5.9,-999.0,-999.0
109003,HUANUCO,1993,8,6.3,-999.0,-999.0
109003,HUANUCO,1993,9,8.0,-999.0,-999.0
109003,HUANUCO,1993,10,16.6,-999.0,-999.0
109003,HUANUCO,1993,11,94.1,-999.0,-999.0
109003,HUANUCO,1993,12,48.5,26.08,-999.0
109003,HUANUCO,1994,1,-999.0,-999.0,-999.0
109003,HUANUCO,1994,2,57.5,25.76,14.72
109003,HUANUCO,1994,3,41.3,26.22,14.62
109003,HUANUCO,1994,4,57.6,26.41,14.16
109003,HUANUCO,1994,5,23.4,27.15,12.88
109003,HUANUCO,1994,6,0.0,26.1,11.25
109003,HUANUCO,1994,7,0.0,25.78,10.39
109003,HUANUCO,1994,8,0.0,26.61,10.73
109003,HUANUCO,1994,9,32.7,27.06,12.47
109003,HUANUCO,1994,10,64.4,26.76,13.71
109003,HUANUCO,1994,11,20.4,26.42,14.81
109003,HUANUCO,1994,12,41.0,27.12,15.43
109003,HUANUCO,1995,1,38.7,26.71,14.84
109003,HUANUCO,1995,2,50.4,27.21,14.96
109003,HUANUCO,1995,3,50.3,-999.0,14.65
109003,HUANUCO,1995,4,26.0,-999.0,14.47
109003,HUANUCO,1995,5,3.6,27.1,12.25
109003,HUANUCO,1995,6,1.4,26.34,11.73
109003,HUANUCO,1995,7,1.2,26.72,11.65
109003,HUANUCO,1995,8,0.4,27.03,11.55
109003,HUANUCO,1995,9,7.2,26.87,13.27
109003,HUANUCO,1995,10,23.2,27.01,14.08
109003,HUANUCO,1995,11,48.8,27.03,15.38
109003,HUANUCO,1995,12,59.0,26.84,14.72
109003,HUANUCO,1996,1,59.5,24.73,14.72
109003,HUANUCO,1996,2,33.1,26.1,14.14
109003,HUANUCO,1996,3,41.7,26.22,14.55
109003,HUANUCO,1996,4,69.3,25.98,14.48
109003,HUANUCO,1996,5,23.0,26.26,12.94
109003,HUANUCO,1996,6,0.0,26.72,11.5
109003,HUANUCO,1996,7,0.1,25.84,9.18
109003,HUANUCO,1996,8,5.3,26.13,11.95
109003,HUANUCO,1996,9,2.3,27.02,12.63
109003,HUANUCO,1996,10,23.6,26.8,14.9
109003,HUANUCO,1996,11,57.8,26.43,13.96
109003,HUANUCO,1996,12,15.7,25.99,14.58
109003,HUANUCO,1997,1,54.6,25.45,14.96
109003,HUANUCO,1997,2,41.6,25.77,15.09
109003,HUANUCO,1997,3,26.5,26.47,15.0
109003,HUANUCO,1997,4,15.1,26.98,13.62
109003,HUANUCO,1997,5,9.6,26.23,14.0
109003,HUANUCO,1997,6,2.2,26.55,12.11
109003,HUANUCO,1997,7,0.0,26.87,10.98
109003,HUANUCO,1997,8,9.6,25.56,13.09
109003,HUANUCO,1997,9,7.6,27.51,14.52
109003,HUANUCO,1997,10,29.8,27.86,15.88
109003,HUANUCO,1997,11,41.5,27.25,16.15
109003,HUANUCO,1997,12,47.3,26.8,16.52
109003,HUANUCO,1998,1,93.5,26.98,16.28
109003,HUANUCO,1998,2,63.0,27.38,16.39
109003,HUANUCO,1998,3,66.9,27.48,16.69
109003,HUANUCO,1998,4,3.1,28.46,16.3
109003,HUANUCO,1998,5,2.8,28.07,12.76
109003,HUANUCO,1998,6,2.1,26.33,12.18
109003,HUANUCO,1998,7,0.0,26.85,10.53
109003,HUANUCO,1998,8,2.8,27.72,13.02
109003,HUANUCO,1998,9,3.8,27.63,13.5
109003,HUANUCO,1998,10,29.3,27.57,15.02
109003,HUANUCO,1998,11,64.5,26.67,15.21
109003,HUANUCO,1998,12,34.0,26.81,14.67
109003,HUANUCO,1999,1,81.7,24.74,14.94
109003,HUANUCO,1999,2,88.5,24.71,14.73
109003,HUANUCO,1999,3,109.3,24.01,14.66
109003,HUANUCO,1999,4,22.3,25.82,14.24
109003,HUANUCO,1999,5,18.4,25.88,13.22
109003,HUANUCO,1999,6,15.1,26.31,12.53
109003,HUANUCO,1999,7,8.6,25.25,10.95
109003,HUANUCO,1999,8,0.6,25.47,10.6
109003,HUANUCO,1999,9,57.6,26.15,12.67
109003,HUANUCO,1999,10,20.8,26.37,13.98
109003,HUANUCO,1999,11,33.8,27.67,15.13
109003,HUANUCO,1999,12,58.2,26.16,15.07
109003,HUANUCO,2000,1,68.2,25.08,14.72
109003,HUANUCO,2000,2,89.6,24.26,14.58
109003,HUANUCO,2000,3,148.0,24.09,14.43
109003,HUANUCO,2000,4,30.3,24.93,13.95
109003,HUANUCO,2000,5,10.1,26.9,13.28
109003,HUANUCO,2000,6,16.0,25.42,12.44
109003,HUANUCO,2000,7,3.6,25.19,11.08
109003,HUANUCO,2000,8,17.1,25.94,12.14
109003,HUANUCO,2000,9,11.9,26.58,13.44
109003,HUANUCO,2000,10,9.5,26.76,13.98
109003,HUANUCO,2000,11,61.0,27.27,15.15
109003,HUANUCO,2000,12,77.2,25.83,14.55
109003,HUANUCO,2001,1,45.2,24.88,14.84
109003,HUANUCO,2001,2,36.2,26.01,14.65
109003,HUANUCO,2001,3,85.2,25.26,14.39
109003,HUANUCO,2001,4,46.2,26.79,12.86
109003,HUANUCO,2001,5,10.4,27.17,13.44
109003,HUANUCO,2001,6,3.3,26.63,11.64
109003,HUANUCO,2001,7,8.4,26.22,12.71
109003,HUANUCO,2001,8,10.2,26.84,10.94
109003,HUANUCO,2001,9,7.4,27.19,13.55
109003,HUANUCO,2001,10,36.9,27.68,15.13
109003,HUANUCO,2001,11,72.7,26.49,15.59
109003,HUANUCO,2001,12,55.8,26.63,15.31
109003,HUANUCO,2002,1,29.5,27.65,15.42
109003,HUANUCO,2002,2,56.4,25.96,15.38
109003,HUANUCO,2002,3,83.1,26.22,14.76
109003,HUANUCO,2002,4,56.5,27.06,14.59
109003,HUANUCO,2002,5,18.2,27.13,13.67
109003,HUANUCO,2002,6,2.9,26.63,12.47
109003,HUANUCO,2002,7,12.8,25.21,13.51
109003,HUANUCO,2002,8,4.1,26.55,12.65
109003,HUANUCO,2002,9,8.4,26.77,14.21
109003,HUANUCO,2002,10,109.8,26.74,14.95
109003,HUANUCO,2002,11,40.8,25.76,15.35
109003,HUANUCO,2002,12,20.3,26.91,16.2
109003,HUANUCO,2003,1,44.7,27.09,16.1
109003,HUANUCO,2003,2,26.9,26.67,15.75
109003,HUANUCO,2003,3,70.5,26.18,15.44
109003,HUANUCO,2003,4,24.6,27.22,15.11
