CODIGO,ESTACION,YEAR,MONTH,PP,TMAX,TMIN
109014,BUENA VISTA,1990,1,-999.0,31.93,19.66
109014,BUENA VISTA,1990,2,-999.0,32.65,20.2
109014,BUENA VISTA,1990,3,-999.0,32.64,20.29
109014,BUENA VISTA,1990,4,-999.0,30.93,18.44
109014,BUENA VISTA,1990,5,-999.0,28.84,18.07
109014,BUENA VISTA,1990,6,-999.0,25.88,15.42
109014,BUENA VISTA,1990,7,-999.0,23.99,14.82
109014,BUENA VISTA,1990,8,-999.0,24.97,13.59
109014,BUENA VISTA,1990,9,-999.0,26.4,14.3
109014,BUENA VISTA,1990,10,-999.0,27.23,15.27
109014,BUENA VISTA,1990,11,-999.0,27.88,16.1
109014,BUENA VISTA,1990,12,-999.0,30.31,17.85
109014,BUENA VISTA,1991,1,-999.0,31.76,19.5
109014,BUENA VISTA,1991,2,-999.0,32.8,20.04
109014,BUENA VISTA,1991,3,-999.0,32.87,21.38
109014,BUENA VISTA,1991,4,-999.0,30.88,18.71
109014,BUENA VISTA,1991,5,-999.0,29.48,17.48
109014,BUENA VISTA,1991,6,-999.0,26.25,15.57
109014,BUENA VISTA,1991,7,-999.0,24.35,14.14
109014,BUENA VISTA,1991,8,-999.0,24.64,14.4
109014,BUENA VISTA,1991,9,-999.0,26.64,14.9
109014,BUENA VISTA,1991,10,-999.0,27.5,15.97
109014,BUENA VISTA,1991,11,-999.0,28.85,16.81
109014,BUENA VISTA,1991,12,-999.0,30.11,19.03
109014,BUENA VISTA,1992,1,-999.0,32.52,21.2
109014,BUENA VISTA,1992,2,-999.0,33.21,-999.0
109014,BUENA VISTA,1992,3,-999.0,34.36,23.33
109014,BUENA VISTA,1992,4,-999.0,32.81,21.72
109014,BUENA VISTA,1992,5,-999.0,31.33,19.67
109014,BUENA VISTA,1992,6,-999.0,27.0,16.63
109014,BUENA VISTA,1992,7,-999.0,24.76,14.59
109014,BUENA VISTA,1992,8,-999.0,25.87,14.55
109014,BUENA VISTA,1992,9,-999.0,26.15,14.15
109014,BUENA VISTA,1992,10,-999.0,27.89,15.41
109014,BUENA VISTA,1992,11,-999.0,28.98,17.02
109014,BUENA VISTA,1992,12,-999.0,30.38,17.62
109014,BUENA VISTA,1993,1,-999.0,31.95,19.79
109014,BUENA VISTA,1993,2,-999.0,33.19,21.72
109014,BUENA VISTA,1993,3,-999.0,32.69,20.92
109014,BUENA VISTA,1993,4,-999.0,30.87,19.94
109014,BUENA VISTA,1993,5,-999.0,28.28,18.59
109014,BUENA VISTA,1993,6,-999.0,-999.0,17.52
109014,BUENA VISTA,1993,7,-999.0,25.01,15.65
109014,BUENA VISTA,1993,8,-999.0,25.78,14.78
109014,BUENA VISTA,1993,9,-999.0,26.63,15.07
109014,BUENA VISTA,1993,10,-999.0,27.63,15.55
109014,BUENA VISTA,1993,11,-999.0,27.8,16.23
109014,BUENA VISTA,1993,12,-999.0,29.27,18.51
109014,BUENA VISTA,1994,1,-999.0,30.36,20.19
109014,BUENA VISTA,1994,2,-999.0,31.5,20.53
109014,BUENA VISTA,1994,3,-999.0,31.12,20.27
109014,BUENA VISTA,1994,4,-999.0,30.3,19.0
109014,BUENA VISTA,1994,5,-999.0,27.69,17.03
109014,BUENA VISTA,1994,6,-999.0,25.89,15.11
109014,BUENA VISTA,1994,7,-999.0,24.04,13.47
109014,BUENA VISTA,1994,8,-999.0,24.51,13.55
109014,BUENA VISTA,1994,9,-999.0,26.41,14.9
109014,BUENA VISTA,1994,10,-999.0,26.73,15.11
109014,BUENA VISTA,1994,11,-999.0,28.06,16.61
109014,BUENA VISTA,1994,12,-999.0,29.02,-999.0
109014,BUENA VISTA,1995,1,-999.0,32.02,21.24
109014,BUENA VISTA,1995,2,-999.0,32.34,21.25
109014,BUENA VISTA,1995,3,-999.0,31.96,20.24
109014,BUENA VISTA,1995,4,-999.0,30.23,17.88
109014,BUENA VISTA,1995,5,-999.0,28.09,16.44
109014,BUENA VISTA,1995,6,-999.0,26.61,14.63
109014,BUENA VISTA,1995,7,-999.0,25.05,14.12
109014,BUENA VISTA,1995,8,-999.0,25.13,13.37
109014,BUENA VISTA,1995,9,-999.0,26.21,14.56
109014,BUENA VISTA,1995,10,-999.0,26.87,14.83
109014,BUENA VISTA,1995,11,-999.0,28.26,16.6
109014,BUENA VISTA,1995,12,-999.0,30.02,17.4
109014,BUENA VISTA,1996,1,-999.0,31.02,18.9
109014,BUENA VISTA,1996,2,-999.0,32.06,20.05
109014,BUENA VISTA,1996,3,-999.0,31.26,19.83
109014,BUENA VISTA,1996,4,-999.0,28.89,17.08
109014,BUENA VISTA,1996,5,-999.0,26.87,15.47
109014,BUENA VISTA,1996,6,-999.0,22.89,13.53
109014,BUENA VISTA,1996,7,-999.0,22.43,13.03
109014,BUENA VISTA,1996,8,-999.0,23.77,13.23
109014,BUENA VISTA,1996,9,-999.0,25.62,13.74
109014,BUENA VISTA,1996,10,-999.0,26.17,14.62
109014,BUENA VISTA,1996,11,-999.0,26.76,14.68
109014,BUENA VISTA,1996,12,-999.0,28.93,16.96
