CODIGO,ESTACION,YEAR,MONTH,PP,TMAX,TMIN
109027,TINGO MARIA,1990,1,628.1,28.59,20.2
109027,TINGO MARIA,1990,2,248.7,29.48,20.73
109027,TINGO MARIA,1990,3,210.2,29.66,20.56
109027,TINGO MARIA,1990,4,215.5,29.88,20.79
109027,TINGO MARIA,1990,5,242.4,28.96,20.22
109027,TINGO MARIA,1990,6,172.3,-999.0,19.86
109027,TINGO MARIA,1990,7,257.1,28.21,19.04
109027,TINGO MARIA,1990,8,81.7,30.16,19.16
109027,TINGO MARIA,1990,9,111.9,29.94,19.8
109027,TINGO MARIA,1990,10,372.2,29.18,20.27
109027,TINGO MARIA,1990,11,325.5,29.03,19.37
109027,TINGO MARIA,1990,12,414.7,28.86,19.37
109027,TINGO MARIA,1991,1,512.9,28.57,20.39
109027,TINGO MARIA,1991,2,251.3,29.28,20.23
109027,TINGO MARIA,1991,3,363.9,28.2,20.19
109027,TINGO MARIA,1991,4,322.3,29.6,20.27
109027,TINGO MARIA,1991,5,124.4,30.09,20.33
109027,TINGO MARIA,1991,6,181.7,-999.0,19.83
109027,TINGO MARIA,1991,7,59.9,28.4,16.97
109027,TINGO MARIA,1991,8,37.8,29.11,17.7
109027,TINGO MARIA,1991,9,96.2,29.68,18.48
109027,TINGO MARIA,1991,10,292.2,29.02,19.16
109027,TINGO MARIA,1991,11,391.0,29.24,20.04
109027,TINGO MARIA,1991,12,372.8,29.91,20.29
109027,TINGO MARIA,1992,1,306.9,30.12,20.28
109027,TINGO MARIA,1992,2,390.4,28.57,19.7
109027,TINGO MARIA,1992,3,397.5,29.84,20.18
109027,TINGO MARIA,1992,4,428.4,29.7,20.07
109027,TINGO MARIA,1992,5,303.0,29.96,19.99
109027,TINGO MARIA,1992,6,281.8,29.21,19.1
109027,TINGO MARIA,1992,7,71.1,-999.0,17.61
109027,TINGO MARIA,1992,8,347.6,28.97,17.88
109027,TINGO MARIA,1992,9,301.1,29.42,19.02
109027,TINGO MARIA,1992,10,461.3,29.51,18.98
109027,TINGO MARIA,1992,11,406.9,-999.0,19.48
109027,TINGO MARIA,1992,12,523.6,28.65,19.88
109027,TINGO MARIA,1993,1,465.1,29.1,19.35
109027,TINGO MARIA,1993,2,218.2,28.89,19.61
109027,TINGO MARIA,1993,3,288.2,28.03,19.55
109027,TINGO MARIA,1993,4,268.3,29.58,19.78
109027,TINGO MARIA,1993,5,241.0,29.69,19.75
109027,TINGO MARIA,1993,6,79.6,29.41,18.77
109027,TINGO MARIA,1993,7,202.6,29.14,18.49
109027,TINGO MARIA,1993,8,230.9,29.2,18.21
109027,TINGO MARIA,1993,9,346.1,29.72,19.05
109027,TINGO MARIA,1993,10,235.6,29.09,19.6
109027,TINGO MARIA,1993,11,520.0,28.71,20.05
109027,TINGO MARIA,1993,12,562.0,28.76,20.24
109027,TINGO MARIA,1994,1,672.0,28.76,19.97
109027,TINGO MARIA,1994,2,494.7,28.54,20.11
109027,TINGO MARIA,1994,3,253.3,29.45,19.85
109027,TINGO MARIA,1994,4,299.5,29.22,20.25
109027,TINGO MARIA,1994,5,164.6,30.13,19.62
109027,TINGO MARIA,1994,6,67.4,28.14,17.98
109027,TINGO MARIA,1994,7,164.1,28.56,17.87
109027,TINGO MARIA,1994,8,54.3,29.6,17.59
109027,TINGO MARIA,1994,9,235.6,30.26,18.85
109027,TINGO MARIA,1994,10,302.1,30.25,19.51
109027,TINGO MARIA,1994,11,281.2,28.92,19.66
109027,TINGO MARIA,1994,12,815.2,29.4,20.38
109027,TINGO MARIA,1995,1,373.8,29.48,20.1
109027,TINGO MARIA,1995,2,323.7,28.93,20.07
109027,TINGO MARIA,1995,3,539.4,28.67,19.98
109027,TINGO MARIA,1995,4,166.7,30.15,20.46
109027,TINGO MARIA,1995,5,136.3,29.87,19.42
109027,TINGO MARIA,1995,6,72.9,29.39,19.33
109027,TINGO MARIA,1995,7,153.0,29.51,18.91
109027,TINGO MARIA,1995,8,72.6,30.15,19.24
109027,TINGO MARIA,1995,9,148.1,30.83,19.42
109027,TINGO MARIA,1995,10,390.7,29.59,20.19
109027,TINGO MARIA,1995,11,308.4,29.83,20.63
109027,TINGO MARIA,1995,12,488.2,29.55,20.44
109027,TINGO MARIA,1996,1,508.9,28.09,20.31
109027,TINGO MARIA,1996,2,385.9,28.46,20.28
109027,TINGO MARIA,1996,3,261.2,29.05,20.61
109027,TINGO MARIA,1996,4,438.0,28.98,19.98
109027,TINGO MARIA,1996,5,267.7,29.38,19.69
109027,TINGO MARIA,1996,6,152.6,29.36,18.89
109027,TINGO MARIA,1996,7,45.7,29.22,17.38
109027,TINGO MARIA,1996,8,124.1,29.58,18.54
109027,TINGO MARIA,1996,9,219.3,30.43,-999.0
109027,TINGO MARIA,1996,10,267.3,29.86,-999.0
