CODIGO,ESTACION,YEAR,MONTH,PP,TMAX,TMIN
109038,MALVAS,1990,1,15.4,-999.0,-999.0
109038,MALVAS,1990,2,47.5,-999.0,-999.0
109038,MALVAS,1990,3,50.2,-999.0,-999.0
109038,MALVAS,1990,4,2.8,-999.0,-999.0
109038,MALVAS,1990,5,0.0,-999.0,-999.0
109038,MALVAS,1990,6,0.0,-999.0,-999.0
109038,MALVAS,1990,7,0.0,-999.0,-999.0
109038,MALVAS,1990,8,0.0,-999.0,-999.0
109038,MALVAS,1990,9,1.0,-999.0,-999.0
109038,MALVAS,1990,10,28.9,-999.0,-999.0
109038,MALVAS,1990,11,46.2,-999.0,-999.0
109038,MALVAS,1990,12,41.8,-999.0,-999.0
109038,MALVAS,1991,1,30.4,-999.0,-999.0
109038,MALVAS,1991,2,55.1,-999.0,-999.0
109038,MALVAS,1991,3,144.5,-999.0,-999.0
109038,MALVAS,1991,4,35.6,-999.0,-999.0
109038,MALVAS,1991,5,8.5,-999.0,-999.0
109038,MALVAS,1991,6,0.0,-999.0,-999.0
109038,MALVAS,1991,7,0.0,-999.0,-999.0
109038,MALVAS,1991,8,0.0,-999.0,-999.0
109038,MALVAS,1991,9,0.0,-999.0,-999.0
109038,MALVAS,1991,10,60.9,-999.0,-999.0
109038,MALVAS,1991,11,10.8,-999.0,-999.0
109038,MALVAS,1991,12,24.4,-999.0,-999.0
109038,MALVAS,1992,1,34.5,-999.0,-999.0
109038,MALVAS,1992,2,54.6,-999.0,-999.0
109038,MALVAS,1992,3,63.0,-999.0,-999.0
109038,MALVAS,1992,4,56.6,-999.0,-999.0
109038,MALVAS,1992,5,0.0,-999.0,-999.0
109038,MALVAS,1992,6,0.0,-999.0,-999.0
109038,MALVAS,1992,7,0.0,-999.0,-999.0
109038,MALVAS,1992,8,0.0,-999.0,-999.0
109038,MALVAS,1992,9,1.5,-999.0,-999.0
109038,MALVAS,1992,10,15.9,-999.0,-999.0
109038,MALVAS,1992,11,0.9,-999.0,-999.0
109038,MALVAS,1992,12,11.3,-999.0,-999.0
109038,MALVAS,1993,1,39.8,-999.0,-999.0
109038,MALVAS,1993,2,114.6,-999.0,-999.0
109038,MALVAS,1993,3,264.7,-999.0,-999.0
109038,MALVAS,1993,4,33.9,-999.0,-999.0
109038,MALVAS,1993,5,13.5,-999.0,-999.0
109038,MALVAS,1993,6,0.0,-999.0,-999.0
109038,MALVAS,1993,7,0.0,-999.0,-999.0
109038,MALVAS,1993,8,0.0,-999.0,-999.0
109038,MALVAS,1993,9,0.4,-999.0,-999.0
109038,MALVAS,1993,10,18.6,-999.0,-999.0
109038,MALVAS,1993,11,22.5,-999.0,-999.0
109038,MALVAS,1993,12,43.7,-999.0,-999.0
