CODIGO,ESTACION,YEAR,MONTH,PP,TMAX,TMIN
109045,CHACCHAN,1990,1,1.7,-999.0,-999.0
109045,CHACCHAN,1990,2,6.5,-999.0,-999.0
109045,CHACCHAN,1990,3,24.4,-999.0,-999.0
109045,CHACCHAN,1990,4,0.0,-999.0,-999.0
109045,CHACCHAN,1990,5,0.0,-999.0,-999.0
109045,CHACCHAN,1990,6,0.0,-999.0,-999.0
109045,CHACCHAN,1990,7,0.0,-999.0,-999.0
109045,CHACCHAN,1990,8,0.0,-999.0,-999.0
109045,CHACCHAN,1990,9,0.0,-999.0,-999.0
109045,CHACCHAN,1990,10,30.8,-999.0,-999.0
109045,CHACCHAN,1990,11,-999.0,-999.0,-999.0
109045,CHACCHAN,1990,12,-999.0,-999.0,-999.0
109045,CHACCHAN,1991,1,10.0,-999.0,-999.0
109045,CHACCHAN,1991,2,12.5,-999.0,-999.0
109045,CHACCHAN,1991,3,33.8,-999.0,-999.0
109045,CHACCHAN,1991,4,0.0,-999.0,-999.0
109045,CHACCHAN,1991,5,0.0,-999.0,-999.0
109045,CHACCHAN,1991,6,0.0,-999.0,-999.0
109045,CHACCHAN,1991,7,0.0,-999.0,-999.0
109045,CHACCHAN,1991,8,0.0,-999.0,-999.0
109045,CHACCHAN,1991,9,0.0,-999.0,-999.0
109045,CHACCHAN,1991,10,1.4,-999.0,-999.0
109045,CHACCHAN,1991,11,13.0,-999.0,-999.0
109045,CHACCHAN,1991,12,35.5,-999.0,-999.0
109045,CHACCHAN,1992,1,14.1,-999.0,-999.0
109045,CHACCHAN,1992,2,21.3,-999.0,-999.0
109045,CHACCHAN,1992,3,-999.0,-999.0,-999.0
109045,CHACCHAN,1992,4,0.0,-999.0,-999.0
109045,CHACCHAN,1992,5,0.0,-999.0,-999.0
109045,CHACCHAN,1992,6,0.0,-999.0,-999.0
109045,CHACCHAN,1992,7,2.1,-999.0,-999.0
109045,CHACCHAN,1992,8,0.0,-999.0,-999.0
109045,CHACCHAN,1992,9,7.1,-999.0,-999.0
109045,CHACCHAN,1992,10,-999.0,-999.0,-999.0
109045,CHACCHAN,1992,11,-999.0,-999.0,-999.0
109045,CHACCHAN,1992,12,4.9,-999.0,-999.0
109045,CHACCHAN,1993,1,-999.0,-999.0,-999.0
109045,CHACCHAN,1993,2,51.2,-999.0,-999.0
109045,CHACCHAN,1993,3,72.2,-999.0,-999.0
109045,CHACCHAN,1993,4,-999.0,-999.0,-999.0
109045,CHACCHAN,1993,5,-999.0,-999.0,-999.0
109045,CHACCHAN,1993,6,0.0,-999.0,-999.0
109045,CHACCHAN,1993,7,0.0,-999.0,-999.0
109045,CHACCHAN,1993,8,0.0,-999.0,-999.0
109045,CHACCHAN,1993,9,7.3,-999.0,-999.0
109045,CHACCHAN,1993,10,9.9,-999.0,-999.0
109045,CHACCHAN,1993,11,33.7,-999.0,-999.0
109045,CHACCHAN,1993,12,-999.0,-999.0,-999.0
109045,CHACCHAN,1994,1,-999.0,-999.0,-999.0
109045,CHACCHAN,1994,2,-999.0,-999.0,-999.0
109045,CHACCHAN,1994,3,57.6,-999.0,-999.0
109045,CHACCHAN,1994,4,29.9,-999.0,-999.0
109045,CHACCHAN,1994,5,4.1,-999.0,-999.0
109045,CHACCHAN,1994,6,0.0,-999.0,-999.0
109045,CHACCHAN,1994,7,0.0,-999.0,-999.0
109045,CHACCHAN,1994,8,0.0,-999.0,-999.0
109045,CHACCHAN,1994,9,6.5,-999.0,-999.0
109045,CHACCHAN,1994,10,0.0,-999.0,-999.0
109045,CHACCHAN,1994,11,7.5,-999.0,-999.0
109045,CHACCHAN,1994,12,-999.0,-999.0,-999.0
109045,CHACCHAN,1995,1,-999.0,-999.0,-999.0
109045,CHACCHAN,1995,2,-999.0,-999.0,-999.0
109045,CHACCHAN,1995,3,-999.0,-999.0,-999.0
109045,CHACCHAN,1995,4,16.0,-999.0,-999.0
109045,CHACCHAN,1995,5,-999.0,-999.0,-999.0
109045,CHACCHAN,1995,6,0.0,-999.0,-999.0
109045,CHACCHAN,1995,7,0.0,-999.0,-999.0
109045,CHACCHAN,1995,8,0.0,-999.0,-999.0
109045,CHACCHAN,1995,9,0.0,-999.0,-999.0
109045,CHACCHAN,1995,10,17.9,-999.0,-999.0
109045,CHACCHAN,1995,11,23.5,-999.0,-999.0
109045,CHACCHAN,1995,12,31.1,-999.0,-999.0
109045,CHACCHAN,1996,1,-999.0,-999.0,-999.0
109045,CHACCHAN,1996,2,69.8,-999.0,-999.0
109045,CHACCHAN,1996,3,-999.0,-999.0,-999.0
109045,CHACCHAN,1996,4,-999.0,-999.0,-999.0
109045,CHACCHAN,1996,5,4.7,-999.0,-999.0
109045,CHACCHAN,1996,6,0.0,-999.0,-999.0
109045,CHACCHAN,1996,7,0.0,-999.0,-999.0
109045,CHACCHAN,1996,8,0.0,-999.0,-999.0
109045,CHACCHAN,1996,9,0.0,-999.0,-999.0
109045,CHACCHAN,1996,10,-999.0,-999.0,-999.0
109045,CHACCHAN,1996,11,-999.0,-999.0,-999.0
109045,CHACCHAN,1996,12,-999.0,-999.0,-999.0
109045,CHACCHAN,1997,1,37.0,-999.0,-999.0
109045,CHACCHAN,1997,2,43.2,-999.0,-999.0
109045,CHACCHAN,1997,3,16.6,-999.0,-999.0
109045,CHACCHAN,1997,4,8.2,-999.0,-999.0
109045,CHACCHAN,1997,5,0.0,-999.0,-999.0
109045,CHACCHAN,1997,6,0.0,-999.0,-999.0
109045,CHACCHAN,1997,7,0.0,-999.0,-999.0
109045,CHACCHAN,1997,8,0.0,-999.0,-999.0
109045,CHACCHAN,1997,9,1.2,-999.0,-999.0
109045,CHACCHAN,1997,10,4.1,-999.0,-999.0
109045,CHACCHAN,1997,11,29.7,-999.0,-999.0
109045,CHACCHAN,1997,12,104.3,-999.0,-999.0
109045,CHACCHAN,1998,1,126.2,-999.0,-999.0
109045,CHACCHAN,1998,2,149.2,-999.0,-999.0
109045,CHACCHAN,1998,3,177.4,-999.0,-999.0
109045,CHACCHAN,1998,4,-999.0,-999.0,-999.0
109045,CHACCHAN,1998,5,0.0,-999.0,-999.0
109045,CHACCHAN,1998,6,0.0,-999.0,-999.0
109045,CHACCHAN,1998,7,0.0,-999.0,-999.0
109045,CHACCHAN,1998,8,0.0,-999.0,-999.0
109045,CHACCHAN,1998,9,13.8,-999.0,-999.0
109045,CHACCHAN,1998,10,52.8,-999.0,-999.0
109045,CHACCHAN,1998,11,4.8,-999.0,-999.0
109045,CHACCHAN,1998,12,41.2,-999.0,-999.0
109045,CHACCHAN,1999,1,61.8,-999.0,-999.0
109045,CHACCHAN,1999,2,240.4,-999.0,-999.0
109045,CHACCHAN,1999,3,37.6,-999.0,-999.0
109045,CHACCHAN,1999,4,44.0,-999.0,-999.0
109045,CHACCHAN,1999,5,11.4,-999.0,-999.0
109045,CHACCHAN,1999,6,0.0,-999.0,-999.0
109045,CHACCHAN,1999,7,0.0,-999.0,-999.0
109045,CHACCHAN,1999,8,0.0,-999.0,-999.0
109045,CHACCHAN,1999,9,2.5,-999.0,-999.0
109045,CHACCHAN,1999,10,4.5,-999.0,-999.0
109045,CHACCHAN,1999,11,15.0,-999.0,-999.0
