CODIGO,ESTACION,YEAR,MONTH,PP,TMAX,TMIN
110019,CAJATAMBO,1990,1,-999.0,-999.0,-999.0
110019,CAJATAMBO,1990,2,-999.0,-999.0,-999.0
110019,CAJATAMBO,1990,3,-999.0,-999.0,-999.0
110019,CAJATAMBO,1990,4,-999.0,-999.0,-999.0
110019,CAJATAMBO,1990,5,-999.0,-999.0,-999.0
110019,CAJATAMBO,1990,6,-999.0,-999.0,-999.0
110019,CAJATAMBO,1990,7,-999.0,-999.0,-999.0
110019,CAJATAMBO,1990,8,-999.0,-999.0,-999.0
110019,CAJATAMBO,1990,9,-999.0,-999.0,-999.0
110019,CAJATAMBO,1990,10,-999.0,-999.0,-999.0
110019,CAJATAMBO,1990,11,-999.0,-999.0,-999.0
110019,CAJATAMBO,1990,12,-999.0,-999.0,-999.0
110019,CAJATAMBO,1991,1,-999.0,-999.0,-999.0
110019,CAJATAMBO,1991,2,-999.0,-999.0,-999.0
110019,CAJATAMBO,1991,3,-999.0,-999.0,-999.0
110019,CAJATAMBO,1991,4,-999.0,-999.0,-999.0
110019,CAJATAMBO,1991,5,-999.0,-999.0,-999.0
110019,CAJATAMBO,1991,6,-999.0,-999.0,-999.0
110019,CAJATAMBO,1991,7,-999.0,-999.0,-999.0
110019,CAJATAMBO,1991,8,-999.0,-999.0,-999.0
110019,CAJATAMBO,1991,9,-999.0,-999.0,-999.0
110019,CAJATAMBO,1991,10,-999.0,-999.0,-999.0
110019,CAJATAMBO,1991,11,-999.0,-999.0,-999.0
110019,CAJATAMBO,1991,12,-999.0,-999.0,-999.0
110019,CAJATAMBO,1992,1,-999.0,-999.0,-999.0
110019,CAJATAMBO,1992,2,-999.0,-999.0,-999.0
110019,CAJATAMBO,1992,3,-999.0,-999.0,-999.0
110019,CAJATAMBO,1992,4,-999.0,-999.0,-999.0
110019,CAJATAMBO,1992,5,-999.0,-999.0,-999.0
110019,CAJATAMBO,1992,6,-999.0,-999.0,-999.0
110019,CAJATAMBO,1992,7,-999.0,-999.0,-999.0
110019,CAJATAMBO,1992,8,-999.0,-999.0,-999.0
110019,CAJATAMBO,1992,9,-999.0,-999.0,-999.0
110019,CAJATAMBO,1992,10,-999.0,-999.0,-999.0
110019,CAJATAMBO,1992,11,-999.0,-999.0,-999.0
110019,CAJATAMBO,1992,12,-999.0,-999.0,-999.0
110019,CAJATAMBO,1993,1,-999.0,-999.0,-999.0
110019,CAJATAMBO,1993,2,-999.0,-999.0,-999.0
110019,CAJATAMBO,1993,3,-999.0,-999.0,-999.0
110019,CAJATAMBO,1993,4,-999.0,-999.0,-999.0
110019,CAJATAMBO,1993,5,-999.0,-999.0,-999.0
110019,CAJATAMBO,1993,6,-999.0,-999.0,-999.0
110019,CAJATAMBO,1993,7,0.0,-999.0,3.45
110019,CAJATAMBO,1993,8,0.0,-999.0,3.68
110019,CAJATAMBO,1993,9,-999.0,-999.0,4.12
110019,CAJATAMBO,1993,10,47.2,-999.0,5.02
110019,CAJATAMBO,1993,11,115.5,-999.0,5.54
110019,CAJATAMBO,1993,12,116.7,-999.0,6.3
110019,CAJATAMBO,1994,1,179.3,16.54,5.6
110019,CAJATAMBO,1994,2,216.5,16.2,5.74
110019,CAJATAMBO,1994,3,177.4,16.89,5.31
110019,CAJATAMBO,1994,4,83.8,17.8,4.99
110019,CAJATAMBO,1994,5,1.7,18.07,4.23
110019,CAJATAMBO,1994,6,0.0,18.39,3.33
110019,CAJATAMBO,1994,7,0.0,18.28,2.25
110019,CAJATAMBO,1994,8,0.5,18.42,3.55
110019,CAJATAMBO,1994,9,10.1,19.17,-999.0
