CODIGO,ESTACION,YEAR,MONTH,PP,TMAX,TMIN
110021,PICOY,1990,1,105.2,18.33,7.4
110021,PICOY,1990,2,26.8,17.51,6.39
110021,PICOY,1990,3,37.8,19.42,6.84
110021,PICOY,1990,4,18.8,19.81,6.2
110021,PICOY,1990,5,5.8,20.19,5.42
110021,PICOY,1990,6,0.7,19.98,5.91
110021,PICOY,1990,7,0.0,19.51,3.76
110021,PICOY,1990,8,0.0,22.04,5.05
110021,PICOY,1990,9,5.5,23.17,5.41
110021,PICOY,1990,10,76.5,20.98,6.02
110021,PICOY,1990,11,70.3,20.9,7.27
110021,PICOY,1990,12,63.5,20.81,6.53
110021,PICOY,1991,1,59.2,20.9,6.63
110021,PICOY,1991,2,57.9,20.29,7.77
110021,PICOY,1991,3,120.6,19.93,8.02
110021,PICOY,1991,4,31.3,20.73,6.76
110021,PICOY,1991,5,9.4,20.16,5.51
110021,PICOY,1991,6,0.0,21.33,3.81
110021,PICOY,1991,7,2.8,22.05,4.18
110021,PICOY,1991,8,0.0,22.12,4.72
110021,PICOY,1991,9,7.4,21.78,5.5
110021,PICOY,1991,10,63.4,20.99,6.26
110021,PICOY,1991,11,40.7,20.61,6.42
110021,PICOY,1991,12,37.0,20.96,6.09
110021,PICOY,1992,1,35.3,21.63,7.13
110021,PICOY,1992,2,40.1,20.38,6.62
110021,PICOY,1992,3,80.0,20.22,7.72
110021,PICOY,1992,4,25.8,21.07,7.11
110021,PICOY,1992,5,0.0,21.02,5.27
110021,PICOY,1992,6,0.0,20.98,5.66
110021,PICOY,1992,7,0.0,20.74,3.88
110021,PICOY,1992,8,1.7,20.96,5.04
110021,PICOY,1992,9,6.4,21.42,4.73
110021,PICOY,1992,10,-999.0,-999.0,-999.0
110021,PICOY,1992,11,33.5,20.48,6.19
110021,PICOY,1992,12,19.3,20.51,5.94
110021,PICOY,1993,1,97.6,18.65,7.36
110021,PICOY,1993,2,100.5,18.48,7.44
110021,PICOY,1993,3,118.4,18.3,7.57
110021,PICOY,1993,4,72.7,19.81,7.56
110021,PICOY,1993,5,18.2,20.94,5.72
110021,PICOY,1993,6,0.0,21.73,3.71
110021,PICOY,1993,7,0.0,-999.0,4.05
110021,PICOY,1993,8,0.0,-999.0,4.3
110021,PICOY,1993,9,12.5,-999.0,5.68
110021,PICOY,1993,10,69.9,-999.0,6.56
110021,PICOY,1993,11,99.9,-999.0,7.18
110021,PICOY,1993,12,104.0,-999.0,8.29
110021,PICOY,1994,1,100.9,-999.0,8.18
110021,PICOY,1994,2,130.2,-999.0,7.77
110021,PICOY,1994,3,130.1,-999.0,7.97
110021,PICOY,1994,4,61.6,-999.0,7.24
110021,PICOY,1994,5,14.0,-999.0,5.47
110021,PICOY,1994,6,0.0,-999.0,3.98
110021,PICOY,1994,7,0.7,-999.0,3.51
110021,PICOY,1994,8,0.0,-999.0,4.79
110021,PICOY,1994,9,9.4,20.56,6.59
110021,PICOY,1994,10,7.1,20.25,5.61
110021,PICOY,1994,11,40.3,18.99,6.2
110021,PICOY,1994,12,65.9,19.58,7.66
110021,PICOY,1995,1,74.3,18.13,7.22
110021,PICOY,1995,2,31.5,17.59,7.27
110021,PICOY,1995,3,79.9,17.44,7.8
110021,PICOY,1995,4,46.5,18.69,6.48
110021,PICOY,1995,5,8.6,19.6,4.97
110021,PICOY,1995,6,0.0,19.81,4.23
110021,PICOY,1995,7,3.4,19.53,4.49
110021,PICOY,1995,8,0.0,20.12,5.03
110021,PICOY,1995,9,4.6,20.47,6.16
110021,PICOY,1995,10,32.2,19.21,6.51
110021,PICOY,1995,11,63.9,18.55,7.11
110021,PICOY,1995,12,74.3,18.64,6.81
110021,PICOY,1996,1,92.6,15.78,7.41
110021,PICOY,1996,2,139.7,15.98,7.28
110021,PICOY,1996,3,119.1,16.09,7.9
110021,PICOY,1996,4,71.2,17.21,6.43
110021,PICOY,1996,5,3.5,19.05,5.35
110021,PICOY,1996,6,0.0,19.94,3.57
110021,PICOY,1996,7,0.0,19.69,4.62
110021,PICOY,1996,8,0.0,19.18,5.23
110021,PICOY,1996,9,0.0,19.96,6.4
110021,PICOY,1996,10,20.9,19.13,6.55
110021,PICOY,1996,11,16.9,18.76,5.75
110021,PICOY,1996,12,70.7,18.14,6.95
110021,PICOY,1997,1,82.5,15.85,7.07
110021,PICOY,1997,2,96.5,17.43,7.48
110021,PICOY,1997,3,44.2,18.46,6.67
110021,PICOY,1997,4,6.4,19.71,6.32
110021,PICOY,1997,5,0.0,20.9,6.13
110021,PICOY,1997,6,0.0,18.9,4.14
110021,PICOY,1997,7,0.0,20.94,6.17
110021,PICOY,1997,8,0.6,20.66,6.78
110021,PICOY,1997,9,12.0,19.96,6.35
110021,PICOY,1997,10,13.4,20.22,7.17
110021,PICOY,1997,11,45.4,19.36,7.8
110021,PICOY,1997,12,116.2,18.36,9.15
110021,PICOY,1998,1,140.0,18.43,8.4
110021,PICOY,1998,2,83.7,17.94,9.27
110021,PICOY,1998,3,133.2,17.84,9.14
110021,PICOY,1998,4,41.6,19.04,8.26
110021,PICOY,1998,5,0.0,20.4,5.65
110021,PICOY,1998,6,5.2,19.3,5.39
110021,PICOY,1998,7,0.0,19.85,4.26
110021,PICOY,1998,8,0.0,19.14,5.27
110021,PICOY,1998,9,10.0,19.86,5.76
110021,PICOY,1998,10,24.6,19.6,7.38
110021,PICOY,1998,11,34.5,18.8,6.16
110021,PICOY,1998,12,43.2,17.75,6.95
110021,PICOY,1999,1,92.9,16.27,7.51
110021,PICOY,1999,2,200.6,15.51,7.65
110021,PICOY,1999,3,105.1,15.64,7.36
110021,PICOY,1999,4,56.0,17.1,7.12
110021,PICOY,1999,5,40.9,17.69,5.65
110021,PICOY,1999,6,3.0,18.33,4.22
110021,PICOY,1999,7,0.0,19.32,4.6
110021,PICOY,1999,8,0.0,20.03,4.44
110021,PICOY,1999,9,21.9,18.94,6.13
110021,PICOY,1999,10,-999.0,18.88,5.87
110021,PICOY,1999,11,-999.0,-999.0,-999.0
110021,PICOY,1999,12,-999.0,-999.0,-999.0
110021,PICOY,2000,1,-999.0,-999.0,-999.0
110021,PICOY,2000,2,-999.0,-999.0,-999.0
110021,PICOY,2000,3,-999.0,-999.0,-999.0
110021,PICOY,2000,4,-999.0,-999.0,-999.0
110021,PICOY,2000,5,-999.0,-999.0,-999.0
110021,PICOY,2000,6,-999.0,-999.0,-999.0
110021,PICOY,2000,7,-999.0,-999.0,-999.0
110021,PICOY,2000,8,-999.0,-999.0,-999.0
110021,PICOY,2000,9,-999.0,-999.0,-999.0
110021,PICOY,2000,10,-999.0,-999.0,-999.0
110021,PICOY,2000,11,-999.0,-999.0,-999.0
110021,PICOY,2000,12,-999.0,-999.0,-999.0
110021,PICOY,2001,1,-999.0,-999.0,-999.0
110021,PICOY,2001,2,-999.0,-999.0,-999.0
110021,PICOY,2001,3,-999.0,-999.0,-999.0
110021,PICOY,2001,4,-999.0,-999.0,-999.0
110021,PICOY,2001,5,-999.0,-999.0,-999.0
110021,PICOY,2001,6,-999.0,19.77,3.71
110021,PICOY,2001,7,-999.0,19.53,4.92
110021,PICOY,2001,8,-999.0,21.47,4.64
110021,PICOY,2001,9,-999.0,19.08,6.35
110021,PICOY,2001,10,-999.0,20.03,6.82
110021,PICOY,2001,11,-999.0,17.65,6.82
110021,PICOY,2001,12,-999.0,18.87,6.87
110021,PICOY,2002,1,-999.0,18.73,6.05
110021,PICOY,2002,2,-999.0,17.28,7.47
110021,PICOY,2002,3,-999.0,17.36,7.62
110021,PICOY,2002,4,-999.0,17.65,6.44
110021,PICOY,2002,5,-999.0,19.99,5.71
110021,PICOY,2002,6,-999.0,20.79,4.33
110021,PICOY,2002,7,-999.0,19.26,3.91
110021,PICOY,2002,8,-999.0,21.06,4.68
110021,PICOY,2002,9,-999.0,19.69,5.14
110021,PICOY,2002,10,-999.0,19.07,6.36
