CODIGO,ESTACION,YEAR,MONTH,PP,TMAX,TMIN
110028,OXAPAMPA,1990,1,-999.0,-999.0,-999.0
110028,OXAPAMPA,1990,2,-999.0,-999.0,-999.0
110028,OXAPAMPA,1990,3,-999.0,-999.0,-999.0
110028,OXAPAMPA,1990,4,-999.0,-999.0,-999.0
110028,OXAPAMPA,1990,5,-999.0,-999.0,-999.0
110028,OXAPAMPA,1990,6,-999.0,-999.0,-999.0
110028,OXAPAMPA,1990,7,-999.0,-999.0,-999.0
110028,OXAPAMPA,1990,8,-999.0,-999.0,-999.0
110028,OXAPAMPA,1990,9,-999.0,-999.0,-999.0
110028,OXAPAMPA,1990,10,-999.0,-999.0,-999.0
110028,OXAPAMPA,1990,11,-999.0,-999.0,-999.0
110028,OXAPAMPA,1990,12,-999.0,-999.0,-999.0
110028,OXAPAMPA,1991,1,-999.0,-999.0,-999.0
110028,OXAPAMPA,1991,2,-999.0,-999.0,-999.0
110028,OXAPAMPA,1991,3,-999.0,-999.0,-999.0
110028,OXAPAMPA,1991,4,-999.0,-999.0,-999.0
110028,OXAPAMPA,1991,5,-999.0,-999.0,-999.0
110028,OXAPAMPA,1991,6,-999.0,-999.0,-999.0
110028,OXAPAMPA,1991,7,-999.0,-999.0,-999.0
110028,OXAPAMPA,1991,8,-999.0,-999.0,-999.0
110028,OXAPAMPA,1991,9,-999.0,-999.0,-999.0
110028,OXAPAMPA,1991,10,-999.0,-999.0,-999.0
110028,OXAPAMPA,1991,11,-999.0,-999.0,-999.0
110028,OXAPAMPA,1991,12,-999.0,-999.0,-999.0
110028,OXAPAMPA,1992,1,-999.0,-999.0,-999.0
110028,OXAPAMPA,1992,2,-999.0,-999.0,-999.0
110028,OXAPAMPA,1992,3,-999.0,-999.0,-999.0
110028,OXAPAMPA,1992,4,-999.0,-999.0,-999.0
110028,OXAPAMPA,1992,5,-999.0,-999.0,-999.0
110028,OXAPAMPA,1992,6,-999.0,-999.0,-999.0
110028,OXAPAMPA,1992,7,-999.0,-999.0,-999.0
110028,OXAPAMPA,1992,8,-999.0,-999.0,-999.0
110028,OXAPAMPA,1992,9,-999.0,-999.0,-999.0
110028,OXAPAMPA,1992,10,-999.0,-999.0,-999.0
110028,OXAPAMPA,1992,11,-999.0,-999.0,-999.0
110028,OXAPAMPA,1992,12,-999.0,-999.0,-999.0
110028,OXAPAMPA,1993,1,-999.0,-999.0,-999.0
110028,OXAPAMPA,1993,2,-999.0,-999.0,-999.0
110028,OXAPAMPA,1993,3,-999.0,-999.0,-999.0
110028,OXAPAMPA,1993,4,-999.0,-999.0,-999.0
110028,OXAPAMPA,1993,5,-999.0,-999.0,-999.0
110028,OXAPAMPA,1993,6,-999.0,-999.0,-999.0
110028,OXAPAMPA,1993,7,-999.0,-999.0,-999.0
110028,OXAPAMPA,1993,8,-999.0,-999.0,-999.0
110028,OXAPAMPA,1993,9,-999.0,-999.0,-999.0
110028,OXAPAMPA,1993,10,-999.0,-999.0,-999.0
110028,OXAPAMPA,1993,11,-999.0,-999.0,-999.0
110028,OXAPAMPA,1993,12,-999.0,-999.0,-999.0
110028,OXAPAMPA,1994,1,-999.0,-999.0,-999.0
110028,OXAPAMPA,1994,2,-999.0,-999.0,-999.0
110028,OXAPAMPA,1994,3,-999.0,-999.0,-999.0
110028,OXAPAMPA,1994,4,-999.0,-999.0,-999.0
110028,OXAPAMPA,1994,5,-999.0,-999.0,-999.0
110028,OXAPAMPA,1994,6,-999.0,-999.0,-999.0
110028,OXAPAMPA,1994,7,-999.0,-999.0,-999.0
110028,OXAPAMPA,1994,8,-999.0,-999.0,-999.0
110028,OXAPAMPA,1994,9,-999.0,-999.0,-999.0
110028,OXAPAMPA,1994,10,-999.0,-999.0,-999.0
110028,OXAPAMPA,1994,11,-999.0,-999.0,-999.0
110028,OXAPAMPA,1994,12,-999.0,-999.0,-999.0
110028,OXAPAMPA,1995,1,-999.0,-999.0,-999.0
110028,OXAPAMPA,1995,2,-999.0,-999.0,-999.0
110028,OXAPAMPA,1995,3,-999.0,-999.0,-999.0
110028,OXAPAMPA,1995,4,-999.0,-999.0,-999.0
110028,OXAPAMPA,1995,5,0.0,17.6,14.04
110028,OXAPAMPA,1995,6,-999.0,-999.0,11.86
110028,OXAPAMPA,1995,7,42.0,-999.0,11.18
110028,OXAPAMPA,1995,8,18.5,-999.0,11.65
110028,OXAPAMPA,1995,9,55.6,23.88,10.47
110028,OXAPAMPA,1995,10,106.3,23.71,12.5
110028,OXAPAMPA,1995,11,92.5,23.87,13.59
110028,OXAPAMPA,1995,12,123.1,24.04,13.26
110028,OXAPAMPA,1996,1,333.7,21.87,14.25
110028,OXAPAMPA,1996,2,160.7,23.23,13.65
110028,OXAPAMPA,1996,3,152.0,23.06,13.79
110028,OXAPAMPA,1996,4,138.0,22.53,12.79
110028,OXAPAMPA,1996,5,69.5,22.77,12.41
110028,OXAPAMPA,1996,6,24.2,21.83,12.02
110028,OXAPAMPA,1996,7,40.0,21.49,9.81
110028,OXAPAMPA,1996,8,71.2,23.21,11.51
110028,OXAPAMPA,1996,9,30.0,24.08,10.74
110028,OXAPAMPA,1996,10,165.5,23.91,13.12
110028,OXAPAMPA,1996,11,120.9,23.76,12.57
110028,OXAPAMPA,1996,12,175.0,22.99,13.93
110028,OXAPAMPA,1997,1,182.9,22.44,13.78
110028,OXAPAMPA,1997,2,266.3,22.4,13.97
110028,OXAPAMPA,1997,3,143.3,23.67,13.91
110028,OXAPAMPA,1997,4,71.5,23.29,12.61
110028,OXAPAMPA,1997,5,108.5,22.46,13.22
110028,OXAPAMPA,1997,6,30.3,22.67,12.41
110028,OXAPAMPA,1997,7,38.6,23.87,9.72
110028,OXAPAMPA,1997,8,147.5,22.17,10.95
110028,OXAPAMPA,1997,9,134.1,23.97,12.18
110028,OXAPAMPA,1997,10,221.5,24.25,13.96
110028,OXAPAMPA,1997,11,182.5,24.31,14.26
110028,OXAPAMPA,1997,12,443.8,23.95,15.34
110028,OXAPAMPA,1998,1,214.9,24.48,15.27
110028,OXAPAMPA,1998,2,343.5,24.19,16.01
110028,OXAPAMPA,1998,3,335.0,23.71,15.61
110028,OXAPAMPA,1998,4,71.5,24.66,15.03
110028,OXAPAMPA,1998,5,79.0,23.78,12.83
110028,OXAPAMPA,1998,6,46.0,22.93,11.84
110028,OXAPAMPA,1998,7,8.0,23.32,10.06
110028,OXAPAMPA,1998,8,50.5,24.14,11.79
110028,OXAPAMPA,1998,9,41.5,23.96,10.88
110028,OXAPAMPA,1998,10,103.5,24.08,13.8
110028,OXAPAMPA,1998,11,142.7,23.58,14.48
110028,OXAPAMPA,1998,12,183.0,22.85,13.66
110028,OXAPAMPA,1999,1,282.5,21.99,13.97
110028,OXAPAMPA,1999,2,286.7,22.2,13.59
110028,OXAPAMPA,1999,3,226.5,22.43,13.84
110028,OXAPAMPA,1999,4,126.5,22.78,12.71
110028,OXAPAMPA,1999,5,62.9,22.39,12.12
110028,OXAPAMPA,1999,6,26.5,22.83,11.84
110028,OXAPAMPA,1999,7,44.7,22.19,10.99
110028,OXAPAMPA,1999,8,52.0,23.06,7.94
110028,OXAPAMPA,1999,9,-999.0,-999.0,-999.0
110028,OXAPAMPA,1999,10,64.2,24.04,10.77
110028,OXAPAMPA,1999,11,100.3,23.85,12.35
110028,OXAPAMPA,1999,12,218.3,22.25,13.09
110028,OXAPAMPA,2000,1,272.6,21.77,13.64
110028,OXAPAMPA,2000,2,270.9,21.61,13.81
110028,OXAPAMPA,2000,3,280.0,21.83,13.38
110028,OXAPAMPA,2000,4,170.5,21.95,12.6
110028,OXAPAMPA,2000,5,14.5,22.41,12.38
110028,OXAPAMPA,2000,6,79.5,21.88,12.53
110028,OXAPAMPA,2000,7,43.5,21.28,11.47
110028,OXAPAMPA,2000,8,57.0,22.66,11.56
110028,OXAPAMPA,2000,9,87.5,22.97,12.02
110028,OXAPAMPA,2000,10,102.0,22.94,11.7
110028,OXAPAMPA,2000,11,66.0,23.6,13.13
110028,OXAPAMPA,2000,12,195.5,22.95,12.75
110028,OXAPAMPA,2001,1,355.0,21.28,13.46
110028,OXAPAMPA,2001,2,259.5,21.47,13.51
110028,OXAPAMPA,2001,3,221.5,21.86,13.34
110028,OXAPAMPA,2001,4,115.5,22.97,12.71
110028,OXAPAMPA,2001,5,30.5,22.91,13.82
110028,OXAPAMPA,2001,6,18.0,21.82,11.62
110028,OXAPAMPA,2001,7,56.5,22.25,12.67
110028,OXAPAMPA,2001,8,36.0,23.05,10.57
110028,OXAPAMPA,2001,9,108.0,23.09,12.09
110028,OXAPAMPA,2001,10,183.0,24.03,13.78
110028,OXAPAMPA,2001,11,127.5,23.66,14.18
110028,OXAPAMPA,2001,12,121.5,24.18,13.91
110028,OXAPAMPA,2002,1,220.5,23.51,14.22
110028,OXAPAMPA,2002,2,278.5,22.29,14.79
110028,OXAPAMPA,2002,3,228.0,22.45,14.73
110028,OXAPAMPA,2002,4,106.5,22.09,13.8
110028,OXAPAMPA,2002,5,75.5,22.57,12.85
110028,OXAPAMPA,2002,6,38.5,21.62,11.65
110028,OXAPAMPA,2002,7,121.5,21.27,12.22
110028,OXAPAMPA,2002,8,68.0,22.91,10.95
110028,OXAPAMPA,2002,9,96.0,22.41,11.79
110028,OXAPAMPA,2002,10,148.0,22.94,12.49
