CODIGO,ESTACION,YEAR,MONTH,PP,TMAX,TMIN
110042,AMBAR,1990,1,8.7,-999.0,-999.0
110042,AMBAR,1990,2,2.7,-999.0,-999.0
110042,AMBAR,1990,3,40.7,-999.0,-999.0
110042,AMBAR,1990,4,0.0,-999.0,-999.0
110042,AMBAR,1990,5,0.0,-999.0,-999.0
110042,AMBAR,1990,6,0.0,-999.0,-999.0
110042,AMBAR,1990,7,0.0,-999.0,-999.0
110042,AMBAR,1990,8,0.0,-999.0,-999.0
110042,AMBAR,1990,9,-999.0,-999.0,-999.0
110042,AMBAR,1990,10,-999.0,-999.0,-999.0
110042,AMBAR,1990,11,-999.0,-999.0,-999.0
110042,AMBAR,1990,12,-999.0,-999.0,-999.0
110042,AMBAR,1991,1,-999.0,-999.0,-999.0
110042,AMBAR,1991,2,-999.0,-999.0,-999.0
110042,AMBAR,1991,3,-999.0,-999.0,-999.0
110042,AMBAR,1991,4,-999.0,-999.0,-999.0
110042,AMBAR,1991,5,-999.0,-999.0,-999.0
110042,AMBAR,1991,6,-999.0,-999.0,-999.0
110042,AMBAR,1991,7,-999.0,-999.0,-999.0
110042,AMBAR,1991,8,-999.0,-999.0,-999.0
110042,AMBAR,1991,9,-999.0,-999.0,-999.0
110042,AMBAR,1991,10,-999.0,-999.0,-999.0
110042,AMBAR,1991,11,-999.0,-999.0,-999.0
110042,AMBAR,1991,12,-999.0,-999.0,-999.0
110042,AMBAR,1992,1,-999.0,-999.0,-999.0
110042,AMBAR,1992,2,-999.0,-999.0,-999.0
110042,AMBAR,1992,3,-999.0,-999.0,-999.0
110042,AMBAR,1992,4,-999.0,-999.0,-999.0
110042,AMBAR,1992,5,-999.0,-999.0,-999.0
110042,AMBAR,1992,6,-999.0,-999.0,-999.0
110042,AMBAR,1992,7,-999.0,-999.0,-999.0
110042,AMBAR,1992,8,-999.0,-999.0,-999.0
110042,AMBAR,1992,9,-999.0,-999.0,-999.0
110042,AMBAR,1992,10,-999.0,-999.0,-999.0
110042,AMBAR,1992,11,-999.0,-999.0,-999.0
110042,AMBAR,1992,12,-999.0,-999.0,-999.0
110042,AMBAR,1993,1,-999.0,-999.0,-999.0
110042,AMBAR,1993,2,-999.0,-999.0,-999.0
110042,AMBAR,1993,3,-999.0,-999.0,-999.0
110042,AMBAR,1993,4,-999.0,-999.0,-999.0
110042,AMBAR,1993,5,-999.0,-999.0,-999.0
110042,AMBAR,1993,6,-999.0,-999.0,-999.0
110042,AMBAR,1993,7,-999.0,-999.0,-999.0
110042,AMBAR,1993,8,-999.0,-999.0,-999.0
110042,AMBAR,1993,9,-999.0,-999.0,-999.0
110042,AMBAR,1993,10,-999.0,-999.0,-999.0
110042,AMBAR,1993,11,-999.0,-999.0,-999.0
110042,AMBAR,1993,12,-999.0,-999.0,-999.0
110042,AMBAR,1994,1,-999.0,-999.0,-999.0
110042,AMBAR,1994,2,-999.0,-999.0,-999.0
110042,AMBAR,1994,3,-999.0,-999.0,-999.0
110042,AMBAR,1994,4,21.5,-999.0,-999.0
110042,AMBAR,1994,5,3.6,-999.0,-999.0
110042,AMBAR,1994,6,0.0,-999.0,-999.0
110042,AMBAR,1994,7,0.0,-999.0,-999.0
110042,AMBAR,1994,8,0.0,-999.0,-999.0
110042,AMBAR,1994,9,1.8,-999.0,-999.0
110042,AMBAR,1994,10,1.2,-999.0,-999.0
110042,AMBAR,1994,11,1.5,-999.0,-999.0
110042,AMBAR,1994,12,18.9,-999.0,-999.0
110042,AMBAR,1995,1,22.4,-999.0,-999.0
110042,AMBAR,1995,2,22.2,-999.0,-999.0
110042,AMBAR,1995,3,32.9,-999.0,-999.0
110042,AMBAR,1995,4,7.3,-999.0,-999.0
110042,AMBAR,1995,5,0.0,-999.0,-999.0
110042,AMBAR,1995,6,0.0,-999.0,-999.0
110042,AMBAR,1995,7,0.0,-999.0,-999.0
110042,AMBAR,1995,8,0.0,-999.0,-999.0
110042,AMBAR,1995,9,0.0,-999.0,-999.0
110042,AMBAR,1995,10,10.4,-999.0,-999.0
110042,AMBAR,1995,11,3.3,-999.0,-999.0
110042,AMBAR,1995,12,2.1,-999.0,-999.0
110042,AMBAR,1996,1,37.6,-999.0,-999.0
110042,AMBAR,1996,2,44.4,-999.0,-999.0
110042,AMBAR,1996,3,83.2,-999.0,-999.0
110042,AMBAR,1996,4,16.3,-999.0,-999.0
110042,AMBAR,1996,5,0.0,-999.0,-999.0
110042,AMBAR,1996,6,0.0,-999.0,-999.0
110042,AMBAR,1996,7,0.0,-999.0,-999.0
110042,AMBAR,1996,8,0.0,-999.0,-999.0
110042,AMBAR,1996,9,0.0,-999.0,-999.0
110042,AMBAR,1996,10,0.7,-999.0,-999.0
110042,AMBAR,1996,11,1.0,-999.0,-999.0
110042,AMBAR,1996,12,9.3,-999.0,-999.0
110042,AMBAR,1997,1,17.6,-999.0,-999.0
110042,AMBAR,1997,2,31.6,-999.0,-999.0
110042,AMBAR,1997,3,27.0,-999.0,-999.0
110042,AMBAR,1997,4,10.0,-999.0,-999.0
110042,AMBAR,1997,5,4.0,-999.0,-999.0
110042,AMBAR,1997,6,0.0,-999.0,-999.0
110042,AMBAR,1997,7,0.0,-999.0,-999.0
110042,AMBAR,1997,8,0.0,-999.0,-999.0
110042,AMBAR,1997,9,0.3,-999.0,-999.0
110042,AMBAR,1997,10,0.0,-999.0,-999.0
110042,AMBAR,1997,11,24.5,-999.0,-999.0
110042,AMBAR,1997,12,49.6,-999.0,-999.0
110042,AMBAR,1998,1,89.0,-999.0,-999.0
110042,AMBAR,1998,2,81.8,-999.0,-999.0
110042,AMBAR,1998,3,143.1,-999.0,-999.0
110042,AMBAR,1998,4,7.6,-999.0,-999.0
110042,AMBAR,1998,5,2.7,-999.0,-999.0
110042,AMBAR,1998,6,0.0,-999.0,-999.0
110042,AMBAR,1998,7,0.0,-999.0,-999.0
110042,AMBAR,1998,8,0.0,-999.0,-999.0
110042,AMBAR,1998,9,0.7,-999.0,-999.0
110042,AMBAR,1998,10,0.0,-999.0,-999.0
110042,AMBAR,1998,11,0.0,-999.0,-999.0
110042,AMBAR,1998,12,6.8,-999.0,-999.0
110042,AMBAR,1999,1,35.5,-999.0,-999.0
110042,AMBAR,1999,2,218.9,-999.0,-999.0
110042,AMBAR,1999,3,56.3,-999.0,-999.0
110042,AMBAR,1999,4,45.0,-999.0,-999.0
110042,AMBAR,1999,5,12.1,-999.0,-999.0
110042,AMBAR,1999,6,0.0,-999.0,-999.0
110042,AMBAR,1999,7,0.0,-999.0,-999.0
110042,AMBAR,1999,8,0.0,-999.0,-999.0
110042,AMBAR,1999,9,1.1,-999.0,-999.0
110042,AMBAR,1999,10,1.9,-999.0,-999.0
110042,AMBAR,1999,11,6.0,-999.0,-999.0
110042,AMBAR,1999,12,17.6,-999.0,-999.0
110042,AMBAR,2000,1,60.2,-999.0,-999.0
110042,AMBAR,2000,2,87.0,-999.0,-999.0
110042,AMBAR,2000,3,35.3,-999.0,-999.0
110042,AMBAR,2000,4,6.5,-999.0,-999.0
110042,AMBAR,2000,5,0.9,-999.0,-999.0
110042,AMBAR,2000,6,0.0,-999.0,-999.0
110042,AMBAR,2000,7,0.0,-999.0,-999.0
110042,AMBAR,2000,8,0.0,-999.0,-999.0
110042,AMBAR,2000,9,0.9,-999.0,-999.0
110042,AMBAR,2000,10,2.0,-999.0,-999.0
110042,AMBAR,2000,11,1.5,-999.0,-999.0
110042,AMBAR,2000,12,21.9,-999.0,-999.0
110042,AMBAR,2001,1,61.6,-999.0,-999.0
110042,AMBAR,2001,2,71.6,-999.0,-999.0
110042,AMBAR,2001,3,74.0,-999.0,-999.0
110042,AMBAR,2001,4,14.7,-999.0,-999.0
110042,AMBAR,2001,5,0.0,-999.0,-999.0
110042,AMBAR,2001,6,0.0,-999.0,-999.0
110042,AMBAR,2001,7,0.0,-999.0,-999.0
110042,AMBAR,2001,8,0.0,-999.0,-999.0
110042,AMBAR,2001,9,0.0,-999.0,-999.0
110042,AMBAR,2001,10,0.4,-999.0,-999.0
110042,AMBAR,2001,11,13.9,-999.0,-999.0
110042,AMBAR,2001,12,-999.0,-999.0,-999.0
110042,AMBAR,2002,1,4.1,-999.0,-999.0
110042,AMBAR,2002,2,104.3,-999.0,-999.0
110042,AMBAR,2002,3,54.5,-999.0,-999.0
110042,AMBAR,2002,4,21.8,-999.0,-999.0
110042,AMBAR,2002,5,0.0,-999.0,-999.0
110042,AMBAR,2002,6,0.0,-999.0,-999.0
110042,AMBAR,2002,7,0.0,-999.0,-999.0
110042,AMBAR,2002,8,0.0,-999.0,-999.0
110042,AMBAR,2002,9,5.1,-999.0,-999.0
110042,AMBAR,2002,10,4.3,-999.0,-999.0
110042,AMBAR,2002,11,23.8,-999.0,-999.0
110042,AMBAR,2002,12,5.1,-999.0,-999.0
110042,AMBAR,2003,1,22.0,-999.0,-999.0
110042,AMBAR,2003,2,35.2,-999.0,-999.0
110042,AMBAR,2003,3,53.0,-999.0,-999.0
110042,AMBAR,2003,4,7.4,-999.0,-999.0
110042,AMBAR,2003,5,0.0,-999.0,-999.0
110042,AMBAR,2003,6,0.0,-999.0,-999.0
110042,AMBAR,2003,7,0.0,-999.0,-999.0
110042,AMBAR,2003,8,0.0,-999.0,-999.0
110042,AMBAR,2003,9,0.0,-999.0,-999.0
110042,AMBAR,2003,10,2.8,-999.0,-999.0
110042,AMBAR,2003,11,1.9,-999.0,-999.0
110042,AMBAR,2003,12,46.5,-999.0,-999.0
110042,AMBAR,2004,1,6.4,-999.0,-999.0
110042,AMBAR,2004,2,42.8,-999.0,-999.0
110042,AMBAR,2004,3,44.9,-999.0,-999.0
110042,AMBAR,2004,4,14.9,-999.0,-999.0
110042,AMBAR,2004,5,0.0,-999.0,-999.0
110042,AMBAR,2004,6,0.0,-999.0,-999.0
110042,AMBAR,2004,7,0.0,-999.0,-999.0
110042,AMBAR,2004,8,0.0,-999.0,-999.0
110042,AMBAR,2004,9,0.0,-999.0,-999.0
110042,AMBAR,2004,10,6.3,-999.0,-999.0
110042,AMBAR,2004,11,5.4,-999.0,-999.0
110042,AMBAR,2004,12,37.0,-999.0,-999.0
110042,AMBAR,2005,1,32.8,-999.0,-999.0
110042,AMBAR,2005,2,29.8,-999.0,-999.0
110042,AMBAR,2005,3,36.4,-999.0,-999.0
110042,AMBAR,2005,4,9.7,-999.0,-999.0
110042,AMBAR,2005,5,0.0,-999.0,-999.0
110042,AMBAR,2005,6,0.0,-999.0,-999.0
110042,AMBAR,2005,7,0.0,-999.0,-999.0
110042,AMBAR,2005,8,0.0,-999.0,-999.0
110042,AMBAR,2005,9,0.0,-999.0,-999.0
110042,AMBAR,2005,10,2.0,-999.0,-999.0
110042,AMBAR,2005,11,0.0,-999.0,-999.0
110042,AMBAR,2005,12,20.3,-999.0,-999.0
110042,AMBAR,2006,1,43.0,-999.0,-999.0
110042,AMBAR,2006,2,81.7,-999.0,-999.0
110042,AMBAR,2006,3,74.8,-999.0,-999.0
