CODIGO,ESTACION,YEAR,MONTH,PP,TMAX,TMIN
110051,OCROS,1990,1,26.3,-999.0,-999.0
110051,OCROS,1990,2,10.2,-999.0,-999.0
110051,OCROS,1990,3,53.4,-999.0,-999.0
110051,OCROS,1990,4,0.0,-999.0,-999.0
110051,OCROS,1990,5,7.6,-999.0,-999.0
110051,OCROS,1990,6,0.0,-999.0,-999.0
110051,OCROS,1990,7,0.0,-999.0,-999.0
110051,OCROS,1990,8,0.0,-999.0,-999.0
110051,OCROS,1990,9,0.0,-999.0,-999.0
110051,OCROS,1990,10,6.6,-999.0,-999.0
110051,OCROS,1990,11,33.0,-999.0,-999.0
110051,OCROS,1990,12,24.5,-999.0,-999.0
110051,OCROS,1991,1,16.1,-999.0,-999.0
110051,OCROS,1991,2,20.7,-999.0,-999.0
110051,OCROS,1991,3,80.8,-999.0,-999.0
110051,OCROS,1991,4,15.5,-999.0,-999.0
110051,OCROS,1991,5,0.0,-999.0,-999.0
110051,OCROS,1991,6,0.0,-999.0,-999.0
110051,OCROS,1991,7,0.0,-999.0,-999.0
110051,OCROS,1991,8,0.0,-999.0,-999.0
110051,OCROS,1991,9,0.0,-999.0,-999.0
110051,OCROS,1991,10,30.9,-999.0,-999.0
110051,OCROS,1991,11,13.7,-999.0,-999.0
110051,OCROS,1991,12,5.3,-999.0,-999.0
110051,OCROS,1992,1,12.7,-999.0,-999.0
110051,OCROS,1992,2,15.2,-999.0,-999.0
110051,OCROS,1992,3,-999.0,-999.0,-999.0
110051,OCROS,1992,4,-999.0,-999.0,-999.0
110051,OCROS,1992,5,0.0,-999.0,-999.0
110051,OCROS,1992,6,0.0,-999.0,-999.0
110051,OCROS,1992,7,0.0,-999.0,-999.0
110051,OCROS,1992,8,0.0,-999.0,-999.0
110051,OCROS,1992,9,0.0,-999.0,-999.0
110051,OCROS,1992,10,11.3,-999.0,-999.0
110051,OCROS,1992,11,0.0,-999.0,-999.0
110051,OCROS,1992,12,29.8,-999.0,-999.0
110051,OCROS,1993,1,29.5,-999.0,-999.0
110051,OCROS,1993,2,27.8,-999.0,-999.0
110051,OCROS,1993,3,158.9,-999.0,-999.0
110051,OCROS,1993,4,42.3,-999.0,-999.0
110051,OCROS,1993,5,0.0,-999.0,-999.0
110051,OCROS,1993,6,0.0,-999.0,-999.0
110051,OCROS,1993,7,0.0,-999.0,-999.0
110051,OCROS,1993,8,3.4,-999.0,-999.0
110051,OCROS,1993,9,0.0,-999.0,-999.0
110051,OCROS,1993,10,12.9,-999.0,-999.0
110051,OCROS,1993,11,16.0,-999.0,-999.0
110051,OCROS,1993,12,32.0,-999.0,-999.0
110051,OCROS,1994,1,-999.0,-999.0,-999.0
110051,OCROS,1994,2,-999.0,-999.0,-999.0
110051,OCROS,1994,3,60.4,-999.0,-999.0
110051,OCROS,1994,4,-999.0,-999.0,-999.0
110051,OCROS,1994,5,6.5,-999.0,-999.0
110051,OCROS,1994,6,0.0,-999.0,-999.0
110051,OCROS,1994,7,0.0,-999.0,-999.0
110051,OCROS,1994,8,0.0,-999.0,-999.0
110051,OCROS,1994,9,0.0,-999.0,-999.0
