CODIGO,ESTACION,YEAR,MONTH,PP,TMAX,TMIN
110056,PACCHO,1990,1,56.0,-999.0,-999.0
110056,PACCHO,1990,2,28.2,-999.0,-999.0
110056,PACCHO,1990,3,14.6,-999.0,-999.0
110056,PACCHO,1990,4,17.8,-999.0,-999.0
110056,PACCHO,1990,5,0.0,-999.0,-999.0
110056,PACCHO,1990,6,0.0,-999.0,-999.0
110056,PACCHO,1990,7,0.0,-999.0,-999.0
110056,PACCHO,1990,8,0.0,-999.0,-999.0
110056,PACCHO,1990,9,0.0,-999.0,-999.0
110056,PACCHO,1990,10,0.0,-999.0,-999.0
110056,PACCHO,1990,11,0.0,-999.0,-999.0
110056,PACCHO,1990,12,60.2,-999.0,-999.0
110056,PACCHO,1991,1,37.5,-999.0,-999.0
110056,PACCHO,1991,2,67.2,-999.0,-999.0
110056,PACCHO,1991,3,135.6,-999.0,-999.0
110056,PACCHO,1991,4,17.0,-999.0,-999.0
110056,PACCHO,1991,5,0.0,-999.0,-999.0
110056,PACCHO,1991,6,0.0,-999.0,-999.0
110056,PACCHO,1991,7,0.0,-999.0,-999.0
110056,PACCHO,1991,8,0.0,-999.0,-999.0
110056,PACCHO,1991,9,0.0,-999.0,-999.0
110056,PACCHO,1991,10,13.1,-999.0,-999.0
110056,PACCHO,1991,11,10.1,-999.0,-999.0
110056,PACCHO,1991,12,6.0,-999.0,-999.0
110056,PACCHO,1992,1,83.3,-999.0,-999.0
110056,PACCHO,1992,2,82.9,-999.0,-999.0
110056,PACCHO,1992,3,37.0,-999.0,-999.0
110056,PACCHO,1992,4,12.1,-999.0,-999.0
110056,PACCHO,1992,5,0.0,-999.0,-999.0
110056,PACCHO,1992,6,0.0,-999.0,-999.0
110056,PACCHO,1992,7,0.0,-999.0,-999.0
110056,PACCHO,1992,8,0.0,-999.0,-999.0
110056,PACCHO,1992,9,0.0,-999.0,-999.0
110056,PACCHO,1992,10,7.2,-999.0,-999.0
110056,PACCHO,1992,11,0.3,-999.0,-999.0
110056,PACCHO,1992,12,6.7,-999.0,-999.0
110056,PACCHO,1993,1,107.8,-999.0,-999.0
110056,PACCHO,1993,2,129.9,-999.0,-999.0
110056,PACCHO,1993,3,211.7,-999.0,-999.0
110056,PACCHO,1993,4,103.4,-999.0,-999.0
110056,PACCHO,1993,5,8.1,-999.0,-999.0
110056,PACCHO,1993,6,0.0,-999.0,-999.0
110056,PACCHO,1993,7,0.0,-999.0,-999.0
110056,PACCHO,1993,8,0.3,-999.0,-999.0
110056,PACCHO,1993,9,0.0,-999.0,-999.0
110056,PACCHO,1993,10,40.3,-999.0,-999.0
110056,PACCHO,1993,11,58.8,-999.0,-999.0
110056,PACCHO,1993,12,93.8,-999.0,-999.0
110056,PACCHO,1994,1,142.7,-999.0,-999.0
110056,PACCHO,1994,2,185.3,-999.0,-999.0
110056,PACCHO,1994,3,115.4,-999.0,-999.0
110056,PACCHO,1994,4,57.0,-999.0,-999.0
110056,PACCHO,1994,5,0.0,-999.0,-999.0
110056,PACCHO,1994,6,0.0,-999.0,-999.0
110056,PACCHO,1994,7,0.0,-999.0,-999.0
110056,PACCHO,1994,8,0.0,-999.0,-999.0
110056,PACCHO,1994,9,13.8,-999.0,-999.0
110056,PACCHO,1994,10,0.0,-999.0,-999.0
110056,PACCHO,1994,11,10.4,-999.0,-999.0
110056,PACCHO,1994,12,74.4,-999.0,-999.0
110056,PACCHO,1995,1,79.7,-999.0,-999.0
110056,PACCHO,1995,2,63.6,-999.0,-999.0
110056,PACCHO,1995,3,105.9,-999.0,-999.0
110056,PACCHO,1995,4,84.0,-999.0,-999.0
110056,PACCHO,1995,5,13.3,-999.0,-999.0
110056,PACCHO,1995,6,0.0,-999.0,-999.0
110056,PACCHO,1995,7,0.0,-999.0,-999.0
110056,PACCHO,1995,8,0.0,-999.0,-999.0
110056,PACCHO,1995,9,0.0,-999.0,-999.0
110056,PACCHO,1995,10,25.4,-999.0,-999.0
110056,PACCHO,1995,11,67.9,-999.0,-999.0
110056,PACCHO,1995,12,57.7,-999.0,-999.0
110056,PACCHO,1996,1,110.1,-999.0,-999.0
110056,PACCHO,1996,2,154.4,-999.0,-999.0
110056,PACCHO,1996,3,174.2,-999.0,-999.0
110056,PACCHO,1996,4,38.5,-999.0,-999.0
110056,PACCHO,1996,5,0.0,-999.0,-999.0
110056,PACCHO,1996,6,0.0,-999.0,-999.0
110056,PACCHO,1996,7,0.0,-999.0,-999.0
110056,PACCHO,1996,8,0.0,-999.0,-999.0
110056,PACCHO,1996,9,0.0,-999.0,-999.0
110056,PACCHO,1996,10,10.9,-999.0,-999.0
110056,PACCHO,1996,11,6.0,-999.0,-999.0
110056,PACCHO,1996,12,42.3,-999.0,-999.0
110056,PACCHO,1997,1,94.4,-999.0,-999.0
110056,PACCHO,1997,2,135.5,-999.0,-999.0
110056,PACCHO,1997,3,65.8,-999.0,-999.0
110056,PACCHO,1997,4,46.3,-999.0,-999.0
110056,PACCHO,1997,5,0.0,-999.0,-999.0
110056,PACCHO,1997,6,0.0,-999.0,-999.0
110056,PACCHO,1997,7,0.0,-999.0,-999.0
110056,PACCHO,1997,8,0.3,-999.0,-999.0
110056,PACCHO,1997,9,3.9,-999.0,-999.0
110056,PACCHO,1997,10,9.2,-999.0,-999.0
110056,PACCHO,1997,11,62.0,-999.0,-999.0
110056,PACCHO,1997,12,181.4,-999.0,-999.0
110056,PACCHO,1998,1,259.2,-999.0,-999.0
110056,PACCHO,1998,2,236.4,-999.0,-999.0
110056,PACCHO,1998,3,308.0,-999.0,-999.0
110056,PACCHO,1998,4,66.5,-999.0,-999.0
110056,PACCHO,1998,5,0.0,-999.0,-999.0
110056,PACCHO,1998,6,0.5,-999.0,-999.0
110056,PACCHO,1998,7,0.0,-999.0,-999.0
110056,PACCHO,1998,8,0.0,-999.0,-999.0
110056,PACCHO,1998,9,1.2,-999.0,-999.0
110056,PACCHO,1998,10,13.7,-999.0,-999.0
110056,PACCHO,1998,11,1.5,-999.0,-999.0
110056,PACCHO,1998,12,38.9,-999.0,-999.0
110056,PACCHO,1999,1,102.5,-999.0,-999.0
110056,PACCHO,1999,2,314.1,-999.0,-999.0
110056,PACCHO,1999,3,165.8,-999.0,-999.0
110056,PACCHO,1999,4,68.4,-999.0,-999.0
110056,PACCHO,1999,5,55.7,-999.0,-999.0
110056,PACCHO,1999,6,0.0,-999.0,-999.0
110056,PACCHO,1999,7,0.0,-999.0,-999.0
110056,PACCHO,1999,8,0.0,-999.0,-999.0
110056,PACCHO,1999,9,4.0,-999.0,-999.0
110056,PACCHO,1999,10,19.5,-999.0,-999.0
110056,PACCHO,1999,11,19.0,-999.0,-999.0
110056,PACCHO,1999,12,58.9,-999.0,-999.0
110056,PACCHO,2000,1,142.6,-999.0,-999.0
110056,PACCHO,2000,2,199.0,-999.0,-999.0
110056,PACCHO,2000,3,154.6,-999.0,-999.0
110056,PACCHO,2000,4,58.3,-999.0,-999.0
110056,PACCHO,2000,5,29.2,-999.0,-999.0
110056,PACCHO,2000,6,0.0,-999.0,-999.0
110056,PACCHO,2000,7,0.0,-999.0,-999.0
110056,PACCHO,2000,8,0.0,-999.0,-999.0
110056,PACCHO,2000,9,3.9,-999.0,-999.0
110056,PACCHO,2000,10,19.9,-999.0,-999.0
110056,PACCHO,2000,11,14.1,-999.0,-999.0
110056,PACCHO,2000,12,123.3,-999.0,-999.0
110056,PACCHO,2001,1,244.7,-999.0,-999.0
110056,PACCHO,2001,2,122.0,-999.0,-999.0
110056,PACCHO,2001,3,272.4,-999.0,-999.0
110056,PACCHO,2001,4,39.3,-999.0,-999.0
110056,PACCHO,2001,5,0.7,-999.0,-999.0
110056,PACCHO,2001,6,0.0,-999.0,-999.0
110056,PACCHO,2001,7,0.0,-999.0,-999.0
110056,PACCHO,2001,8,0.0,-999.0,-999.0
110056,PACCHO,2001,9,7.6,-999.0,-999.0
110056,PACCHO,2001,10,10.5,-999.0,-999.0
110056,PACCHO,2001,11,80.8,-999.0,-999.0
110056,PACCHO,2001,12,52.1,-999.0,-999.0
110056,PACCHO,2002,1,56.7,-999.0,-999.0
110056,PACCHO,2002,2,129.3,-999.0,-999.0
110056,PACCHO,2002,3,145.0,-999.0,-999.0
110056,PACCHO,2002,4,116.9,-999.0,-999.0
110056,PACCHO,2002,5,0.0,-999.0,-999.0
110056,PACCHO,2002,6,0.0,-999.0,-999.0
110056,PACCHO,2002,7,0.0,-999.0,-999.0
110056,PACCHO,2002,8,0.0,-999.0,-999.0
110056,PACCHO,2002,9,15.2,-999.0,-999.0
110056,PACCHO,2002,10,31.3,-999.0,-999.0
110056,PACCHO,2002,11,71.4,-999.0,-999.0
110056,PACCHO,2002,12,30.6,-999.0,-999.0
110056,PACCHO,2003,1,79.9,-999.0,-999.0
110056,PACCHO,2003,2,110.6,-999.0,-999.0
110056,PACCHO,2003,3,142.9,-999.0,-999.0
110056,PACCHO,2003,4,25.9,-999.0,-999.0
110056,PACCHO,2003,5,0.0,-999.0,-999.0
110056,PACCHO,2003,6,-999.0,-999.0,-999.0
110056,PACCHO,2003,7,0.0,-999.0,-999.0
110056,PACCHO,2003,8,0.0,-999.0,-999.0
110056,PACCHO,2003,9,0.0,-999.0,-999.0
110056,PACCHO,2003,10,6.2,-999.0,-999.0
110056,PACCHO,2003,11,5.9,-999.0,-999.0
110056,PACCHO,2003,12,122.1,-999.0,-999.0
110056,PACCHO,2004,1,23.1,-999.0,-999.0
110056,PACCHO,2004,2,155.9,-999.0,-999.0
110056,PACCHO,2004,3,106.5,-999.0,-999.0
110056,PACCHO,2004,4,63.1,-999.0,-999.0
110056,PACCHO,2004,5,0.0,-999.0,-999.0
110056,PACCHO,2004,6,0.0,-999.0,-999.0
110056,PACCHO,2004,7,0.0,-999.0,-999.0
110056,PACCHO,2004,8,-999.0,-999.0,-999.0
110056,PACCHO,2004,9,4.7,-999.0,-999.0
