CODIGO,ESTACION,YEAR,MONTH,PP,TMAX,TMIN
111022,HUAYAN,1990,1,0.0,28.88,17.79
111022,HUAYAN,1990,2,0.0,30.06,18.54
111022,HUAYAN,1990,3,0.0,30.02,18.44
111022,HUAYAN,1990,4,0.0,27.77,16.04
111022,HUAYAN,1990,5,0.0,-999.0,15.4
111022,HUAYAN,1990,6,3.7,20.72,13.95
111022,HUAYAN,1990,7,-999.0,-999.0,13.42
111022,HUAYAN,1990,8,0.0,20.81,12.6
111022,HUAYAN,1990,9,-999.0,-999.0,13.19
111022,HUAYAN,1990,10,-999.0,24.28,-999.0
111022,HUAYAN,1990,11,-999.0,25.56,-999.0
111022,HUAYAN,1990,12,-999.0,-999.0,16.49
111022,HUAYAN,1991,1,-999.0,27.91,18.22
111022,HUAYAN,1991,2,0.0,29.05,18.57
111022,HUAYAN,1991,3,0.0,29.51,19.1
111022,HUAYAN,1991,4,0.0,28.33,17.19
111022,HUAYAN,1991,5,0.0,-999.0,15.04
111022,HUAYAN,1991,6,0.0,23.02,13.88
111022,HUAYAN,1991,7,0.6,-999.0,13.74
111022,HUAYAN,1991,8,0.6,20.72,13.06
111022,HUAYAN,1991,9,0.0,22.27,13.56
111022,HUAYAN,1991,10,0.0,-999.0,-999.0
111022,HUAYAN,1991,11,0.0,24.61,14.95
111022,HUAYAN,1991,12,0.0,27.24,16.75
111022,HUAYAN,1992,1,0.0,29.04,18.66
111022,HUAYAN,1992,2,0.0,29.57,19.32
111022,HUAYAN,1992,3,0.0,30.58,20.5
111022,HUAYAN,1992,4,0.0,-999.0,20.13
111022,HUAYAN,1992,5,0.0,-999.0,17.01
111022,HUAYAN,1992,6,-999.0,-999.0,-999.0
111022,HUAYAN,1992,7,2.7,18.02,13.59
111022,HUAYAN,1992,8,0.0,19.07,13.08
111022,HUAYAN,1992,9,0.0,20.42,12.95
111022,HUAYAN,1992,10,0.1,22.69,14.2
111022,HUAYAN,1992,11,0.0,24.9,15.09
111022,HUAYAN,1992,12,0.0,26.11,15.39
111022,HUAYAN,1993,1,0.0,26.91,17.81
111022,HUAYAN,1993,2,0.0,29.3,19.66
111022,HUAYAN,1993,3,0.0,29.61,19.3
111022,HUAYAN,1993,4,0.0,27.44,17.59
111022,HUAYAN,1993,5,3.6,23.64,16.64
111022,HUAYAN,1993,6,1.1,22.08,15.29
111022,HUAYAN,1993,7,2.4,19.21,14.45
111022,HUAYAN,1993,8,0.0,20.54,13.7
111022,HUAYAN,1993,9,0.0,21.69,13.63
111022,HUAYAN,1993,10,0.0,23.66,14.11
111022,HUAYAN,1993,11,0.0,-999.0,14.71
111022,HUAYAN,1993,12,0.0,25.25,16.5
111022,HUAYAN,1994,1,0.4,27.76,18.21
111022,HUAYAN,1994,2,-999.0,28.61,18.9
111022,HUAYAN,1994,3,0.0,28.9,18.35
111022,HUAYAN,1994,4,0.0,27.52,16.93
111022,HUAYAN,1994,5,1.0,24.0,15.21
111022,HUAYAN,1994,6,0.7,21.02,13.27
111022,HUAYAN,1994,7,0.0,19.03,12.8
111022,HUAYAN,1994,8,0.1,18.99,12.92
111022,HUAYAN,1994,9,0.0,22.97,13.55
111022,HUAYAN,1994,10,0.2,22.5,14.0
111022,HUAYAN,1994,11,0.6,23.97,14.89
111022,HUAYAN,1994,12,0.0,-999.0,17.34
111022,HUAYAN,1995,1,0.0,28.05,18.97
111022,HUAYAN,1995,2,0.0,29.5,18.89
111022,HUAYAN,1995,3,1.7,29.84,18.59
111022,HUAYAN,1995,4,-999.0,27.44,16.41
111022,HUAYAN,1995,5,0.0,25.42,14.54
111022,HUAYAN,1995,6,0.0,22.64,13.0
111022,HUAYAN,1995,7,1.2,18.93,12.71
111022,HUAYAN,1995,8,1.8,18.8,12.57
111022,HUAYAN,1995,9,0.6,-999.0,13.39
111022,HUAYAN,1995,10,0.0,22.23,13.4
111022,HUAYAN,1995,11,0.0,23.76,14.87
111022,HUAYAN,1995,12,0.0,26.88,15.16
111022,HUAYAN,1996,1,0.0,28.18,17.03
111022,HUAYAN,1996,2,0.0,29.99,18.27
111022,HUAYAN,1996,3,7.2,29.15,18.06
111022,HUAYAN,1996,4,0.1,26.8,15.86
111022,HUAYAN,1996,5,0.0,24.23,14.08
111022,HUAYAN,1996,6,-999.0,19.17,12.78
111022,HUAYAN,1996,7,-999.0,19.56,11.91
111022,HUAYAN,1996,8,-999.0,-999.0,12.57
111022,HUAYAN,1996,9,-999.0,21.35,12.69
111022,HUAYAN,1996,10,-999.0,22.36,13.34
111022,HUAYAN,1996,11,-999.0,22.72,-999.0
111022,HUAYAN,1996,12,-999.0,25.63,15.57
111022,HUAYAN,1997,1,0.0,27.53,17.96
111022,HUAYAN,1997,2,0.0,29.61,18.51
111022,HUAYAN,1997,3,0.0,29.92,18.68
111022,HUAYAN,1997,4,0.0,28.31,17.55
111022,HUAYAN,1997,5,0.0,26.7,17.03
111022,HUAYAN,1997,6,0.0,26.44,17.77
111022,HUAYAN,1997,7,0.0,25.9,17.48
111022,HUAYAN,1997,8,3.1,24.95,17.6
111022,HUAYAN,1997,9,0.1,24.48,17.2
111022,HUAYAN,1997,10,1.7,24.17,16.07
111022,HUAYAN,1997,11,0.0,25.19,17.63
111022,HUAYAN,1997,12,6.7,26.59,19.95
111022,HUAYAN,1998,1,9.7,29.06,21.86
111022,HUAYAN,1998,2,15.9,-999.0,22.37
111022,HUAYAN,1998,3,5.6,30.7,21.42
111022,HUAYAN,1998,4,0.0,29.83,19.88
111022,HUAYAN,1998,5,0.9,26.29,17.39
111022,HUAYAN,1998,6,1.8,22.37,16.09
111022,HUAYAN,1998,7,1.7,20.74,14.8
111022,HUAYAN,1998,8,2.7,20.11,14.35
111022,HUAYAN,1998,9,1.1,21.22,13.15
111022,HUAYAN,1998,10,0.1,23.35,13.75
111022,HUAYAN,1998,11,0.1,24.2,14.36
111022,HUAYAN,1998,12,0.0,25.35,16.18
111022,HUAYAN,1999,1,3.6,27.44,17.41
111022,HUAYAN,1999,2,12.0,28.65,20.03
111022,HUAYAN,1999,3,0.9,29.28,18.43
111022,HUAYAN,1999,4,0.1,27.89,17.03
111022,HUAYAN,1999,5,0.0,25.94,14.55
111022,HUAYAN,1999,6,2.0,21.36,-999.0
111022,HUAYAN,1999,7,1.3,18.93,-999.0
111022,HUAYAN,1999,8,1.4,20.25,12.91
111022,HUAYAN,1999,9,0.5,22.19,13.02
111022,HUAYAN,1999,10,0.0,23.91,14.07
111022,HUAYAN,1999,11,1.5,24.24,14.2
111022,HUAYAN,1999,12,0.0,25.83,16.54
111022,HUAYAN,2000,1,2.3,27.44,18.59
111022,HUAYAN,2000,2,1.3,29.68,18.79
111022,HUAYAN,2000,3,0.3,29.41,18.18
111022,HUAYAN,2000,4,0.0,28.9,17.58
111022,HUAYAN,2000,5,0.5,24.63,14.97
111022,HUAYAN,2000,6,4.5,19.24,13.93
111022,HUAYAN,2000,7,4.3,18.57,13.87
111022,HUAYAN,2000,8,2.5,20.12,13.74
111022,HUAYAN,2000,9,0.5,21.93,13.04
111022,HUAYAN,2000,10,0.1,23.99,13.87
111022,HUAYAN,2000,11,0.0,24.61,13.4
111022,HUAYAN,2000,12,1.2,-999.0,16.74
111022,HUAYAN,2001,1,6.6,28.24,18.51
111022,HUAYAN,2001,2,2.0,29.99,19.79
111022,HUAYAN,2001,3,1.7,30.61,19.49
111022,HUAYAN,2001,4,0.2,28.71,17.93
111022,HUAYAN,2001,5,1.6,23.19,15.09
111022,HUAYAN,2001,6,3.4,19.3,-999.0
111022,HUAYAN,2001,7,4.8,18.43,13.17
111022,HUAYAN,2001,8,2.1,19.59,-999.0
111022,HUAYAN,2001,9,0.9,20.9,13.03
111022,HUAYAN,2001,10,0.0,23.15,13.56
111022,HUAYAN,2001,11,4.8,24.66,14.56
111022,HUAYAN,2001,12,0.1,26.98,16.01
111022,HUAYAN,2002,1,0.0,28.35,17.08
111022,HUAYAN,2002,2,39.7,29.3,19.29
111022,HUAYAN,2002,3,0.1,29.71,19.95
111022,HUAYAN,2002,4,0.7,27.9,-999.0
111022,HUAYAN,2002,5,0.1,26.02,15.54
111022,HUAYAN,2002,6,2.7,20.57,13.59
111022,HUAYAN,2002,7,7.3,18.71,-999.0
111022,HUAYAN,2002,8,6.6,18.53,13.06
111022,HUAYAN,2002,9,2.7,21.52,13.49
111022,HUAYAN,2002,10,1.7,-999.0,14.55
111022,HUAYAN,2002,11,0.6,24.68,15.64
111022,HUAYAN,2002,12,0.2,26.38,16.45
111022,HUAYAN,2003,1,2.7,-999.0,18.87
111022,HUAYAN,2003,2,1.3,30.46,19.56
111022,HUAYAN,2003,3,0.6,30.12,18.7
111022,HUAYAN,2003,4,0.0,28.16,16.32
111022,HUAYAN,2003,5,0.0,25.16,15.35
111022,HUAYAN,2003,6,1.6,22.05,13.02
111022,HUAYAN,2003,7,3.2,20.58,-999.0
111022,HUAYAN,2003,8,4.0,20.31,12.71
111022,HUAYAN,2003,9,2.6,20.95,13.35
111022,HUAYAN,2003,10,0.0,23.79,13.97
111022,HUAYAN,2003,11,0.0,-999.0,14.35
111022,HUAYAN,2003,12,2.9,26.62,17.04
111022,HUAYAN,2004,1,0.0,-999.0,18.09
111022,HUAYAN,2004,2,0.0,30.06,19.07
111022,HUAYAN,2004,3,0.0,30.23,18.77
111022,HUAYAN,2004,4,0.0,28.45,17.23
111022,HUAYAN,2004,5,-999.0,-999.0,-999.0
111022,HUAYAN,2004,6,0.0,19.34,-999.0
111022,HUAYAN,2004,7,2.8,20.09,-999.0
111022,HUAYAN,2004,8,0.6,20.1,12.76
111022,HUAYAN,2004,9,0.9,-999.0,13.59
111022,HUAYAN,2004,10,0.0,23.81,14.01
111022,HUAYAN,2004,11,1.0,-999.0,15.11
111022,HUAYAN,2004,12,0.3,26.61,16.55
111022,HUAYAN,2005,1,0.1,-999.0,-999.0
111022,HUAYAN,2005,2,0.0,29.68,19.14
111022,HUAYAN,2005,3,0.0,-999.0,-999.0
111022,HUAYAN,2005,4,0.0,-999.0,17.06
111022,HUAYAN,2005,5,1.9,24.17,14.17
111022,HUAYAN,2005,6,1.5,20.59,13.29
111022,HUAYAN,2005,7,1.6,19.0,13.24
111022,HUAYAN,2005,8,0.8,20.59,12.99
111022,HUAYAN,2005,9,2.6,20.9,13.35
111022,HUAYAN,2005,10,0.0,21.63,13.59
111022,HUAYAN,2005,11,0.0,24.26,14.09
111022,HUAYAN,2005,12,0.4,26.66,16.15
111022,HUAYAN,2006,1,0.9,28.31,18.36
111022,HUAYAN,2006,2,0.2,30.61,20.3
111022,HUAYAN,2006,3,1.3,30.07,19.33
111022,HUAYAN,2006,4,-999.0,-999.0,-999.0
111022,HUAYAN,2006,5,0.0,25.49,14.9
111022,HUAYAN,2006,6,1.3,19.82,13.06
111022,HUAYAN,2006,7,1.6,19.74,13.77
111022,HUAYAN,2006,8,1.2,19.57,13.24
111022,HUAYAN,2006,9,1.5,21.64,13.59
111022,HUAYAN,2006,10,0.2,22.44,13.9
111022,HUAYAN,2006,11,1.0,-999.0,15.09
111022,HUAYAN,2006,12,0.4,26.63,16.06
111022,HUAYAN,2007,1,0.0,28.31,18.36
111022,HUAYAN,2007,2,-999.0,-999.0,-999.0
111022,HUAYAN,2007,3,-999.0,-999.0,-999.0
111022,HUAYAN,2007,4,-999.0,-999.0,-999.0
111022,HUAYAN,2007,5,0.0,-999.0,-999.0
111022,HUAYAN,2007,6,0.0,21.76,12.68
111022,HUAYAN,2007,7,1.1,19.04,12.94
111022,HUAYAN,2007,8,4.7,17.46,-999.0
111022,HUAYAN,2007,9,0.5,19.25,12.29
111022,HUAYAN,2007,10,0.0,22.64,12.21
111022,HUAYAN,2007,11,0.0,23.72,13.9
111022,HUAYAN,2007,12,0.0,25.64,14.69
111022,HUAYAN,2008,1,0.0,29.1,18.38
111022,HUAYAN,2008,2,0.0,30.85,18.76
111022,HUAYAN,2008,3,2.5,31.08,17.24
111022,HUAYAN,2008,4,0.0,30.57,16.58
111022,HUAYAN,2008,5,1.0,-999.0,-999.0
111022,HUAYAN,2008,6,5.6,-999.0,-999.0
111022,HUAYAN,2008,7,1.2,22.85,-999.0
111022,HUAYAN,2008,8,8.9,20.45,-999.0
111022,HUAYAN,2008,9,4.8,22.59,-999.0
111022,HUAYAN,2008,10,1.5,23.56,-999.0
111022,HUAYAN,2008,11,1.8,25.2,-999.0
111022,HUAYAN,2008,12,1.3,27.38,-999.0
111022,HUAYAN,2009,1,2.8,30.28,-999.0
111022,HUAYAN,2009,2,6.4,31.37,-999.0
111022,HUAYAN,2009,3,3.1,31.59,-999.0
111022,HUAYAN,2009,4,1.0,-999.0,-999.0
111022,HUAYAN,2009,5,0.0,26.59,-999.0
111022,HUAYAN,2009,6,6.4,-999.0,-999.0
111022,HUAYAN,2009,7,9.4,19.79,-999.0
111022,HUAYAN,2009,8,8.3,20.14,-999.0
111022,HUAYAN,2009,9,3.9,-999.0,-999.0
111022,HUAYAN,2009,10,1.4,23.71,-999.0
111022,HUAYAN,2009,11,1.8,25.04,-999.0
111022,HUAYAN,2009,12,2.6,24.19,-999.0
111022,HUAYAN,2010,1,5.8,-999.0,-999.0
111022,HUAYAN,2010,2,0.3,30.13,-999.0
111022,HUAYAN,2010,3,0.5,30.15,-999.0
111022,HUAYAN,2010,4,0.5,29.18,-999.0
111022,HUAYAN,2010,5,3.1,-999.0,-999.0
111022,HUAYAN,2010,6,3.1,20.63,-999.0
111022,HUAYAN,2010,7,4.9,18.32,10.37
111022,HUAYAN,2010,8,0.7,20.47,-999.0
111022,HUAYAN,2010,9,1.0,22.6,11.22
111022,HUAYAN,2010,10,0.8,22.66,12.82
111022,HUAYAN,2010,11,0.1,24.1,13.26
111022,HUAYAN,2010,12,1.1,27.49,15.95
111022,HUAYAN,2011,1,1.2,29.3,17.55
111022,HUAYAN,2011,2,1.1,30.69,18.23
111022,HUAYAN,2011,3,1.4,30.14,17.61
111022,HUAYAN,2011,4,0.9,29.01,17.05
111022,HUAYAN,2011,5,1.4,23.19,14.73
111022,HUAYAN,2011,6,8.5,21.58,15.16
111022,HUAYAN,2011,7,11.4,18.65,14.05
111022,HUAYAN,2011,8,10.2,-999.0,13.0
111022,HUAYAN,2011,9,3.8,21.51,12.85
111022,HUAYAN,2011,10,0.8,23.67,13.29
111022,HUAYAN,2011,11,0.3,25.11,14.85
111022,HUAYAN,2011,12,0.0,27.03,16.87
111022,HUAYAN,2012,1,0.0,30.06,18.03
111022,HUAYAN,2012,2,3.5,30.4,19.32
111022,HUAYAN,2012,3,4.5,30.39,19.37
111022,HUAYAN,2012,4,0.0,29.85,18.04
111022,HUAYAN,2012,5,1.0,25.46,16.19
111022,HUAYAN,2012,6,6.3,22.56,15.49
111022,HUAYAN,2012,7,6.1,21.6,15.15
111022,HUAYAN,2012,8,11.7,18.75,13.61
111022,HUAYAN,2012,9,1.5,-999.0,14.03
111022,HUAYAN,2012,10,1.7,-999.0,-999.0
