CODIGO,ESTACION,YEAR,MONTH,PP,TMAX,TMIN
111029,TARMA,1990,1,42.0,-999.0,-999.0
111029,TARMA,1990,2,8.0,-999.0,-999.0
111029,TARMA,1990,3,2.0,-999.0,-999.0
111029,TARMA,1990,4,11.0,-999.0,-999.0
111029,TARMA,1990,5,40.0,-999.0,-999.0
111029,TARMA,1990,6,36.0,-999.0,-999.0
111029,TARMA,1990,7,2.0,-999.0,-999.0
111029,TARMA,1990,8,18.0,-999.0,-999.0
111029,TARMA,1990,9,34.0,-999.0,-999.0
111029,TARMA,1990,10,47.0,-999.0,-999.0
111029,TARMA,1990,11,24.0,-999.0,-999.0
111029,TARMA,1990,12,16.0,-999.0,-999.0
111029,TARMA,1991,1,41.0,-999.0,-999.0
111029,TARMA,1991,2,10.0,-999.0,-999.0
111029,TARMA,1991,3,40.0,-999.0,-999.0
111029,TARMA,1991,4,2.0,-999.0,-999.0
111029,TARMA,1991,5,4.0,-999.0,-999.0
111029,TARMA,1991,6,11.0,-999.0,-999.0
111029,TARMA,1991,7,5.0,-999.0,-999.0
111029,TARMA,1991,8,0.0,-999.0,-999.0
111029,TARMA,1991,9,18.0,-999.0,-999.0
111029,TARMA,1991,10,11.0,-999.0,-999.0
111029,TARMA,1991,11,8.0,-999.0,-999.0
111029,TARMA,1991,12,11.0,-999.0,-999.0
111029,TARMA,1992,1,10.0,-999.0,-999.0
111029,TARMA,1992,2,10.0,-999.0,-999.0
111029,TARMA,1992,3,34.0,-999.0,-999.0
111029,TARMA,1992,4,11.0,-999.0,-999.0
111029,TARMA,1992,5,0.0,-999.0,-999.0
111029,TARMA,1992,6,11.0,-999.0,-999.0
111029,TARMA,1992,7,0.0,-999.0,-999.0
111029,TARMA,1992,8,21.0,-999.0,-999.0
111029,TARMA,1992,9,3.0,-999.0,-999.0
111029,TARMA,1992,10,25.0,-999.0,-999.0
111029,TARMA,1992,11,18.0,-999.0,-999.0
111029,TARMA,1992,12,7.0,-999.0,-999.0
111029,TARMA,1993,1,46.0,-999.0,-999.0
111029,TARMA,1993,2,27.0,-999.0,-999.0
111029,TARMA,1993,3,42.0,-999.0,-999.0
111029,TARMA,1993,4,15.0,-999.0,-999.0
111029,TARMA,1993,5,17.0,-999.0,-999.0
111029,TARMA,1993,6,0.0,-999.0,-999.0
111029,TARMA,1993,7,4.0,-999.0,-999.0
111029,TARMA,1993,8,9.0,-999.0,-999.0
111029,TARMA,1993,9,5.0,-999.0,-999.0
111029,TARMA,1993,10,18.0,-999.0,-999.0
111029,TARMA,1993,11,47.0,-999.0,-999.0
111029,TARMA,1993,12,48.0,-999.0,-999.0
111029,TARMA,1994,1,40.0,-999.0,-999.0
111029,TARMA,1994,2,38.0,-999.0,-999.0
111029,TARMA,1994,3,37.0,-999.0,-999.0
111029,TARMA,1994,4,36.0,-999.0,-999.0
111029,TARMA,1994,5,7.0,-999.0,-999.0
111029,TARMA,1994,6,1.0,19.54,-999.0
111029,TARMA,1994,7,1.0,18.06,-999.0
111029,TARMA,1994,8,2.0,20.07,-999.0
111029,TARMA,1994,9,15.0,20.1,-999.0
111029,TARMA,1994,10,32.0,21.45,-999.0
111029,TARMA,1994,11,19.0,21.54,-999.0
111029,TARMA,1994,12,28.0,21.33,-999.0
111029,TARMA,1995,1,21.0,20.62,-999.0
111029,TARMA,1995,2,44.0,20.37,-999.0
111029,TARMA,1995,3,63.0,19.21,-999.0
111029,TARMA,1995,4,15.0,20.85,-999.0
111029,TARMA,1995,5,6.0,21.58,-999.0
111029,TARMA,1995,6,0.0,20.99,3.46
111029,TARMA,1995,7,1.0,20.51,3.18
111029,TARMA,1995,8,0.0,20.79,3.72
111029,TARMA,1995,9,6.0,19.89,5.94
111029,TARMA,1995,10,17.0,20.6,6.15
111029,TARMA,1995,11,40.0,20.21,6.89
111029,TARMA,1995,12,24.0,20.22,7.3
111029,TARMA,1996,1,51.0,18.72,7.43
111029,TARMA,1996,2,57.0,20.0,7.19
111029,TARMA,1996,3,63.0,19.85,7.25
111029,TARMA,1996,4,33.0,20.11,7.17
111029,TARMA,1996,5,1.0,20.97,5.36
111029,TARMA,1996,6,2.0,19.82,3.67
111029,TARMA,1996,7,2.3,20.19,2.97
111029,TARMA,1996,8,2.0,18.95,4.83
111029,TARMA,1996,9,2.2,20.57,4.46
111029,TARMA,1996,10,43.8,20.71,6.9
111029,TARMA,1996,11,27.0,20.75,7.06
111029,TARMA,1996,12,48.8,20.19,6.99
111029,TARMA,1997,1,54.9,19.54,6.92
111029,TARMA,1997,2,76.2,19.6,6.72
111029,TARMA,1997,3,17.8,21.05,6.59
111029,TARMA,1997,4,16.2,21.74,5.45
111029,TARMA,1997,5,14.3,21.68,5.62
111029,TARMA,1997,6,3.0,20.81,1.91
111029,TARMA,1997,7,0.0,19.89,2.05
111029,TARMA,1997,8,16.8,18.6,3.75
111029,TARMA,1997,9,26.8,20.84,4.78
111029,TARMA,1997,10,23.3,21.58,6.41
111029,TARMA,1997,11,43.2,20.89,6.87
111029,TARMA,1997,12,64.8,20.46,7.32
111029,TARMA,1998,1,74.4,20.89,7.36
111029,TARMA,1998,2,90.8,21.63,7.35
111029,TARMA,1998,3,78.8,21.16,7.21
111029,TARMA,1998,4,13.0,23.31,6.91
111029,TARMA,1998,5,1.0,23.22,4.49
111029,TARMA,1998,6,6.0,20.63,3.83
111029,TARMA,1998,7,1.0,20.01,1.91
111029,TARMA,1998,8,2.0,20.24,5.38
111029,TARMA,1998,9,9.7,20.85,5.46
111029,TARMA,1998,10,12.0,19.71,6.59
111029,TARMA,1998,11,48.4,21.47,7.55
111029,TARMA,1998,12,37.2,20.55,7.07
111029,TARMA,1999,1,102.5,18.05,6.22
111029,TARMA,1999,2,84.7,18.61,6.92
111029,TARMA,1999,3,50.1,18.65,6.72
111029,TARMA,1999,4,32.2,19.57,6.2
111029,TARMA,1999,5,21.7,21.26,5.16
111029,TARMA,1999,6,4.5,21.09,2.61
111029,TARMA,1999,7,2.4,20.14,2.5
111029,TARMA,1999,8,2.4,20.48,1.36
111029,TARMA,1999,9,15.5,20.53,4.41
111029,TARMA,1999,10,25.5,19.35,4.61
111029,TARMA,1999,11,37.8,21.58,5.63
111029,TARMA,1999,12,54.6,22.16,7.3
111029,TARMA,2000,1,90.0,20.08,7.05
111029,TARMA,2000,2,95.4,19.46,6.96
111029,TARMA,2000,3,93.3,20.77,7.12
111029,TARMA,2000,4,28.6,21.24,6.73
111029,TARMA,2000,5,7.5,21.1,3.98
111029,TARMA,2000,6,6.3,21.4,5.12
111029,TARMA,2000,7,3.0,20.1,4.79
111029,TARMA,2000,8,8.4,19.47,4.92
111029,TARMA,2000,9,20.2,20.59,5.19
111029,TARMA,2000,10,7.2,20.04,6.46
111029,TARMA,2000,11,24.7,21.1,5.53
111029,TARMA,2000,12,51.8,19.13,6.48
111029,TARMA,2001,1,69.9,18.24,7.02
111029,TARMA,2001,2,58.7,18.7,7.29
111029,TARMA,2001,3,39.2,19.57,6.85
111029,TARMA,2001,4,18.9,20.42,4.9
111029,TARMA,2001,5,28.4,20.58,4.32
111029,TARMA,2001,6,4.8,19.5,2.96
111029,TARMA,2001,7,6.3,19.96,4.79
111029,TARMA,2001,8,10.5,18.93,2.61
111029,TARMA,2001,9,5.4,20.53,5.54
111029,TARMA,2001,10,36.6,20.5,6.89
111029,TARMA,2001,11,22.9,20.41,7.26
111029,TARMA,2001,12,61.2,20.37,6.89
111029,TARMA,2002,1,7.8,21.03,6.9
111029,TARMA,2002,2,75.3,20.3,7.0
111029,TARMA,2002,3,69.0,20.72,6.94
111029,TARMA,2002,4,36.0,20.6,6.18
111029,TARMA,2002,5,6.1,20.61,5.27
111029,TARMA,2002,6,0.0,20.88,2.67
111029,TARMA,2002,7,19.0,19.43,5.39
111029,TARMA,2002,8,4.9,20.18,4.49
111029,TARMA,2002,9,15.4,20.05,6.04
111029,TARMA,2002,10,46.7,20.29,6.45
111029,TARMA,2002,11,65.1,19.7,6.74
111029,TARMA,2002,12,25.8,20.29,6.64
111029,TARMA,2003,1,28.3,20.61,6.71
111029,TARMA,2003,2,44.2,20.68,6.65
111029,TARMA,2003,3,79.5,20.17,6.44
111029,TARMA,2003,4,27.4,20.23,6.1
111029,TARMA,2003,5,15.6,20.46,5.89
111029,TARMA,2003,6,1.8,20.82,3.35
111029,TARMA,2003,7,1.8,20.32,3.05
111029,TARMA,2003,8,7.2,20.11,4.04
111029,TARMA,2003,9,16.5,20.47,5.82
111029,TARMA,2003,10,12.9,21.6,6.11
111029,TARMA,2003,11,13.2,21.48,5.94
111029,TARMA,2003,12,60.6,20.0,6.5
111029,TARMA,2004,1,34.9,21.5,6.59
111029,TARMA,2004,2,54.5,20.32,6.9
111029,TARMA,2004,3,37.0,20.64,6.98
111029,TARMA,2004,4,13.4,21.2,5.71
111029,TARMA,2004,5,3.9,21.16,5.6
111029,TARMA,2004,6,19.4,18.99,4.15
111029,TARMA,2004,7,15.8,19.58,5.1
111029,TARMA,2004,8,17.7,18.71,5.15
111029,TARMA,2004,9,13.9,19.39,5.86
111029,TARMA,2004,10,47.2,20.95,6.9
111029,TARMA,2004,11,38.8,20.7,6.79
111029,TARMA,2004,12,77.8,19.88,6.65
111029,TARMA,2005,1,28.8,21.18,6.51
111029,TARMA,2005,2,22.0,20.94,6.79
111029,TARMA,2005,3,56.0,20.4,6.72
111029,TARMA,2005,4,10.0,21.56,6.05
111029,TARMA,2005,5,8.4,21.3,4.23
111029,TARMA,2005,6,0.0,20.92,3.2
111029,TARMA,2005,7,8.1,20.43,2.68
111029,TARMA,2005,8,1.4,20.68,3.17
111029,TARMA,2005,9,5.4,19.96,6.78
111029,TARMA,2005,10,38.3,20.73,7.2
111029,TARMA,2005,11,26.8,21.48,6.4
111029,TARMA,2005,12,67.1,19.69,7.2
111029,TARMA,2006,1,76.7,19.88,7.21
111029,TARMA,2006,2,67.1,19.73,7.24
111029,TARMA,2006,3,51.3,20.18,7.24
111029,TARMA,2006,4,41.5,20.17,6.3
111029,TARMA,2006,5,7.6,20.63,3.46
111029,TARMA,2006,6,21.1,19.91,4.51
111029,TARMA,2006,7,2.1,20.22,2.6
111029,TARMA,2006,8,6.1,20.01,5.06
111029,TARMA,2006,9,13.1,20.84,5.66
111029,TARMA,2006,10,52.7,20.87,6.72
111029,TARMA,2006,11,55.7,20.88,6.88
111029,TARMA,2006,12,78.3,21.32,6.87
111029,TARMA,2007,1,36.9,22.27,7.2
111029,TARMA,2007,2,47.3,21.97,6.61
111029,TARMA,2007,3,93.7,21.02,6.97
111029,TARMA,2007,4,23.3,20.91,6.01
111029,TARMA,2007,5,19.2,21.69,4.73
111029,TARMA,2007,6,0.0,22.51,2.49
111029,TARMA,2007,7,14.0,19.53,3.64
111029,TARMA,2007,8,1.8,20.36,3.83
111029,TARMA,2007,9,1.2,19.69,5.43
111029,TARMA,2007,10,68.7,20.7,6.25
111029,TARMA,2007,11,24.5,21.52,6.75
111029,TARMA,2007,12,53.1,20.61,6.82
111029,TARMA,2008,1,52.9,19.87,7.14
111029,TARMA,2008,2,66.1,19.84,6.81
111029,TARMA,2008,3,25.0,19.75,6.65
111029,TARMA,2008,4,30.8,21.02,6.15
111029,TARMA,2008,5,13.3,20.52,4.72
111029,TARMA,2008,6,6.8,20.58,2.74
111029,TARMA,2008,7,0.3,20.0,2.76
111029,TARMA,2008,8,3.1,21.77,4.46
111029,TARMA,2008,9,12.0,21.2,5.69
111029,TARMA,2008,10,36.5,20.52,6.75
111029,TARMA,2008,11,14.3,20.84,-999.0
111029,TARMA,2008,12,64.9,21.06,6.84
111029,TARMA,2009,1,75.0,20.55,6.84
111029,TARMA,2009,2,81.2,19.19,6.48
111029,TARMA,2009,3,70.8,20.66,7.09
111029,TARMA,2009,4,69.6,20.92,6.39
111029,TARMA,2009,5,11.2,20.83,5.18
111029,TARMA,2009,6,1.1,20.4,3.78
111029,TARMA,2009,7,12.8,20.27,3.78
111029,TARMA,2009,8,14.2,20.75,4.09
111029,TARMA,2009,9,10.8,20.5,4.55
111029,TARMA,2009,10,23.1,20.64,5.11
111029,TARMA,2009,11,76.0,21.15,6.66
111029,TARMA,2009,12,62.9,20.78,6.81
111029,TARMA,2010,1,60.3,21.45,6.52
111029,TARMA,2010,2,82.8,21.2,6.92
111029,TARMA,2010,3,75.7,21.98,6.66
111029,TARMA,2010,4,30.2,20.89,5.96
111029,TARMA,2010,5,3.6,22.43,5.15
111029,TARMA,2010,6,3.3,21.44,4.23
111029,TARMA,2010,7,1.1,22.88,2.82
111029,TARMA,2010,8,7.3,22.23,3.17
111029,TARMA,2010,9,23.2,21.9,6.11
111029,TARMA,2010,10,64.2,21.83,6.75
111029,TARMA,2010,11,27.0,20.94,6.56
111029,TARMA,2010,12,73.7,19.63,6.67
111029,TARMA,2011,1,84.7,19.7,6.5
111029,TARMA,2011,2,84.2,19.24,6.78
111029,TARMA,2011,3,104.1,20.17,7.14
111029,TARMA,2011,4,21.5,20.0,6.2
111029,TARMA,2011,5,10.9,20.99,5.22
111029,TARMA,2011,6,0.7,21.86,4.14
111029,TARMA,2011,7,3.8,20.8,3.47
111029,TARMA,2011,8,8.5,20.5,4.08
111029,TARMA,2011,9,4.9,21.6,6.31
111029,TARMA,2011,10,40.7,20.2,6.56
111029,TARMA,2011,11,41.3,21.55,6.57
111029,TARMA,2011,12,80.1,20.38,6.65
111029,TARMA,2012,1,48.8,21.15,6.34
111029,TARMA,2012,2,49.1,20.32,6.82
111029,TARMA,2012,3,38.6,19.78,6.64
111029,TARMA,2012,4,76.0,19.45,6.8
111029,TARMA,2012,5,8.7,21.59,5.47
111029,TARMA,2012,6,7.7,21.15,4.43
111029,TARMA,2012,7,6.3,20.91,2.88
111029,TARMA,2012,8,14.7,21.48,3.89
111029,TARMA,2012,9,18.2,19.93,5.36
111029,TARMA,2012,10,53.8,21.22,6.91
111029,TARMA,2012,11,44.6,21.11,7.22
111029,TARMA,2012,12,120.6,19.96,7.09
111029,TARMA,2013,1,65.3,20.81,6.79
111029,TARMA,2013,2,115.2,20.81,6.78
111029,TARMA,2013,3,61.2,20.76,6.43
111029,TARMA,2013,4,19.0,22.16,5.16
111029,TARMA,2013,5,5.3,20.65,5.16
111029,TARMA,2013,6,4.8,19.34,5.11
111029,TARMA,2013,7,18.8,19.35,4.02
111029,TARMA,2013,8,20.3,19.61,4.66
111029,TARMA,2013,9,17.1,20.69,5.15
111029,TARMA,2013,10,40.6,20.26,6.8
111029,TARMA,2013,11,15.0,21.5,6.61
111029,TARMA,2013,12,64.2,20.72,6.61
111029,TARMA,2014,1,68.7,20.43,6.92
111029,TARMA,2014,2,77.8,20.92,6.86
111029,TARMA,2014,3,89.0,20.35,6.69
111029,TARMA,2014,4,22.8,21.49,6.45
111029,TARMA,2014,5,24.7,21.34,5.8
111029,TARMA,2014,6,2.5,22.46,3.89
111029,TARMA,2014,7,18.3,20.41,4.41
111029,TARMA,2014,8,3.9,20.37,3.57
111029,TARMA,2014,9,25.9,20.46,5.97
111029,TARMA,2014,10,20.8,20.58,6.65
111029,TARMA,2014,11,23.7,21.54,6.98
111029,TARMA,2014,12,97.0,20.58,7.05
111029,TARMA,2015,1,63.9,20.26,6.46
111029,TARMA,2015,2,68.1,20.56,6.5
111029,TARMA,2015,3,38.2,20.35,6.8
111029,TARMA,2015,4,39.0,19.91,6.72
111029,TARMA,2015,5,16.3,20.84,6.09
111029,TARMA,2015,6,0.5,21.3,3.73
111029,TARMA,2015,7,7.1,21.36,2.99
111029,TARMA,2015,8,9.2,21.56,4.18
111029,TARMA,2015,9,12.1,21.49,5.57
111029,TARMA,2015,10,10.3,21.61,5.89
111029,TARMA,2015,11,78.8,21.96,6.47
111029,TARMA,2015,12,70.5,20.64,6.61
111029,TARMA,2016,1,32.3,22.08,6.48
111029,TARMA,2016,2,76.6,21.33,6.55
111029,TARMA,2016,3,39.5,21.69,6.59
111029,TARMA,2016,4,45.3,22.02,6.37
111029,TARMA,2016,5,1.9,21.89,5.3
111029,TARMA,2016,6,5.1,21.11,3.6
111029,TARMA,2016,7,8.8,21.73,2.52
111029,TARMA,2016,8,0.2,21.68,4.64
111029,TARMA,2016,9,13.1,21.39,5.7
111029,TARMA,2016,10,39.1,21.71,6.36
111029,TARMA,2016,11,17.6,22.3,6.09
111029,TARMA,2016,12,48.4,21.15,6.67
111029,TARMA,2017,1,93.6,20.14,6.47
111029,TARMA,2017,2,134.3,19.92,6.61
111029,TARMA,2017,3,83.6,20.56,6.59
111029,TARMA,2017,4,23.2,21.88,6.66
111029,TARMA,2017,5,14.9,21.24,6.3
111029,TARMA,2017,6,0.9,21.35,5.02
111029,TARMA,2017,7,0.2,21.9,3.05
111029,TARMA,2017,8,1.1,22.36,4.64
111029,TARMA,2017,9,11.9,21.49,6.51
111029,TARMA,2017,10,42.6,21.89,6.26
111029,TARMA,2017,11,26.4,21.6,6.55
111029,TARMA,2017,12,47.8,21.18,6.67
111029,TARMA,2018,1,83.5,20.5,6.65
111029,TARMA,2018,2,72.2,21.04,6.69
111029,TARMA,2018,3,85.4,21.41,6.5
111029,TARMA,2018,4,47.7,21.1,6.18
111029,TARMA,2018,5,28.0,22.05,4.73
111029,TARMA,2018,6,7.9,20.96,3.63
111029,TARMA,2018,7,6.5,20.89,3.93
111029,TARMA,2018,8,5.6,21.14,4.12
111029,TARMA,2018,9,12.1,22.36,5.01
111029,TARMA,2018,10,75.5,20.83,6.47
111029,TARMA,2018,11,18.2,22.2,6.54
111029,TARMA,2018,12,32.5,21.1,6.32
111029,TARMA,2019,1,59.2,20.28,6.57
111029,TARMA,2019,2,74.1,20.18,6.62
111029,TARMA,2019,3,102.8,20.82,6.49
111029,TARMA,2019,4,20.4,21.82,6.22
111029,TARMA,2019,5,8.8,22.16,4.92
111029,TARMA,2019,6,2.3,21.47,3.73
111029,TARMA,2019,7,1.0,21.1,3.57
111029,TARMA,2019,8,2.1,21.52,3.68
111029,TARMA,2019,9,25.0,20.74,6.13
111029,TARMA,2019,10,31.7,20.7,6.13
111029,TARMA,2019,11,10.8,21.68,6.15
111029,TARMA,2019,12,83.3,20.45,6.45
111029,TARMA,2020,1,81.7,20.94,6.34
111029,TARMA,2020,2,73.3,20.67,6.55
111029,TARMA,2020,3,79.3,20.95,6.47
111029,TARMA,2020,4,38.1,21.31,6.13
111029,TARMA,2020,5,14.9,21.71,5.49
111029,TARMA,2020,6,4.7,22.33,4.53
111029,TARMA,2020,7,5.3,22.38,3.83
111029,TARMA,2020,8,0.0,22.02,4.19
111029,TARMA,2020,9,10.3,21.03,6.22
111029,TARMA,2020,10,8.4,21.5,5.87
111029,TARMA,2020,11,13.1,22.14,5.86
111029,TARMA,2020,12,59.1,20.68,6.48
111029,TARMA,2021,1,59.5,20.16,6.28
111029,TARMA,2021,2,57.3,21.06,6.06
111029,TARMA,2021,3,80.7,20.73,6.25
111029,TARMA,2021,4,46.5,21.13,6.01
111029,TARMA,2021,5,4.1,21.7,5.31
111029,TARMA,2021,6,0.4,21.55,4.7
111029,TARMA,2021,7,0.0,21.75,3.1
111029,TARMA,2021,8,1.7,21.71,4.66
111029,TARMA,2021,9,12.4,21.35,5.96
111029,TARMA,2021,10,27.9,21.44,6.17
111029,TARMA,2021,11,62.5,20.49,6.27
111029,TARMA,2021,12,28.0,20.89,6.56
111029,TARMA,2022,1,112.1,21.04,6.15
111029,TARMA,2022,2,101.4,20.54,6.2
111029,TARMA,2022,3,66.9,20.35,6.32
111029,TARMA,2022,4,17.2,21.48,5.48
111029,TARMA,2022,5,9.2,21.5,5.04
111029,TARMA,2022,6,13.7,20.95,3.87
111029,TARMA,2022,7,1.0,21.55,3.04
111029,TARMA,2022,8,4.8,21.69,4.64
111029,TARMA,2022,9,6.3,22.06,5.31
111029,TARMA,2022,10,7.8,22.12,5.98
111029,TARMA,2022,11,4.9,21.66,5.96
111029,TARMA,2022,12,46.9,20.47,6.06
111029,TARMA,2023,1,63.0,20.47,6.05
111029,TARMA,2023,2,69.8,20.41,6.31
111029,TARMA,2023,3,102.7,19.82,6.35
111029,TARMA,2023,4,13.6,21.36,6.1
111029,TARMA,2023,5,29.8,21.41,5.45
111029,TARMA,2023,6,0.0,22.13,3.05
111029,TARMA,2023,7,0.1,22.53,1.79
111029,TARMA,2023,8,6.2,22.32,3.83
111029,TARMA,2023,9,15.3,21.3,5.8
111029,TARMA,2023,10,37.3,21.43,6.72
111029,TARMA,2023,11,21.0,21.82,6.75
111029,TARMA,2023,12,44.7,21.21,6.59
111029,TARMA,2024,1,117.4,20.91,6.62
111029,TARMA,2024,2,77.8,21.02,6.34
111029,TARMA,2024,3,65.6,21.06,6.57
111029,TARMA,2024,4,9.6,22.4,6.29
111029,TARMA,2024,5,8.1,22.34,5.71
111029,TARMA,2024,6,5.5,22.0,3.82
111029,TARMA,2024,7,0.0,21.71,3.14
111029,TARMA,2024,8,13.0,21.84,4.39
111029,TARMA,2024,9,14.0,21.53,5.31
111029,TARMA,2024,10,28.2,21.57,6.13
111029,TARMA,2024,11,87.6,21.1,6.93
111029,TARMA,2024,12,56.8,20.58,6.62
111029,TARMA,2025,1,56.6,21.04,6.67
111029,TARMA,2025,2,121.0,20.26,6.55
111029,TARMA,2025,3,125.1,19.16,6.55
111029,TARMA,2025,4,29.2,20.69,6.48
111029,TARMA,2025,5,16.3,20.95,5.55
111029,TARMA,2025,6,1.5,20.93,4.38
111029,TARMA,2025,7,0.5,20.79,2.63
111029,TARMA,2025,8,0.4,21.29,5.14
111029,TARMA,2025,9,11.5,20.04,6.84
111029,TARMA,2025,10,18.0,20.97,8.74
111029,TARMA,2025,11,24.8,21.5,7.92
111029,TARMA,2025,12,25.6,21.85,7.52
