CODIGO,ESTACION,YEAR,MONTH,PP,TMAX,TMIN
111030,HUASAHUASI,1990,1,-999.0,-999.0,-999.0
111030,HUASAHUASI,1990,2,-999.0,-999.0,-999.0
111030,HUASAHUASI,1990,3,-999.0,-999.0,-999.0
111030,HUASAHUASI,1990,4,-999.0,-999.0,-999.0
111030,HUASAHUASI,1990,5,-999.0,-999.0,-999.0
111030,HUASAHUASI,1990,6,-999.0,-999.0,-999.0
111030,HUASAHUASI,1990,7,-999.0,-999.0,-999.0
111030,HUASAHUASI,1990,8,-999.0,-999.0,-999.0
111030,HUASAHUASI,1990,9,-999.0,-999.0,-999.0
111030,HUASAHUASI,1990,10,-999.0,-999.0,-999.0
111030,HUASAHUASI,1990,11,-999.0,-999.0,-999.0
111030,HUASAHUASI,1990,12,-999.0,-999.0,-999.0
111030,HUASAHUASI,1991,1,-999.0,-999.0,-999.0
111030,HUASAHUASI,1991,2,-999.0,-999.0,-999.0
111030,HUASAHUASI,1991,3,-999.0,-999.0,-999.0
111030,HUASAHUASI,1991,4,-999.0,-999.0,-999.0
111030,HUASAHUASI,1991,5,-999.0,-999.0,-999.0
111030,HUASAHUASI,1991,6,-999.0,-999.0,-999.0
111030,HUASAHUASI,1991,7,-999.0,-999.0,-999.0
111030,HUASAHUASI,1991,8,-999.0,-999.0,-999.0
111030,HUASAHUASI,1991,9,-999.0,-999.0,-999.0
111030,HUASAHUASI,1991,10,-999.0,-999.0,-999.0
111030,HUASAHUASI,1991,11,-999.0,-999.0,-999.0
111030,HUASAHUASI,1991,12,-999.0,-999.0,-999.0
111030,HUASAHUASI,1992,1,-999.0,-999.0,-999.0
111030,HUASAHUASI,1992,2,-999.0,-999.0,-999.0
111030,HUASAHUASI,1992,3,-999.0,-999.0,-999.0
111030,HUASAHUASI,1992,4,-999.0,-999.0,-999.0
111030,HUASAHUASI,1992,5,-999.0,-999.0,-999.0
111030,HUASAHUASI,1992,6,-999.0,-999.0,-999.0
111030,HUASAHUASI,1992,7,-999.0,-999.0,-999.0
111030,HUASAHUASI,1992,8,-999.0,-999.0,-999.0
111030,HUASAHUASI,1992,9,-999.0,-999.0,-999.0
111030,HUASAHUASI,1992,10,-999.0,-999.0,-999.0
111030,HUASAHUASI,1992,11,-999.0,-999.0,-999.0
111030,HUASAHUASI,1992,12,-999.0,-999.0,-999.0
111030,HUASAHUASI,1993,1,-999.0,-999.0,-999.0
111030,HUASAHUASI,1993,2,-999.0,-999.0,-999.0
111030,HUASAHUASI,1993,3,-999.0,-999.0,-999.0
111030,HUASAHUASI,1993,4,-999.0,-999.0,-999.0
111030,HUASAHUASI,1993,5,-999.0,-999.0,-999.0
111030,HUASAHUASI,1993,6,-999.0,-999.0,-999.0
111030,HUASAHUASI,1993,7,-999.0,-999.0,-999.0
111030,HUASAHUASI,1993,8,-999.0,-999.0,-999.0
111030,HUASAHUASI,1993,9,-999.0,-999.0,-999.0
111030,HUASAHUASI,1993,10,-999.0,-999.0,-999.0
111030,HUASAHUASI,1993,11,-999.0,-999.0,-999.0
111030,HUASAHUASI,1993,12,-999.0,-999.0,-999.0
111030,HUASAHUASI,1994,1,-999.0,-999.0,-999.0
111030,HUASAHUASI,1994,2,-999.0,-999.0,-999.0
111030,HUASAHUASI,1994,3,-999.0,-999.0,-999.0
111030,HUASAHUASI,1994,4,-999.0,-999.0,-999.0
111030,HUASAHUASI,1994,5,-999.0,-999.0,-999.0
111030,HUASAHUASI,1994,6,-999.0,-999.0,-999.0
111030,HUASAHUASI,1994,7,-999.0,-999.0,-999.0
111030,HUASAHUASI,1994,8,-999.0,-999.0,-999.0
111030,HUASAHUASI,1994,9,-999.0,-999.0,-999.0
111030,HUASAHUASI,1994,10,-999.0,-999.0,-999.0
111030,HUASAHUASI,1994,11,-999.0,-999.0,-999.0
111030,HUASAHUASI,1994,12,-999.0,18.97,9.91
111030,HUASAHUASI,1995,1,-999.0,18.56,9.72
111030,HUASAHUASI,1995,2,6.7,18.7,9.91
111030,HUASAHUASI,1995,3,106.8,18.19,10.02
111030,HUASAHUASI,1995,4,50.3,19.33,8.7
111030,HUASAHUASI,1995,5,29.3,18.62,6.01
111030,HUASAHUASI,1995,6,8.9,18.16,5.5
111030,HUASAHUASI,1995,7,3.6,18.03,4.15
111030,HUASAHUASI,1995,8,4.0,18.7,4.59
111030,HUASAHUASI,1995,9,43.5,18.39,5.99
111030,HUASAHUASI,1995,10,-999.0,19.39,6.83
111030,HUASAHUASI,1995,11,80.1,19.13,6.47
111030,HUASAHUASI,1995,12,51.7,19.07,8.57
111030,HUASAHUASI,1996,1,58.9,17.39,9.09
111030,HUASAHUASI,1996,2,91.0,18.22,9.16
111030,HUASAHUASI,1996,3,128.7,17.77,9.21
111030,HUASAHUASI,1996,4,47.4,17.82,8.5
111030,HUASAHUASI,1996,5,7.1,17.82,6.52
111030,HUASAHUASI,1996,6,3.0,17.71,4.63
111030,HUASAHUASI,1996,7,7.6,16.88,3.97
111030,HUASAHUASI,1996,8,13.5,17.63,6.77
111030,HUASAHUASI,1996,9,22.3,18.96,7.0
111030,HUASAHUASI,1996,10,26.1,19.15,8.05
111030,HUASAHUASI,1996,11,42.7,18.92,7.82
111030,HUASAHUASI,1996,12,33.2,18.67,9.26
111030,HUASAHUASI,1997,1,80.3,18.38,10.15
111030,HUASAHUASI,1997,2,142.5,18.0,9.81
111030,HUASAHUASI,1997,3,33.6,17.94,9.26
111030,HUASAHUASI,1997,4,31.8,18.49,8.45
111030,HUASAHUASI,1997,5,21.5,17.62,7.54
111030,HUASAHUASI,1997,6,1.6,18.18,6.2
111030,HUASAHUASI,1997,7,0.8,18.09,6.03
111030,HUASAHUASI,1997,8,21.7,17.24,7.97
111030,HUASAHUASI,1997,9,48.5,18.35,9.12
111030,HUASAHUASI,1997,10,61.9,19.05,10.23
111030,HUASAHUASI,1997,11,57.7,19.03,10.43
111030,HUASAHUASI,1997,12,98.7,19.14,11.4
111030,HUASAHUASI,1998,1,89.2,19.23,11.83
111030,HUASAHUASI,1998,2,117.4,19.18,12.41
111030,HUASAHUASI,1998,3,132.0,19.06,11.72
111030,HUASAHUASI,1998,4,8.2,19.99,10.82
111030,HUASAHUASI,1998,5,3.4,19.61,7.98
111030,HUASAHUASI,1998,6,4.8,17.79,7.64
111030,HUASAHUASI,1998,7,0.3,18.07,6.2
111030,HUASAHUASI,1998,8,13.1,18.28,8.36
111030,HUASAHUASI,1998,9,31.4,18.96,8.41
111030,HUASAHUASI,1998,10,49.0,19.04,10.35
111030,HUASAHUASI,1998,11,33.2,18.77,9.9
111030,HUASAHUASI,1998,12,82.3,18.3,10.19
111030,HUASAHUASI,1999,1,107.5,17.05,10.36
111030,HUASAHUASI,1999,2,111.7,17.26,10.73
111030,HUASAHUASI,1999,3,105.5,17.37,10.54
111030,HUASAHUASI,1999,4,60.2,17.57,9.72
111030,HUASAHUASI,1999,5,25.7,17.77,7.95
111030,HUASAHUASI,1999,6,5.3,17.57,6.63
111030,HUASAHUASI,1999,7,5.2,16.76,6.03
111030,HUASAHUASI,1999,8,9.2,17.51,6.06
111030,HUASAHUASI,1999,9,11.8,18.68,8.71
111030,HUASAHUASI,1999,10,39.7,18.7,8.71
111030,HUASAHUASI,1999,11,61.3,19.29,9.29
111030,HUASAHUASI,1999,12,37.2,18.66,10.12
111030,HUASAHUASI,2000,1,109.6,17.69,10.46
111030,HUASAHUASI,2000,2,127.9,17.36,10.36
111030,HUASAHUASI,2000,3,142.1,17.04,10.26
111030,HUASAHUASI,2000,4,41.2,17.94,9.28
111030,HUASAHUASI,2000,5,14.0,18.71,7.47
111030,HUASAHUASI,2000,6,8.1,17.71,7.85
111030,HUASAHUASI,2000,7,10.8,17.14,6.14
111030,HUASAHUASI,2000,8,15.9,17.99,7.19
111030,HUASAHUASI,2000,9,46.8,18.25,7.97
111030,HUASAHUASI,2000,10,16.0,18.25,9.17
111030,HUASAHUASI,2000,11,46.6,19.33,7.89
111030,HUASAHUASI,2000,12,64.3,18.76,9.16
111030,HUASAHUASI,2001,1,107.0,16.57,10.5
111030,HUASAHUASI,2001,2,107.4,16.75,10.62
111030,HUASAHUASI,2001,3,93.2,17.21,10.35
111030,HUASAHUASI,2001,4,41.0,18.67,8.35
111030,HUASAHUASI,2001,5,27.6,18.6,8.16
111030,HUASAHUASI,2001,6,14.7,17.61,5.91
111030,HUASAHUASI,2001,7,21.4,17.24,6.72
111030,HUASAHUASI,2001,8,9.6,18.37,5.35
111030,HUASAHUASI,2001,9,16.1,19.07,8.41
111030,HUASAHUASI,2001,10,51.4,19.69,9.93
111030,HUASAHUASI,2001,11,42.3,19.65,10.85
111030,HUASAHUASI,2001,12,77.3,18.99,10.07
111030,HUASAHUASI,2002,1,19.9,19.18,9.81
111030,HUASAHUASI,2002,2,92.7,18.13,10.98
111030,HUASAHUASI,2002,3,98.1,18.2,10.52
111030,HUASAHUASI,2002,4,54.3,18.49,9.8
111030,HUASAHUASI,2002,5,25.2,18.5,8.16
111030,HUASAHUASI,2002,6,0.9,17.91,6.25
111030,HUASAHUASI,2002,7,34.9,16.41,7.78
111030,HUASAHUASI,2002,8,6.3,18.05,6.83
111030,HUASAHUASI,2002,9,35.3,17.96,9.05
111030,HUASAHUASI,2002,10,104.5,19.08,9.76
111030,HUASAHUASI,2002,11,82.3,18.48,10.33
111030,HUASAHUASI,2002,12,55.8,19.0,10.03
111030,HUASAHUASI,2003,1,50.9,18.98,10.8
111030,HUASAHUASI,2003,2,98.7,18.39,10.62
111030,HUASAHUASI,2003,3,114.1,17.82,10.46
111030,HUASAHUASI,2003,4,40.7,18.08,9.71
111030,HUASAHUASI,2003,5,19.2,17.99,8.38
111030,HUASAHUASI,2003,6,1.6,17.96,6.07
111030,HUASAHUASI,2003,7,7.4,17.23,5.64
111030,HUASAHUASI,2003,8,23.4,17.24,7.13
111030,HUASAHUASI,2003,9,13.4,18.59,8.38
111030,HUASAHUASI,2003,10,24.7,19.96,9.14
111030,HUASAHUASI,2003,11,29.0,20.08,9.33
111030,HUASAHUASI,2003,12,85.0,18.02,10.78
111030,HUASAHUASI,2004,1,46.7,19.29,9.75
111030,HUASAHUASI,2004,2,80.1,18.16,10.46
111030,HUASAHUASI,2004,3,68.3,18.79,10.35
111030,HUASAHUASI,2004,4,14.5,19.67,8.52
111030,HUASAHUASI,2004,5,15.1,18.22,7.91
111030,HUASAHUASI,2004,6,23.7,16.8,6.04
111030,HUASAHUASI,2004,7,17.0,16.61,6.49
111030,HUASAHUASI,2004,8,36.5,16.77,6.61
111030,HUASAHUASI,2004,9,29.8,17.8,8.08
111030,HUASAHUASI,2004,10,96.5,18.45,9.95
111030,HUASAHUASI,2004,11,27.6,19.37,9.66
111030,HUASAHUASI,2004,12,137.4,18.42,10.41
111030,HUASAHUASI,2005,1,57.1,19.26,9.26
111030,HUASAHUASI,2005,2,67.7,18.47,10.78
111030,HUASAHUASI,2005,3,81.0,18.48,10.75
111030,HUASAHUASI,2005,4,28.4,19.66,9.37
111030,HUASAHUASI,2005,5,9.4,19.37,6.8
111030,HUASAHUASI,2005,6,0.0,18.23,5.08
111030,HUASAHUASI,2005,7,20.6,17.38,4.98
111030,HUASAHUASI,2005,8,9.6,18.55,6.04
111030,HUASAHUASI,2005,9,31.9,18.13,8.77
111030,HUASAHUASI,2005,10,53.3,18.72,9.81
111030,HUASAHUASI,2005,11,31.8,19.73,9.28
111030,HUASAHUASI,2005,12,87.4,18.28,10.63
111030,HUASAHUASI,2006,1,92.1,17.66,10.55
111030,HUASAHUASI,2006,2,80.1,18.5,10.41
111030,HUASAHUASI,2006,3,106.8,18.63,10.83
111030,HUASAHUASI,2006,4,58.1,18.48,9.78
111030,HUASAHUASI,2006,5,4.4,17.75,6.31
111030,HUASAHUASI,2006,6,23.6,17.54,7.06
111030,HUASAHUASI,2006,7,0.0,18.42,4.98
111030,HUASAHUASI,2006,8,23.8,18.16,7.75
111030,HUASAHUASI,2006,9,22.6,18.93,8.43
111030,HUASAHUASI,2006,10,76.6,18.96,9.77
111030,HUASAHUASI,2006,11,77.8,18.52,9.97
111030,HUASAHUASI,2006,12,76.3,18.45,10.76
111030,HUASAHUASI,2007,1,88.6,18.86,11.49
111030,HUASAHUASI,2007,2,61.2,18.09,10.44
111030,HUASAHUASI,2007,3,119.6,18.04,10.75
111030,HUASAHUASI,2007,4,38.2,18.63,9.43
111030,HUASAHUASI,2007,5,21.0,18.25,7.96
111030,HUASAHUASI,2007,6,0.2,18.52,5.47
111030,HUASAHUASI,2007,7,23.5,17.22,6.62
111030,HUASAHUASI,2007,8,10.3,18.05,6.73
111030,HUASAHUASI,2007,9,8.5,18.56,8.43
111030,HUASAHUASI,2007,10,74.6,19.21,9.39
111030,HUASAHUASI,2007,11,37.4,19.16,9.86
111030,HUASAHUASI,2007,12,108.7,18.46,9.8
111030,HUASAHUASI,2008,1,90.9,17.47,10.55
111030,HUASAHUASI,2008,2,88.1,17.42,9.86
111030,HUASAHUASI,2008,3,70.1,17.65,9.54
111030,HUASAHUASI,2008,4,47.9,18.68,8.84
111030,HUASAHUASI,2008,5,17.3,17.73,7.13
111030,HUASAHUASI,2008,6,16.6,17.93,6.03
111030,HUASAHUASI,2008,7,3.8,17.99,5.57
111030,HUASAHUASI,2008,8,21.9,19.04,7.43
111030,HUASAHUASI,2008,9,15.9,19.32,8.13
111030,HUASAHUASI,2008,10,74.5,18.77,9.95
111030,HUASAHUASI,2008,11,46.9,19.67,10.19
111030,HUASAHUASI,2008,12,61.8,18.33,9.94
111030,HUASAHUASI,2009,1,105.6,17.85,10.18
111030,HUASAHUASI,2009,2,79.6,17.7,10.57
111030,HUASAHUASI,2009,3,114.1,17.82,10.35
111030,HUASAHUASI,2009,4,114.4,18.18,9.65
111030,HUASAHUASI,2009,5,21.0,18.47,7.84
111030,HUASAHUASI,2009,6,1.6,18.05,5.92
111030,HUASAHUASI,2009,7,35.9,17.57,6.35
111030,HUASAHUASI,2009,8,20.4,19.13,7.73
111030,HUASAHUASI,2009,9,8.7,19.68,8.9
111030,HUASAHUASI,2009,10,30.0,20.48,9.42
111030,HUASAHUASI,2009,11,70.6,19.85,10.52
111030,HUASAHUASI,2009,12,51.7,18.67,11.12
111030,HUASAHUASI,2010,1,85.9,18.25,11.07
111030,HUASAHUASI,2010,2,136.5,18.62,11.35
111030,HUASAHUASI,2010,3,86.8,19.29,11.46
111030,HUASAHUASI,2010,4,39.3,19.11,10.0
111030,HUASAHUASI,2010,5,4.0,19.72,8.45
111030,HUASAHUASI,2010,6,13.4,19.0,7.01
111030,HUASAHUASI,2010,7,3.0,18.77,5.79
111030,HUASAHUASI,2010,8,6.0,19.64,6.34
111030,HUASAHUASI,2010,9,36.8,20.2,8.57
111030,HUASAHUASI,2010,10,58.2,18.98,9.1
111030,HUASAHUASI,2010,11,31.8,19.11,9.96
