CODIGO,ESTACION,YEAR,MONTH,PP,TMAX,TMIN
111067,PARIACANCHA,1990,1,130.6,-999.0,-999.0
111067,PARIACANCHA,1990,2,43.5,-999.0,-999.0
111067,PARIACANCHA,1990,3,51.3,-999.0,-999.0
111067,PARIACANCHA,1990,4,28.6,-999.0,-999.0
111067,PARIACANCHA,1990,5,14.5,-999.0,-999.0
111067,PARIACANCHA,1990,6,15.9,-999.0,-999.0
111067,PARIACANCHA,1990,7,0.0,-999.0,-999.0
111067,PARIACANCHA,1990,8,3.0,-999.0,-999.0
111067,PARIACANCHA,1990,9,5.6,-999.0,-999.0
111067,PARIACANCHA,1990,10,132.3,-999.0,-999.0
111067,PARIACANCHA,1990,11,110.2,-999.0,-999.0
111067,PARIACANCHA,1990,12,61.0,-999.0,-999.0
111067,PARIACANCHA,1991,1,47.9,-999.0,-999.0
111067,PARIACANCHA,1991,2,76.9,-999.0,-999.0
111067,PARIACANCHA,1991,3,134.9,-999.0,-999.0
111067,PARIACANCHA,1991,4,36.4,-999.0,-999.0
111067,PARIACANCHA,1991,5,25.8,-999.0,-999.0
111067,PARIACANCHA,1991,6,0.0,-999.0,-999.0
111067,PARIACANCHA,1991,7,4.0,-999.0,-999.0
111067,PARIACANCHA,1991,8,0.0,-999.0,-999.0
111067,PARIACANCHA,1991,9,19.5,-999.0,-999.0
111067,PARIACANCHA,1991,10,82.0,-999.0,-999.0
111067,PARIACANCHA,1991,11,30.3,-999.0,-999.0
111067,PARIACANCHA,1991,12,47.9,-999.0,-999.0
111067,PARIACANCHA,1992,1,39.4,-999.0,-999.0
111067,PARIACANCHA,1992,2,47.0,-999.0,-999.0
111067,PARIACANCHA,1992,3,121.1,-999.0,-999.0
111067,PARIACANCHA,1992,4,46.4,-999.0,-999.0
111067,PARIACANCHA,1992,5,5.5,-999.0,-999.0
111067,PARIACANCHA,1992,6,0.0,-999.0,-999.0
111067,PARIACANCHA,1992,7,6.5,-999.0,-999.0
111067,PARIACANCHA,1992,8,0.0,-999.0,-999.0
111067,PARIACANCHA,1992,9,7.0,-999.0,-999.0
111067,PARIACANCHA,1992,10,62.4,-999.0,-999.0
111067,PARIACANCHA,1992,11,19.4,-999.0,-999.0
111067,PARIACANCHA,1992,12,47.9,-999.0,-999.0
111067,PARIACANCHA,1993,1,137.6,-999.0,-999.0
111067,PARIACANCHA,1993,2,115.7,-999.0,-999.0
111067,PARIACANCHA,1993,3,173.2,-999.0,-999.0
111067,PARIACANCHA,1993,4,94.3,-999.0,-999.0
111067,PARIACANCHA,1993,5,19.3,-999.0,-999.0
111067,PARIACANCHA,1993,6,0.0,-999.0,-999.0
111067,PARIACANCHA,1993,7,1.4,-999.0,-999.0
111067,PARIACANCHA,1993,8,2.5,-999.0,-999.0
111067,PARIACANCHA,1993,9,24.9,-999.0,-999.0
111067,PARIACANCHA,1993,10,57.4,-999.0,-999.0
111067,PARIACANCHA,1993,11,99.8,-999.0,-999.0
111067,PARIACANCHA,1993,12,148.3,-999.0,-999.0
111067,PARIACANCHA,1994,1,151.6,-999.0,-999.0
111067,PARIACANCHA,1994,2,141.8,-999.0,-999.0
111067,PARIACANCHA,1994,3,163.0,-999.0,-999.0
111067,PARIACANCHA,1994,4,64.5,-999.0,-999.0
111067,PARIACANCHA,1994,5,33.3,-999.0,-999.0
111067,PARIACANCHA,1994,6,4.5,-999.0,-999.0
111067,PARIACANCHA,1994,7,2.0,-999.0,-999.0
111067,PARIACANCHA,1994,8,0.0,-999.0,-999.0
111067,PARIACANCHA,1994,9,29.4,-999.0,-999.0
111067,PARIACANCHA,1994,10,19.9,-999.0,-999.0
111067,PARIACANCHA,1994,11,50.4,-999.0,-999.0
111067,PARIACANCHA,1994,12,59.5,-999.0,-999.0
111067,PARIACANCHA,1995,1,103.6,-999.0,-999.0
111067,PARIACANCHA,1995,2,70.6,-999.0,-999.0
111067,PARIACANCHA,1995,3,129.3,-999.0,-999.0
111067,PARIACANCHA,1995,4,59.8,-999.0,-999.0
111067,PARIACANCHA,1995,5,17.3,-999.0,-999.0
111067,PARIACANCHA,1995,6,4.2,-999.0,-999.0
111067,PARIACANCHA,1995,7,1.0,-999.0,-999.0
111067,PARIACANCHA,1995,8,12.2,-999.0,-999.0
111067,PARIACANCHA,1995,9,26.0,-999.0,-999.0
111067,PARIACANCHA,1995,10,48.3,-999.0,-999.0
111067,PARIACANCHA,1995,11,39.8,-999.0,-999.0
111067,PARIACANCHA,1995,12,115.8,-999.0,-999.0
111067,PARIACANCHA,1996,1,105.9,-999.0,-999.0
111067,PARIACANCHA,1996,2,146.7,-999.0,-999.0
111067,PARIACANCHA,1996,3,129.3,-999.0,-999.0
111067,PARIACANCHA,1996,4,58.3,-999.0,-999.0
111067,PARIACANCHA,1996,5,20.9,-999.0,-999.0
111067,PARIACANCHA,1996,6,0.0,-999.0,-999.0
111067,PARIACANCHA,1996,7,0.0,-999.0,-999.0
111067,PARIACANCHA,1996,8,3.6,-999.0,-999.0
111067,PARIACANCHA,1996,9,21.9,-999.0,-999.0
111067,PARIACANCHA,1996,10,37.3,-999.0,-999.0
111067,PARIACANCHA,1996,11,36.3,-999.0,-999.0
111067,PARIACANCHA,1996,12,75.0,-999.0,-999.0
111067,PARIACANCHA,1997,1,117.2,-999.0,-999.0
111067,PARIACANCHA,1997,2,165.6,-999.0,-999.0
111067,PARIACANCHA,1997,3,32.8,-999.0,-999.0
111067,PARIACANCHA,1997,4,20.9,-999.0,-999.0
111067,PARIACANCHA,1997,5,8.1,-999.0,-999.0
111067,PARIACANCHA,1997,6,2.2,-999.0,-999.0
111067,PARIACANCHA,1997,7,2.7,-999.0,-999.0
111067,PARIACANCHA,1997,8,12.6,-999.0,-999.0
111067,PARIACANCHA,1997,9,39.8,-999.0,-999.0
111067,PARIACANCHA,1997,10,35.9,-999.0,-999.0
111067,PARIACANCHA,1997,11,71.5,-999.0,-999.0
111067,PARIACANCHA,1997,12,110.0,-999.0,-999.0
111067,PARIACANCHA,1998,1,175.7,-999.0,-999.0
111067,PARIACANCHA,1998,2,113.1,-999.0,-999.0
111067,PARIACANCHA,1998,3,152.7,-999.0,-999.0
111067,PARIACANCHA,1998,4,37.3,-999.0,-999.0
111067,PARIACANCHA,1998,5,0.7,-999.0,-999.0
111067,PARIACANCHA,1998,6,5.0,-999.0,-999.0
111067,PARIACANCHA,1998,7,0.0,-999.0,-999.0
111067,PARIACANCHA,1998,8,4.9,-999.0,-999.0
111067,PARIACANCHA,1998,9,24.1,-999.0,-999.0
111067,PARIACANCHA,1998,10,65.7,-999.0,-999.0
111067,PARIACANCHA,1998,11,30.1,-999.0,-999.0
111067,PARIACANCHA,1998,12,46.4,-999.0,-999.0
111067,PARIACANCHA,1999,1,113.4,-999.0,-999.0
111067,PARIACANCHA,1999,2,226.5,-999.0,-999.0
111067,PARIACANCHA,1999,3,125.7,-999.0,-999.0
111067,PARIACANCHA,1999,4,53.0,-999.0,-999.0
111067,PARIACANCHA,1999,5,28.6,-999.0,-999.0
111067,PARIACANCHA,1999,6,9.1,-999.0,-999.0
111067,PARIACANCHA,1999,7,1.4,-999.0,-999.0
111067,PARIACANCHA,1999,8,5.3,-999.0,-999.0
111067,PARIACANCHA,1999,9,32.7,-999.0,-999.0
111067,PARIACANCHA,1999,10,63.2,-999.0,-999.0
111067,PARIACANCHA,1999,11,54.2,-999.0,-999.0
111067,PARIACANCHA,1999,12,119.8,-999.0,-999.0
111067,PARIACANCHA,2000,1,181.7,-999.0,-999.0
111067,PARIACANCHA,2000,2,187.8,-999.0,-999.0
111067,PARIACANCHA,2000,3,160.3,-999.0,-999.0
111067,PARIACANCHA,2000,4,35.0,-999.0,-999.0
111067,PARIACANCHA,2000,5,28.3,-999.0,-999.0
111067,PARIACANCHA,2000,6,0.0,-999.0,-999.0
111067,PARIACANCHA,2000,7,2.3,-999.0,-999.0
111067,PARIACANCHA,2000,8,14.4,-999.0,-999.0
111067,PARIACANCHA,2000,9,37.7,-999.0,-999.0
111067,PARIACANCHA,2000,10,79.6,-999.0,-999.0
111067,PARIACANCHA,2000,11,72.4,-999.0,-999.0
111067,PARIACANCHA,2000,12,171.6,-999.0,-999.0
111067,PARIACANCHA,2001,1,156.0,-999.0,-999.0
111067,PARIACANCHA,2001,2,107.5,-999.0,-999.0
111067,PARIACANCHA,2001,3,180.5,-999.0,-999.0
111067,PARIACANCHA,2001,4,36.4,-999.0,-999.0
111067,PARIACANCHA,2001,5,6.4,-999.0,-999.0
111067,PARIACANCHA,2001,6,0.0,-999.0,-999.0
111067,PARIACANCHA,2001,7,7.4,-999.0,-999.0
111067,PARIACANCHA,2001,8,0.0,-999.0,-999.0
111067,PARIACANCHA,2001,9,56.1,-999.0,-999.0
111067,PARIACANCHA,2001,10,38.0,-999.0,-999.0
111067,PARIACANCHA,2001,11,92.1,-999.0,-999.0
111067,PARIACANCHA,2001,12,43.6,-999.0,-999.0
111067,PARIACANCHA,2002,1,82.9,-999.0,-999.0
111067,PARIACANCHA,2002,2,95.2,-999.0,-999.0
111067,PARIACANCHA,2002,3,140.9,-999.0,-999.0
111067,PARIACANCHA,2002,4,73.1,-999.0,-999.0
111067,PARIACANCHA,2002,5,8.8,-999.0,-999.0
111067,PARIACANCHA,2002,6,7.1,-999.0,-999.0
111067,PARIACANCHA,2002,7,2.9,-999.0,-999.0
111067,PARIACANCHA,2002,8,1.1,-999.0,-999.0
111067,PARIACANCHA,2002,9,23.5,-999.0,-999.0
111067,PARIACANCHA,2002,10,94.8,-999.0,-999.0
111067,PARIACANCHA,2002,11,82.5,-999.0,-999.0
111067,PARIACANCHA,2002,12,88.2,-999.0,-999.0
111067,PARIACANCHA,2003,1,73.7,-999.0,-999.0
111067,PARIACANCHA,2003,2,134.0,-999.0,-999.0
111067,PARIACANCHA,2003,3,157.5,-999.0,-999.0
111067,PARIACANCHA,2003,4,49.2,-999.0,-999.0
111067,PARIACANCHA,2003,5,5.8,-999.0,-999.0
111067,PARIACANCHA,2003,6,1.0,-999.0,-999.0
111067,PARIACANCHA,2003,7,0.0,-999.0,-999.0
111067,PARIACANCHA,2003,8,3.3,-999.0,-999.0
111067,PARIACANCHA,2003,9,9.8,-999.0,-999.0
111067,PARIACANCHA,2003,10,34.1,-999.0,-999.0
111067,PARIACANCHA,2003,11,24.6,-999.0,-999.0
111067,PARIACANCHA,2003,12,103.3,-999.0,-999.0
111067,PARIACANCHA,2004,1,22.9,-999.0,-999.0
111067,PARIACANCHA,2004,2,110.0,-999.0,-999.0
111067,PARIACANCHA,2004,3,76.7,-999.0,-999.0
111067,PARIACANCHA,2004,4,53.3,-999.0,-999.0
111067,PARIACANCHA,2004,5,8.6,-999.0,-999.0
111067,PARIACANCHA,2004,6,6.5,-999.0,-999.0
111067,PARIACANCHA,2004,7,1.7,-999.0,-999.0
111067,PARIACANCHA,2004,8,3.2,-999.0,-999.0
111067,PARIACANCHA,2004,9,30.7,-999.0,-999.0
111067,PARIACANCHA,2004,10,73.5,-999.0,-999.0
111067,PARIACANCHA,2004,11,68.8,-999.0,-999.0
111067,PARIACANCHA,2004,12,127.3,-999.0,-999.0
111067,PARIACANCHA,2005,1,107.6,-999.0,-999.0
111067,PARIACANCHA,2005,2,59.8,-999.0,-999.0
111067,PARIACANCHA,2005,3,109.4,-999.0,-999.0
111067,PARIACANCHA,2005,4,48.5,-999.0,-999.0
111067,PARIACANCHA,2005,5,0.7,-999.0,-999.0
111067,PARIACANCHA,2005,6,0.0,-999.0,-999.0
111067,PARIACANCHA,2005,7,0.0,-999.0,-999.0
111067,PARIACANCHA,2005,8,6.2,-999.0,-999.0
111067,PARIACANCHA,2005,9,2.1,-999.0,-999.0
111067,PARIACANCHA,2005,10,20.6,-999.0,-999.0
111067,PARIACANCHA,2005,11,28.4,-999.0,-999.0
111067,PARIACANCHA,2005,12,83.9,-999.0,-999.0
111067,PARIACANCHA,2006,1,108.9,-999.0,-999.0
111067,PARIACANCHA,2006,2,102.7,-999.0,-999.0
111067,PARIACANCHA,2006,3,188.6,-999.0,-999.0
111067,PARIACANCHA,2006,4,77.9,-999.0,-999.0
111067,PARIACANCHA,2006,5,0.0,-999.0,-999.0
111067,PARIACANCHA,2006,6,4.1,-999.0,-999.0
111067,PARIACANCHA,2006,7,0.0,-999.0,-999.0
111067,PARIACANCHA,2006,8,4.0,-999.0,-999.0
111067,PARIACANCHA,2006,9,24.2,-999.0,-999.0
111067,PARIACANCHA,2006,10,42.3,-999.0,-999.0
111067,PARIACANCHA,2006,11,73.2,-999.0,-999.0
111067,PARIACANCHA,2006,12,135.3,-999.0,-999.0
111067,PARIACANCHA,2007,1,126.6,-999.0,-999.0
111067,PARIACANCHA,2007,2,97.7,-999.0,-999.0
111067,PARIACANCHA,2007,3,172.3,-999.0,-999.0
111067,PARIACANCHA,2007,4,73.3,-999.0,-999.0
111067,PARIACANCHA,2007,5,27.0,-999.0,-999.0
111067,PARIACANCHA,2007,6,0.0,-999.0,-999.0
111067,PARIACANCHA,2007,7,0.0,-999.0,-999.0
111067,PARIACANCHA,2007,8,2.8,-999.0,-999.0
111067,PARIACANCHA,2007,9,10.0,-999.0,-999.0
111067,PARIACANCHA,2007,10,62.5,-999.0,-999.0
111067,PARIACANCHA,2007,11,36.3,-999.0,-999.0
111067,PARIACANCHA,2007,12,70.0,-999.0,-999.0
111067,PARIACANCHA,2008,1,138.1,-999.0,-999.0
111067,PARIACANCHA,2008,2,148.0,-999.0,-999.0
111067,PARIACANCHA,2008,3,115.1,-999.0,-999.0
111067,PARIACANCHA,2008,4,36.8,-999.0,-999.0
111067,PARIACANCHA,2008,5,0.3,-999.0,-999.0
111067,PARIACANCHA,2008,6,1.3,-999.0,-999.0
111067,PARIACANCHA,2008,7,2.3,-999.0,-999.0
111067,PARIACANCHA,2008,8,8.2,-999.0,-999.0
111067,PARIACANCHA,2008,9,10.3,-999.0,-999.0
111067,PARIACANCHA,2008,10,76.4,-999.0,-999.0
111067,PARIACANCHA,2008,11,42.6,-999.0,-999.0
111067,PARIACANCHA,2008,12,123.0,-999.0,-999.0
111067,PARIACANCHA,2009,1,146.3,-999.0,-999.0
111067,PARIACANCHA,2009,2,174.9,-999.0,-999.0
111067,PARIACANCHA,2009,3,151.2,-999.0,-999.0
111067,PARIACANCHA,2009,4,74.7,-999.0,-999.0
111067,PARIACANCHA,2009,5,18.9,-999.0,-999.0
111067,PARIACANCHA,2009,6,0.3,-999.0,-999.0
111067,PARIACANCHA,2009,7,3.1,-999.0,-999.0
111067,PARIACANCHA,2009,8,8.2,-999.0,-999.0
111067,PARIACANCHA,2009,9,21.7,-999.0,-999.0
111067,PARIACANCHA,2009,10,79.2,-999.0,-999.0
111067,PARIACANCHA,2009,11,132.5,-999.0,-999.0
111067,PARIACANCHA,2009,12,108.4,-999.0,-999.0
111067,PARIACANCHA,2010,1,144.7,-999.0,-999.0
111067,PARIACANCHA,2010,2,95.0,-999.0,-999.0
111067,PARIACANCHA,2010,3,147.6,-999.0,-999.0
111067,PARIACANCHA,2010,4,60.6,-999.0,-999.0
111067,PARIACANCHA,2010,5,4.2,-999.0,-999.0
111067,PARIACANCHA,2010,6,1.2,-999.0,-999.0
111067,PARIACANCHA,2010,7,0.3,-999.0,-999.0
111067,PARIACANCHA,2010,8,0.3,-999.0,-999.0
111067,PARIACANCHA,2010,9,20.9,-999.0,-999.0
111067,PARIACANCHA,2010,10,-999.0,-999.0,-999.0
111067,PARIACANCHA,2010,11,69.8,-999.0,-999.0
111067,PARIACANCHA,2010,12,140.1,-999.0,-999.0
111067,PARIACANCHA,2011,1,163.4,-999.0,-999.0
111067,PARIACANCHA,2011,2,105.4,-999.0,-999.0
111067,PARIACANCHA,2011,3,141.8,-999.0,-999.0
111067,PARIACANCHA,2011,4,95.4,-999.0,-999.0
111067,PARIACANCHA,2011,5,4.4,-999.0,-999.0
111067,PARIACANCHA,2011,6,0.1,-999.0,-999.0
111067,PARIACANCHA,2011,7,5.1,-999.0,-999.0
111067,PARIACANCHA,2011,8,1.6,-999.0,-999.0
111067,PARIACANCHA,2011,9,26.1,-999.0,-999.0
111067,PARIACANCHA,2011,10,22.1,-999.0,-999.0
111067,PARIACANCHA,2011,11,87.2,-999.0,-999.0
111067,PARIACANCHA,2011,12,172.4,-999.0,-999.0
111067,PARIACANCHA,2012,1,80.8,-999.0,-999.0
111067,PARIACANCHA,2012,2,123.2,-999.0,-999.0
111067,PARIACANCHA,2012,3,156.1,-999.0,-999.0
111067,PARIACANCHA,2012,4,99.7,-999.0,-999.0
111067,PARIACANCHA,2012,5,14.8,-999.0,-999.0
111067,PARIACANCHA,2012,6,8.4,-999.0,-999.0
111067,PARIACANCHA,2012,7,0.0,-999.0,-999.0
111067,PARIACANCHA,2012,8,2.2,-999.0,-999.0
111067,PARIACANCHA,2012,9,37.1,-999.0,-999.0
111067,PARIACANCHA,2012,10,43.6,-999.0,-999.0
111067,PARIACANCHA,2012,11,55.4,-999.0,-999.0
111067,PARIACANCHA,2012,12,138.0,-999.0,-999.0
111067,PARIACANCHA,2013,1,120.5,-999.0,-999.0
111067,PARIACANCHA,2013,2,129.0,-999.0,-999.0
111067,PARIACANCHA,2013,3,171.8,-999.0,-999.0
111067,PARIACANCHA,2013,4,19.8,-999.0,-999.0
111067,PARIACANCHA,2013,5,22.9,-999.0,-999.0
111067,PARIACANCHA,2013,6,3.8,-999.0,-999.0
111067,PARIACANCHA,2013,7,2.9,-999.0,-999.0
111067,PARIACANCHA,2013,8,13.3,-999.0,-999.0
111067,PARIACANCHA,2013,9,3.8,-999.0,-999.0
111067,PARIACANCHA,2013,10,85.2,-999.0,-999.0
111067,PARIACANCHA,2013,11,39.6,-999.0,-999.0
111067,PARIACANCHA,2013,12,122.7,-999.0,-999.0
111067,PARIACANCHA,2014,1,149.5,-999.0,-999.0
111067,PARIACANCHA,2014,2,125.3,-999.0,-999.0
111067,PARIACANCHA,2014,3,156.3,-999.0,-999.0
111067,PARIACANCHA,2014,4,41.2,-999.0,-999.0
111067,PARIACANCHA,2014,5,35.3,-999.0,-999.0
111067,PARIACANCHA,2014,6,1.0,-999.0,-999.0
111067,PARIACANCHA,2014,7,4.9,-999.0,-999.0
111067,PARIACANCHA,2014,8,11.0,-999.0,-999.0
111067,PARIACANCHA,2014,9,38.2,-999.0,-999.0
111067,PARIACANCHA,2014,10,70.2,-999.0,-999.0
111067,PARIACANCHA,2014,11,54.9,-999.0,-999.0
111067,PARIACANCHA,2014,12,135.3,-999.0,-999.0
111067,PARIACANCHA,2015,1,141.9,-999.0,-999.0
111067,PARIACANCHA,2015,2,106.4,-999.0,-999.0
111067,PARIACANCHA,2015,3,149.5,-999.0,-999.0
111067,PARIACANCHA,2015,4,54.5,-999.0,-999.0
111067,PARIACANCHA,2015,5,30.8,-999.0,-999.0
111067,PARIACANCHA,2015,6,7.5,-999.0,-999.0
111067,PARIACANCHA,2015,7,0.0,-999.0,-999.0
111067,PARIACANCHA,2015,8,8.9,-999.0,-999.0
111067,PARIACANCHA,2015,9,15.9,-999.0,-999.0
111067,PARIACANCHA,2015,10,31.4,-999.0,-999.0
111067,PARIACANCHA,2015,11,63.5,-999.0,-999.0
111067,PARIACANCHA,2015,12,109.3,-999.0,-999.0
111067,PARIACANCHA,2016,1,30.6,-999.0,-999.0
111067,PARIACANCHA,2016,2,160.4,-999.0,-999.0
111067,PARIACANCHA,2016,3,80.3,-999.0,-999.0
111067,PARIACANCHA,2016,4,65.0,-999.0,-999.0
111067,PARIACANCHA,2016,5,6.9,-999.0,-999.0
111067,PARIACANCHA,2016,6,1.1,-999.0,-999.0
111067,PARIACANCHA,2016,7,1.5,-999.0,-999.0
111067,PARIACANCHA,2016,8,4.0,-999.0,-999.0
111067,PARIACANCHA,2016,9,26.7,-999.0,-999.0
111067,PARIACANCHA,2016,10,44.3,-999.0,-999.0
111067,PARIACANCHA,2016,11,0.0,-999.0,-999.0
111067,PARIACANCHA,2016,12,85.1,-999.0,-999.0
111067,PARIACANCHA,2017,1,240.1,-999.0,-999.0
111067,PARIACANCHA,2017,2,202.2,-999.0,-999.0
111067,PARIACANCHA,2017,3,196.9,-999.0,-999.0
111067,PARIACANCHA,2017,4,45.1,-999.0,-999.0
111067,PARIACANCHA,2017,5,38.7,-999.0,-999.0
111067,PARIACANCHA,2017,6,0.0,-999.0,-999.0
111067,PARIACANCHA,2017,7,1.6,-999.0,-999.0
111067,PARIACANCHA,2017,8,11.5,-999.0,-999.0
111067,PARIACANCHA,2017,9,39.6,-999.0,-999.0
111067,PARIACANCHA,2017,10,56.4,-999.0,-999.0
111067,PARIACANCHA,2017,11,27.6,-999.0,-999.0
111067,PARIACANCHA,2017,12,77.1,-999.0,-999.0
111067,PARIACANCHA,2018,1,145.8,-999.0,-999.0
111067,PARIACANCHA,2018,2,100.7,-999.0,-999.0
111067,PARIACANCHA,2018,3,158.6,-999.0,-999.0
111067,PARIACANCHA,2018,4,102.3,-999.0,-999.0
111067,PARIACANCHA,2018,5,31.6,-999.0,-999.0
111067,PARIACANCHA,2018,6,3.2,-999.0,-999.0
111067,PARIACANCHA,2018,7,0.0,-999.0,-999.0
111067,PARIACANCHA,2018,8,8.0,-999.0,-999.0
111067,PARIACANCHA,2018,9,7.2,-999.0,-999.0
111067,PARIACANCHA,2018,10,43.1,-999.0,-999.0
111067,PARIACANCHA,2018,11,31.5,-999.0,-999.0
111067,PARIACANCHA,2018,12,54.9,-999.0,-999.0
111067,PARIACANCHA,2019,1,162.9,-999.0,-999.0
111067,PARIACANCHA,2019,2,124.3,-999.0,-999.0
111067,PARIACANCHA,2019,3,147.4,-999.0,-999.0
111067,PARIACANCHA,2019,4,57.8,-999.0,-999.0
111067,PARIACANCHA,2019,5,10.3,-999.0,-999.0
111067,PARIACANCHA,2019,6,2.9,-999.0,-999.0
111067,PARIACANCHA,2019,7,1.0,-999.0,-999.0
111067,PARIACANCHA,2019,8,0.0,-999.0,-999.0
111067,PARIACANCHA,2019,9,27.3,-999.0,-999.0
111067,PARIACANCHA,2019,10,31.8,-999.0,-999.0
111067,PARIACANCHA,2019,11,45.5,-999.0,-999.0
111067,PARIACANCHA,2019,12,139.0,-999.0,-999.0
111067,PARIACANCHA,2020,1,59.6,-999.0,-999.0
111067,PARIACANCHA,2020,2,135.7,-999.0,-999.0
111067,PARIACANCHA,2020,3,-999.0,-999.0,-999.0
111067,PARIACANCHA,2020,4,-999.0,-999.0,-999.0
111067,PARIACANCHA,2020,5,-999.0,-999.0,-999.0
111067,PARIACANCHA,2020,6,-999.0,-999.0,-999.0
111067,PARIACANCHA,2020,7,-999.0,-999.0,-999.0
111067,PARIACANCHA,2020,8,-999.0,-999.0,-999.0
111067,PARIACANCHA,2020,9,-999.0,-999.0,-999.0
111067,PARIACANCHA,2020,10,31.5,-999.0,-999.0
111067,PARIACANCHA,2020,11,37.2,-999.0,-999.0
111067,PARIACANCHA,2020,12,193.6,-999.0,-999.0
111067,PARIACANCHA,2021,1,212.5,-999.0,-999.0
111067,PARIACANCHA,2021,2,63.1,-999.0,-999.0
111067,PARIACANCHA,2021,3,146.5,-999.0,-999.0
111067,PARIACANCHA,2021,4,51.7,-999.0,-999.0
111067,PARIACANCHA,2021,5,4.5,-999.0,-999.0
111067,PARIACANCHA,2021,6,0.0,-999.0,-999.0
111067,PARIACANCHA,2021,7,0.0,-999.0,-999.0
111067,PARIACANCHA,2021,8,11.6,-999.0,-999.0
111067,PARIACANCHA,2021,9,17.7,-999.0,-999.0
111067,PARIACANCHA,2021,10,52.6,-999.0,-999.0
111067,PARIACANCHA,2021,11,62.6,-999.0,-999.0
111067,PARIACANCHA,2021,12,47.9,-999.0,-999.0
111067,PARIACANCHA,2022,1,78.2,-999.0,-999.0
111067,PARIACANCHA,2022,2,136.6,-999.0,-999.0
111067,PARIACANCHA,2022,3,150.4,-999.0,-999.0
111067,PARIACANCHA,2022,4,29.2,-999.0,-999.0
111067,PARIACANCHA,2022,5,17.1,-999.0,-999.0
111067,PARIACANCHA,2022,6,0.0,-999.0,-999.0
111067,PARIACANCHA,2022,7,0.0,-999.0,-999.0
111067,PARIACANCHA,2022,8,1.6,-999.0,-999.0
111067,PARIACANCHA,2022,9,10.7,-999.0,-999.0
111067,PARIACANCHA,2022,10,7.9,-999.0,-999.0
111067,PARIACANCHA,2022,11,8.5,-999.0,-999.0
111067,PARIACANCHA,2022,12,103.8,-999.0,-999.0
111067,PARIACANCHA,2023,1,133.1,-999.0,-999.0
111067,PARIACANCHA,2023,2,207.9,-999.0,-999.0
111067,PARIACANCHA,2023,3,134.9,-999.0,-999.0
111067,PARIACANCHA,2023,4,37.3,-999.0,-999.0
111067,PARIACANCHA,2023,5,11.4,-999.0,-999.0
111067,PARIACANCHA,2023,6,0.0,-999.0,-999.0
111067,PARIACANCHA,2023,7,0.0,-999.0,-999.0
111067,PARIACANCHA,2023,8,0.0,-999.0,-999.0
111067,PARIACANCHA,2023,9,36.3,-999.0,-999.0
111067,PARIACANCHA,2023,10,74.1,-999.0,-999.0
111067,PARIACANCHA,2023,11,104.5,-999.0,-999.0
111067,PARIACANCHA,2023,12,143.2,-999.0,-999.0
111067,PARIACANCHA,2024,1,196.7,-999.0,-999.0
111067,PARIACANCHA,2024,2,105.5,-999.0,-999.0
111067,PARIACANCHA,2024,3,115.4,-999.0,-999.0
111067,PARIACANCHA,2024,4,77.5,-999.0,-999.0
111067,PARIACANCHA,2024,5,9.6,-999.0,-999.0
111067,PARIACANCHA,2024,6,0.0,-999.0,-999.0
