CODIGO,ESTACION,YEAR,MONTH,PP,TMAX,TMIN
111077,AUTISHA,1990,1,26.8,-999.0,-999.0
111077,AUTISHA,1990,2,5.1,-999.0,-999.0
111077,AUTISHA,1990,3,20.0,-999.0,-999.0
111077,AUTISHA,1990,4,1.6,-999.0,-999.0
111077,AUTISHA,1990,5,0.0,-999.0,-999.0
111077,AUTISHA,1990,6,0.0,-999.0,-999.0
111077,AUTISHA,1990,7,0.0,-999.0,-999.0
111077,AUTISHA,1990,8,0.0,-999.0,-999.0
111077,AUTISHA,1990,9,0.0,-999.0,-999.0
111077,AUTISHA,1990,10,4.4,-999.0,-999.0
111077,AUTISHA,1990,11,16.5,-999.0,-999.0
111077,AUTISHA,1990,12,44.1,-999.0,-999.0
111077,AUTISHA,1991,1,4.5,-999.0,-999.0
111077,AUTISHA,1991,2,15.6,-999.0,-999.0
111077,AUTISHA,1991,3,96.1,-999.0,-999.0
111077,AUTISHA,1991,4,0.0,-999.0,-999.0
111077,AUTISHA,1991,5,0.0,-999.0,-999.0
111077,AUTISHA,1991,6,0.0,-999.0,-999.0
111077,AUTISHA,1991,7,0.0,-999.0,-999.0
111077,AUTISHA,1991,8,0.0,-999.0,-999.0
111077,AUTISHA,1991,9,0.0,-999.0,-999.0
111077,AUTISHA,1991,10,8.9,-999.0,-999.0
111077,AUTISHA,1991,11,10.7,-999.0,-999.0
111077,AUTISHA,1991,12,4.2,-999.0,-999.0
111077,AUTISHA,1992,1,1.0,-999.0,-999.0
111077,AUTISHA,1992,2,1.7,-999.0,-999.0
111077,AUTISHA,1992,3,8.8,-999.0,-999.0
111077,AUTISHA,1992,4,0.0,-999.0,-999.0
111077,AUTISHA,1992,5,0.0,-999.0,-999.0
111077,AUTISHA,1992,6,0.0,-999.0,-999.0
111077,AUTISHA,1992,7,0.0,-999.0,-999.0
111077,AUTISHA,1992,8,0.0,-999.0,-999.0
111077,AUTISHA,1992,9,0.0,-999.0,-999.0
111077,AUTISHA,1992,10,2.8,-999.0,-999.0
111077,AUTISHA,1992,11,0.9,-999.0,-999.0
111077,AUTISHA,1992,12,1.4,-999.0,-999.0
111077,AUTISHA,1993,1,37.3,-999.0,-999.0
111077,AUTISHA,1993,2,82.4,-999.0,-999.0
111077,AUTISHA,1993,3,76.9,-999.0,-999.0
111077,AUTISHA,1993,4,14.7,-999.0,-999.0
111077,AUTISHA,1993,5,1.3,-999.0,-999.0
111077,AUTISHA,1993,6,0.0,-999.0,-999.0
111077,AUTISHA,1993,7,0.0,-999.0,-999.0
111077,AUTISHA,1993,8,0.0,-999.0,-999.0
111077,AUTISHA,1993,9,2.9,-999.0,-999.0
111077,AUTISHA,1993,10,10.5,-999.0,-999.0
111077,AUTISHA,1993,11,16.3,-999.0,-999.0
111077,AUTISHA,1993,12,19.0,-999.0,-999.0
111077,AUTISHA,1994,1,52.9,-999.0,-999.0
111077,AUTISHA,1994,2,49.4,-999.0,-999.0
111077,AUTISHA,1994,3,36.0,-999.0,-999.0
111077,AUTISHA,1994,4,10.5,-999.0,-999.0
111077,AUTISHA,1994,5,2.7,-999.0,-999.0
111077,AUTISHA,1994,6,0.0,-999.0,-999.0
111077,AUTISHA,1994,7,0.0,-999.0,-999.0
111077,AUTISHA,1994,8,0.0,-999.0,-999.0
111077,AUTISHA,1994,9,4.2,-999.0,-999.0
111077,AUTISHA,1994,10,3.3,-999.0,-999.0
111077,AUTISHA,1994,11,6.6,-999.0,-999.0
111077,AUTISHA,1994,12,16.0,-999.0,-999.0
111077,AUTISHA,1995,1,25.5,-999.0,-999.0
111077,AUTISHA,1995,2,24.5,-999.0,-999.0
