CODIGO,ESTACION,YEAR,MONTH,PP,TMAX,TMIN
111093,SAN JOSE DE PARAC,1990,1,94.6,-999.0,-999.0
111093,SAN JOSE DE PARAC,1990,2,35.4,-999.0,-999.0
111093,SAN JOSE DE PARAC,1990,3,46.0,-999.0,-999.0
111093,SAN JOSE DE PARAC,1990,4,31.3,-999.0,-999.0
111093,SAN JOSE DE PARAC,1990,5,20.1,-999.0,-999.0
111093,SAN JOSE DE PARAC,1990,6,22.7,-999.0,-999.0
111093,SAN JOSE DE PARAC,1990,7,0.4,-999.0,-999.0
111093,SAN JOSE DE PARAC,1990,8,2.2,-999.0,-999.0
111093,SAN JOSE DE PARAC,1990,9,3.1,-999.0,-999.0
111093,SAN JOSE DE PARAC,1990,10,41.1,-999.0,-999.0
111093,SAN JOSE DE PARAC,1990,11,62.8,-999.0,-999.0
111093,SAN JOSE DE PARAC,1990,12,65.8,-999.0,-999.0
111093,SAN JOSE DE PARAC,1991,1,24.9,-999.0,-999.0
111093,SAN JOSE DE PARAC,1991,2,50.2,-999.0,-999.0
111093,SAN JOSE DE PARAC,1991,3,122.1,-999.0,-999.0
111093,SAN JOSE DE PARAC,1991,4,32.8,-999.0,-999.0
111093,SAN JOSE DE PARAC,1991,5,6.2,-999.0,-999.0
111093,SAN JOSE DE PARAC,1991,6,1.7,-999.0,-999.0
111093,SAN JOSE DE PARAC,1991,7,1.0,-999.0,-999.0
111093,SAN JOSE DE PARAC,1991,8,0.0,-999.0,-999.0
111093,SAN JOSE DE PARAC,1991,9,6.0,-999.0,-999.0
111093,SAN JOSE DE PARAC,1991,10,33.9,-999.0,-999.0
111093,SAN JOSE DE PARAC,1991,11,17.2,-999.0,-999.0
111093,SAN JOSE DE PARAC,1991,12,31.3,-999.0,-999.0
111093,SAN JOSE DE PARAC,1992,1,19.9,-999.0,-999.0
111093,SAN JOSE DE PARAC,1992,2,39.6,-999.0,-999.0
111093,SAN JOSE DE PARAC,1992,3,49.2,-999.0,-999.0
111093,SAN JOSE DE PARAC,1992,4,19.3,-999.0,-999.0
111093,SAN JOSE DE PARAC,1992,5,1.2,-999.0,-999.0
111093,SAN JOSE DE PARAC,1992,6,0.1,-999.0,-999.0
111093,SAN JOSE DE PARAC,1992,7,0.0,-999.0,-999.0
111093,SAN JOSE DE PARAC,1992,8,1.2,-999.0,-999.0
111093,SAN JOSE DE PARAC,1992,9,0.0,-999.0,-999.0
111093,SAN JOSE DE PARAC,1992,10,49.1,-999.0,-999.0
111093,SAN JOSE DE PARAC,1992,11,9.1,-999.0,-999.0
111093,SAN JOSE DE PARAC,1992,12,24.1,-999.0,-999.0
111093,SAN JOSE DE PARAC,1993,1,96.5,-999.0,-999.0
111093,SAN JOSE DE PARAC,1993,2,109.2,-999.0,-999.0
111093,SAN JOSE DE PARAC,1993,3,126.8,-999.0,-999.0
111093,SAN JOSE DE PARAC,1993,4,52.0,-999.0,-999.0
111093,SAN JOSE DE PARAC,1993,5,6.0,-999.0,-999.0
111093,SAN JOSE DE PARAC,1993,6,0.0,-999.0,-999.0
111093,SAN JOSE DE PARAC,1993,7,0.6,-999.0,-999.0
111093,SAN JOSE DE PARAC,1993,8,0.0,-999.0,-999.0
111093,SAN JOSE DE PARAC,1993,9,10.8,-999.0,-999.0
111093,SAN JOSE DE PARAC,1993,10,53.3,-999.0,-999.0
111093,SAN JOSE DE PARAC,1993,11,96.4,-999.0,-999.0
111093,SAN JOSE DE PARAC,1993,12,107.9,-999.0,-999.0
111093,SAN JOSE DE PARAC,1994,1,137.7,-999.0,-999.0
111093,SAN JOSE DE PARAC,1994,2,173.5,-999.0,-999.0
111093,SAN JOSE DE PARAC,1994,3,144.2,-999.0,-999.0
