CODIGO,ESTACION,YEAR,MONTH,PP,TMAX,TMIN
111097,INGENIO,1990,1,-999.0,-999.0,-999.0
111097,INGENIO,1990,2,-999.0,-999.0,-999.0
111097,INGENIO,1990,3,-999.0,-999.0,-999.0
111097,INGENIO,1990,4,-999.0,-999.0,-999.0
111097,INGENIO,1990,5,72.1,-999.0,-999.0
111097,INGENIO,1990,6,69.7,-999.0,-999.0
111097,INGENIO,1990,7,3.0,-999.0,-999.0
111097,INGENIO,1990,8,31.8,-999.0,-999.0
111097,INGENIO,1990,9,37.1,-999.0,-999.0
111097,INGENIO,1990,10,45.1,-999.0,-999.0
111097,INGENIO,1990,11,40.9,-999.0,-999.0
111097,INGENIO,1990,12,60.5,-999.0,-999.0
111097,INGENIO,1991,1,22.8,-999.0,-999.0
111097,INGENIO,1991,2,23.0,-999.0,-999.0
111097,INGENIO,1991,3,23.0,-999.0,-999.0
111097,INGENIO,1991,4,6.8,-999.0,-999.0
111097,INGENIO,1991,5,5.2,-999.0,-999.0
111097,INGENIO,1991,6,0.3,-999.0,-999.0
111097,INGENIO,1991,7,0.5,-999.0,-999.0
111097,INGENIO,1991,8,0.5,-999.0,-999.0
111097,INGENIO,1991,9,3.2,-999.0,-999.0
111097,INGENIO,1991,10,17.1,-999.0,-999.0
111097,INGENIO,1991,11,1.6,-999.0,-999.0
111097,INGENIO,1991,12,3.1,-999.0,-999.0
111097,INGENIO,1992,1,4.2,-999.0,-999.0
111097,INGENIO,1992,2,6.2,-999.0,-999.0
111097,INGENIO,1992,3,4.3,-999.0,-999.0
111097,INGENIO,1992,4,2.3,-999.0,-999.0
111097,INGENIO,1992,5,0.9,-999.0,-999.0
111097,INGENIO,1992,6,16.0,-999.0,-999.0
111097,INGENIO,1992,7,0.7,-999.0,-999.0
111097,INGENIO,1992,8,13.5,-999.0,-999.0
111097,INGENIO,1992,9,6.3,-999.0,-999.0
111097,INGENIO,1992,10,15.9,-999.0,-999.0
111097,INGENIO,1992,11,18.2,-999.0,-999.0
111097,INGENIO,1992,12,7.6,-999.0,-999.0
111097,INGENIO,1993,1,24.3,-999.0,-999.0
111097,INGENIO,1993,2,48.4,-999.0,-999.0
111097,INGENIO,1993,3,-999.0,-999.0,-999.0
111097,INGENIO,1993,4,81.2,-999.0,-999.0
111097,INGENIO,1993,5,17.1,-999.0,-999.0
111097,INGENIO,1993,6,0.6,-999.0,-999.0
111097,INGENIO,1993,7,0.5,-999.0,-999.0
111097,INGENIO,1993,8,2.1,-999.0,-999.0
111097,INGENIO,1993,9,10.9,-999.0,-999.0
111097,INGENIO,1993,10,70.9,-999.0,-999.0
111097,INGENIO,1993,11,181.3,-999.0,-999.0
111097,INGENIO,1993,12,90.6,-999.0,-999.0
111097,INGENIO,1994,1,96.2,-999.0,-999.0
111097,INGENIO,1994,2,66.4,-999.0,-999.0
111097,INGENIO,1994,3,46.4,-999.0,-999.0
111097,INGENIO,1994,4,35.6,-999.0,-999.0
111097,INGENIO,1994,5,12.8,-999.0,-999.0
111097,INGENIO,1994,6,3.8,-999.0,-999.0
111097,INGENIO,1994,7,1.6,-999.0,-999.0
111097,INGENIO,1994,8,2.5,-999.0,-999.0
111097,INGENIO,1994,9,10.0,-999.0,-999.0
111097,INGENIO,1994,10,39.7,-999.0,-999.0
111097,INGENIO,1994,11,68.7,-999.0,-999.0
111097,INGENIO,1994,12,53.7,-999.0,-999.0
111097,INGENIO,1995,1,59.5,-999.0,-999.0
111097,INGENIO,1995,2,66.4,-999.0,-999.0
111097,INGENIO,1995,3,39.6,-999.0,-999.0
111097,INGENIO,1995,4,91.7,-999.0,-999.0
111097,INGENIO,1995,5,4.6,-999.0,-999.0
111097,INGENIO,1995,6,3.0,-999.0,-999.0
111097,INGENIO,1995,7,1.5,-999.0,-999.0
111097,INGENIO,1995,8,1.6,-999.0,-999.0
111097,INGENIO,1995,9,23.1,-999.0,-999.0
111097,INGENIO,1995,10,60.4,-999.0,-999.0
111097,INGENIO,1995,11,26.2,-999.0,-999.0
111097,INGENIO,1995,12,26.5,-999.0,-999.0
111097,INGENIO,1996,1,69.6,-999.0,-999.0
111097,INGENIO,1996,2,76.6,-999.0,-999.0
111097,INGENIO,1996,3,27.6,-999.0,-999.0
111097,INGENIO,1996,4,36.0,-999.0,-999.0
111097,INGENIO,1996,5,-999.0,-999.0,-999.0
111097,INGENIO,1996,6,1.9,-999.0,-999.0
111097,INGENIO,1996,7,0.0,-999.0,-999.0
111097,INGENIO,1996,8,14.0,-999.0,-999.0
111097,INGENIO,1996,9,25.6,-999.0,-999.0
111097,INGENIO,1996,10,79.2,-999.0,-999.0
111097,INGENIO,1996,11,55.5,-999.0,-999.0
111097,INGENIO,1996,12,156.3,-999.0,-999.0
111097,INGENIO,1997,1,194.9,-999.0,-999.0
111097,INGENIO,1997,2,134.9,-999.0,-999.0
111097,INGENIO,1997,3,72.0,-999.0,-999.0
111097,INGENIO,1997,4,54.6,-999.0,-999.0
111097,INGENIO,1997,5,22.1,-999.0,-999.0
111097,INGENIO,1997,6,8.4,-999.0,-999.0
111097,INGENIO,1997,7,0.1,-999.0,-999.0
111097,INGENIO,1997,8,2.9,-999.0,-999.0
111097,INGENIO,1997,9,36.5,-999.0,-999.0
111097,INGENIO,1997,10,69.9,-999.0,-999.0
111097,INGENIO,1997,11,108.3,-999.0,-999.0
111097,INGENIO,1997,12,223.0,-999.0,-999.0
111097,INGENIO,1998,1,197.1,-999.0,-999.0
111097,INGENIO,1998,2,123.2,-999.0,-999.0
111097,INGENIO,1998,3,106.8,-999.0,-999.0
111097,INGENIO,1998,4,49.9,-999.0,-999.0
111097,INGENIO,1998,5,10.6,-999.0,-999.0
111097,INGENIO,1998,6,14.0,-999.0,-999.0
111097,INGENIO,1998,7,0.0,-999.0,-999.0
111097,INGENIO,1998,8,11.9,-999.0,-999.0
111097,INGENIO,1998,9,20.9,-999.0,-999.0
111097,INGENIO,1998,10,-999.0,-999.0,-999.0
111097,INGENIO,1998,11,90.9,-999.0,-999.0
111097,INGENIO,1998,12,136.8,-999.0,-999.0
111097,INGENIO,1999,1,129.1,-999.0,-999.0
111097,INGENIO,1999,2,171.4,-999.0,-999.0
111097,INGENIO,1999,3,94.7,-999.0,-999.0
111097,INGENIO,1999,4,123.6,-999.0,-999.0
111097,INGENIO,1999,5,29.6,-999.0,-999.0
111097,INGENIO,1999,6,11.3,-999.0,-999.0
111097,INGENIO,1999,7,9.3,-999.0,-999.0
111097,INGENIO,1999,8,1.0,-999.0,-999.0
111097,INGENIO,1999,9,66.6,-999.0,-999.0
111097,INGENIO,1999,10,56.6,-999.0,-999.0
111097,INGENIO,1999,11,89.0,-999.0,-999.0
111097,INGENIO,1999,12,113.9,-999.0,-999.0
111097,INGENIO,2000,1,207.2,-999.0,-999.0
111097,INGENIO,2000,2,168.8,-999.0,-999.0
111097,INGENIO,2000,3,116.2,-999.0,-999.0
111097,INGENIO,2000,4,31.2,-999.0,-999.0
111097,INGENIO,2000,5,11.5,-999.0,-999.0
111097,INGENIO,2000,6,0.0,-999.0,-999.0
111097,INGENIO,2000,7,8.7,-999.0,-999.0
111097,INGENIO,2000,8,8.4,-999.0,-999.0
111097,INGENIO,2000,9,25.4,-999.0,-999.0
111097,INGENIO,2000,10,59.4,-999.0,-999.0
111097,INGENIO,2000,11,37.7,-999.0,-999.0
111097,INGENIO,2000,12,119.8,-999.0,-999.0
111097,INGENIO,2001,1,158.0,-999.0,-999.0
111097,INGENIO,2001,2,119.1,-999.0,-999.0
111097,INGENIO,2001,3,213.5,-999.0,-999.0
111097,INGENIO,2001,4,38.7,-999.0,-999.0
111097,INGENIO,2001,5,15.0,18.96,-999.0
111097,INGENIO,2001,6,0.0,17.73,-999.0
111097,INGENIO,2001,7,7.2,18.1,-999.0
111097,INGENIO,2001,8,0.0,18.15,-999.0
111097,INGENIO,2001,9,16.0,18.79,4.74
111097,INGENIO,2001,10,51.8,19.09,5.69
111097,INGENIO,2001,11,72.1,19.16,6.42
111097,INGENIO,2001,12,86.3,19.52,5.65
111097,INGENIO,2002,1,29.5,19.23,5.05
111097,INGENIO,2002,2,73.5,17.5,6.25
111097,INGENIO,2002,3,71.0,17.66,6.15
111097,INGENIO,2002,4,36.1,18.02,5.05
111097,INGENIO,2002,5,1.0,18.56,2.66
111097,INGENIO,2002,6,1.0,18.51,1.1
111097,INGENIO,2002,7,10.0,17.66,1.12
111097,INGENIO,2002,8,0.0,18.66,1.24
111097,INGENIO,2002,9,26.0,18.47,4.0
111097,INGENIO,2002,10,100.1,18.74,4.67
111097,INGENIO,2002,11,87.7,18.13,4.94
111097,INGENIO,2002,12,111.3,19.04,5.33
111097,INGENIO,2003,1,124.7,18.26,5.32
111097,INGENIO,2003,2,76.4,18.27,5.98
111097,INGENIO,2003,3,175.2,17.29,5.91
111097,INGENIO,2003,4,78.1,18.08,4.44
111097,INGENIO,2003,5,15.0,18.63,2.85
111097,INGENIO,2003,6,0.0,18.99,-0.05
111097,INGENIO,2003,7,0.0,18.47,-1.4
111097,INGENIO,2003,8,16.0,18.86,0.65
111097,INGENIO,2003,9,19.1,19.69,2.62
111097,INGENIO,2003,10,8.9,20.96,3.1
111097,INGENIO,2003,11,61.0,21.5,3.78
111097,INGENIO,2003,12,130.0,17.59,5.6
111097,INGENIO,2004,1,100.9,20.22,5.61
111097,INGENIO,2004,2,155.3,18.01,5.76
111097,INGENIO,2004,3,147.0,17.25,5.1
111097,INGENIO,2004,4,24.8,19.16,3.88
111097,INGENIO,2004,5,8.1,20.1,1.95
111097,INGENIO,2004,6,6.4,17.99,0.45
111097,INGENIO,2004,7,12.0,18.05,0.97
111097,INGENIO,2004,8,6.8,17.7,0.63
111097,INGENIO,2004,9,27.0,17.82,3.53
111097,INGENIO,2004,10,66.9,18.25,4.62
111097,INGENIO,2004,11,83.8,19.96,4.15
111097,INGENIO,2004,12,143.3,18.06,5.94
111097,INGENIO,2005,1,82.6,19.38,4.95
111097,INGENIO,2005,2,75.6,19.26,5.44
111097,INGENIO,2005,3,105.7,18.1,5.62
111097,INGENIO,2005,4,23.1,19.3,4.35
111097,INGENIO,2005,5,5.7,20.29,0.92
111097,INGENIO,2005,6,0.0,19.73,-0.7
111097,INGENIO,2005,7,0.0,19.82,-0.52
111097,INGENIO,2005,8,15.7,20.25,0.6
111097,INGENIO,2005,9,12.5,19.99,3.47
111097,INGENIO,2005,10,85.8,18.97,4.7
111097,INGENIO,2005,11,62.5,20.48,4.23
111097,INGENIO,2005,12,121.6,17.96,6.05
111097,INGENIO,2006,1,135.1,18.11,5.93
111097,INGENIO,2006,2,85.0,18.2,6.83
111097,INGENIO,2006,3,127.5,17.37,6.84
111097,INGENIO,2006,4,39.3,18.73,5.68
111097,INGENIO,2006,5,0.0,20.01,1.01
111097,INGENIO,2006,6,2.3,18.64,2.46
111097,INGENIO,2006,7,1.5,18.62,-0.36
111097,INGENIO,2006,8,1.3,19.13,3.09
111097,INGENIO,2006,9,21.1,19.62,3.98
111097,INGENIO,2006,10,57.0,19.7,6.01
111097,INGENIO,2006,11,105.4,18.72,5.96
111097,INGENIO,2006,12,90.1,19.29,6.27
111097,INGENIO,2007,1,87.4,19.35,6.67
