CODIGO,ESTACION,YEAR,MONTH,PP,TMAX,TMIN
111114,CASAPALCA,1990,1,77.2,-999.0,-999.0
111114,CASAPALCA,1990,2,27.9,-999.0,-999.0
111114,CASAPALCA,1990,3,45.1,-999.0,-999.0
111114,CASAPALCA,1990,4,17.2,-999.0,-999.0
111114,CASAPALCA,1990,5,38.2,-999.0,-999.0
111114,CASAPALCA,1990,6,34.3,-999.0,-999.0
111114,CASAPALCA,1990,7,-999.0,-999.0,-999.0
111114,CASAPALCA,1990,8,-999.0,-999.0,-999.0
111114,CASAPALCA,1990,9,-999.0,-999.0,-999.0
111114,CASAPALCA,1990,10,-999.0,-999.0,-999.0
111114,CASAPALCA,1990,11,-999.0,-999.0,-999.0
111114,CASAPALCA,1990,12,-999.0,-999.0,-999.0
111114,CASAPALCA,1991,1,-999.0,-999.0,-999.0
111114,CASAPALCA,1991,2,-999.0,-999.0,-999.0
111114,CASAPALCA,1991,3,-999.0,-999.0,-999.0
111114,CASAPALCA,1991,4,-999.0,-999.0,-999.0
111114,CASAPALCA,1991,5,-999.0,-999.0,-999.0
111114,CASAPALCA,1991,6,-999.0,-999.0,-999.0
111114,CASAPALCA,1991,7,-999.0,-999.0,-999.0
111114,CASAPALCA,1991,8,17.4,-999.0,-999.0
111114,CASAPALCA,1991,9,10.1,-999.0,-999.0
111114,CASAPALCA,1991,10,3.3,-999.0,-999.0
111114,CASAPALCA,1991,11,2.0,-999.0,-999.0
111114,CASAPALCA,1991,12,2.8,-999.0,-999.0
111114,CASAPALCA,1992,1,15.7,-999.0,-999.0
111114,CASAPALCA,1992,2,24.8,-999.0,-999.0
111114,CASAPALCA,1992,3,44.5,-999.0,-999.0
111114,CASAPALCA,1992,4,11.1,-999.0,-999.0
111114,CASAPALCA,1992,5,5.5,-999.0,-999.0
111114,CASAPALCA,1992,6,1.4,-999.0,-999.0
111114,CASAPALCA,1992,7,2.5,-999.0,-999.0
111114,CASAPALCA,1992,8,18.2,-999.0,-999.0
111114,CASAPALCA,1992,9,4.6,-999.0,-999.0
111114,CASAPALCA,1992,10,71.3,-999.0,-999.0
111114,CASAPALCA,1992,11,34.6,-999.0,-999.0
111114,CASAPALCA,1992,12,42.2,-999.0,-999.0
111114,CASAPALCA,1993,1,148.3,-999.0,-999.0
111114,CASAPALCA,1993,2,119.2,-999.0,-999.0
111114,CASAPALCA,1993,3,111.9,-999.0,-999.0
111114,CASAPALCA,1993,4,75.9,-999.0,-999.0
111114,CASAPALCA,1993,5,19.8,-999.0,-999.0
111114,CASAPALCA,1993,6,0.0,-999.0,-999.0
111114,CASAPALCA,1993,7,10.5,-999.0,-999.0
111114,CASAPALCA,1993,8,9.5,-999.0,-999.0
111114,CASAPALCA,1993,9,25.6,-999.0,-999.0
111114,CASAPALCA,1993,10,76.3,-999.0,-999.0
111114,CASAPALCA,1993,11,111.7,-999.0,-999.0
111114,CASAPALCA,1993,12,124.9,-999.0,-999.0
111114,CASAPALCA,1994,1,129.2,-999.0,-999.0
111114,CASAPALCA,1994,2,157.9,-999.0,-999.0
111114,CASAPALCA,1994,3,149.0,-999.0,-999.0
111114,CASAPALCA,1994,4,84.3,-999.0,-999.0
111114,CASAPALCA,1994,5,27.9,-999.0,-999.0
111114,CASAPALCA,1994,6,7.0,-999.0,-999.0
111114,CASAPALCA,1994,7,5.8,-999.0,-999.0
111114,CASAPALCA,1994,8,19.8,-999.0,-999.0
111114,CASAPALCA,1994,9,49.2,-999.0,-999.0
111114,CASAPALCA,1994,10,38.7,-999.0,-999.0
111114,CASAPALCA,1994,11,35.2,-999.0,-999.0
111114,CASAPALCA,1994,12,71.0,-999.0,-999.0
111114,CASAPALCA,1995,1,62.5,-999.0,-999.0
111114,CASAPALCA,1995,2,64.5,-999.0,-999.0
111114,CASAPALCA,1995,3,100.5,-999.0,-999.0
111114,CASAPALCA,1995,4,50.2,-999.0,-999.0
111114,CASAPALCA,1995,5,9.0,-999.0,-999.0
111114,CASAPALCA,1995,6,5.0,-999.0,-999.0
111114,CASAPALCA,1995,7,0.3,-999.0,-999.0
111114,CASAPALCA,1995,8,2.8,-999.0,-999.0
111114,CASAPALCA,1995,9,32.4,-999.0,-999.0
111114,CASAPALCA,1995,10,48.2,-999.0,-999.0
111114,CASAPALCA,1995,11,37.3,-999.0,-999.0
111114,CASAPALCA,1995,12,86.3,-999.0,-999.0
111114,CASAPALCA,1996,1,127.3,-999.0,-999.0
111114,CASAPALCA,1996,2,121.7,-999.0,-999.0
111114,CASAPALCA,1996,3,93.7,-999.0,-999.0
111114,CASAPALCA,1996,4,57.0,-999.0,-999.0
111114,CASAPALCA,1996,5,22.8,-999.0,-999.0
111114,CASAPALCA,1996,6,0.0,-999.0,-999.0
111114,CASAPALCA,1996,7,5.0,-999.0,-999.0
111114,CASAPALCA,1996,8,8.0,-999.0,-999.0
111114,CASAPALCA,1996,9,23.0,-999.0,-999.0
111114,CASAPALCA,1996,10,46.2,-999.0,-999.0
