CODIGO,ESTACION,YEAR,MONTH,PP,TMAX,TMIN
111144,MILLOC,1990,1,130.6,-999.0,-999.0
111144,MILLOC,1990,2,29.2,-999.0,-999.0
111144,MILLOC,1990,3,58.9,-999.0,-999.0
111144,MILLOC,1990,4,48.7,-999.0,-999.0
111144,MILLOC,1990,5,33.5,-999.0,-999.0
111144,MILLOC,1990,6,54.1,-999.0,-999.0
111144,MILLOC,1990,7,3.2,-999.0,-999.0
111144,MILLOC,1990,8,14.6,-999.0,-999.0
111144,MILLOC,1990,9,23.4,-999.0,-999.0
111144,MILLOC,1990,10,108.2,-999.0,-999.0
111144,MILLOC,1990,11,186.8,-999.0,-999.0
111144,MILLOC,1990,12,104.7,-999.0,-999.0
111144,MILLOC,1991,1,71.9,-999.0,-999.0
111144,MILLOC,1991,2,88.0,-999.0,-999.0
111144,MILLOC,1991,3,103.3,-999.0,-999.0
111144,MILLOC,1991,4,46.9,-999.0,-999.0
111144,MILLOC,1991,5,30.0,-999.0,-999.0
111144,MILLOC,1991,6,9.4,-999.0,-999.0
111144,MILLOC,1991,7,10.2,-999.0,-999.0
111144,MILLOC,1991,8,0.0,-999.0,-999.0
111144,MILLOC,1991,9,48.6,-999.0,-999.0
111144,MILLOC,1991,10,85.1,-999.0,-999.0
111144,MILLOC,1991,11,42.7,-999.0,-999.0
111144,MILLOC,1991,12,77.0,-999.0,-999.0
111144,MILLOC,1992,1,65.0,-999.0,-999.0
111144,MILLOC,1992,2,-999.0,-999.0,-999.0
111144,MILLOC,1992,3,133.9,-999.0,-999.0
111144,MILLOC,1992,4,34.7,-999.0,-999.0
111144,MILLOC,1992,5,12.4,-999.0,-999.0
111144,MILLOC,1992,6,9.6,-999.0,-999.0
111144,MILLOC,1992,7,10.6,-999.0,-999.0
111144,MILLOC,1992,8,33.3,-999.0,-999.0
111144,MILLOC,1992,9,19.0,-999.0,-999.0
111144,MILLOC,1992,10,116.6,-999.0,-999.0
111144,MILLOC,1992,11,39.6,-999.0,-999.0
111144,MILLOC,1992,12,54.6,-999.0,-999.0
111144,MILLOC,1993,1,197.6,-999.0,-999.0
111144,MILLOC,1993,2,126.5,-999.0,-999.0
111144,MILLOC,1993,3,126.4,-999.0,-999.0
111144,MILLOC,1993,4,82.0,-999.0,-999.0
111144,MILLOC,1993,5,11.3,-999.0,-999.0
111144,MILLOC,1993,6,0.0,-999.0,-999.0
111144,MILLOC,1993,7,6.6,-999.0,-999.0
111144,MILLOC,1993,8,11.3,-999.0,-999.0
111144,MILLOC,1993,9,39.4,-999.0,-999.0
111144,MILLOC,1993,10,83.1,-999.0,-999.0
111144,MILLOC,1993,11,124.4,-999.0,-999.0
111144,MILLOC,1993,12,217.9,-999.0,-999.0
111144,MILLOC,1994,1,311.6,-999.0,-999.0
111144,MILLOC,1994,2,52.2,-999.0,-999.0
111144,MILLOC,1994,3,-999.0,-999.0,-999.0
111144,MILLOC,1994,4,-999.0,-999.0,-999.0
111144,MILLOC,1994,5,55.3,-999.0,-999.0
111144,MILLOC,1994,6,29.0,-999.0,-999.0
111144,MILLOC,1994,7,12.9,-999.0,-999.0
111144,MILLOC,1994,8,34.6,-999.0,-999.0
111144,MILLOC,1994,9,74.9,-999.0,-999.0
111144,MILLOC,1994,10,101.7,-999.0,-999.0
111144,MILLOC,1994,11,151.2,-999.0,-999.0
111144,MILLOC,1994,12,294.9,-999.0,-999.0
111144,MILLOC,1995,1,208.6,-999.0,-999.0
111144,MILLOC,1995,2,166.3,-999.0,-999.0
111144,MILLOC,1995,3,262.1,-999.0,-999.0
111144,MILLOC,1995,4,127.7,-999.0,-999.0
111144,MILLOC,1995,5,50.8,-999.0,-999.0
111144,MILLOC,1995,6,6.2,-999.0,-999.0
111144,MILLOC,1995,7,4.7,-999.0,-999.0
111144,MILLOC,1995,8,15.0,-999.0,-999.0
111144,MILLOC,1995,9,43.6,-999.0,-999.0
111144,MILLOC,1995,10,70.9,-999.0,-999.0
111144,MILLOC,1995,11,75.9,-999.0,-999.0
111144,MILLOC,1995,12,137.3,-999.0,-999.0
111144,MILLOC,1996,1,132.1,-999.0,-999.0
111144,MILLOC,1996,2,152.4,-999.0,-999.0
111144,MILLOC,1996,3,115.8,-999.0,-999.0
111144,MILLOC,1996,4,57.2,-999.0,-999.0
111144,MILLOC,1996,5,31.5,-999.0,-999.0
111144,MILLOC,1996,6,4.8,-999.0,-999.0
111144,MILLOC,1996,7,0.0,-999.0,-999.0
111144,MILLOC,1996,8,10.2,-999.0,-999.0
111144,MILLOC,1996,9,39.6,-999.0,-999.0
111144,MILLOC,1996,10,48.1,-999.0,-999.0
111144,MILLOC,1996,11,47.5,-999.0,-999.0
111144,MILLOC,1996,12,92.5,-999.0,-999.0
