CODIGO,ESTACION,YEAR,MONTH,PP,TMAX,TMIN
112051,ACOSTAMBO,1990,1,149.2,15.1,5.38
112051,ACOSTAMBO,1990,2,55.7,16.32,3.81
112051,ACOSTAMBO,1990,3,60.8,15.68,3.12
112051,ACOSTAMBO,1990,4,47.2,16.05,2.59
112051,ACOSTAMBO,1990,5,18.6,15.61,1.4
112051,ACOSTAMBO,1990,6,56.8,14.93,2.43
112051,ACOSTAMBO,1990,7,16.1,14.73,-0.34
112051,ACOSTAMBO,1990,8,40.6,14.71,0.15
112051,ACOSTAMBO,1990,9,40.6,15.45,2.61
112051,ACOSTAMBO,1990,10,96.7,15.44,4.37
112051,ACOSTAMBO,1990,11,117.2,15.62,4.63
112051,ACOSTAMBO,1990,12,121.5,15.59,4.23
112051,ACOSTAMBO,1991,1,46.2,-999.0,4.26
112051,ACOSTAMBO,1991,2,81.1,15.71,4.13
112051,ACOSTAMBO,1991,3,111.9,15.05,4.94
112051,ACOSTAMBO,1991,4,31.1,15.27,3.08
112051,ACOSTAMBO,1991,5,20.2,15.47,0.83
112051,ACOSTAMBO,1991,6,29.9,15.75,-0.9
112051,ACOSTAMBO,1991,7,12.4,15.68,-3.57
112051,ACOSTAMBO,1991,8,0.0,15.65,-3.12
112051,ACOSTAMBO,1991,9,79.0,15.5,0.18
112051,ACOSTAMBO,1991,10,27.7,16.04,-999.0
112051,ACOSTAMBO,1991,11,65.5,16.39,3.25
112051,ACOSTAMBO,1991,12,50.1,17.81,2.23
112051,ACOSTAMBO,1992,1,75.9,16.68,3.09
112051,ACOSTAMBO,1992,2,77.7,17.52,2.81
112051,ACOSTAMBO,1992,3,100.4,16.8,1.81
112051,ACOSTAMBO,1992,4,18.2,17.5,0.62
112051,ACOSTAMBO,1992,5,0.0,17.73,-1.83
112051,ACOSTAMBO,1992,6,14.8,15.3,-0.39
112051,ACOSTAMBO,1992,7,14.6,-999.0,-2.61
112051,ACOSTAMBO,1992,8,18.0,-999.0,-0.78
112051,ACOSTAMBO,1992,9,28.9,-999.0,0.52
112051,ACOSTAMBO,1992,10,75.7,-999.0,2.37
112051,ACOSTAMBO,1992,11,39.4,-999.0,2.48
112051,ACOSTAMBO,1992,12,54.6,17.72,2.87
112051,ACOSTAMBO,1993,1,181.1,16.26,4.52
112051,ACOSTAMBO,1993,2,136.0,15.26,4.58
112051,ACOSTAMBO,1993,3,96.1,15.07,4.98
112051,ACOSTAMBO,1993,4,50.2,15.29,-999.0
112051,ACOSTAMBO,1993,5,15.7,15.54,-999.0
112051,ACOSTAMBO,1993,6,3.2,15.79,-999.0
112051,ACOSTAMBO,1993,7,24.4,15.36,-999.0
112051,ACOSTAMBO,1993,8,32.6,15.54,-999.0
112051,ACOSTAMBO,1993,9,73.1,15.41,-999.0
112051,ACOSTAMBO,1993,10,62.0,16.09,-999.0
112051,ACOSTAMBO,1993,11,162.5,15.6,-999.0
112051,ACOSTAMBO,1993,12,115.3,15.62,-999.0
112051,ACOSTAMBO,1994,1,170.9,15.31,-999.0
112051,ACOSTAMBO,1994,2,205.6,14.13,-999.0
112051,ACOSTAMBO,1994,3,153.0,14.88,-999.0
112051,ACOSTAMBO,1994,4,76.6,14.92,-999.0
112051,ACOSTAMBO,1994,5,7.2,16.13,-999.0
112051,ACOSTAMBO,1994,6,3.7,15.99,-999.0
112051,ACOSTAMBO,1994,7,1.0,15.89,-999.0
112051,ACOSTAMBO,1994,8,8.6,16.28,-999.0
112051,ACOSTAMBO,1994,9,41.4,16.15,-999.0
112051,ACOSTAMBO,1994,10,75.9,16.7,-999.0
112051,ACOSTAMBO,1994,11,-999.0,-999.0,-999.0
112051,ACOSTAMBO,1994,12,105.1,17.05,2.92
112051,ACOSTAMBO,1995,1,80.0,15.95,3.31
112051,ACOSTAMBO,1995,2,151.7,16.02,4.54
112051,ACOSTAMBO,1995,3,158.6,15.37,5.08
112051,ACOSTAMBO,1995,4,38.8,16.7,2.99
112051,ACOSTAMBO,1995,5,6.8,16.71,-1.14
112051,ACOSTAMBO,1995,6,12.5,16.74,-2.63
112051,ACOSTAMBO,1995,7,11.8,16.48,-1.46
112051,ACOSTAMBO,1995,8,12.4,17.24,-1.3
112051,ACOSTAMBO,1995,9,41.4,16.08,0.2
