CODIGO,ESTACION,YEAR,MONTH,PP,TMAX,TMIN
112055,HUAROCHIRI,1990,1,29.1,-999.0,-999.0
112055,HUAROCHIRI,1990,2,0.0,-999.0,-999.0
112055,HUAROCHIRI,1990,3,-999.0,-999.0,-999.0
112055,HUAROCHIRI,1990,4,0.0,-999.0,-999.0
112055,HUAROCHIRI,1990,5,0.0,-999.0,-999.0
112055,HUAROCHIRI,1990,6,0.0,-999.0,-999.0
112055,HUAROCHIRI,1990,7,0.0,-999.0,-999.0
112055,HUAROCHIRI,1990,8,0.0,-999.0,-999.0
112055,HUAROCHIRI,1990,9,0.0,-999.0,-999.0
112055,HUAROCHIRI,1990,10,24.8,-999.0,-999.0
112055,HUAROCHIRI,1990,11,30.5,-999.0,-999.0
112055,HUAROCHIRI,1990,12,18.9,-999.0,-999.0
112055,HUAROCHIRI,1991,1,46.7,-999.0,-999.0
112055,HUAROCHIRI,1991,2,8.1,-999.0,-999.0
112055,HUAROCHIRI,1991,3,59.6,-999.0,-999.0
112055,HUAROCHIRI,1991,4,8.0,-999.0,-999.0
112055,HUAROCHIRI,1991,5,0.0,-999.0,-999.0
112055,HUAROCHIRI,1991,6,-999.0,-999.0,-999.0
112055,HUAROCHIRI,1991,7,0.8,-999.0,-999.0
112055,HUAROCHIRI,1991,8,2.0,-999.0,-999.0
112055,HUAROCHIRI,1991,9,7.1,-999.0,-999.0
112055,HUAROCHIRI,1991,10,35.6,-999.0,-999.0
112055,HUAROCHIRI,1991,11,2.9,-999.0,-999.0
112055,HUAROCHIRI,1991,12,20.4,-999.0,-999.0
112055,HUAROCHIRI,1992,1,48.2,-999.0,-999.0
112055,HUAROCHIRI,1992,2,-999.0,-999.0,-999.0
112055,HUAROCHIRI,1992,3,-999.0,-999.0,-999.0
112055,HUAROCHIRI,1992,4,2.0,-999.0,-999.0
112055,HUAROCHIRI,1992,5,0.0,-999.0,-999.0
112055,HUAROCHIRI,1992,6,0.0,-999.0,-999.0
112055,HUAROCHIRI,1992,7,0.0,-999.0,-999.0
112055,HUAROCHIRI,1992,8,0.0,-999.0,-999.0
112055,HUAROCHIRI,1992,9,0.0,-999.0,-999.0
112055,HUAROCHIRI,1992,10,13.3,-999.0,-999.0
112055,HUAROCHIRI,1992,11,12.4,-999.0,-999.0
112055,HUAROCHIRI,1992,12,26.4,-999.0,-999.0
112055,HUAROCHIRI,1993,1,43.1,-999.0,-999.0
112055,HUAROCHIRI,1993,2,90.8,-999.0,-999.0
