CODIGO,ESTACION,YEAR,MONTH,PP,TMAX,TMIN
112058,PACARAN,1990,1,0.0,28.71,17.18
112058,PACARAN,1990,2,0.0,28.95,18.18
112058,PACARAN,1990,3,0.0,29.15,18.21
112058,PACARAN,1990,4,0.0,27.55,16.53
112058,PACARAN,1990,5,0.0,25.36,15.22
112058,PACARAN,1990,6,0.0,23.31,13.24
112058,PACARAN,1990,7,0.0,22.57,11.06
112058,PACARAN,1990,8,0.0,23.34,11.1
112058,PACARAN,1990,9,0.0,24.94,12.71
112058,PACARAN,1990,10,0.0,24.98,14.12
112058,PACARAN,1990,11,0.0,26.38,15.1
112058,PACARAN,1990,12,1.2,26.96,16.45
112058,PACARAN,1991,1,0.0,28.15,18.04
112058,PACARAN,1991,2,0.6,28.42,18.25
112058,PACARAN,1991,3,2.1,28.32,18.27
112058,PACARAN,1991,4,0.0,28.14,16.98
112058,PACARAN,1991,5,0.0,25.35,15.04
112058,PACARAN,1991,6,0.0,24.0,12.49
112058,PACARAN,1991,7,0.0,22.9,11.48
112058,PACARAN,1991,8,0.0,23.54,11.2
112058,PACARAN,1991,9,0.0,23.95,12.68
112058,PACARAN,1991,10,1.5,25.41,14.37
112058,PACARAN,1991,11,0.0,25.52,14.88
112058,PACARAN,1991,12,0.0,27.09,16.13
112058,PACARAN,1992,1,0.0,28.21,18.16
112058,PACARAN,1992,2,1.7,29.06,18.03
112058,PACARAN,1992,3,0.0,29.36,19.11
112058,PACARAN,1992,4,0.0,27.51,18.6
112058,PACARAN,1992,5,0.0,26.58,16.31
112058,PACARAN,1992,6,0.0,23.63,13.51
112058,PACARAN,1992,7,0.0,22.72,11.41
112058,PACARAN,1992,8,0.0,23.82,11.9
112058,PACARAN,1992,9,-999.0,24.55,12.36
112058,PACARAN,1992,10,0.0,25.75,14.41
112058,PACARAN,1992,11,0.0,26.65,15.15
112058,PACARAN,1992,12,0.0,27.61,15.74
112058,PACARAN,1993,1,0.0,28.19,17.95
112058,PACARAN,1993,2,0.3,28.53,18.82
112058,PACARAN,1993,3,5.0,28.93,18.86
112058,PACARAN,1993,4,0.5,27.76,17.69
112058,PACARAN,1993,5,0.0,24.39,15.71
112058,PACARAN,1993,6,-999.0,23.45,13.58
112058,PACARAN,1993,7,-999.0,22.49,12.2
112058,PACARAN,1993,8,-999.0,23.65,12.35
112058,PACARAN,1993,9,0.0,24.34,13.17
112058,PACARAN,1993,10,0.0,26.27,14.4
112058,PACARAN,1993,11,0.0,25.78,14.97
112058,PACARAN,1993,12,0.7,26.58,16.85
112058,PACARAN,1994,1,13.9,27.41,18.31
112058,PACARAN,1994,2,0.7,28.45,18.51
112058,PACARAN,1994,3,0.0,28.35,18.22
112058,PACARAN,1994,4,2.6,27.51,17.35
112058,PACARAN,1994,5,0.9,25.29,15.39
112058,PACARAN,1994,6,-999.0,23.52,12.8
112058,PACARAN,1994,7,-999.0,23.11,11.22
112058,PACARAN,1994,8,-999.0,23.31,11.63
112058,PACARAN,1994,9,-999.0,25.61,13.36
112058,PACARAN,1994,10,0.0,25.36,13.79
112058,PACARAN,1994,11,0.1,26.12,15.19
112058,PACARAN,1994,12,0.0,27.18,16.52
112058,PACARAN,1995,1,0.5,28.14,18.57
112058,PACARAN,1995,2,1.3,29.17,19.15
112058,PACARAN,1995,3,8.9,29.01,18.31
112058,PACARAN,1995,4,0.0,28.08,17.33
112058,PACARAN,1995,5,0.0,26.1,15.58
112058,PACARAN,1995,6,0.0,24.41,12.99
