CODIGO,ESTACION,YEAR,MONTH,PP,TMAX,TMIN
112060,PILCHACA,1990,1,140.9,-999.0,5.32
112060,PILCHACA,1990,2,33.3,-999.0,5.28
112060,PILCHACA,1990,3,92.8,-999.0,4.9
112060,PILCHACA,1990,4,27.6,-999.0,5.12
112060,PILCHACA,1990,5,26.4,-999.0,4.05
112060,PILCHACA,1990,6,80.7,-999.0,4.27
112060,PILCHACA,1990,7,8.2,16.74,2.94
112060,PILCHACA,1990,8,47.4,16.39,2.63
112060,PILCHACA,1990,9,56.4,16.57,4.34
112060,PILCHACA,1990,10,134.6,16.47,5.41
112060,PILCHACA,1990,11,116.3,16.99,5.95
112060,PILCHACA,1990,12,74.5,16.57,5.17
112060,PILCHACA,1991,1,50.4,18.11,6.21
112060,PILCHACA,1991,2,73.0,16.94,5.94
112060,PILCHACA,1991,3,106.8,16.74,6.15
112060,PILCHACA,1991,4,27.3,17.51,5.52
112060,PILCHACA,1991,5,18.8,18.16,3.73
112060,PILCHACA,1991,6,30.6,17.41,2.14
112060,PILCHACA,1991,7,6.3,17.45,0.97
112060,PILCHACA,1991,8,0.0,17.45,1.96
112060,PILCHACA,1991,9,76.1,16.84,2.96
112060,PILCHACA,1991,10,25.0,17.41,4.74
112060,PILCHACA,1991,11,66.6,17.95,4.52
112060,PILCHACA,1991,12,55.4,19.42,4.31
112060,PILCHACA,1992,1,84.0,17.99,4.07
112060,PILCHACA,1992,2,119.4,18.51,4.93
112060,PILCHACA,1992,3,99.4,17.71,5.8
112060,PILCHACA,1992,4,30.6,19.33,5.35
112060,PILCHACA,1992,5,0.0,19.84,3.15
112060,PILCHACA,1992,6,19.7,15.94,3.76
112060,PILCHACA,1992,7,6.2,16.67,0.69
112060,PILCHACA,1992,8,46.6,16.87,2.14
112060,PILCHACA,1992,9,44.4,18.57,2.79
112060,PILCHACA,1992,10,76.0,17.57,3.73
112060,PILCHACA,1992,11,50.1,19.36,4.11
112060,PILCHACA,1992,12,40.8,19.25,4.09
112060,PILCHACA,1993,1,130.9,16.55,5.12
112060,PILCHACA,1993,2,70.7,16.46,5.15
112060,PILCHACA,1993,3,45.0,16.36,5.55
112060,PILCHACA,1993,4,36.2,17.73,5.59
112060,PILCHACA,1993,5,9.3,19.06,3.41
112060,PILCHACA,1993,6,4.0,18.99,1.4
112060,PILCHACA,1993,7,28.0,17.74,2.05
112060,PILCHACA,1993,8,14.8,17.87,1.68
112060,PILCHACA,1993,9,48.6,17.55,3.77
112060,PILCHACA,1993,10,57.0,17.5,4.57
112060,PILCHACA,1993,11,125.4,17.55,-999.0
112060,PILCHACA,1993,12,94.7,16.9,5.54
112060,PILCHACA,1994,1,167.3,16.16,6.05
112060,PILCHACA,1994,2,141.0,15.64,5.92
112060,PILCHACA,1994,3,98.1,16.13,5.92
112060,PILCHACA,1994,4,54.3,16.63,4.96
112060,PILCHACA,1994,5,3.0,18.19,3.62
112060,PILCHACA,1994,6,5.6,17.32,0.97
112060,PILCHACA,1994,7,0.0,17.92,1.16
112060,PILCHACA,1994,8,5.4,17.6,1.86
112060,PILCHACA,1994,9,30.4,17.65,3.96
112060,PILCHACA,1994,10,60.9,18.48,3.36
112060,PILCHACA,1994,11,38.0,19.04,5.35
112060,PILCHACA,1994,12,101.4,18.54,5.61
112060,PILCHACA,1995,1,85.0,17.32,5.92
112060,PILCHACA,1995,2,129.5,16.74,5.78
112060,PILCHACA,1995,3,124.6,16.41,5.82
112060,PILCHACA,1995,4,44.0,17.83,5.11
112060,PILCHACA,1995,5,4.0,18.42,2.59
112060,PILCHACA,1995,6,5.4,18.07,1.25
112060,PILCHACA,1995,7,6.8,18.53,2.59
112060,PILCHACA,1995,8,13.2,19.4,3.44
112060,PILCHACA,1995,9,65.6,17.46,4.01
112060,PILCHACA,1995,10,23.8,18.68,4.92
112060,PILCHACA,1995,11,68.0,18.31,4.97
112060,PILCHACA,1995,12,107.4,18.21,3.95
112060,PILCHACA,1996,1,109.5,-999.0,5.45
112060,PILCHACA,1996,2,115.0,-999.0,5.66
112060,PILCHACA,1996,3,77.8,-999.0,5.93
112060,PILCHACA,1996,4,33.2,-999.0,5.75
112060,PILCHACA,1996,5,5.2,-999.0,3.89
112060,PILCHACA,1996,6,1.8,-999.0,1.48
112060,PILCHACA,1996,7,1.4,-999.0,1.64
112060,PILCHACA,1996,8,11.0,-999.0,3.46
112060,PILCHACA,1996,9,15.0,-999.0,4.07
112060,PILCHACA,1996,10,39.2,-999.0,4.66
112060,PILCHACA,1996,11,66.8,-999.0,4.22
112060,PILCHACA,1996,12,118.5,-999.0,5.11
112060,PILCHACA,1997,1,144.3,-999.0,5.61
112060,PILCHACA,1997,2,107.0,-999.0,5.28
112060,PILCHACA,1997,3,94.3,-999.0,4.8
112060,PILCHACA,1997,4,47.2,-999.0,4.19
112060,PILCHACA,1997,5,9.4,-999.0,3.27
112060,PILCHACA,1997,6,0.0,-999.0,1.53
112060,PILCHACA,1997,7,4.6,-999.0,2.0
112060,PILCHACA,1997,8,30.2,-999.0,3.43
112060,PILCHACA,1997,9,43.4,-999.0,3.93
112060,PILCHACA,1997,10,29.2,-999.0,5.68
112060,PILCHACA,1997,11,56.2,-999.0,6.18
112060,PILCHACA,1997,12,85.0,-999.0,6.78
112060,PILCHACA,1998,1,108.8,-999.0,7.35
112060,PILCHACA,1998,2,90.8,-999.0,7.72
112060,PILCHACA,1998,3,64.0,-999.0,7.23
112060,PILCHACA,1998,4,26.9,-999.0,6.44
112060,PILCHACA,1998,5,0.0,-999.0,3.19
112060,PILCHACA,1998,6,4.0,-999.0,3.75
112060,PILCHACA,1998,7,0.0,-999.0,2.46
112060,PILCHACA,1998,8,26.2,-999.0,4.62
112060,PILCHACA,1998,9,8.4,-999.0,4.29
112060,PILCHACA,1998,10,134.4,-999.0,5.78
112060,PILCHACA,1998,11,30.8,-999.0,5.43
112060,PILCHACA,1998,12,100.2,-999.0,5.57
112060,PILCHACA,1999,1,85.3,-999.0,5.88
112060,PILCHACA,1999,2,178.8,-999.0,5.75
112060,PILCHACA,1999,3,84.0,-999.0,6.09
112060,PILCHACA,1999,4,70.0,-999.0,5.28
112060,PILCHACA,1999,5,11.6,-999.0,4.36
112060,PILCHACA,1999,6,6.4,-999.0,2.5
112060,PILCHACA,1999,7,5.0,-999.0,2.48
112060,PILCHACA,1999,8,0.0,-999.0,2.77
112060,PILCHACA,1999,9,55.8,-999.0,4.2
112060,PILCHACA,1999,10,34.4,-999.0,5.13
112060,PILCHACA,1999,11,67.6,-999.0,5.48
112060,PILCHACA,1999,12,64.2,-999.0,6.25
112060,PILCHACA,2000,1,145.4,-999.0,5.8
112060,PILCHACA,2000,2,173.0,-999.0,5.68
112060,PILCHACA,2000,3,131.0,-999.0,5.82
112060,PILCHACA,2000,4,36.2,-999.0,5.23
112060,PILCHACA,2000,5,34.1,-999.0,4.7
112060,PILCHACA,2000,6,22.8,-999.0,2.76
112060,PILCHACA,2000,7,17.0,-999.0,1.86
112060,PILCHACA,2000,8,24.2,-999.0,3.55
112060,PILCHACA,2000,9,11.8,-999.0,3.94
112060,PILCHACA,2000,10,127.6,-999.0,4.87
112060,PILCHACA,2000,11,11.8,-999.0,3.56
112060,PILCHACA,2000,12,79.4,-999.0,4.96
112060,PILCHACA,2001,1,150.4,-999.0,5.55
112060,PILCHACA,2001,2,102.6,-999.0,5.96
112060,PILCHACA,2001,3,88.6,-999.0,6.02
112060,PILCHACA,2001,4,23.0,-999.0,4.63
112060,PILCHACA,2001,5,19.0,-999.0,4.82
112060,PILCHACA,2001,6,5.6,-999.0,2.66
112060,PILCHACA,2001,7,59.2,-999.0,2.58
112060,PILCHACA,2001,8,6.0,-999.0,2.25
112060,PILCHACA,2001,9,35.4,-999.0,4.32
112060,PILCHACA,2001,10,53.7,-999.0,5.12
112060,PILCHACA,2001,11,69.9,-999.0,6.11
112060,PILCHACA,2001,12,89.2,-999.0,5.66
112060,PILCHACA,2002,1,99.2,-999.0,5.19
112060,PILCHACA,2002,2,171.5,-999.0,6.24
112060,PILCHACA,2002,3,124.4,-999.0,6.22
112060,PILCHACA,2002,4,20.6,-999.0,5.51
112060,PILCHACA,2002,5,26.0,-999.0,4.55
112060,PILCHACA,2002,6,5.2,-999.0,2.94
112060,PILCHACA,2002,7,75.8,-999.0,2.96
112060,PILCHACA,2002,8,15.0,-999.0,3.04
112060,PILCHACA,2002,9,80.2,-999.0,4.82
112060,PILCHACA,2002,10,82.0,-999.0,5.47
112060,PILCHACA,2002,11,46.9,-999.0,6.19
112060,PILCHACA,2002,12,104.2,-999.0,6.32
112060,PILCHACA,2003,1,100.2,-999.0,6.52
112060,PILCHACA,2003,2,150.2,-999.0,6.31
112060,PILCHACA,2003,3,133.9,-999.0,6.14
112060,PILCHACA,2003,4,64.8,-999.0,5.68
112060,PILCHACA,2003,5,23.2,-999.0,5.16
112060,PILCHACA,2003,6,0.0,-999.0,2.92
112060,PILCHACA,2003,7,0.0,-999.0,2.36
112060,PILCHACA,2003,8,47.4,-999.0,3.39
112060,PILCHACA,2003,9,37.0,-999.0,3.62
112060,PILCHACA,2003,10,36.0,-999.0,4.61
112060,PILCHACA,2003,11,52.0,-999.0,4.26
112060,PILCHACA,2003,12,78.6,-999.0,5.95
112060,PILCHACA,2004,1,48.6,-999.0,5.62
112060,PILCHACA,2004,2,132.2,-999.0,5.7
112060,PILCHACA,2004,3,58.1,-999.0,5.57
112060,PILCHACA,2004,4,22.1,-999.0,5.19
112060,PILCHACA,2004,5,30.4,-999.0,3.04
112060,PILCHACA,2004,6,27.2,-999.0,1.79
112060,PILCHACA,2004,7,10.4,-999.0,2.47
112060,PILCHACA,2004,8,11.6,-999.0,2.68
112060,PILCHACA,2004,9,56.6,-999.0,4.34
112060,PILCHACA,2004,10,61.2,-999.0,5.38
112060,PILCHACA,2004,11,88.4,-999.0,5.28
112060,PILCHACA,2004,12,101.0,-999.0,5.7
112060,PILCHACA,2005,1,78.6,18.28,5.64
112060,PILCHACA,2005,2,100.9,17.86,6.28
112060,PILCHACA,2005,3,87.0,18.28,6.32
112060,PILCHACA,2005,4,17.6,18.96,5.66
112060,PILCHACA,2005,5,16.2,19.64,3.46
112060,PILCHACA,2005,6,1.6,19.24,1.6
112060,PILCHACA,2005,7,6.6,19.24,2.04
112060,PILCHACA,2005,8,9.6,19.4,3.03
112060,PILCHACA,2005,9,19.8,18.47,4.51
112060,PILCHACA,2005,10,72.6,18.82,4.61
112060,PILCHACA,2005,11,63.2,19.99,4.98
112060,PILCHACA,2005,12,115.8,18.2,5.52
112060,PILCHACA,2006,1,162.8,17.65,5.3
112060,PILCHACA,2006,2,112.8,16.68,5.4
112060,PILCHACA,2006,3,97.7,16.58,5.95
112060,PILCHACA,2006,4,42.4,18.05,5.16
112060,PILCHACA,2006,5,4.0,18.76,2.04
112060,PILCHACA,2006,6,13.8,17.96,2.62
112060,PILCHACA,2006,7,0.0,17.96,0.7
112060,PILCHACA,2006,8,18.8,18.44,3.37
112060,PILCHACA,2006,9,53.6,18.54,3.93
112060,PILCHACA,2006,10,88.5,18.45,4.49
112060,PILCHACA,2006,11,80.7,17.97,5.77
112060,PILCHACA,2006,12,70.4,19.05,5.84
112060,PILCHACA,2007,1,81.0,18.2,6.23
112060,PILCHACA,2007,2,66.7,18.35,5.82
112060,PILCHACA,2007,3,128.0,17.77,5.64
112060,PILCHACA,2007,4,11.4,17.83,5.48
112060,PILCHACA,2007,5,32.8,19.12,3.51
112060,PILCHACA,2007,6,0.0,19.08,1.91
112060,PILCHACA,2007,7,13.9,18.3,2.06
112060,PILCHACA,2007,8,8.4,18.85,2.63
112060,PILCHACA,2007,9,30.6,17.49,4.41
112060,PILCHACA,2007,10,50.0,18.17,4.38
