CODIGO,ESTACION,YEAR,MONTH,PP,TMAX,TMIN
112065,LIRCAY,1990,1,140.6,19.65,-999.0
112065,LIRCAY,1990,2,20.4,21.41,-999.0
112065,LIRCAY,1990,3,62.3,20.61,-999.0
112065,LIRCAY,1990,4,53.4,22.06,-999.0
112065,LIRCAY,1990,5,24.1,21.18,-999.0
112065,LIRCAY,1990,6,88.8,18.66,-999.0
112065,LIRCAY,1990,7,10.5,20.04,-999.0
112065,LIRCAY,1990,8,36.4,20.03,-999.0
112065,LIRCAY,1990,9,50.2,21.0,-999.0
112065,LIRCAY,1990,10,66.0,20.67,-999.0
112065,LIRCAY,1990,11,-999.0,-999.0,-999.0
112065,LIRCAY,1990,12,147.3,19.52,-999.0
112065,LIRCAY,1991,1,96.3,20.43,-999.0
112065,LIRCAY,1991,2,94.3,20.04,-999.0
112065,LIRCAY,1991,3,105.0,19.98,-999.0
112065,LIRCAY,1991,4,29.5,20.12,-999.0
112065,LIRCAY,1991,5,30.9,21.26,-999.0
112065,LIRCAY,1991,6,44.0,21.38,-999.0
112065,LIRCAY,1991,7,7.7,20.53,-999.0
112065,LIRCAY,1991,8,2.7,20.87,-999.0
112065,LIRCAY,1991,9,24.2,21.08,-999.0
112065,LIRCAY,1991,10,73.6,21.24,-999.0
112065,LIRCAY,1991,11,56.8,21.25,-999.0
112065,LIRCAY,1991,12,44.1,22.45,-999.0
112065,LIRCAY,1992,1,70.1,21.45,-999.0
112065,LIRCAY,1992,2,73.0,22.44,-999.0
112065,LIRCAY,1992,3,53.8,21.61,-999.0
112065,LIRCAY,1992,4,47.2,23.39,-999.0
112065,LIRCAY,1992,5,0.0,23.54,-999.0
112065,LIRCAY,1992,6,24.4,20.05,-999.0
112065,LIRCAY,1992,7,24.6,20.18,-999.0
112065,LIRCAY,1992,8,42.3,19.99,-999.0
112065,LIRCAY,1992,9,20.4,22.72,-999.0
112065,LIRCAY,1992,10,72.4,20.69,-999.0
112065,LIRCAY,1992,11,25.2,22.75,-999.0
112065,LIRCAY,1992,12,40.8,23.0,-999.0
112065,LIRCAY,1993,1,239.0,19.7,-999.0
112065,LIRCAY,1993,2,105.4,19.14,-999.0
112065,LIRCAY,1993,3,103.4,19.17,-999.0
112065,LIRCAY,1993,4,96.7,21.27,-999.0
112065,LIRCAY,1993,5,31.9,-999.0,-999.0
112065,LIRCAY,1993,6,13.2,-999.0,-999.0
112065,LIRCAY,1993,7,28.0,-999.0,-999.0
112065,LIRCAY,1993,8,19.7,-999.0,-999.0
112065,LIRCAY,1993,9,25.8,-999.0,-999.0
112065,LIRCAY,1993,10,67.5,20.5,-999.0
112065,LIRCAY,1993,11,138.5,19.83,-999.0
112065,LIRCAY,1993,12,137.5,18.76,-999.0
112065,LIRCAY,1994,1,186.3,18.81,-999.0
112065,LIRCAY,1994,2,218.6,18.6,-999.0
112065,LIRCAY,1994,3,137.0,18.66,-999.0
112065,LIRCAY,1994,4,76.1,19.62,-999.0
112065,LIRCAY,1994,5,29.9,20.75,-999.0
112065,LIRCAY,1994,6,7.8,20.31,-999.0
112065,LIRCAY,1994,7,0.5,20.69,-999.0
112065,LIRCAY,1994,8,-999.0,-999.0,-999.0
112065,LIRCAY,1994,9,24.8,21.13,-999.0
112065,LIRCAY,1994,10,30.3,22.17,-999.0
112065,LIRCAY,1994,11,52.4,22.02,-999.0
112065,LIRCAY,1994,12,77.2,21.75,-999.0
112065,LIRCAY,1995,1,140.8,19.77,-999.0
112065,LIRCAY,1995,2,153.5,19.61,-999.0
112065,LIRCAY,1995,3,110.2,19.26,-999.0
112065,LIRCAY,1995,4,26.0,20.77,-999.0
112065,LIRCAY,1995,5,15.3,21.54,-999.0
112065,LIRCAY,1995,6,0.0,21.27,-999.0
112065,LIRCAY,1995,7,5.0,21.79,-999.0
112065,LIRCAY,1995,8,7.0,22.53,-999.0
112065,LIRCAY,1995,9,22.1,21.05,-999.0
112065,LIRCAY,1995,10,35.1,22.51,-999.0
112065,LIRCAY,1995,11,77.8,21.25,-999.0
112065,LIRCAY,1995,12,41.2,21.03,-999.0
112065,LIRCAY,1996,1,131.5,18.99,7.15
112065,LIRCAY,1996,2,161.6,18.4,6.94
