CODIGO,ESTACION,YEAR,MONTH,PP,TMAX,TMIN
112081,SAN PEDRO DE PILAS,1990,1,23.9,-999.0,-999.0
112081,SAN PEDRO DE PILAS,1990,2,14.1,-999.0,-999.0
112081,SAN PEDRO DE PILAS,1990,3,23.8,-999.0,-999.0
112081,SAN PEDRO DE PILAS,1990,4,0.0,-999.0,-999.0
112081,SAN PEDRO DE PILAS,1990,5,0.0,-999.0,-999.0
112081,SAN PEDRO DE PILAS,1990,6,0.0,-999.0,-999.0
112081,SAN PEDRO DE PILAS,1990,7,0.0,-999.0,-999.0
112081,SAN PEDRO DE PILAS,1990,8,0.0,-999.0,-999.0
112081,SAN PEDRO DE PILAS,1990,9,0.0,-999.0,-999.0
112081,SAN PEDRO DE PILAS,1990,10,4.1,-999.0,-999.0
112081,SAN PEDRO DE PILAS,1990,11,20.7,-999.0,-999.0
112081,SAN PEDRO DE PILAS,1990,12,39.2,-999.0,-999.0
112081,SAN PEDRO DE PILAS,1991,1,11.4,-999.0,-999.0
112081,SAN PEDRO DE PILAS,1991,2,41.8,-999.0,-999.0
112081,SAN PEDRO DE PILAS,1991,3,79.8,-999.0,-999.0
112081,SAN PEDRO DE PILAS,1991,4,10.3,-999.0,-999.0
112081,SAN PEDRO DE PILAS,1991,5,1.3,-999.0,-999.0
112081,SAN PEDRO DE PILAS,1991,6,0.0,-999.0,-999.0
112081,SAN PEDRO DE PILAS,1991,7,0.0,-999.0,-999.0
112081,SAN PEDRO DE PILAS,1991,8,0.0,-999.0,-999.0
112081,SAN PEDRO DE PILAS,1991,9,0.0,-999.0,-999.0
112081,SAN PEDRO DE PILAS,1991,10,1.8,-999.0,-999.0
112081,SAN PEDRO DE PILAS,1991,11,4.2,-999.0,-999.0
112081,SAN PEDRO DE PILAS,1991,12,25.0,-999.0,-999.0
112081,SAN PEDRO DE PILAS,1992,1,10.6,-999.0,-999.0
112081,SAN PEDRO DE PILAS,1992,2,10.2,-999.0,-999.0
112081,SAN PEDRO DE PILAS,1992,3,16.3,-999.0,-999.0
