CODIGO,ESTACION,YEAR,MONTH,PP,TMAX,TMIN
112083,SANTA ANA,1990,1,-999.0,-999.0,-999.0
112083,SANTA ANA,1990,2,-999.0,-999.0,-999.0
112083,SANTA ANA,1990,3,-999.0,-999.0,-999.0
112083,SANTA ANA,1990,4,-999.0,-999.0,-999.0
112083,SANTA ANA,1990,5,-999.0,-999.0,-999.0
112083,SANTA ANA,1990,6,-999.0,-999.0,-999.0
112083,SANTA ANA,1990,7,-999.0,-999.0,-999.0
112083,SANTA ANA,1990,8,-999.0,-999.0,-999.0
112083,SANTA ANA,1990,9,-999.0,-999.0,-999.0
112083,SANTA ANA,1990,10,-999.0,-999.0,-999.0
112083,SANTA ANA,1990,11,-999.0,-999.0,-999.0
112083,SANTA ANA,1990,12,-999.0,-999.0,-999.0
112083,SANTA ANA,1991,1,-999.0,-999.0,-999.0
112083,SANTA ANA,1991,2,-999.0,-999.0,-999.0
112083,SANTA ANA,1991,3,-999.0,-999.0,-999.0
112083,SANTA ANA,1991,4,-999.0,-999.0,-999.0
112083,SANTA ANA,1991,5,-999.0,-999.0,-999.0
112083,SANTA ANA,1991,6,-999.0,-999.0,-999.0
112083,SANTA ANA,1991,7,-999.0,-999.0,-999.0
112083,SANTA ANA,1991,8,-999.0,-999.0,-999.0
112083,SANTA ANA,1991,9,-999.0,-999.0,-999.0
112083,SANTA ANA,1991,10,-999.0,-999.0,-999.0
112083,SANTA ANA,1991,11,-999.0,-999.0,-999.0
112083,SANTA ANA,1991,12,-999.0,-999.0,-999.0
112083,SANTA ANA,1992,1,-999.0,-999.0,-999.0
112083,SANTA ANA,1992,2,88.8,-999.0,-999.0
112083,SANTA ANA,1992,3,50.2,-999.0,5.45
112083,SANTA ANA,1992,4,16.8,-999.0,3.67
112083,SANTA ANA,1992,5,3.4,-999.0,1.46
112083,SANTA ANA,1992,6,11.5,-999.0,2.67
112083,SANTA ANA,1992,7,2.9,-999.0,-0.74
112083,SANTA ANA,1992,8,17.6,-999.0,1.61
112083,SANTA ANA,1992,9,15.7,-999.0,2.83
112083,SANTA ANA,1992,10,33.4,-999.0,3.15
112083,SANTA ANA,1992,11,67.0,-999.0,3.57
112083,SANTA ANA,1992,12,36.6,-999.0,2.85
112083,SANTA ANA,1993,1,112.0,-999.0,4.34
112083,SANTA ANA,1993,2,106.4,-999.0,4.87
112083,SANTA ANA,1993,3,109.1,-999.0,4.59
112083,SANTA ANA,1993,4,88.5,-999.0,3.9
112083,SANTA ANA,1993,5,23.4,-999.0,1.02
112083,SANTA ANA,1993,6,1.8,-999.0,-3.31
112083,SANTA ANA,1993,7,3.4,-999.0,-0.72
112083,SANTA ANA,1993,8,13.0,-999.0,-0.41
112083,SANTA ANA,1993,9,14.5,-999.0,2.69
112083,SANTA ANA,1993,10,19.6,-999.0,2.99
112083,SANTA ANA,1993,11,63.2,-999.0,5.33
112083,SANTA ANA,1993,12,66.2,-999.0,5.5
112083,SANTA ANA,1994,1,100.4,-999.0,4.8
112083,SANTA ANA,1994,2,76.8,-999.0,5.13
112083,SANTA ANA,1994,3,62.8,-999.0,6.11
112083,SANTA ANA,1994,4,36.8,-999.0,3.4
112083,SANTA ANA,1994,5,16.6,-999.0,0.19
