CODIGO,ESTACION,YEAR,MONTH,PP,TMAX,TMIN
112127,HUAÑEC,1990,1,-999.0,-999.0,-999.0
112127,HUAÑEC,1990,2,-999.0,-999.0,-999.0
112127,HUAÑEC,1990,3,-999.0,-999.0,-999.0
112127,HUAÑEC,1990,4,-999.0,-999.0,-999.0
112127,HUAÑEC,1990,5,-999.0,-999.0,-999.0
112127,HUAÑEC,1990,6,-999.0,-999.0,-999.0
112127,HUAÑEC,1990,7,-999.0,-999.0,-999.0
112127,HUAÑEC,1990,8,-999.0,-999.0,-999.0
112127,HUAÑEC,1990,9,-999.0,-999.0,-999.0
112127,HUAÑEC,1990,10,-999.0,-999.0,-999.0
112127,HUAÑEC,1990,11,-999.0,-999.0,-999.0
112127,HUAÑEC,1990,12,-999.0,-999.0,-999.0
112127,HUAÑEC,1991,1,-999.0,-999.0,-999.0
112127,HUAÑEC,1991,2,-999.0,-999.0,-999.0
112127,HUAÑEC,1991,3,-999.0,-999.0,-999.0
112127,HUAÑEC,1991,4,-999.0,-999.0,-999.0
112127,HUAÑEC,1991,5,-999.0,-999.0,-999.0
112127,HUAÑEC,1991,6,-999.0,-999.0,-999.0
112127,HUAÑEC,1991,7,-999.0,-999.0,-999.0
112127,HUAÑEC,1991,8,-999.0,-999.0,-999.0
112127,HUAÑEC,1991,9,-999.0,-999.0,-999.0
112127,HUAÑEC,1991,10,-999.0,-999.0,-999.0
112127,HUAÑEC,1991,11,-999.0,-999.0,-999.0
112127,HUAÑEC,1991,12,-999.0,-999.0,-999.0
112127,HUAÑEC,1992,1,-999.0,-999.0,-999.0
112127,HUAÑEC,1992,2,-999.0,-999.0,-999.0
112127,HUAÑEC,1992,3,-999.0,-999.0,-999.0
112127,HUAÑEC,1992,4,-999.0,-999.0,-999.0
112127,HUAÑEC,1992,5,-999.0,-999.0,-999.0
112127,HUAÑEC,1992,6,-999.0,-999.0,-999.0
112127,HUAÑEC,1992,7,-999.0,-999.0,-999.0
112127,HUAÑEC,1992,8,-999.0,-999.0,-999.0
112127,HUAÑEC,1992,9,-999.0,-999.0,-999.0
112127,HUAÑEC,1992,10,-999.0,-999.0,-999.0
112127,HUAÑEC,1992,11,-999.0,-999.0,-999.0
112127,HUAÑEC,1992,12,-999.0,-999.0,-999.0
112127,HUAÑEC,1993,1,86.6,-999.0,-999.0
112127,HUAÑEC,1993,2,-999.0,-999.0,-999.0
112127,HUAÑEC,1993,3,173.6,-999.0,-999.0
112127,HUAÑEC,1993,4,20.1,-999.0,-999.0
112127,HUAÑEC,1993,5,1.9,-999.0,-999.0
112127,HUAÑEC,1993,6,0.0,-999.0,-999.0
112127,HUAÑEC,1993,7,0.0,-999.0,-999.0
112127,HUAÑEC,1993,8,0.0,-999.0,-999.0
112127,HUAÑEC,1993,9,-999.0,-999.0,-999.0
112127,HUAÑEC,1993,10,-999.0,-999.0,-999.0
112127,HUAÑEC,1993,11,-999.0,-999.0,-999.0
112127,HUAÑEC,1993,12,-999.0,-999.0,-999.0
112127,HUAÑEC,1994,1,-999.0,-999.0,-999.0
112127,HUAÑEC,1994,2,79.0,-999.0,-999.0
112127,HUAÑEC,1994,3,54.4,-999.0,-999.0
112127,HUAÑEC,1994,4,-999.0,-999.0,-999.0
112127,HUAÑEC,1994,5,-999.0,-999.0,-999.0
112127,HUAÑEC,1994,6,0.5,-999.0,-999.0
112127,HUAÑEC,1994,7,0.0,-999.0,-999.0
112127,HUAÑEC,1994,8,0.0,-999.0,-999.0
112127,HUAÑEC,1994,9,4.5,-999.0,-999.0
112127,HUAÑEC,1994,10,1.3,-999.0,-999.0
112127,HUAÑEC,1994,11,20.4,-999.0,-999.0
112127,HUAÑEC,1994,12,-999.0,-999.0,-999.0
112127,HUAÑEC,1995,1,-999.0,-999.0,-999.0
112127,HUAÑEC,1995,2,-999.0,-999.0,-999.0
112127,HUAÑEC,1995,3,82.5,-999.0,-999.0
112127,HUAÑEC,1995,4,13.5,-999.0,-999.0
112127,HUAÑEC,1995,5,0.0,-999.0,-999.0
112127,HUAÑEC,1995,6,0.0,-999.0,-999.0
112127,HUAÑEC,1995,7,0.0,-999.0,-999.0
112127,HUAÑEC,1995,8,0.0,-999.0,-999.0
112127,HUAÑEC,1995,9,0.0,-999.0,-999.0
112127,HUAÑEC,1995,10,13.7,-999.0,-999.0
112127,HUAÑEC,1995,11,16.9,-999.0,-999.0
112127,HUAÑEC,1995,12,59.6,-999.0,-999.0
112127,HUAÑEC,1996,1,126.4,-999.0,-999.0
112127,HUAÑEC,1996,2,176.9,-999.0,-999.0
112127,HUAÑEC,1996,3,135.7,-999.0,-999.0
112127,HUAÑEC,1996,4,11.8,-999.0,-999.0
112127,HUAÑEC,1996,5,0.0,-999.0,-999.0
112127,HUAÑEC,1996,6,0.0,-999.0,-999.0
