CODIGO,ESTACION,YEAR,MONTH,PP,TMAX,TMIN
112135,VILCA,1990,1,120.0,-999.0,-999.0
112135,VILCA,1990,2,86.2,-999.0,-999.0
112135,VILCA,1990,3,58.2,-999.0,-999.0
112135,VILCA,1990,4,56.1,-999.0,-999.0
112135,VILCA,1990,5,9.6,-999.0,-999.0
112135,VILCA,1990,6,2.3,-999.0,-999.0
112135,VILCA,1990,7,7.2,-999.0,-999.0
112135,VILCA,1990,8,16.1,-999.0,-999.0
112135,VILCA,1990,9,18.7,-999.0,-999.0
112135,VILCA,1990,10,29.6,-999.0,-999.0
112135,VILCA,1990,11,28.2,-999.0,-999.0
112135,VILCA,1990,12,38.9,-999.0,-999.0
112135,VILCA,1991,1,62.8,-999.0,-999.0
112135,VILCA,1991,2,33.6,-999.0,-999.0
112135,VILCA,1991,3,126.2,-999.0,-999.0
112135,VILCA,1991,4,76.6,-999.0,-999.0
112135,VILCA,1991,5,4.5,-999.0,-999.0
112135,VILCA,1991,6,0.8,-999.0,-999.0
112135,VILCA,1991,7,0.0,-999.0,-999.0
112135,VILCA,1991,8,28.8,-999.0,-999.0
112135,VILCA,1991,9,37.8,-999.0,-999.0
112135,VILCA,1991,10,0.0,-999.0,-999.0
112135,VILCA,1991,11,17.6,-999.0,-999.0
112135,VILCA,1991,12,40.3,-999.0,-999.0
112135,VILCA,1992,1,88.0,-999.0,-999.0
112135,VILCA,1992,2,18.0,-999.0,-999.0
112135,VILCA,1992,3,50.7,-999.0,-999.0
112135,VILCA,1992,4,21.2,-999.0,-999.0
112135,VILCA,1992,5,13.5,-999.0,-999.0
112135,VILCA,1992,6,9.9,-999.0,-999.0
112135,VILCA,1992,7,9.4,-999.0,-999.0
112135,VILCA,1992,8,2.0,-999.0,-999.0
112135,VILCA,1992,9,0.0,-999.0,-999.0
112135,VILCA,1992,10,0.4,-999.0,-999.0
112135,VILCA,1992,11,11.4,-999.0,-999.0
112135,VILCA,1992,12,31.9,-999.0,-999.0
112135,VILCA,1993,1,-999.0,-999.0,-999.0
112135,VILCA,1993,2,-999.0,-999.0,-999.0
112135,VILCA,1993,3,90.6,-999.0,-999.0
112135,VILCA,1993,4,114.2,-999.0,-999.0
112135,VILCA,1993,5,50.7,-999.0,-999.0
112135,VILCA,1993,6,11.7,-999.0,-999.0
112135,VILCA,1993,7,31.5,-999.0,-999.0
112135,VILCA,1993,8,28.2,-999.0,-999.0
112135,VILCA,1993,9,166.6,-999.0,-999.0
112135,VILCA,1993,10,374.9,-999.0,-999.0
