CODIGO,ESTACION,YEAR,MONTH,PP,TMAX,TMIN
113010,HUAMANI,1990,1,-999.0,30.96,16.72
113010,HUAMANI,1990,2,-999.0,30.45,17.34
113010,HUAMANI,1990,3,0.0,29.27,16.09
113010,HUAMANI,1990,4,-999.0,27.54,14.68
113010,HUAMANI,1990,5,-999.0,26.0,12.68
113010,HUAMANI,1990,6,-999.0,25.31,11.6
113010,HUAMANI,1990,7,0.0,24.3,11.18
113010,HUAMANI,1990,8,0.0,24.23,-999.0
113010,HUAMANI,1990,9,0.0,25.52,-999.0
113010,HUAMANI,1990,10,0.0,26.76,-999.0
113010,HUAMANI,1990,11,0.0,29.54,-999.0
113010,HUAMANI,1990,12,0.0,29.98,-999.0
113010,HUAMANI,1991,1,0.0,29.9,-999.0
113010,HUAMANI,1991,2,0.0,29.78,-999.0
113010,HUAMANI,1991,3,0.0,29.02,-999.0
113010,HUAMANI,1991,4,0.0,27.24,-999.0
113010,HUAMANI,1991,5,0.0,25.46,-999.0
113010,HUAMANI,1991,6,0.0,26.14,-999.0
113010,HUAMANI,1991,7,0.0,25.89,-999.0
113010,HUAMANI,1991,8,-999.0,26.48,-999.0
113010,HUAMANI,1991,9,0.0,26.47,-999.0
113010,HUAMANI,1991,10,0.0,26.32,-999.0
113010,HUAMANI,1991,11,0.0,26.38,-999.0
113010,HUAMANI,1991,12,0.0,27.64,-999.0
113010,HUAMANI,1992,1,0.0,28.88,-999.0
113010,HUAMANI,1992,2,0.0,28.99,-999.0
113010,HUAMANI,1992,3,0.0,27.84,-999.0
113010,HUAMANI,1992,4,0.0,26.33,-999.0
113010,HUAMANI,1992,5,0.0,25.58,-999.0
113010,HUAMANI,1992,6,0.0,24.01,-999.0
113010,HUAMANI,1992,7,0.0,24.9,10.33
113010,HUAMANI,1992,8,0.0,25.49,11.36
113010,HUAMANI,1992,9,-999.0,-999.0,-999.0
113010,HUAMANI,1992,10,-999.0,-999.0,-999.0
113010,HUAMANI,1992,11,-999.0,-999.0,-999.0
113010,HUAMANI,1992,12,-999.0,-999.0,-999.0
113010,HUAMANI,1993,1,-999.0,-999.0,-999.0
113010,HUAMANI,1993,2,-999.0,29.48,17.2
113010,HUAMANI,1993,3,0.0,30.04,18.17
113010,HUAMANI,1993,4,0.0,29.11,17.37
113010,HUAMANI,1993,5,0.0,26.96,14.29
113010,HUAMANI,1993,6,0.0,26.15,12.01
113010,HUAMANI,1993,7,0.0,25.39,11.58
113010,HUAMANI,1993,8,0.0,25.98,12.14
113010,HUAMANI,1993,9,0.0,26.33,11.96
113010,HUAMANI,1993,10,0.0,27.66,14.35
113010,HUAMANI,1993,11,-999.0,28.59,15.04
113010,HUAMANI,1993,12,0.0,28.52,15.58
113010,HUAMANI,1994,1,0.0,27.99,16.72
113010,HUAMANI,1994,2,0.0,30.86,18.44
113010,HUAMANI,1994,3,-999.0,30.27,18.55
113010,HUAMANI,1994,4,-999.0,28.36,15.97
113010,HUAMANI,1994,5,0.0,26.73,13.03
113010,HUAMANI,1994,6,0.0,26.59,12.56
113010,HUAMANI,1994,7,0.0,24.35,10.53
113010,HUAMANI,1994,8,0.0,25.48,11.74
113010,HUAMANI,1994,9,0.0,-999.0,13.62
113010,HUAMANI,1994,10,0.0,27.95,13.27
113010,HUAMANI,1994,11,0.0,28.72,14.44
113010,HUAMANI,1994,12,0.0,29.58,15.42
113010,HUAMANI,1995,1,0.0,29.68,16.5
113010,HUAMANI,1995,2,0.0,30.15,17.41
113010,HUAMANI,1995,3,0.0,30.17,17.8
113010,HUAMANI,1995,4,0.0,28.72,15.61
113010,HUAMANI,1995,5,0.0,28.09,14.54
113010,HUAMANI,1995,6,-999.0,26.92,12.21
113010,HUAMANI,1995,7,-999.0,23.99,9.98
113010,HUAMANI,1995,8,-999.0,23.5,10.49
113010,HUAMANI,1995,9,-999.0,26.34,11.21
113010,HUAMANI,1995,10,-999.0,27.3,12.46
113010,HUAMANI,1995,11,-999.0,28.14,14.17
113010,HUAMANI,1995,12,-999.0,28.74,15.65
113010,HUAMANI,1996,1,-999.0,28.86,16.59
113010,HUAMANI,1996,2,-999.0,30.11,18.0
113010,HUAMANI,1996,3,-999.0,29.8,18.05
113010,HUAMANI,1996,4,-999.0,28.21,16.86
113010,HUAMANI,1996,5,-999.0,26.68,13.96
113010,HUAMANI,1996,6,-999.0,22.88,10.09
113010,HUAMANI,1996,7,-999.0,23.87,9.99
113010,HUAMANI,1996,8,-999.0,24.35,9.75
113010,HUAMANI,1996,9,-999.0,26.08,11.18
113010,HUAMANI,1996,10,-999.0,27.58,12.23
