CODIGO,ESTACION,YEAR,MONTH,PP,TMAX,TMIN
113016,TUNEL CERO,1990,1,199.3,10.01,-1.19
113016,TUNEL CERO,1990,2,29.3,10.49,-2.0
113016,TUNEL CERO,1990,3,79.7,9.92,-1.18
113016,TUNEL CERO,1990,4,23.7,10.45,-2.14
113016,TUNEL CERO,1990,5,53.1,9.92,-2.35
113016,TUNEL CERO,1990,6,36.2,8.87,-2.72
113016,TUNEL CERO,1990,7,12.0,9.18,-4.36
113016,TUNEL CERO,1990,8,24.6,9.52,-3.89
113016,TUNEL CERO,1990,9,42.5,9.49,-3.33
113016,TUNEL CERO,1990,10,44.6,9.68,-2.09
113016,TUNEL CERO,1990,11,96.7,9.87,-0.59
113016,TUNEL CERO,1990,12,121.3,9.62,-1.16
113016,TUNEL CERO,1991,1,83.1,9.9,-1.05
113016,TUNEL CERO,1991,2,160.9,10.0,-0.4
113016,TUNEL CERO,1991,3,144.5,8.77,0.23
113016,TUNEL CERO,1991,4,-999.0,-999.0,-999.0
113016,TUNEL CERO,1991,5,-999.0,-999.0,-999.0
113016,TUNEL CERO,1991,6,-999.0,-999.0,-999.0
113016,TUNEL CERO,1991,7,-999.0,-999.0,-999.0
113016,TUNEL CERO,1991,8,-999.0,-999.0,-999.0
113016,TUNEL CERO,1991,9,-999.0,-999.0,-999.0
113016,TUNEL CERO,1991,10,-999.0,-999.0,-999.0
113016,TUNEL CERO,1991,11,-999.0,-999.0,-999.0
113016,TUNEL CERO,1991,12,-999.0,-999.0,-999.0
113016,TUNEL CERO,1992,1,-999.0,-999.0,-999.0
113016,TUNEL CERO,1992,2,-999.0,-999.0,-999.0
113016,TUNEL CERO,1992,3,-999.0,-999.0,-999.0
113016,TUNEL CERO,1992,4,-999.0,-999.0,-999.0
113016,TUNEL CERO,1992,5,-999.0,-999.0,-999.0
113016,TUNEL CERO,1992,6,-999.0,-999.0,-999.0
113016,TUNEL CERO,1992,7,-999.0,-999.0,-999.0
113016,TUNEL CERO,1992,8,-999.0,-999.0,-999.0
113016,TUNEL CERO,1992,9,-999.0,-999.0,-999.0
113016,TUNEL CERO,1992,10,-999.0,-999.0,-999.0
113016,TUNEL CERO,1992,11,-999.0,-999.0,-999.0
113016,TUNEL CERO,1992,12,53.9,12.5,-999.0
113016,TUNEL CERO,1993,1,289.3,11.25,-999.0
113016,TUNEL CERO,1993,2,179.8,11.78,-999.0
113016,TUNEL CERO,1993,3,264.9,12.07,-999.0
113016,TUNEL CERO,1993,4,273.5,12.53,-999.0
113016,TUNEL CERO,1993,5,7.5,12.84,-999.0
113016,TUNEL CERO,1993,6,1.6,12.94,-999.0
113016,TUNEL CERO,1993,7,7.8,12.72,-999.0
113016,TUNEL CERO,1993,8,4.6,12.74,-999.0
113016,TUNEL CERO,1993,9,35.5,12.08,-999.0
113016,TUNEL CERO,1993,10,138.6,11.47,-999.0
113016,TUNEL CERO,1993,11,141.0,11.37,-999.0
113016,TUNEL CERO,1993,12,263.2,11.35,-999.0
113016,TUNEL CERO,1994,1,176.6,-999.0,-999.0
113016,TUNEL CERO,1994,2,251.0,-999.0,-999.0
113016,TUNEL CERO,1994,3,186.4,11.28,-999.0
113016,TUNEL CERO,1994,4,-999.0,11.17,-999.0
113016,TUNEL CERO,1994,5,32.2,11.81,-999.0
113016,TUNEL CERO,1994,6,0.0,11.73,-999.0
113016,TUNEL CERO,1994,7,16.7,11.19,-999.0
113016,TUNEL CERO,1994,8,0.0,12.97,-999.0
113016,TUNEL CERO,1994,9,45.2,11.96,-999.0
113016,TUNEL CERO,1994,10,67.8,12.89,-999.0
113016,TUNEL CERO,1994,11,83.7,-999.0,-999.0
113016,TUNEL CERO,1994,12,121.4,13.06,-999.0
113016,TUNEL CERO,1995,1,160.6,12.14,-999.0
113016,TUNEL CERO,1995,2,118.7,12.48,-999.0
113016,TUNEL CERO,1995,3,112.0,9.56,-999.0
113016,TUNEL CERO,1995,4,60.1,9.37,-999.0
113016,TUNEL CERO,1995,5,9.6,-999.0,-999.0
113016,TUNEL CERO,1995,6,0.0,9.93,-999.0
113016,TUNEL CERO,1995,7,0.0,10.77,-999.0
113016,TUNEL CERO,1995,8,-999.0,-999.0,-999.0
113016,TUNEL CERO,1995,9,16.8,10.18,-999.0
113016,TUNEL CERO,1995,10,59.2,10.7,-999.0
113016,TUNEL CERO,1995,11,95.1,-999.0,-999.0
113016,TUNEL CERO,1995,12,85.1,-999.0,-999.0
113016,TUNEL CERO,1996,1,171.2,-999.0,-999.0
113016,TUNEL CERO,1996,2,190.6,-999.0,-999.0
113016,TUNEL CERO,1996,3,171.1,-999.0,-999.0
113016,TUNEL CERO,1996,4,113.2,8.85,-999.0
113016,TUNEL CERO,1996,5,34.8,-999.0,-999.0
113016,TUNEL CERO,1996,6,0.0,-999.0,-999.0
113016,TUNEL CERO,1996,7,6.1,-999.0,-999.0
113016,TUNEL CERO,1996,8,12.7,-999.0,-999.0
113016,TUNEL CERO,1996,9,25.4,-999.0,-999.0
113016,TUNEL CERO,1996,10,33.6,10.96,-999.0
113016,TUNEL CERO,1996,11,38.0,10.07,-999.0
113016,TUNEL CERO,1996,12,119.5,9.98,-999.0
113016,TUNEL CERO,1997,1,133.1,9.39,-999.0
113016,TUNEL CERO,1997,2,136.2,8.72,-999.0
113016,TUNEL CERO,1997,3,85.0,9.54,-999.0
113016,TUNEL CERO,1997,4,50.4,-999.0,-999.0
113016,TUNEL CERO,1997,5,25.8,-999.0,-999.0
113016,TUNEL CERO,1997,6,0.0,10.11,-999.0
113016,TUNEL CERO,1997,7,0.3,10.61,-999.0
113016,TUNEL CERO,1997,8,25.5,9.47,-999.0
113016,TUNEL CERO,1997,9,32.0,10.57,-999.0
113016,TUNEL CERO,1997,10,45.2,12.18,-999.0
113016,TUNEL CERO,1997,11,81.6,11.19,-999.0
113016,TUNEL CERO,1997,12,138.7,11.53,-999.0
113016,TUNEL CERO,1998,1,230.2,11.09,-999.0
113016,TUNEL CERO,1998,2,146.9,12.14,-999.0
113016,TUNEL CERO,1998,3,147.0,-999.0,-999.0
113016,TUNEL CERO,1998,4,49.1,12.13,0.19
113016,TUNEL CERO,1998,5,0.0,11.86,-3.22
113016,TUNEL CERO,1998,6,12.9,10.54,-3.23
113016,TUNEL CERO,1998,7,0.0,11.26,-5.24
113016,TUNEL CERO,1998,8,7.1,11.21,-4.23
113016,TUNEL CERO,1998,9,17.5,12.1,-3.81
113016,TUNEL CERO,1998,10,46.0,11.85,-2.0
113016,TUNEL CERO,1998,11,76.9,12.0,-2.63
113016,TUNEL CERO,1998,12,97.2,10.5,-0.56
113016,TUNEL CERO,1999,1,114.7,10.08,-0.32
113016,TUNEL CERO,1999,2,229.9,8.61,-999.0
113016,TUNEL CERO,1999,3,170.7,8.5,0.31
113016,TUNEL CERO,1999,4,84.2,9.17,0.14
113016,TUNEL CERO,1999,5,54.3,9.5,-1.15
113016,TUNEL CERO,1999,6,0.5,9.43,-4.29
113016,TUNEL CERO,1999,7,2.2,9.12,-5.59
113016,TUNEL CERO,1999,8,1.7,10.63,-5.37
113016,TUNEL CERO,1999,9,24.0,10.68,-5.05
113016,TUNEL CERO,1999,10,108.0,9.12,-1.55
113016,TUNEL CERO,1999,11,35.6,11.37,-2.9
113016,TUNEL CERO,1999,12,152.7,9.81,-0.48
113016,TUNEL CERO,2000,1,214.3,8.37,-999.0
113016,TUNEL CERO,2000,2,236.6,7.43,-999.0
113016,TUNEL CERO,2000,3,202.5,8.43,0.24
113016,TUNEL CERO,2000,4,60.0,8.95,-999.0
113016,TUNEL CERO,2000,5,33.3,10.0,-1.38
113016,TUNEL CERO,2000,6,0.1,9.43,-4.62
113016,TUNEL CERO,2000,7,9.6,8.78,-6.02
113016,TUNEL CERO,2000,8,7.1,9.7,-4.35
113016,TUNEL CERO,2000,9,31.9,10.77,-4.15
113016,TUNEL CERO,2000,10,127.0,-999.0,-2.04
113016,TUNEL CERO,2000,11,-999.0,-999.0,-999.0
113016,TUNEL CERO,2000,12,171.3,10.08,-0.88
113016,TUNEL CERO,2001,1,254.2,7.8,-999.0
113016,TUNEL CERO,2001,2,135.1,9.39,-999.0
113016,TUNEL CERO,2001,3,175.4,8.92,-999.0
113016,TUNEL CERO,2001,4,82.7,-999.0,-0.59
113016,TUNEL CERO,2001,5,13.2,9.94,-2.32
113016,TUNEL CERO,2001,6,8.2,9.0,-3.6
113016,TUNEL CERO,2001,7,12.9,9.6,-5.21
