CODIGO,ESTACION,YEAR,MONTH,PP,TMAX,TMIN
113034,URUBAMBA,1990,1,-999.0,22.68,9.46
113034,URUBAMBA,1990,2,-999.0,23.1,8.54
113034,URUBAMBA,1990,3,-999.0,22.78,7.61
113034,URUBAMBA,1990,4,-999.0,22.88,6.88
113034,URUBAMBA,1990,5,-999.0,21.87,4.03
113034,URUBAMBA,1990,6,-999.0,19.47,3.83
113034,URUBAMBA,1990,7,-999.0,21.26,1.8
113034,URUBAMBA,1990,8,-999.0,22.25,2.82
113034,URUBAMBA,1990,9,-999.0,23.25,5.69
113034,URUBAMBA,1990,10,-999.0,22.54,7.53
113034,URUBAMBA,1990,11,-999.0,22.1,8.82
113034,URUBAMBA,1990,12,-999.0,22.54,9.3
113034,URUBAMBA,1991,1,-999.0,23.02,9.74
113034,URUBAMBA,1991,2,-999.0,22.36,9.4
113034,URUBAMBA,1991,3,-999.0,21.62,9.61
113034,URUBAMBA,1991,4,-999.0,22.43,7.01
113034,URUBAMBA,1991,5,-999.0,23.75,5.01
113034,URUBAMBA,1991,6,-999.0,22.73,2.96
113034,URUBAMBA,1991,7,-999.0,23.13,-0.23
113034,URUBAMBA,1991,8,-999.0,22.78,1.39
113034,URUBAMBA,1991,9,-999.0,22.23,4.41
113034,URUBAMBA,1991,10,-999.0,22.2,7.44
113034,URUBAMBA,1991,11,-999.0,21.72,8.23
113034,URUBAMBA,1991,12,-999.0,22.66,8.07
113034,URUBAMBA,1992,1,-999.0,22.42,8.88
113034,URUBAMBA,1992,2,-999.0,22.27,-999.0
113034,URUBAMBA,1992,3,-999.0,22.94,8.33
113034,URUBAMBA,1992,4,-999.0,23.65,6.57
113034,URUBAMBA,1992,5,-999.0,24.13,4.85
113034,URUBAMBA,1992,6,-999.0,20.73,3.01
113034,URUBAMBA,1992,7,-999.0,20.32,0.46
113034,URUBAMBA,1992,8,-999.0,20.99,3.23
113034,URUBAMBA,1992,9,-999.0,22.02,5.51
113034,URUBAMBA,1992,10,-999.0,22.55,7.3
113034,URUBAMBA,1992,11,-999.0,22.91,8.04
113034,URUBAMBA,1992,12,-999.0,22.74,8.48
113034,URUBAMBA,1993,1,-999.0,21.2,8.96
113034,URUBAMBA,1993,2,-999.0,21.82,8.91
113034,URUBAMBA,1993,3,-999.0,21.7,8.45
113034,URUBAMBA,1993,4,-999.0,21.81,7.76
113034,URUBAMBA,1993,5,-999.0,23.35,4.76
113034,URUBAMBA,1993,6,-999.0,23.24,1.2
113034,URUBAMBA,1993,7,-999.0,22.05,2.14
113034,URUBAMBA,1993,8,-999.0,21.39,3.13
113034,URUBAMBA,1993,9,-999.0,22.11,5.07
113034,URUBAMBA,1993,10,-999.0,22.91,7.77
113034,URUBAMBA,1993,11,-999.0,22.66,9.74
113034,URUBAMBA,1993,12,-999.0,22.07,9.37
113034,URUBAMBA,1994,1,-999.0,21.32,9.61
113034,URUBAMBA,1994,2,-999.0,21.26,9.5
113034,URUBAMBA,1994,3,-999.0,21.39,9.07
113034,URUBAMBA,1994,4,-999.0,21.49,8.21
113034,URUBAMBA,1994,5,-999.0,22.81,4.9
113034,URUBAMBA,1994,6,-999.0,21.87,1.94
113034,URUBAMBA,1994,7,-999.0,21.94,0.95
113034,URUBAMBA,1994,8,-999.0,22.77,2.29
113034,URUBAMBA,1994,9,-999.0,22.46,6.02
113034,URUBAMBA,1994,10,-999.0,22.66,7.61
113034,URUBAMBA,1994,11,-999.0,22.97,8.93
113034,URUBAMBA,1994,12,-999.0,22.52,9.4
113034,URUBAMBA,1995,1,72.2,22.1,9.55
113034,URUBAMBA,1995,2,42.1,22.17,9.51
113034,URUBAMBA,1995,3,81.3,21.4,9.23
113034,URUBAMBA,1995,4,10.9,23.31,7.05
113034,URUBAMBA,1995,5,2.2,23.92,4.02
113034,URUBAMBA,1995,6,1.0,22.7,2.5
113034,URUBAMBA,1995,7,0.3,22.81,3.34
113034,URUBAMBA,1995,8,0.0,23.86,4.24
113034,URUBAMBA,1995,9,14.5,22.56,5.53
113034,URUBAMBA,1995,10,35.1,23.9,7.76
113034,URUBAMBA,1995,11,55.0,22.83,8.57
113034,URUBAMBA,1995,12,95.5,22.48,8.58
113034,URUBAMBA,1996,1,88.4,20.9,9.28
113034,URUBAMBA,1996,2,77.5,21.37,9.79
113034,URUBAMBA,1996,3,50.6,21.75,9.28
113034,URUBAMBA,1996,4,53.6,21.41,8.32
113034,URUBAMBA,1996,5,13.2,22.65,5.7
113034,URUBAMBA,1996,6,0.4,22.09,1.75
113034,URUBAMBA,1996,7,0.1,21.72,1.07
113034,URUBAMBA,1996,8,11.6,21.38,3.94
113034,URUBAMBA,1996,9,5.0,22.74,6.09
113034,URUBAMBA,1996,10,35.1,23.23,7.59
113034,URUBAMBA,1996,11,55.8,22.51,8.24
113034,URUBAMBA,1996,12,73.8,21.5,9.09
113034,URUBAMBA,1997,1,88.6,21.57,9.7
113034,URUBAMBA,1997,2,124.7,20.44,8.96
113034,URUBAMBA,1997,3,98.5,21.38,8.58
113034,URUBAMBA,1997,4,-999.0,22.24,6.78
113034,URUBAMBA,1997,5,2.3,22.26,4.35
113034,URUBAMBA,1997,6,-999.0,22.81,1.4
113034,URUBAMBA,1997,7,0.0,22.75,1.43
