CODIGO,ESTACION,YEAR,MONTH,PP,TMAX,TMIN
113041,CCATCCA,1990,1,115.7,14.41,-999.0
113041,CCATCCA,1990,2,68.7,15.31,-999.0
113041,CCATCCA,1990,3,55.2,15.02,-999.0
113041,CCATCCA,1990,4,24.2,15.32,-999.0
113041,CCATCCA,1990,5,1.3,15.45,-999.0
113041,CCATCCA,1990,6,37.9,12.9,-999.0
113041,CCATCCA,1990,7,0.0,14.38,-999.0
113041,CCATCCA,1990,8,8.0,15.12,-999.0
113041,CCATCCA,1990,9,1.3,16.07,-999.0
113041,CCATCCA,1990,10,36.9,15.02,-999.0
113041,CCATCCA,1990,11,-999.0,-999.0,-999.0
113041,CCATCCA,1990,12,117.5,14.55,-999.0
113041,CCATCCA,1991,1,70.7,15.62,-999.0
113041,CCATCCA,1991,2,146.1,14.45,-999.0
113041,CCATCCA,1991,3,54.4,14.03,-999.0
113041,CCATCCA,1991,4,31.0,14.66,-999.0
113041,CCATCCA,1991,5,3.9,15.76,-999.0
113041,CCATCCA,1991,6,23.4,15.02,-999.0
113041,CCATCCA,1991,7,0.0,15.06,-999.0
113041,CCATCCA,1991,8,0.0,15.32,-999.0
113041,CCATCCA,1991,9,16.3,15.1,-999.0
113041,CCATCCA,1991,10,26.3,15.7,-999.0
113041,CCATCCA,1991,11,69.9,15.37,-999.0
113041,CCATCCA,1991,12,109.9,16.01,-999.0
113041,CCATCCA,1992,1,144.2,15.01,-999.0
113041,CCATCCA,1992,2,92.7,14.78,-999.0
113041,CCATCCA,1992,3,49.1,15.56,-999.0
113041,CCATCCA,1992,4,14.9,16.18,-999.0
113041,CCATCCA,1992,5,3.7,16.85,-999.0
113041,CCATCCA,1992,6,33.6,13.91,-999.0
113041,CCATCCA,1992,7,0.0,13.8,-999.0
113041,CCATCCA,1992,8,25.9,13.87,-999.0
113041,CCATCCA,1992,9,0.0,15.41,-999.0
113041,CCATCCA,1992,10,43.0,15.47,-999.0
113041,CCATCCA,1992,11,87.9,16.02,-999.0
113041,CCATCCA,1992,12,43.3,15.72,-999.0
