CODIGO,ESTACION,YEAR,MONTH,PP,TMAX,TMIN
113058,TACAMA,1990,1,-999.0,-999.0,-999.0
113058,TACAMA,1990,2,-999.0,-999.0,-999.0
113058,TACAMA,1990,3,-999.0,-999.0,-999.0
113058,TACAMA,1990,4,-999.0,-999.0,-999.0
113058,TACAMA,1990,5,-999.0,-999.0,-999.0
113058,TACAMA,1990,6,-999.0,-999.0,-999.0
113058,TACAMA,1990,7,-999.0,-999.0,-999.0
113058,TACAMA,1990,8,-999.0,-999.0,-999.0
113058,TACAMA,1990,9,-999.0,-999.0,-999.0
113058,TACAMA,1990,10,-999.0,-999.0,-999.0
113058,TACAMA,1990,11,-999.0,-999.0,-999.0
113058,TACAMA,1990,12,-999.0,-999.0,-999.0
113058,TACAMA,1991,1,-999.0,-999.0,-999.0
113058,TACAMA,1991,2,-999.0,-999.0,-999.0
113058,TACAMA,1991,3,-999.0,-999.0,-999.0
113058,TACAMA,1991,4,-999.0,-999.0,-999.0
113058,TACAMA,1991,5,-999.0,-999.0,-999.0
113058,TACAMA,1991,6,-999.0,-999.0,-999.0
113058,TACAMA,1991,7,-999.0,-999.0,-999.0
113058,TACAMA,1991,8,-999.0,-999.0,-999.0
113058,TACAMA,1991,9,-999.0,-999.0,-999.0
113058,TACAMA,1991,10,-999.0,-999.0,-999.0
113058,TACAMA,1991,11,-999.0,-999.0,-999.0
113058,TACAMA,1991,12,-999.0,-999.0,-999.0
113058,TACAMA,1992,1,-999.0,-999.0,-999.0
113058,TACAMA,1992,2,-999.0,-999.0,-999.0
113058,TACAMA,1992,3,-999.0,-999.0,-999.0
113058,TACAMA,1992,4,-999.0,-999.0,-999.0
113058,TACAMA,1992,5,-999.0,-999.0,-999.0
113058,TACAMA,1992,6,-999.0,-999.0,-999.0
113058,TACAMA,1992,7,-999.0,-999.0,-999.0
113058,TACAMA,1992,8,-999.0,-999.0,-999.0
113058,TACAMA,1992,9,-999.0,-999.0,-999.0
113058,TACAMA,1992,10,-999.0,-999.0,-999.0
113058,TACAMA,1992,11,-999.0,-999.0,-999.0
113058,TACAMA,1992,12,-999.0,-999.0,-999.0
113058,TACAMA,1993,1,-999.0,-999.0,-999.0
113058,TACAMA,1993,2,-999.0,-999.0,-999.0
113058,TACAMA,1993,3,-999.0,-999.0,-999.0
113058,TACAMA,1993,4,-999.0,-999.0,-999.0
113058,TACAMA,1993,5,-999.0,-999.0,-999.0
113058,TACAMA,1993,6,-999.0,-999.0,-999.0
113058,TACAMA,1993,7,-999.0,-999.0,-999.0
113058,TACAMA,1993,8,-999.0,-999.0,-999.0
113058,TACAMA,1993,9,-999.0,-999.0,-999.0
113058,TACAMA,1993,10,-999.0,27.36,11.82
113058,TACAMA,1993,11,-999.0,28.45,13.32
113058,TACAMA,1993,12,-999.0,29.1,15.81
113058,TACAMA,1994,1,-999.0,-999.0,17.44
113058,TACAMA,1994,2,-999.0,31.82,-999.0
113058,TACAMA,1994,3,-999.0,31.22,-999.0
113058,TACAMA,1994,4,-999.0,30.77,-999.0
113058,TACAMA,1994,5,-999.0,-999.0,12.51
113058,TACAMA,1994,6,-999.0,25.86,9.59
113058,TACAMA,1994,7,-999.0,-999.0,-999.0
113058,TACAMA,1994,8,-999.0,-999.0,10.15
113058,TACAMA,1994,9,-999.0,25.85,11.25
113058,TACAMA,1994,10,-999.0,-999.0,12.4
113058,TACAMA,1994,11,-999.0,28.46,13.53
113058,TACAMA,1994,12,-999.0,29.75,15.52
113058,TACAMA,1995,1,-999.0,31.17,-999.0
113058,TACAMA,1995,2,-999.0,32.66,-999.0
113058,TACAMA,1995,3,-999.0,31.95,-999.0
113058,TACAMA,1995,4,-999.0,30.68,14.81
113058,TACAMA,1995,5,-999.0,28.97,-999.0
113058,TACAMA,1995,6,-999.0,26.26,-999.0
113058,TACAMA,1995,7,-999.0,-999.0,-999.0
113058,TACAMA,1995,8,-999.0,-999.0,9.41
113058,TACAMA,1995,9,-999.0,26.69,10.95
113058,TACAMA,1995,10,-999.0,27.87,10.66
113058,TACAMA,1995,11,-999.0,28.84,14.32
113058,TACAMA,1995,12,-999.0,30.79,-999.0
113058,TACAMA,1996,1,-999.0,-999.0,16.03
113058,TACAMA,1996,2,-999.0,32.13,-999.0
113058,TACAMA,1996,3,-999.0,32.62,-999.0
113058,TACAMA,1996,4,-999.0,30.77,-999.0
113058,TACAMA,1996,5,-999.0,28.71,11.79
113058,TACAMA,1996,6,-999.0,-999.0,-999.0
113058,TACAMA,1996,7,-999.0,25.65,8.23
113058,TACAMA,1996,8,-999.0,25.69,10.37
113058,TACAMA,1996,9,-999.0,27.07,10.35
113058,TACAMA,1996,10,-999.0,28.2,11.48
113058,TACAMA,1996,11,-999.0,28.26,12.76
113058,TACAMA,1996,12,-999.0,29.77,-999.0
113058,TACAMA,1997,1,-999.0,31.84,17.39
113058,TACAMA,1997,2,-999.0,33.25,17.76
113058,TACAMA,1997,3,-999.0,33.33,17.02
113058,TACAMA,1997,4,-999.0,31.73,14.91
113058,TACAMA,1997,5,-999.0,29.66,12.58
113058,TACAMA,1997,6,-999.0,27.63,12.0
113058,TACAMA,1997,7,-999.0,26.56,13.92
113058,TACAMA,1997,8,-999.0,27.55,13.63
113058,TACAMA,1997,9,-999.0,28.6,14.95
113058,TACAMA,1997,10,-999.0,28.73,14.33
113058,TACAMA,1997,11,-999.0,29.87,15.16
113058,TACAMA,1997,12,-999.0,31.32,17.65
113058,TACAMA,1998,1,-999.0,32.2,21.23
113058,TACAMA,1998,2,-999.0,34.23,21.16
113058,TACAMA,1998,3,-999.0,34.24,19.85
113058,TACAMA,1998,4,-999.0,33.01,16.16
113058,TACAMA,1998,5,-999.0,-999.0,12.9
113058,TACAMA,1998,6,-999.0,-999.0,-999.0
113058,TACAMA,1998,7,-999.0,-999.0,-999.0
113058,TACAMA,1998,8,-999.0,26.58,10.46
113058,TACAMA,1998,9,-999.0,28.06,10.78
113058,TACAMA,1998,10,-999.0,28.13,11.37
113058,TACAMA,1998,11,-999.0,29.48,13.62
113058,TACAMA,1998,12,-999.0,29.45,-999.0
113058,TACAMA,1999,1,-999.0,32.15,16.23
113058,TACAMA,1999,2,4.0,31.77,19.03
113058,TACAMA,1999,3,3.7,32.53,17.81
113058,TACAMA,1999,4,-999.0,30.95,15.69
113058,TACAMA,1999,5,0.0,29.09,11.76
113058,TACAMA,1999,6,0.2,25.91,9.93
113058,TACAMA,1999,7,0.0,24.82,8.81
113058,TACAMA,1999,8,0.0,25.36,10.63
113058,TACAMA,1999,9,0.0,27.61,10.59
113058,TACAMA,1999,10,0.1,28.63,12.86
113058,TACAMA,1999,11,0.0,29.14,-999.0
113058,TACAMA,1999,12,0.0,30.23,15.55
113058,TACAMA,2000,1,-999.0,29.8,18.27
113058,TACAMA,2000,2,0.0,32.81,-999.0
113058,TACAMA,2000,3,0.0,33.17,16.26
113058,TACAMA,2000,4,0.0,31.9,15.55
113058,TACAMA,2000,5,0.0,-999.0,12.35
113058,TACAMA,2000,6,0.0,25.6,-999.0
113058,TACAMA,2000,7,0.0,24.45,9.71
113058,TACAMA,2000,8,-999.0,25.26,10.79
113058,TACAMA,2000,9,-999.0,27.69,10.59
113058,TACAMA,2000,10,0.7,28.63,12.15
113058,TACAMA,2000,11,0.0,29.49,10.92
113058,TACAMA,2000,12,0.9,-999.0,16.63
113058,TACAMA,2001,1,0.4,30.9,17.83
113058,TACAMA,2001,2,-999.0,33.12,18.56
113058,TACAMA,2001,3,1.1,33.53,18.1
113058,TACAMA,2001,4,0.0,31.83,16.15
113058,TACAMA,2001,5,0.0,28.96,12.87
113058,TACAMA,2001,6,0.0,26.17,10.48
113058,TACAMA,2001,7,-999.0,-999.0,9.88
113058,TACAMA,2001,8,-999.0,-999.0,9.89
113058,TACAMA,2001,9,0.0,-999.0,10.59
113058,TACAMA,2001,10,-999.0,-999.0,-999.0
113058,TACAMA,2001,11,0.0,29.4,-999.0
113058,TACAMA,2001,12,0.0,30.13,-999.0
113058,TACAMA,2002,1,0.0,31.92,16.43
113058,TACAMA,2002,2,7.1,32.38,17.91
113058,TACAMA,2002,3,1.7,33.52,17.82
113058,TACAMA,2002,4,0.0,30.87,16.12
113058,TACAMA,2002,5,0.0,29.4,12.35
113058,TACAMA,2002,6,-999.0,26.3,9.33
113058,TACAMA,2002,7,-999.0,24.25,10.97
113058,TACAMA,2002,8,-999.0,24.77,11.21
113058,TACAMA,2002,9,-999.0,27.03,10.83
113058,TACAMA,2002,10,0.0,-999.0,13.17
113058,TACAMA,2002,11,-999.0,28.8,14.06
113058,TACAMA,2002,12,0.0,-999.0,14.94
113058,TACAMA,2003,1,0.5,31.1,17.15
113058,TACAMA,2003,2,6.2,31.85,18.76
113058,TACAMA,2003,3,0.0,32.74,17.15
113058,TACAMA,2003,4,0.0,31.38,14.42
113058,TACAMA,2003,5,0.0,29.6,12.16
113058,TACAMA,2003,6,-999.0,-999.0,10.1
113058,TACAMA,2003,7,-999.0,25.48,-999.0
113058,TACAMA,2003,8,-999.0,26.54,-999.0
113058,TACAMA,2003,9,-999.0,-999.0,10.45
113058,TACAMA,2003,10,0.0,28.24,12.15
113058,TACAMA,2003,11,0.0,-999.0,13.72
113058,TACAMA,2003,12,0.0,30.38,16.38
113058,TACAMA,2004,1,0.0,31.69,17.41
113058,TACAMA,2004,2,0.0,32.58,-999.0
113058,TACAMA,2004,3,0.2,32.45,17.97
113058,TACAMA,2004,4,0.0,31.08,15.51
113058,TACAMA,2004,5,0.0,29.35,10.09
113058,TACAMA,2004,6,-999.0,25.58,9.91
113058,TACAMA,2004,7,-999.0,-999.0,10.56
113058,TACAMA,2004,8,-999.0,25.91,11.06
113058,TACAMA,2004,9,0.0,26.98,11.73
113058,TACAMA,2004,10,0.0,28.57,11.92
113058,TACAMA,2004,11,0.3,28.51,13.85
113058,TACAMA,2004,12,0.0,30.23,16.2
113058,TACAMA,2005,1,6.3,31.57,17.96
113058,TACAMA,2005,2,5.0,32.05,18.34
113058,TACAMA,2005,3,0.2,32.48,17.55
113058,TACAMA,2005,4,0.0,31.53,15.5
113058,TACAMA,2005,5,-999.0,28.18,11.04
113058,TACAMA,2005,6,-999.0,-999.0,9.54
113058,TACAMA,2005,7,-999.0,24.66,9.66
113058,TACAMA,2005,8,-999.0,25.7,10.21
113058,TACAMA,2005,9,-999.0,26.55,10.55
113058,TACAMA,2005,10,-999.0,28.03,10.27
113058,TACAMA,2005,11,-999.0,28.32,13.12
113058,TACAMA,2005,12,-999.0,30.12,-999.0
113058,TACAMA,2006,1,-999.0,31.53,17.68
113058,TACAMA,2006,2,-999.0,32.63,19.21
113058,TACAMA,2006,3,-999.0,32.62,18.14
113058,TACAMA,2006,4,-999.0,31.45,15.06
113058,TACAMA,2006,5,-999.0,29.33,10.05
113058,TACAMA,2006,6,-999.0,26.23,10.56
113058,TACAMA,2006,7,-999.0,24.49,11.24
113058,TACAMA,2006,8,-999.0,25.85,11.23
113058,TACAMA,2006,9,-999.0,27.62,11.45
113058,TACAMA,2006,10,-999.0,27.85,12.77
113058,TACAMA,2006,11,-999.0,28.81,14.35
113058,TACAMA,2006,12,-999.0,30.24,-999.0
113058,TACAMA,2007,1,-999.0,31.63,18.39
113058,TACAMA,2007,2,-999.0,32.78,18.05
113058,TACAMA,2007,3,-999.0,32.49,17.92
113058,TACAMA,2007,4,-999.0,31.35,15.74
113058,TACAMA,2007,5,-999.0,29.26,11.28
113058,TACAMA,2007,6,-999.0,26.35,9.47
113058,TACAMA,2007,7,-999.0,25.2,9.13
113058,TACAMA,2007,8,-999.0,24.93,9.45
113058,TACAMA,2007,9,-999.0,26.24,9.96
113058,TACAMA,2007,10,-999.0,26.8,10.48
113058,TACAMA,2007,11,-999.0,28.06,12.35
113058,TACAMA,2007,12,-999.0,29.25,-999.0
113058,TACAMA,2008,1,-999.0,30.18,18.04
113058,TACAMA,2008,2,-999.0,31.66,18.68
113058,TACAMA,2008,3,-999.0,32.91,17.55
113058,TACAMA,2008,4,-999.0,31.73,15.0
113058,TACAMA,2008,5,-999.0,28.27,10.62
113058,TACAMA,2008,6,-999.0,24.13,11.34
113058,TACAMA,2008,7,-999.0,23.55,10.77
113058,TACAMA,2008,8,-999.0,25.1,10.69
113058,TACAMA,2008,9,-999.0,27.32,10.88
113058,TACAMA,2008,10,-999.0,27.73,11.75
113058,TACAMA,2008,11,-999.0,29.34,13.98
113058,TACAMA,2008,12,-999.0,30.26,-999.0
113058,TACAMA,2009,1,-999.0,32.05,18.21
113058,TACAMA,2009,2,-999.0,32.25,19.42
113058,TACAMA,2009,3,0.0,32.32,18.99
113058,TACAMA,2009,4,-999.0,32.16,15.56
113058,TACAMA,2009,5,-999.0,30.18,12.78
113058,TACAMA,2009,6,-999.0,-999.0,10.55
113058,TACAMA,2009,7,-999.0,25.45,10.65
113058,TACAMA,2009,8,-999.0,-999.0,-999.0
113058,TACAMA,2009,9,-999.0,27.33,11.47
113058,TACAMA,2009,10,-999.0,28.14,12.98
113058,TACAMA,2009,11,-999.0,28.79,14.61
113058,TACAMA,2009,12,-999.0,28.99,16.65
113058,TACAMA,2010,1,-999.0,30.31,18.07
113058,TACAMA,2010,2,-999.0,31.78,19.96
113058,TACAMA,2010,3,-999.0,32.98,18.08
113058,TACAMA,2010,4,-999.0,31.59,16.39
113058,TACAMA,2010,5,-999.0,28.49,13.61
113058,TACAMA,2010,6,-999.0,25.27,10.37
113058,TACAMA,2010,7,-999.0,25.29,8.45
113058,TACAMA,2010,8,-999.0,25.67,9.52
113058,TACAMA,2010,9,-999.0,27.95,10.49
113058,TACAMA,2010,10,-999.0,27.98,11.41
113058,TACAMA,2010,11,-999.0,29.25,-999.0
113058,TACAMA,2010,12,-999.0,29.69,15.51
113058,TACAMA,2011,1,-999.0,31.72,17.84
113058,TACAMA,2011,2,2.5,32.31,18.53
113058,TACAMA,2011,3,0.0,32.57,16.63
113058,TACAMA,2011,4,-999.0,31.47,15.78
113058,TACAMA,2011,5,-999.0,28.0,10.83
113058,TACAMA,2011,6,-999.0,25.38,12.11
113058,TACAMA,2011,7,-999.0,24.62,11.92
113058,TACAMA,2011,8,-999.0,25.28,10.09
113058,TACAMA,2011,9,-999.0,27.89,10.76
113058,TACAMA,2011,10,-999.0,28.12,11.32
113058,TACAMA,2011,11,-999.0,28.7,13.72
113058,TACAMA,2011,12,-999.0,29.75,16.09
113058,TACAMA,2012,1,-999.0,31.86,16.94
113058,TACAMA,2012,2,-999.0,32.53,18.32
113058,TACAMA,2012,3,-999.0,33.27,18.73
113058,TACAMA,2012,4,-999.0,31.99,16.47
113058,TACAMA,2012,5,-999.0,29.85,13.02
113058,TACAMA,2012,6,-999.0,25.99,12.24
113058,TACAMA,2012,7,-999.0,24.77,11.5
113058,TACAMA,2012,8,-999.0,25.07,10.93
113058,TACAMA,2012,9,-999.0,27.02,12.19
113058,TACAMA,2012,10,-999.0,28.41,12.75
113058,TACAMA,2012,11,-999.0,28.7,13.45
113058,TACAMA,2012,12,-999.0,29.68,16.36
113058,TACAMA,2013,1,-999.0,31.61,17.31
113058,TACAMA,2013,2,6.4,32.62,18.92
113058,TACAMA,2013,3,-999.0,33.23,17.83
113058,TACAMA,2013,4,-999.0,32.06,13.18
113058,TACAMA,2013,5,-999.0,29.08,-999.0
113058,TACAMA,2013,6,-999.0,26.82,10.83
113058,TACAMA,2013,7,-999.0,25.42,10.61
113058,TACAMA,2013,8,-999.0,26.47,10.03
113058,TACAMA,2013,9,-999.0,27.28,11.64
113058,TACAMA,2013,10,-999.0,-999.0,11.84
113058,TACAMA,2013,11,-999.0,28.81,13.0
113058,TACAMA,2013,12,-999.0,-999.0,16.56
113058,TACAMA,2014,1,-999.0,31.85,19.29
113058,TACAMA,2014,2,1.0,32.95,16.75
113058,TACAMA,2014,3,-999.0,32.59,17.49
113058,TACAMA,2014,4,-999.0,31.49,15.35
113058,TACAMA,2014,5,-999.0,27.2,13.43
113058,TACAMA,2014,6,-999.0,25.52,12.33
113058,TACAMA,2014,7,-999.0,25.56,9.76
113058,TACAMA,2014,8,0.0,26.49,11.01
113058,TACAMA,2014,9,-999.0,-999.0,11.73
113058,TACAMA,2014,10,0.2,28.44,13.17
113058,TACAMA,2014,11,0.0,29.25,14.12
113058,TACAMA,2014,12,1.0,30.29,15.75
113058,TACAMA,2015,1,0.0,30.87,17.19
113058,TACAMA,2015,2,3.0,31.11,19.8
113058,TACAMA,2015,3,1.8,32.52,19.44
113058,TACAMA,2015,4,0.0,31.97,17.04
113058,TACAMA,2015,5,0.0,29.28,13.07
113058,TACAMA,2015,6,0.0,26.13,12.41
