CODIGO,ESTACION,YEAR,MONTH,PP,TMAX,TMIN
113082,SAN JUAN DE CASTROVIRREYNA,1990,1,47.9,-999.0,-999.0
113082,SAN JUAN DE CASTROVIRREYNA,1990,2,14.6,-999.0,-999.0
113082,SAN JUAN DE CASTROVIRREYNA,1990,3,13.1,-999.0,-999.0
113082,SAN JUAN DE CASTROVIRREYNA,1990,4,0.0,-999.0,-999.0
113082,SAN JUAN DE CASTROVIRREYNA,1990,5,9.2,-999.0,-999.0
113082,SAN JUAN DE CASTROVIRREYNA,1990,6,2.1,-999.0,-999.0
113082,SAN JUAN DE CASTROVIRREYNA,1990,7,0.0,-999.0,-999.0
113082,SAN JUAN DE CASTROVIRREYNA,1990,8,0.0,-999.0,-999.0
113082,SAN JUAN DE CASTROVIRREYNA,1990,9,0.0,-999.0,-999.0
113082,SAN JUAN DE CASTROVIRREYNA,1990,10,0.0,-999.0,-999.0
113082,SAN JUAN DE CASTROVIRREYNA,1990,11,33.2,-999.0,-999.0
113082,SAN JUAN DE CASTROVIRREYNA,1990,12,50.5,-999.0,-999.0
113082,SAN JUAN DE CASTROVIRREYNA,1991,1,32.5,-999.0,-999.0
113082,SAN JUAN DE CASTROVIRREYNA,1991,2,32.7,-999.0,-999.0
113082,SAN JUAN DE CASTROVIRREYNA,1991,3,44.9,-999.0,-999.0
113082,SAN JUAN DE CASTROVIRREYNA,1991,4,21.0,-999.0,-999.0
113082,SAN JUAN DE CASTROVIRREYNA,1991,5,4.1,-999.0,-999.0
113082,SAN JUAN DE CASTROVIRREYNA,1991,6,0.0,-999.0,-999.0
113082,SAN JUAN DE CASTROVIRREYNA,1991,7,0.0,-999.0,-999.0
113082,SAN JUAN DE CASTROVIRREYNA,1991,8,0.0,-999.0,-999.0
113082,SAN JUAN DE CASTROVIRREYNA,1991,9,0.0,-999.0,-999.0
113082,SAN JUAN DE CASTROVIRREYNA,1991,10,23.4,-999.0,-999.0
113082,SAN JUAN DE CASTROVIRREYNA,1991,11,5.4,-999.0,-999.0
113082,SAN JUAN DE CASTROVIRREYNA,1991,12,6.2,-999.0,-999.0
113082,SAN JUAN DE CASTROVIRREYNA,1992,1,-999.0,-999.0,-999.0
113082,SAN JUAN DE CASTROVIRREYNA,1992,2,-999.0,-999.0,-999.0
113082,SAN JUAN DE CASTROVIRREYNA,1992,3,-999.0,-999.0,-999.0
113082,SAN JUAN DE CASTROVIRREYNA,1992,4,-999.0,-999.0,-999.0
113082,SAN JUAN DE CASTROVIRREYNA,1992,5,-999.0,-999.0,-999.0
113082,SAN JUAN DE CASTROVIRREYNA,1992,6,-999.0,-999.0,-999.0
113082,SAN JUAN DE CASTROVIRREYNA,1992,7,-999.0,-999.0,-999.0
113082,SAN JUAN DE CASTROVIRREYNA,1992,8,-999.0,-999.0,-999.0
113082,SAN JUAN DE CASTROVIRREYNA,1992,9,-999.0,-999.0,-999.0
