CODIGO,ESTACION,YEAR,MONTH,PP,TMAX,TMIN
113087,TAMBO,1990,1,26.6,-999.0,-999.0
113087,TAMBO,1990,2,0.0,-999.0,-999.0
113087,TAMBO,1990,3,-999.0,-999.0,-999.0
113087,TAMBO,1990,4,16.4,-999.0,-999.0
113087,TAMBO,1990,5,4.9,-999.0,-999.0
113087,TAMBO,1990,6,0.0,-999.0,-999.0
113087,TAMBO,1990,7,0.0,-999.0,-999.0
113087,TAMBO,1990,8,2.2,-999.0,-999.0
113087,TAMBO,1990,9,0.0,-999.0,-999.0
113087,TAMBO,1990,10,0.0,-999.0,-999.0
113087,TAMBO,1990,11,-999.0,-999.0,-999.0
113087,TAMBO,1990,12,187.9,-999.0,-999.0
113087,TAMBO,1991,1,145.3,-999.0,-999.0
113087,TAMBO,1991,2,81.7,-999.0,-999.0
113087,TAMBO,1991,3,-999.0,-999.0,-999.0
113087,TAMBO,1991,4,14.4,-999.0,-999.0
113087,TAMBO,1991,5,0.0,-999.0,-999.0
113087,TAMBO,1991,6,0.0,-999.0,-999.0
113087,TAMBO,1991,7,0.0,-999.0,-999.0
113087,TAMBO,1991,8,0.0,-999.0,-999.0
113087,TAMBO,1991,9,0.0,-999.0,-999.0
113087,TAMBO,1991,10,51.4,-999.0,-999.0
113087,TAMBO,1991,11,53.7,-999.0,-999.0
113087,TAMBO,1991,12,5.4,-999.0,-999.0
113087,TAMBO,1992,1,0.0,-999.0,-999.0
113087,TAMBO,1992,2,3.2,-999.0,-999.0
113087,TAMBO,1992,3,-999.0,-999.0,-999.0
113087,TAMBO,1992,4,17.3,-999.0,-999.0
113087,TAMBO,1992,5,0.0,-999.0,-999.0
113087,TAMBO,1992,6,0.0,-999.0,-999.0
113087,TAMBO,1992,7,0.0,-999.0,-999.0
113087,TAMBO,1992,8,0.0,-999.0,-999.0
113087,TAMBO,1992,9,0.5,-999.0,-999.0
113087,TAMBO,1992,10,-999.0,-999.0,-999.0
113087,TAMBO,1992,11,-999.0,-999.0,-999.0
113087,TAMBO,1992,12,-999.0,-999.0,-999.0
113087,TAMBO,1993,1,-999.0,-999.0,-999.0
113087,TAMBO,1993,2,-999.0,-999.0,-999.0
113087,TAMBO,1993,3,333.9,-999.0,-999.0
113087,TAMBO,1993,4,-999.0,-999.0,-999.0
113087,TAMBO,1993,5,0.0,-999.0,-999.0
113087,TAMBO,1993,6,0.0,-999.0,-999.0
113087,TAMBO,1993,7,0.0,-999.0,-999.0
113087,TAMBO,1993,8,0.0,-999.0,-999.0
113087,TAMBO,1993,9,1.0,-999.0,-999.0
113087,TAMBO,1993,10,7.7,-999.0,-999.0
113087,TAMBO,1993,11,-999.0,-999.0,-999.0
113087,TAMBO,1993,12,47.0,-999.0,-999.0
113087,TAMBO,1994,1,68.2,-999.0,-999.0
113087,TAMBO,1994,2,52.0,-999.0,-999.0
113087,TAMBO,1994,3,150.1,-999.0,-999.0
113087,TAMBO,1994,4,-999.0,-999.0,-999.0
113087,TAMBO,1994,5,0.0,-999.0,-999.0
113087,TAMBO,1994,6,0.0,-999.0,-999.0
113087,TAMBO,1994,7,0.0,-999.0,-999.0
113087,TAMBO,1994,8,0.0,-999.0,-999.0
113087,TAMBO,1994,9,0.0,-999.0,-999.0
113087,TAMBO,1994,10,0.3,-999.0,-999.0
113087,TAMBO,1994,11,15.5,-999.0,-999.0
113087,TAMBO,1994,12,-999.0,-999.0,-999.0
113087,TAMBO,1995,1,109.6,-999.0,-999.0
113087,TAMBO,1995,2,63.5,-999.0,-999.0
113087,TAMBO,1995,3,273.0,-999.0,-999.0
113087,TAMBO,1995,4,20.3,-999.0,-999.0
113087,TAMBO,1995,5,0.0,-999.0,-999.0
113087,TAMBO,1995,6,0.0,-999.0,-999.0
113087,TAMBO,1995,7,0.0,-999.0,-999.0
113087,TAMBO,1995,8,0.0,-999.0,-999.0
113087,TAMBO,1995,9,3.0,-999.0,-999.0
113087,TAMBO,1995,10,10.7,-999.0,-999.0
113087,TAMBO,1995,11,40.6,-999.0,-999.0
113087,TAMBO,1995,12,28.8,-999.0,-999.0
113087,TAMBO,1996,1,103.0,-999.0,-999.0
113087,TAMBO,1996,2,236.8,-999.0,-999.0
113087,TAMBO,1996,3,116.5,-999.0,-999.0
113087,TAMBO,1996,4,55.6,-999.0,-999.0
113087,TAMBO,1996,5,0.0,-999.0,-999.0
113087,TAMBO,1996,6,0.0,-999.0,-999.0
113087,TAMBO,1996,7,0.0,-999.0,-999.0
113087,TAMBO,1996,8,0.0,-999.0,-999.0
113087,TAMBO,1996,9,0.2,-999.0,-999.0
113087,TAMBO,1996,10,0.0,-999.0,-999.0
113087,TAMBO,1996,11,0.3,-999.0,-999.0
113087,TAMBO,1996,12,-999.0,-999.0,-999.0
113087,TAMBO,1997,1,30.4,-999.0,-999.0
113087,TAMBO,1997,2,87.0,-999.0,-999.0
113087,TAMBO,1997,3,7.8,-999.0,-999.0
113087,TAMBO,1997,4,0.0,-999.0,-999.0
113087,TAMBO,1997,5,0.6,-999.0,-999.0
113087,TAMBO,1997,6,0.0,-999.0,-999.0
113087,TAMBO,1997,7,0.0,-999.0,-999.0
113087,TAMBO,1997,8,3.5,-999.0,-999.0
113087,TAMBO,1997,9,31.8,-999.0,-999.0
113087,TAMBO,1997,10,0.2,-999.0,-999.0
113087,TAMBO,1997,11,1.2,-999.0,-999.0
113087,TAMBO,1997,12,108.1,-999.0,-999.0
113087,TAMBO,1998,1,330.3,-999.0,-999.0
113087,TAMBO,1998,2,56.1,-999.0,-999.0
113087,TAMBO,1998,3,97.6,-999.0,-999.0
113087,TAMBO,1998,4,0.0,-999.0,-999.0
113087,TAMBO,1998,5,0.0,-999.0,-999.0
113087,TAMBO,1998,6,0.0,-999.0,-999.0
113087,TAMBO,1998,7,0.0,-999.0,-999.0
113087,TAMBO,1998,8,0.0,-999.0,-999.0
113087,TAMBO,1998,9,0.0,-999.0,-999.0
113087,TAMBO,1998,10,0.0,-999.0,-999.0
113087,TAMBO,1998,11,16.7,-999.0,-999.0
113087,TAMBO,1998,12,69.7,-999.0,-999.0
113087,TAMBO,1999,1,91.6,-999.0,-999.0
113087,TAMBO,1999,2,418.1,-999.0,-999.0
113087,TAMBO,1999,3,108.2,-999.0,-999.0
113087,TAMBO,1999,4,123.3,-999.0,-999.0
113087,TAMBO,1999,5,14.0,-999.0,-999.0
113087,TAMBO,1999,6,0.0,-999.0,-999.0
113087,TAMBO,1999,7,0.0,-999.0,-999.0
113087,TAMBO,1999,8,0.0,-999.0,-999.0
113087,TAMBO,1999,9,0.2,-999.0,-999.0
113087,TAMBO,1999,10,28.6,-999.0,-999.0
113087,TAMBO,1999,11,0.0,-999.0,-999.0
113087,TAMBO,1999,12,33.3,-999.0,-999.0
113087,TAMBO,2000,1,130.5,-999.0,-999.0
113087,TAMBO,2000,2,139.6,-999.0,-999.0
113087,TAMBO,2000,3,168.3,-999.0,-999.0
113087,TAMBO,2000,4,49.1,-999.0,-999.0
113087,TAMBO,2000,5,4.5,-999.0,-999.0
