CODIGO,ESTACION,YEAR,MONTH,PP,TMAX,TMIN
113100,VILCASHUAMAN,1990,1,163.7,-999.0,-999.0
113100,VILCASHUAMAN,1990,2,41.2,-999.0,-999.0
113100,VILCASHUAMAN,1990,3,36.3,-999.0,-999.0
113100,VILCASHUAMAN,1990,4,15.4,-999.0,-999.0
113100,VILCASHUAMAN,1990,5,30.5,-999.0,-999.0
113100,VILCASHUAMAN,1990,6,85.8,-999.0,-999.0
113100,VILCASHUAMAN,1990,7,0.0,-999.0,-999.0
113100,VILCASHUAMAN,1990,8,20.2,-999.0,-999.0
113100,VILCASHUAMAN,1990,9,27.3,-999.0,-999.0
113100,VILCASHUAMAN,1990,10,86.8,-999.0,-999.0
113100,VILCASHUAMAN,1990,11,220.4,-999.0,-999.0
113100,VILCASHUAMAN,1990,12,136.6,-999.0,-999.0
113100,VILCASHUAMAN,1991,1,139.1,-999.0,-999.0
113100,VILCASHUAMAN,1991,2,168.1,-999.0,-999.0
113100,VILCASHUAMAN,1991,3,108.2,-999.0,-999.0
113100,VILCASHUAMAN,1991,4,67.6,-999.0,-999.0
113100,VILCASHUAMAN,1991,5,20.6,-999.0,-999.0
113100,VILCASHUAMAN,1991,6,47.0,-999.0,-999.0
113100,VILCASHUAMAN,1991,7,0.0,-999.0,-999.0
113100,VILCASHUAMAN,1991,8,0.0,-999.0,-999.0
113100,VILCASHUAMAN,1991,9,9.0,-999.0,-999.0
113100,VILCASHUAMAN,1991,10,47.6,-999.0,-999.0
113100,VILCASHUAMAN,1991,11,25.8,-999.0,-999.0
113100,VILCASHUAMAN,1991,12,11.4,-999.0,-999.0
113100,VILCASHUAMAN,1992,1,63.2,-999.0,-999.0
113100,VILCASHUAMAN,1992,2,95.4,-999.0,-999.0
113100,VILCASHUAMAN,1992,3,52.3,-999.0,-999.0
113100,VILCASHUAMAN,1992,4,12.8,-999.0,-999.0
113100,VILCASHUAMAN,1992,5,0.0,-999.0,-999.0
113100,VILCASHUAMAN,1992,6,3.6,-999.0,-999.0
113100,VILCASHUAMAN,1992,7,4.4,-999.0,-999.0
113100,VILCASHUAMAN,1992,8,72.0,-999.0,-999.0
113100,VILCASHUAMAN,1992,9,4.6,-999.0,-999.0
113100,VILCASHUAMAN,1992,10,27.8,-999.0,-999.0
113100,VILCASHUAMAN,1992,11,18.6,-999.0,-999.0
