CODIGO,ESTACION,YEAR,MONTH,PP,TMAX,TMIN
113119,SAN GABAN,1990,1,-999.0,-999.0,-999.0
113119,SAN GABAN,1990,2,-999.0,-999.0,-999.0
113119,SAN GABAN,1990,3,-999.0,-999.0,-999.0
113119,SAN GABAN,1990,4,-999.0,-999.0,-999.0
113119,SAN GABAN,1990,5,-999.0,-999.0,-999.0
113119,SAN GABAN,1990,6,-999.0,-999.0,-999.0
113119,SAN GABAN,1990,7,-999.0,-999.0,-999.0
113119,SAN GABAN,1990,8,-999.0,-999.0,-999.0
113119,SAN GABAN,1990,9,-999.0,-999.0,-999.0
113119,SAN GABAN,1990,10,-999.0,-999.0,-999.0
113119,SAN GABAN,1990,11,-999.0,-999.0,-999.0
113119,SAN GABAN,1990,12,-999.0,-999.0,-999.0
113119,SAN GABAN,1991,1,-999.0,-999.0,-999.0
113119,SAN GABAN,1991,2,-999.0,-999.0,-999.0
113119,SAN GABAN,1991,3,-999.0,-999.0,-999.0
113119,SAN GABAN,1991,4,-999.0,-999.0,-999.0
113119,SAN GABAN,1991,5,-999.0,-999.0,-999.0
113119,SAN GABAN,1991,6,-999.0,-999.0,-999.0
113119,SAN GABAN,1991,7,-999.0,-999.0,-999.0
113119,SAN GABAN,1991,8,-999.0,-999.0,-999.0
113119,SAN GABAN,1991,9,-999.0,-999.0,-999.0
113119,SAN GABAN,1991,10,-999.0,-999.0,-999.0
113119,SAN GABAN,1991,11,-999.0,-999.0,-999.0
113119,SAN GABAN,1991,12,-999.0,-999.0,-999.0
113119,SAN GABAN,1992,1,-999.0,-999.0,-999.0
113119,SAN GABAN,1992,2,-999.0,-999.0,-999.0
113119,SAN GABAN,1992,3,-999.0,-999.0,-999.0
113119,SAN GABAN,1992,4,-999.0,-999.0,-999.0
113119,SAN GABAN,1992,5,-999.0,-999.0,-999.0
113119,SAN GABAN,1992,6,-999.0,-999.0,-999.0
113119,SAN GABAN,1992,7,305.4,-999.0,-999.0
113119,SAN GABAN,1992,8,355.3,-999.0,-999.0
113119,SAN GABAN,1992,9,825.1,-999.0,-999.0
113119,SAN GABAN,1992,10,751.7,-999.0,-999.0
113119,SAN GABAN,1992,11,450.0,-999.0,-999.0
113119,SAN GABAN,1992,12,633.5,-999.0,-999.0
113119,SAN GABAN,1993,1,523.0,-999.0,-999.0
113119,SAN GABAN,1993,2,562.9,-999.0,-999.0
113119,SAN GABAN,1993,3,623.9,-999.0,-999.0
113119,SAN GABAN,1993,4,449.5,-999.0,-999.0
113119,SAN GABAN,1993,5,517.7,-999.0,-999.0
113119,SAN GABAN,1993,6,81.1,-999.0,-999.0
113119,SAN GABAN,1993,7,347.1,-999.0,-999.0
113119,SAN GABAN,1993,8,328.6,-999.0,-999.0
113119,SAN GABAN,1993,9,166.9,-999.0,-999.0
113119,SAN GABAN,1993,10,449.3,-999.0,-999.0
113119,SAN GABAN,1993,11,425.4,-999.0,-999.0
113119,SAN GABAN,1993,12,897.2,-999.0,-999.0
113119,SAN GABAN,1994,1,841.8,-999.0,-999.0
113119,SAN GABAN,1994,2,665.1,-999.0,-999.0
113119,SAN GABAN,1994,3,498.7,-999.0,-999.0
113119,SAN GABAN,1994,4,345.0,-999.0,-999.0
113119,SAN GABAN,1994,5,281.7,-999.0,-999.0
113119,SAN GABAN,1994,6,145.6,-999.0,-999.0
113119,SAN GABAN,1994,7,178.2,-999.0,-999.0
113119,SAN GABAN,1994,8,213.8,-999.0,-999.0
113119,SAN GABAN,1994,9,246.7,-999.0,-999.0
113119,SAN GABAN,1994,10,567.5,-999.0,-999.0
113119,SAN GABAN,1994,11,386.0,-999.0,-999.0
113119,SAN GABAN,1994,12,758.5,-999.0,-999.0
