CODIGO,ESTACION,YEAR,MONTH,PP,TMAX,TMIN
114018,COPARA,1990,1,-999.0,32.14,-999.0
114018,COPARA,1990,2,-999.0,32.18,-999.0
114018,COPARA,1990,3,-999.0,32.58,-999.0
114018,COPARA,1990,4,-999.0,31.65,-999.0
114018,COPARA,1990,5,-999.0,29.03,-999.0
114018,COPARA,1990,6,-999.0,27.27,-999.0
114018,COPARA,1990,7,-999.0,25.58,-999.0
114018,COPARA,1990,8,-999.0,28.28,-999.0
114018,COPARA,1990,9,-999.0,30.06,-999.0
114018,COPARA,1990,10,-999.0,30.59,-999.0
114018,COPARA,1990,11,-999.0,31.87,-999.0
114018,COPARA,1990,12,-999.0,31.47,-999.0
114018,COPARA,1991,1,-999.0,31.16,-999.0
114018,COPARA,1991,2,-999.0,32.16,-999.0
114018,COPARA,1991,3,-999.0,31.92,-999.0
114018,COPARA,1991,4,-999.0,31.29,-999.0
114018,COPARA,1991,5,-999.0,29.62,-999.0
114018,COPARA,1991,6,-999.0,26.88,-999.0
114018,COPARA,1991,7,-999.0,26.34,-999.0
114018,COPARA,1991,8,-999.0,27.07,-999.0
114018,COPARA,1991,9,-999.0,28.83,-999.0
114018,COPARA,1991,10,-999.0,30.43,-999.0
114018,COPARA,1991,11,-999.0,30.71,-999.0
114018,COPARA,1991,12,-999.0,31.34,-999.0
114018,COPARA,1992,1,-999.0,31.63,-999.0
114018,COPARA,1992,2,-999.0,31.89,-999.0
114018,COPARA,1992,3,-999.0,32.62,-999.0
114018,COPARA,1992,4,-999.0,30.37,-999.0
114018,COPARA,1992,5,-999.0,29.64,-999.0
114018,COPARA,1992,6,-999.0,27.5,-999.0
114018,COPARA,1992,7,-999.0,26.86,-999.0
114018,COPARA,1992,8,-999.0,-999.0,-999.0
114018,COPARA,1992,9,-999.0,-999.0,-999.0
114018,COPARA,1992,10,-999.0,-999.0,-999.0
114018,COPARA,1992,11,-999.0,-999.0,-999.0
114018,COPARA,1992,12,-999.0,31.37,-999.0
114018,COPARA,1993,1,-999.0,30.96,-999.0
114018,COPARA,1993,2,-999.0,32.01,-999.0
114018,COPARA,1993,3,-999.0,32.46,-999.0
114018,COPARA,1993,4,-999.0,32.02,-999.0
114018,COPARA,1993,5,-999.0,29.07,-999.0
114018,COPARA,1993,6,-999.0,-999.0,-999.0
114018,COPARA,1993,7,-999.0,25.93,-999.0
114018,COPARA,1993,8,-999.0,27.82,-999.0
114018,COPARA,1993,9,-999.0,29.36,-999.0
114018,COPARA,1993,10,-999.0,31.51,-999.0
114018,COPARA,1993,11,-999.0,31.4,-999.0
114018,COPARA,1993,12,-999.0,31.51,-999.0
114018,COPARA,1994,1,-999.0,31.38,-999.0
114018,COPARA,1994,2,-999.0,31.83,-999.0
114018,COPARA,1994,3,-999.0,31.58,-999.0
114018,COPARA,1994,4,-999.0,30.8,-999.0
114018,COPARA,1994,5,-999.0,29.71,-999.0
114018,COPARA,1994,6,-999.0,27.27,-999.0
114018,COPARA,1994,7,-999.0,26.84,-999.0
114018,COPARA,1994,8,-999.0,27.66,-999.0
114018,COPARA,1994,9,-999.0,30.61,-999.0
114018,COPARA,1994,10,-999.0,31.12,-999.0
114018,COPARA,1994,11,-999.0,31.75,-999.0
114018,COPARA,1994,12,-999.0,32.53,-999.0
114018,COPARA,1995,1,-999.0,32.05,-999.0
114018,COPARA,1995,2,-999.0,33.19,-999.0
114018,COPARA,1995,3,-999.0,32.26,-999.0
114018,COPARA,1995,4,-999.0,32.44,-999.0
114018,COPARA,1995,5,-999.0,30.81,-999.0
114018,COPARA,1995,6,-999.0,29.02,-999.0
114018,COPARA,1995,7,-999.0,27.24,-999.0
114018,COPARA,1995,8,-999.0,28.92,-999.0
114018,COPARA,1995,9,-999.0,29.78,-999.0
114018,COPARA,1995,10,-999.0,32.25,-999.0
114018,COPARA,1995,11,-999.0,32.44,-999.0
114018,COPARA,1995,12,-999.0,32.7,-999.0
114018,COPARA,1996,1,-999.0,32.68,-999.0
114018,COPARA,1996,2,-999.0,-999.0,-999.0
114018,COPARA,1996,3,-999.0,32.99,-999.0
114018,COPARA,1996,4,-999.0,31.69,-999.0
114018,COPARA,1996,5,-999.0,30.25,-999.0
114018,COPARA,1996,6,-999.0,27.23,-999.0
114018,COPARA,1996,7,-999.0,28.43,-999.0
114018,COPARA,1996,8,-999.0,27.92,-999.0
114018,COPARA,1996,9,-999.0,30.45,-999.0
114018,COPARA,1996,10,-999.0,31.65,-999.0
114018,COPARA,1996,11,-999.0,31.93,-999.0
114018,COPARA,1996,12,-999.0,32.27,-999.0
114018,COPARA,1997,1,-999.0,32.09,-999.0
114018,COPARA,1997,2,-999.0,33.51,-999.0
114018,COPARA,1997,3,-999.0,33.55,-999.0
114018,COPARA,1997,4,-999.0,32.53,-999.0
114018,COPARA,1997,5,-999.0,30.7,-999.0
114018,COPARA,1997,6,-999.0,28.46,-999.0
114018,COPARA,1997,7,-999.0,28.3,-999.0
114018,COPARA,1997,8,-999.0,29.63,-999.0
114018,COPARA,1997,9,-999.0,30.41,-999.0
114018,COPARA,1997,10,-999.0,30.81,-999.0
114018,COPARA,1997,11,-999.0,32.11,-999.0
114018,COPARA,1997,12,-999.0,32.83,-999.0
114018,COPARA,1998,1,-999.0,32.43,-999.0
114018,COPARA,1998,2,-999.0,34.33,-999.0
114018,COPARA,1998,3,-999.0,34.57,-999.0
114018,COPARA,1998,4,-999.0,33.44,-999.0
114018,COPARA,1998,5,-999.0,30.94,-999.0
114018,COPARA,1998,6,-999.0,29.68,-999.0
114018,COPARA,1998,7,-999.0,28.98,-999.0
114018,COPARA,1998,8,-999.0,29.12,-999.0
114018,COPARA,1998,9,-999.0,30.67,-999.0
114018,COPARA,1998,10,-999.0,31.92,-999.0
114018,COPARA,1998,11,-999.0,31.94,-999.0
114018,COPARA,1998,12,-999.0,-999.0,-999.0
114018,COPARA,1999,1,-999.0,32.65,16.43
114018,COPARA,1999,2,-999.0,32.09,19.4
114018,COPARA,1999,3,-999.0,32.61,18.09
114018,COPARA,1999,4,-999.0,31.84,16.16
114018,COPARA,1999,5,-999.0,30.58,12.63
114018,COPARA,1999,6,-999.0,27.42,9.25
114018,COPARA,1999,7,-999.0,26.77,7.89
114018,COPARA,1999,8,-999.0,27.92,8.04
114018,COPARA,1999,9,-999.0,29.69,9.2
114018,COPARA,1999,10,-999.0,31.17,12.83
114018,COPARA,1999,11,-999.0,31.15,-999.0
114018,COPARA,1999,12,-999.0,31.47,-999.0
114018,COPARA,2000,1,4.1,30.25,19.06
114018,COPARA,2000,2,0.4,32.37,18.3
114018,COPARA,2000,3,0.9,32.51,18.02
114018,COPARA,2000,4,0.0,31.28,16.71
114018,COPARA,2000,5,0.0,29.02,12.8
114018,COPARA,2000,6,0.0,26.7,8.38
114018,COPARA,2000,7,0.0,25.96,7.67
114018,COPARA,2000,8,0.0,27.81,8.43
114018,COPARA,2000,9,0.0,29.85,9.11
114018,COPARA,2000,10,1.0,30.68,12.33
114018,COPARA,2000,11,0.0,31.53,-999.0
114018,COPARA,2000,12,0.3,31.45,16.79
114018,COPARA,2001,1,0.2,30.7,18.06
114018,COPARA,2001,2,0.7,32.05,19.42
114018,COPARA,2001,3,1.2,32.14,18.58
114018,COPARA,2001,4,0.4,31.31,16.41
114018,COPARA,2001,5,0.0,29.45,11.65
114018,COPARA,2001,6,0.0,26.76,8.57
114018,COPARA,2001,7,0.0,-999.0,7.76
114018,COPARA,2001,8,0.0,28.23,7.97
114018,COPARA,2001,9,0.0,29.09,9.8
114018,COPARA,2001,10,-999.0,-999.0,-999.0
114018,COPARA,2001,11,0.0,30.64,-999.0
114018,COPARA,2001,12,0.0,31.63,14.06
114018,COPARA,2002,1,0.0,32.06,15.67
114018,COPARA,2002,2,0.5,32.1,18.45
114018,COPARA,2002,3,1.2,32.9,18.45
114018,COPARA,2002,4,0.0,30.54,16.36
114018,COPARA,2002,5,0.0,30.37,13.32
114018,COPARA,2002,6,0.0,27.16,9.09
114018,COPARA,2002,7,0.4,26.53,8.13
114018,COPARA,2002,8,0.0,27.48,8.84
114018,COPARA,2002,9,0.0,29.43,9.79
114018,COPARA,2002,10,0.0,31.11,12.78
114018,COPARA,2002,11,0.0,31.44,14.44
114018,COPARA,2002,12,0.0,31.72,-999.0
114018,COPARA,2003,1,0.3,32.52,17.21
114018,COPARA,2003,2,1.9,32.13,19.59
114018,COPARA,2003,3,0.0,33.09,18.16
114018,COPARA,2003,4,0.0,31.78,14.97
114018,COPARA,2003,5,0.3,30.33,12.86
114018,COPARA,2003,6,0.0,28.16,9.47
114018,COPARA,2003,7,0.0,27.05,8.61
114018,COPARA,2003,8,0.0,29.18,8.38
114018,COPARA,2003,9,0.0,29.87,9.17
114018,COPARA,2003,10,0.0,31.38,-999.0
114018,COPARA,2003,11,0.0,30.99,-999.0
114018,COPARA,2003,12,2.4,31.07,16.2
114018,COPARA,2004,1,0.0,31.85,17.72
114018,COPARA,2004,2,0.0,32.15,18.4
114018,COPARA,2004,3,0.0,32.74,19.33
114018,COPARA,2004,4,0.0,31.31,16.2
114018,COPARA,2004,5,0.0,29.44,11.55
114018,COPARA,2004,6,0.0,26.78,8.18
114018,COPARA,2004,7,6.6,26.19,8.61
114018,COPARA,2004,8,0.0,27.41,9.51
114018,COPARA,2004,9,0.0,29.97,11.29
114018,COPARA,2004,10,0.0,31.38,11.98
114018,COPARA,2004,11,0.0,31.49,13.69
114018,COPARA,2004,12,0.3,31.99,16.99
114018,COPARA,2005,1,0.7,31.99,18.53
114018,COPARA,2005,2,7.9,32.39,19.46
114018,COPARA,2005,3,0.0,32.54,18.21
114018,COPARA,2005,4,0.0,31.7,16.0
114018,COPARA,2005,5,0.0,28.94,10.67
114018,COPARA,2005,6,0.0,27.76,8.37
114018,COPARA,2005,7,0.0,26.26,8.2
114018,COPARA,2005,8,0.0,27.67,8.25
114018,COPARA,2005,9,0.0,28.44,9.49
114018,COPARA,2005,10,0.0,30.27,10.21
114018,COPARA,2005,11,0.0,31.29,-999.0
114018,COPARA,2005,12,0.0,32.0,16.46
114018,COPARA,2006,1,0.0,32.38,19.12
114018,COPARA,2006,2,6.0,32.8,20.21
114018,COPARA,2006,3,2.0,32.21,19.25
114018,COPARA,2006,4,0.0,31.62,16.13
114018,COPARA,2006,5,0.0,29.83,12.1
114018,COPARA,2006,6,0.0,27.39,9.31
114018,COPARA,2006,7,0.0,26.2,8.82
114018,COPARA,2006,8,0.0,28.05,9.66
114018,COPARA,2006,9,0.0,29.74,10.62
114018,COPARA,2006,10,0.0,30.65,11.99
114018,COPARA,2006,11,0.0,31.45,14.02
114018,COPARA,2006,12,0.0,32.01,15.85
114018,COPARA,2007,1,0.0,-999.0,19.39
114018,COPARA,2007,2,0.0,32.79,18.5
114018,COPARA,2007,3,0.0,31.94,18.57
114018,COPARA,2007,4,0.0,31.6,16.74
114018,COPARA,2007,5,0.0,29.78,12.46
114018,COPARA,2007,6,0.0,27.61,9.85
114018,COPARA,2007,7,0.0,26.87,8.12
114018,COPARA,2007,8,0.0,26.72,7.69
114018,COPARA,2007,9,0.0,28.24,8.75
114018,COPARA,2007,10,0.0,30.41,10.3
114018,COPARA,2007,11,0.0,31.51,-999.0
114018,COPARA,2007,12,0.0,31.46,15.19
114018,COPARA,2008,1,5.5,30.76,19.04
114018,COPARA,2008,2,1.5,32.25,19.34
114018,COPARA,2008,3,0.4,32.86,18.04
114018,COPARA,2008,4,0.0,31.18,15.75
114018,COPARA,2008,5,-999.0,29.61,10.65
114018,COPARA,2008,6,-999.0,26.12,8.22
114018,COPARA,2008,7,-999.0,25.24,6.69
114018,COPARA,2008,8,-999.0,27.71,8.85
114018,COPARA,2008,9,-999.0,29.77,9.34
114018,COPARA,2008,10,0.0,30.77,11.9
114018,COPARA,2008,11,0.0,31.41,-999.0
114018,COPARA,2008,12,0.0,31.57,15.99
114018,COPARA,2009,1,5.2,32.33,18.49
114018,COPARA,2009,2,0.0,32.33,20.12
114018,COPARA,2009,3,0.0,32.61,19.57
114018,COPARA,2009,4,0.0,31.85,16.56
114018,COPARA,2009,5,0.0,29.94,13.75
114018,COPARA,2009,6,-999.0,27.01,8.89
114018,COPARA,2009,7,-999.0,26.53,8.11
114018,COPARA,2009,8,-999.0,-999.0,-999.0
114018,COPARA,2009,9,-999.0,29.14,9.34
114018,COPARA,2009,10,0.0,31.65,-999.0
114018,COPARA,2009,11,0.0,31.95,-999.0
114018,COPARA,2009,12,0.0,31.72,-999.0
114018,COPARA,2010,1,0.0,31.96,-999.0
114018,COPARA,2010,2,0.0,32.44,-999.0
114018,COPARA,2010,3,0.0,33.45,17.47
114018,COPARA,2010,4,-999.0,31.91,16.62
114018,COPARA,2010,5,-999.0,30.38,12.63
114018,COPARA,2010,6,-999.0,27.38,8.86
114018,COPARA,2010,7,-999.0,26.79,6.37
114018,COPARA,2010,8,-999.0,28.33,7.33
114018,COPARA,2010,9,-999.0,30.48,9.86
114018,COPARA,2010,10,0.0,30.84,-999.0
114018,COPARA,2010,11,0.0,31.68,-999.0
114018,COPARA,2010,12,0.0,32.1,15.91
114018,COPARA,2011,1,1.2,32.7,18.13
114018,COPARA,2011,2,0.0,33.3,19.04
114018,COPARA,2011,3,0.0,33.13,17.25
114018,COPARA,2011,4,-999.0,31.63,16.79
114018,COPARA,2011,5,-999.0,28.82,11.77
114018,COPARA,2011,6,-999.0,25.41,10.22
114018,COPARA,2011,7,-999.0,25.5,9.18
114018,COPARA,2011,8,-999.0,26.86,8.32
114018,COPARA,2011,9,-999.0,31.16,9.91
114018,COPARA,2011,10,-999.0,31.21,-999.0
114018,COPARA,2011,11,-999.0,32.15,-999.0
114018,COPARA,2011,12,1.0,31.92,-999.0
114018,COPARA,2012,1,1.3,33.13,-999.0
114018,COPARA,2012,2,5.1,33.08,18.81
114018,COPARA,2012,3,2.0,32.93,18.58
114018,COPARA,2012,4,1.0,31.7,16.82
114018,COPARA,2012,5,-999.0,30.09,12.97
114018,COPARA,2012,6,-999.0,27.88,-999.0
114018,COPARA,2012,7,-999.0,26.24,9.36
114018,COPARA,2012,8,-999.0,26.8,9.54
114018,COPARA,2012,9,-999.0,29.67,11.29
114018,COPARA,2012,10,-999.0,31.08,12.14
114018,COPARA,2012,11,-999.0,31.69,-999.0
114018,COPARA,2012,12,0.7,32.49,16.56
114018,COPARA,2013,1,0.0,32.82,18.31
114018,COPARA,2013,2,13.4,33.0,19.48
114018,COPARA,2013,3,0.0,33.29,18.25
114018,COPARA,2013,4,0.0,32.11,14.22
114018,COPARA,2013,5,-999.0,29.39,12.74
114018,COPARA,2013,6,-999.0,28.0,10.24
114018,COPARA,2013,7,-999.0,27.19,9.64
114018,COPARA,2013,8,-999.0,28.49,8.64
114018,COPARA,2013,9,-999.0,30.14,11.16
114018,COPARA,2013,10,0.0,31.46,-999.0
114018,COPARA,2013,11,0.0,31.61,-999.0
114018,COPARA,2013,12,1.6,31.73,16.74
114018,COPARA,2014,1,0.0,32.56,19.75
114018,COPARA,2014,2,1.0,32.9,17.03
114018,COPARA,2014,3,3.1,32.51,18.65
114018,COPARA,2014,4,-999.0,30.98,15.89
114018,COPARA,2014,5,-999.0,28.67,11.38
114018,COPARA,2014,6,-999.0,26.26,10.09
114018,COPARA,2014,7,0.0,26.73,8.77
114018,COPARA,2014,8,0.0,29.09,9.81
114018,COPARA,2014,9,-999.0,29.48,11.01
114018,COPARA,2014,10,0.0,31.96,-999.0
114018,COPARA,2014,11,0.0,31.63,-999.0
114018,COPARA,2014,12,0.0,31.95,15.66
114018,COPARA,2015,1,0.0,32.93,17.64
114018,COPARA,2015,2,11.3,31.15,20.34
114018,COPARA,2015,3,1.3,32.62,20.08
114018,COPARA,2015,4,0.0,32.08,17.5
114018,COPARA,2015,5,0.0,29.6,13.6
114018,COPARA,2015,6,0.0,27.07,10.44
114018,COPARA,2015,7,0.0,26.6,8.71
114018,COPARA,2015,8,0.0,27.29,9.73
114018,COPARA,2015,9,0.0,30.19,11.58
114018,COPARA,2015,10,0.0,31.12,13.18
114018,COPARA,2015,11,0.0,30.69,-999.0
114018,COPARA,2015,12,0.0,-999.0,-999.0
114018,COPARA,2016,1,0.0,32.74,17.66
114018,COPARA,2016,2,-999.0,-999.0,-999.0
114018,COPARA,2016,3,-999.0,-999.0,-999.0
114018,COPARA,2016,4,0.0,31.73,17.65
114018,COPARA,2016,5,0.0,30.57,14.03
114018,COPARA,2016,6,0.0,28.18,11.1
114018,COPARA,2016,7,0.0,26.76,10.06
114018,COPARA,2016,8,0.0,28.3,10.07
114018,COPARA,2016,9,0.0,30.36,11.2
114018,COPARA,2016,10,0.0,30.37,12.16
114018,COPARA,2016,11,0.0,31.41,-999.0
114018,COPARA,2016,12,0.0,31.65,-999.0
114018,COPARA,2017,1,8.2,31.79,20.75
114018,COPARA,2017,2,0.0,33.25,20.79
114018,COPARA,2017,3,1.4,33.14,20.45
114018,COPARA,2017,4,0.0,31.24,17.07
114018,COPARA,2017,5,0.0,28.32,14.65
114018,COPARA,2017,6,0.0,26.7,11.42
114018,COPARA,2017,7,0.0,26.05,9.32
114018,COPARA,2017,8,0.0,27.05,8.44
114018,COPARA,2017,9,0.0,28.91,11.3
114018,COPARA,2017,10,0.0,31.61,13.03
114018,COPARA,2017,11,0.0,30.75,13.53
114018,COPARA,2017,12,0.0,31.2,16.65
114018,COPARA,2018,1,0.6,31.48,18.37
114018,COPARA,2018,2,2.1,30.97,19.8
114018,COPARA,2018,3,0.0,32.23,18.66
114018,COPARA,2018,4,0.5,31.58,17.56
114018,COPARA,2018,5,0.0,29.69,13.79
114018,COPARA,2018,6,0.0,26.26,11.15
114018,COPARA,2018,7,0.0,-999.0,10.78
114018,COPARA,2018,8,0.0,27.99,9.43
114018,COPARA,2018,9,0.0,29.98,10.77
114018,COPARA,2018,10,0.0,30.13,13.34
114018,COPARA,2018,11,0.0,31.26,-999.0
114018,COPARA,2018,12,0.0,31.53,-999.0
114018,COPARA,2019,1,0.8,-999.0,19.63
114018,COPARA,2019,2,2.4,31.94,21.06
114018,COPARA,2019,3,1.1,32.6,18.96
114018,COPARA,2019,4,0.0,31.1,16.88
114018,COPARA,2019,5,0.0,29.76,13.62
114018,COPARA,2019,6,0.0,27.3,10.81
114018,COPARA,2019,7,0.0,26.67,9.42
114018,COPARA,2019,8,0.0,28.13,9.49
114018,COPARA,2019,9,0.0,29.2,11.89
114018,COPARA,2019,10,0.0,30.21,-999.0
114018,COPARA,2019,11,0.0,31.17,15.35
114018,COPARA,2019,12,0.0,31.5,17.16
114018,COPARA,2020,1,28.5,31.32,20.15
114018,COPARA,2020,2,1.2,32.38,20.54
114018,COPARA,2020,3,0.2,-999.0,-999.0
114018,COPARA,2020,4,-999.0,-999.0,-999.0
114018,COPARA,2020,5,-999.0,-999.0,-999.0
114018,COPARA,2020,6,-999.0,-999.0,-999.0
114018,COPARA,2020,7,-999.0,-999.0,-999.0
114018,COPARA,2020,8,0.0,27.79,8.71
114018,COPARA,2020,9,0.0,29.44,10.78
114018,COPARA,2020,10,0.0,30.97,14.0
114018,COPARA,2020,11,0.0,30.48,-999.0
114018,COPARA,2020,12,2.8,31.17,16.82
114018,COPARA,2021,1,0.0,31.44,17.98
114018,COPARA,2021,2,0.0,32.08,18.54
114018,COPARA,2021,3,1.5,31.71,19.11
114018,COPARA,2021,4,0.2,30.9,16.26
114018,COPARA,2021,5,0.0,29.37,13.18
114018,COPARA,2021,6,0.0,26.67,9.74
114018,COPARA,2021,7,0.0,26.83,9.3
114018,COPARA,2021,8,0.0,28.07,9.17
114018,COPARA,2021,9,0.0,29.45,11.36
114018,COPARA,2021,10,0.0,30.81,12.85
114018,COPARA,2021,11,2.2,30.82,-999.0
114018,COPARA,2021,12,0.5,30.96,16.01
114018,COPARA,2022,1,0.0,31.68,18.06
114018,COPARA,2022,2,0.8,31.77,18.04
114018,COPARA,2022,3,0.0,32.45,18.88
114018,COPARA,2022,4,0.0,31.04,15.43
114018,COPARA,2022,5,0.0,29.33,11.2
114018,COPARA,2022,6,0.0,26.93,9.24
114018,COPARA,2022,7,0.0,26.68,8.35
114018,COPARA,2022,8,0.0,28.02,8.47
114018,COPARA,2022,9,0.0,28.17,8.27
114018,COPARA,2022,10,0.0,30.59,-999.0
114018,COPARA,2022,11,0.0,31.06,-999.0
114018,COPARA,2022,12,0.0,31.41,17.37
114018,COPARA,2023,1,2.8,32.48,17.94
114018,COPARA,2023,2,0.8,32.81,20.92
114018,COPARA,2023,3,3.3,32.88,20.64
114018,COPARA,2023,4,0.0,31.94,18.79
114018,COPARA,2023,5,0.0,28.51,13.76
114018,COPARA,2023,6,0.0,26.94,10.25
114018,COPARA,2023,7,0.3,26.45,10.32
114018,COPARA,2023,8,0.0,28.2,11.11
114018,COPARA,2023,9,0.2,29.25,12.45
114018,COPARA,2023,10,0.0,31.88,15.7
114018,COPARA,2023,11,0.0,31.63,15.29
114018,COPARA,2023,12,0.6,32.79,17.35
114018,COPARA,2024,1,0.4,33.23,19.38
114018,COPARA,2024,2,2.0,33.15,20.6
114018,COPARA,2024,3,0.0,33.75,19.85
114018,COPARA,2024,4,0.0,32.28,18.09
114018,COPARA,2024,5,0.0,29.82,13.45
114018,COPARA,2024,6,0.0,28.4,10.47
114018,COPARA,2024,7,0.0,27.38,8.51
114018,COPARA,2024,8,0.0,28.0,9.07
114018,COPARA,2024,9,0.0,30.66,11.12
114018,COPARA,2024,10,0.0,32.44,13.59
