CODIGO,ESTACION,YEAR,MONTH,PP,TMAX,TMIN
114023,PUQUIO,1990,1,33.8,17.17,-999.0
114023,PUQUIO,1990,2,15.4,17.4,-999.0
114023,PUQUIO,1990,3,60.3,17.08,-999.0
114023,PUQUIO,1990,4,3.8,17.04,-999.0
114023,PUQUIO,1990,5,17.2,16.77,-999.0
114023,PUQUIO,1990,6,10.6,16.31,-999.0
114023,PUQUIO,1990,7,0.0,16.17,-999.0
114023,PUQUIO,1990,8,0.0,18.45,-999.0
114023,PUQUIO,1990,9,1.2,18.36,-999.0
114023,PUQUIO,1990,10,2.4,17.77,-999.0
114023,PUQUIO,1990,11,121.6,17.35,-999.0
114023,PUQUIO,1990,12,89.7,16.65,-999.0
114023,PUQUIO,1991,1,72.9,15.9,-999.0
114023,PUQUIO,1991,2,29.8,16.54,-999.0
114023,PUQUIO,1991,3,107.4,15.88,-999.0
114023,PUQUIO,1991,4,21.4,16.64,-999.0
114023,PUQUIO,1991,5,0.0,17.2,-999.0
114023,PUQUIO,1991,6,0.0,16.01,-999.0
114023,PUQUIO,1991,7,0.0,17.39,-999.0
114023,PUQUIO,1991,8,0.0,17.86,-999.0
114023,PUQUIO,1991,9,0.0,18.35,-999.0
114023,PUQUIO,1991,10,11.6,18.13,-999.0
114023,PUQUIO,1991,11,-999.0,17.46,-999.0
114023,PUQUIO,1991,12,0.0,17.74,-999.0
114023,PUQUIO,1992,1,0.0,17.98,-999.0
114023,PUQUIO,1992,2,0.0,17.88,-999.0
114023,PUQUIO,1992,3,0.0,17.18,-999.0
114023,PUQUIO,1992,4,0.0,16.71,-999.0
114023,PUQUIO,1992,5,0.0,17.19,-999.0
114023,PUQUIO,1992,6,0.0,16.39,-999.0
114023,PUQUIO,1992,7,0.0,16.66,-999.0
114023,PUQUIO,1992,8,-999.0,-999.0,-999.0
114023,PUQUIO,1992,9,-999.0,-999.0,-999.0
114023,PUQUIO,1992,10,-999.0,-999.0,-999.0
114023,PUQUIO,1992,11,-999.0,-999.0,-999.0
114023,PUQUIO,1992,12,-999.0,-999.0,-999.0
114023,PUQUIO,1993,1,164.3,16.23,-999.0
114023,PUQUIO,1993,2,82.1,15.74,-999.0
114023,PUQUIO,1993,3,161.4,15.39,-999.0
114023,PUQUIO,1993,4,23.3,16.79,-999.0
114023,PUQUIO,1993,5,20.9,16.35,-999.0
114023,PUQUIO,1993,6,-999.0,18.01,-999.0
114023,PUQUIO,1993,7,0.0,17.29,-999.0
114023,PUQUIO,1993,8,10.4,17.33,-999.0
114023,PUQUIO,1993,9,0.0,17.06,-999.0
114023,PUQUIO,1993,10,28.2,18.14,-999.0
114023,PUQUIO,1993,11,14.2,17.12,-999.0
114023,PUQUIO,1993,12,49.8,16.85,-999.0
114023,PUQUIO,1994,1,-999.0,15.6,-999.0
114023,PUQUIO,1994,2,175.6,14.5,-999.0
114023,PUQUIO,1994,3,-999.0,15.89,-999.0
114023,PUQUIO,1994,4,0.0,16.56,-999.0
114023,PUQUIO,1994,5,3.6,17.45,-999.0
114023,PUQUIO,1994,6,4.0,18.22,-999.0
114023,PUQUIO,1994,7,0.0,18.54,-999.0
114023,PUQUIO,1994,8,0.0,18.24,-999.0
114023,PUQUIO,1994,9,0.0,19.69,-999.0
114023,PUQUIO,1994,10,2.4,17.95,-999.0
114023,PUQUIO,1994,11,0.0,17.75,-999.0
114023,PUQUIO,1994,12,-999.0,17.92,-999.0
114023,PUQUIO,1995,1,112.7,17.1,-999.0
114023,PUQUIO,1995,2,15.1,16.77,-999.0
114023,PUQUIO,1995,3,134.3,15.48,-999.0
114023,PUQUIO,1995,4,0.0,17.31,-999.0
114023,PUQUIO,1995,5,0.0,17.38,-999.0
114023,PUQUIO,1995,6,0.0,17.12,-999.0
114023,PUQUIO,1995,7,0.0,17.27,-999.0
114023,PUQUIO,1995,8,0.0,17.73,-999.0
114023,PUQUIO,1995,9,17.0,18.23,-999.0
114023,PUQUIO,1995,10,0.0,18.08,-999.0
114023,PUQUIO,1995,11,51.3,17.03,-999.0
114023,PUQUIO,1995,12,30.3,17.08,-999.0
114023,PUQUIO,1996,1,83.1,15.3,-999.0
114023,PUQUIO,1996,2,150.8,15.2,-999.0
114023,PUQUIO,1996,3,31.9,15.68,-999.0
114023,PUQUIO,1996,4,24.2,16.77,-999.0
114023,PUQUIO,1996,5,0.0,18.09,-999.0
114023,PUQUIO,1996,6,0.0,17.33,-999.0
114023,PUQUIO,1996,7,0.0,17.97,-999.0
114023,PUQUIO,1996,8,4.8,17.65,3.99
114023,PUQUIO,1996,9,1.6,19.05,4.64
114023,PUQUIO,1996,10,0.0,17.79,4.46
114023,PUQUIO,1996,11,3.3,17.68,4.47
114023,PUQUIO,1996,12,25.5,17.57,6.38
114023,PUQUIO,1997,1,73.2,14.81,6.61
114023,PUQUIO,1997,2,54.0,16.5,7.02
114023,PUQUIO,1997,3,62.3,16.48,5.03
114023,PUQUIO,1997,4,0.0,17.26,4.67
114023,PUQUIO,1997,5,0.0,18.17,4.38
114023,PUQUIO,1997,6,0.0,16.23,1.75
114023,PUQUIO,1997,7,0.0,19.21,4.84
