CODIGO,ESTACION,YEAR,MONTH,PP,TMAX,TMIN
114033,SICUANI,1990,1,127.1,-999.0,6.05
114033,SICUANI,1990,2,104.8,-999.0,4.62
114033,SICUANI,1990,3,71.2,-999.0,4.27
114033,SICUANI,1990,4,33.8,-999.0,2.88
114033,SICUANI,1990,5,-999.0,-999.0,-999.0
114033,SICUANI,1990,6,-999.0,-999.0,-999.0
114033,SICUANI,1990,7,-999.0,-999.0,-999.0
114033,SICUANI,1990,8,-999.0,-999.0,-999.0
114033,SICUANI,1990,9,-999.0,-999.0,-999.0
114033,SICUANI,1990,10,-999.0,-999.0,-999.0
114033,SICUANI,1990,11,-999.0,-999.0,-999.0
114033,SICUANI,1990,12,-999.0,-999.0,-999.0
114033,SICUANI,1991,1,93.3,-999.0,6.23
114033,SICUANI,1991,2,76.3,-999.0,5.65
114033,SICUANI,1991,3,-999.0,-999.0,-999.0
114033,SICUANI,1991,4,59.3,-999.0,3.3
114033,SICUANI,1991,5,18.1,-999.0,0.24
114033,SICUANI,1991,6,-999.0,-999.0,-999.0
114033,SICUANI,1991,7,0.0,-999.0,-3.83
114033,SICUANI,1991,8,0.0,-999.0,-2.51
114033,SICUANI,1991,9,12.7,-999.0,1.46
114033,SICUANI,1991,10,44.9,-999.0,3.9
114033,SICUANI,1991,11,43.7,-999.0,4.28
114033,SICUANI,1991,12,-999.0,-999.0,4.83
114033,SICUANI,1992,1,99.2,-999.0,6.11
114033,SICUANI,1992,2,61.4,-999.0,5.31
114033,SICUANI,1992,3,-999.0,-999.0,-999.0
114033,SICUANI,1992,4,-999.0,-999.0,-999.0
114033,SICUANI,1992,5,-999.0,-999.0,-999.0
114033,SICUANI,1992,6,-999.0,-999.0,-999.0
114033,SICUANI,1992,7,-999.0,-999.0,-999.0
114033,SICUANI,1992,8,19.5,18.46,-0.53
114033,SICUANI,1992,9,19.1,20.6,2.91
114033,SICUANI,1992,10,62.8,20.63,3.82
114033,SICUANI,1992,11,96.8,20.45,4.27
114033,SICUANI,1992,12,53.6,19.83,5.81
114033,SICUANI,1993,1,163.0,18.28,5.9
114033,SICUANI,1993,2,87.1,19.14,5.41
114033,SICUANI,1993,3,116.2,18.04,6.02
114033,SICUANI,1993,4,57.4,19.28,4.75
114033,SICUANI,1993,5,0.0,19.77,0.72
114033,SICUANI,1993,6,1.2,19.76,-3.76
114033,SICUANI,1993,7,2.0,18.85,-1.74
114033,SICUANI,1993,8,9.8,19.61,-0.7
114033,SICUANI,1993,9,26.7,19.96,2.95
114033,SICUANI,1993,10,66.0,20.7,4.66
114033,SICUANI,1993,11,136.4,20.15,5.4
114033,SICUANI,1993,12,114.1,19.25,6.09
114033,SICUANI,1994,1,127.5,18.06,6.18
114033,SICUANI,1994,2,143.8,18.31,4.94
114033,SICUANI,1994,3,128.4,19.09,5.19
114033,SICUANI,1994,4,74.9,18.65,5.25
114033,SICUANI,1994,5,18.8,19.15,0.81
114033,SICUANI,1994,6,0.3,18.72,-2.93
114033,SICUANI,1994,7,0.0,19.12,-3.51
114033,SICUANI,1994,8,1.2,20.21,-1.95
114033,SICUANI,1994,9,9.3,21.12,3.5
114033,SICUANI,1994,10,50.5,21.21,4.16
114033,SICUANI,1994,11,81.0,20.59,5.95
114033,SICUANI,1994,12,127.4,19.79,6.26
114033,SICUANI,1995,1,107.4,19.25,6.47
114033,SICUANI,1995,2,105.2,19.49,5.79
114033,SICUANI,1995,3,131.3,18.02,6.47
114033,SICUANI,1995,4,64.4,20.15,3.82
114033,SICUANI,1995,5,3.1,20.72,-0.47
114033,SICUANI,1995,6,1.2,19.36,-2.14
114033,SICUANI,1995,7,2.8,20.08,-1.8
114033,SICUANI,1995,8,0.0,21.96,-0.07
114033,SICUANI,1995,9,16.6,21.37,2.33
114033,SICUANI,1995,10,36.0,22.85,5.03
114033,SICUANI,1995,11,92.3,21.43,5.67
114033,SICUANI,1995,12,117.0,20.1,5.08
114033,SICUANI,1996,1,121.3,18.21,6.19
114033,SICUANI,1996,2,112.0,18.65,6.34
114033,SICUANI,1996,3,155.5,19.88,5.53
114033,SICUANI,1996,4,42.7,19.35,4.44
114033,SICUANI,1996,5,16.3,19.61,1.35
114033,SICUANI,1996,6,0.0,18.87,-3.29
114033,SICUANI,1996,7,0.0,19.27,-3.33
114033,SICUANI,1996,8,12.0,19.63,0.99
114033,SICUANI,1996,9,24.5,21.43,2.19
114033,SICUANI,1996,10,54.2,22.12,4.54
114033,SICUANI,1996,11,61.6,20.78,5.61
114033,SICUANI,1996,12,115.7,18.79,6.54
114033,SICUANI,1997,1,226.7,18.06,6.51
114033,SICUANI,1997,2,173.8,17.99,6.53
114033,SICUANI,1997,3,176.9,18.92,5.49
114033,SICUANI,1997,4,49.9,19.45,3.04
114033,SICUANI,1997,5,3.5,19.2,-0.35
114033,SICUANI,1997,6,0.0,19.67,-3.51
114033,SICUANI,1997,7,5.2,19.94,-2.48
114033,SICUANI,1997,8,15.2,18.95,1.04
114033,SICUANI,1997,9,8.9,21.47,3.54
114033,SICUANI,1997,10,45.5,22.38,4.7
114033,SICUANI,1997,11,135.5,20.49,5.79
114033,SICUANI,1997,12,64.6,21.07,6.23
114033,SICUANI,1998,1,102.3,20.79,7.23
114033,SICUANI,1998,2,131.0,20.93,7.71
114033,SICUANI,1998,3,97.8,21.03,6.06
114033,SICUANI,1998,4,15.1,21.42,3.53
114033,SICUANI,1998,5,0.0,20.63,-2.83
114033,SICUANI,1998,6,0.0,18.96,-2.2
114033,SICUANI,1998,7,0.0,19.6,-4.36
114033,SICUANI,1998,8,5.6,20.59,-0.87
114033,SICUANI,1998,9,1.7,21.86,0.48
114033,SICUANI,1998,10,92.2,20.61,4.9
114033,SICUANI,1998,11,73.6,20.31,4.98
114033,SICUANI,1998,12,92.7,19.64,4.83
114033,SICUANI,1999,1,133.3,19.03,6.03
114033,SICUANI,1999,2,145.4,16.74,6.77
114033,SICUANI,1999,3,83.4,17.48,6.32
114033,SICUANI,1999,4,85.7,18.57,4.61
114033,SICUANI,1999,5,17.6,18.68,0.79
114033,SICUANI,1999,6,3.2,18.82,-4.22
114033,SICUANI,1999,7,0.3,17.71,-4.58
114033,SICUANI,1999,8,0.0,19.91,-2.56
114033,SICUANI,1999,9,44.1,19.98,0.84
114033,SICUANI,1999,10,24.4,19.73,3.59
114033,SICUANI,1999,11,38.5,21.47,2.76
114033,SICUANI,1999,12,127.2,19.65,5.14
114033,SICUANI,2000,1,110.4,17.31,6.48
114033,SICUANI,2000,2,180.0,17.19,6.02
114033,SICUANI,2000,3,121.9,17.88,4.75
114033,SICUANI,2000,4,15.6,19.68,2.57
114033,SICUANI,2000,5,7.2,19.77,-0.78
114033,SICUANI,2000,6,6.0,18.11,-2.73
114033,SICUANI,2000,7,4.4,17.73,-2.88
114033,SICUANI,2000,8,1.7,19.32,0.1
114033,SICUANI,2000,9,18.6,20.83,1.45
114033,SICUANI,2000,10,76.4,19.15,4.16
114033,SICUANI,2000,11,25.2,21.69,2.8
114033,SICUANI,2000,12,92.6,18.86,4.96
114033,SICUANI,2001,1,213.0,16.9,6.37
114033,SICUANI,2001,2,158.1,17.14,6.32
114033,SICUANI,2001,3,176.9,18.17,6.36
114033,SICUANI,2001,4,55.3,18.39,2.95
114033,SICUANI,2001,5,25.9,18.38,0.25
114033,SICUANI,2001,6,1.2,18.46,-2.23
114033,SICUANI,2001,7,13.9,17.8,-2.23
114033,SICUANI,2001,8,10.5,19.07,-2.14
114033,SICUANI,2001,9,34.7,20.47,2.32
114033,SICUANI,2001,10,48.3,20.41,4.54
114033,SICUANI,2001,11,76.2,21.03,5.11
114033,SICUANI,2001,12,134.4,19.94,5.12
114033,SICUANI,2002,1,154.7,19.12,5.72
114033,SICUANI,2002,2,205.2,17.73,6.85
114033,SICUANI,2002,3,145.7,18.59,6.55
114033,SICUANI,2002,4,126.4,18.16,4.33
114033,SICUANI,2002,5,32.9,18.15,0.18
114033,SICUANI,2002,6,0.0,18.09,-1.31
114033,SICUANI,2002,7,26.1,16.05,-0.83
114033,SICUANI,2002,8,4.7,19.0,-0.77
114033,SICUANI,2002,9,37.4,19.71,2.36
114033,SICUANI,2002,10,75.9,19.77,5.03
114033,SICUANI,2002,11,87.3,20.05,5.73
114033,SICUANI,2002,12,141.5,19.52,6.42
114033,SICUANI,2003,1,129.2,18.43,6.74
114033,SICUANI,2003,2,131.8,19.11,6.46
114033,SICUANI,2003,3,160.0,18.59,5.99
114033,SICUANI,2003,4,59.6,19.19,3.26
114033,SICUANI,2003,5,18.7,19.18,0.1
114033,SICUANI,2003,6,6.6,19.37,-3.61
