CODIGO,ESTACION,YEAR,MONTH,PP,TMAX,TMIN
114035,CHUQUIBAMBILLA,1990,1,147.5,16.75,4.01
114035,CHUQUIBAMBILLA,1990,2,97.4,16.77,2.94
114035,CHUQUIBAMBILLA,1990,3,149.6,17.95,1.23
114035,CHUQUIBAMBILLA,1990,4,68.3,17.35,0.02
114035,CHUQUIBAMBILLA,1990,5,8.8,15.97,-5.48
114035,CHUQUIBAMBILLA,1990,6,48.1,12.67,-5.62
114035,CHUQUIBAMBILLA,1990,7,0.0,14.24,-8.86
114035,CHUQUIBAMBILLA,1990,8,0.2,15.37,-6.8
114035,CHUQUIBAMBILLA,1990,9,9.8,16.88,-4.34
114035,CHUQUIBAMBILLA,1990,10,126.9,16.2,-0.46
114035,CHUQUIBAMBILLA,1990,11,70.4,16.34,2.2
114035,CHUQUIBAMBILLA,1990,12,78.4,15.54,-999.0
114035,CHUQUIBAMBILLA,1991,1,191.4,15.0,2.06
114035,CHUQUIBAMBILLA,1991,2,61.4,15.8,1.51
114035,CHUQUIBAMBILLA,1991,3,118.0,-999.0,-999.0
114035,CHUQUIBAMBILLA,1991,4,30.1,17.34,1.78
114035,CHUQUIBAMBILLA,1991,5,28.8,16.3,-4.72
114035,CHUQUIBAMBILLA,1991,6,39.1,14.45,-8.54
114035,CHUQUIBAMBILLA,1991,7,0.0,14.85,-999.0
114035,CHUQUIBAMBILLA,1991,8,0.0,-999.0,-8.64
114035,CHUQUIBAMBILLA,1991,9,1.0,15.14,-3.12
114035,CHUQUIBAMBILLA,1991,10,48.3,-999.0,-999.0
114035,CHUQUIBAMBILLA,1991,11,29.8,-999.0,-999.0
114035,CHUQUIBAMBILLA,1991,12,94.5,17.44,0.77
114035,CHUQUIBAMBILLA,1992,1,109.8,15.44,2.35
114035,CHUQUIBAMBILLA,1992,2,71.1,15.4,1.74
114035,CHUQUIBAMBILLA,1992,3,84.3,16.71,1.86
114035,CHUQUIBAMBILLA,1992,4,35.4,17.84,-0.54
114035,CHUQUIBAMBILLA,1992,5,0.0,18.35,-6.26
114035,CHUQUIBAMBILLA,1992,6,2.4,15.71,-6.93
114035,CHUQUIBAMBILLA,1992,7,0.0,-999.0,-9.06
114035,CHUQUIBAMBILLA,1992,8,41.5,-999.0,-5.49
114035,CHUQUIBAMBILLA,1992,9,0.0,16.89,-4.17
114035,CHUQUIBAMBILLA,1992,10,57.5,-999.0,-0.6
114035,CHUQUIBAMBILLA,1992,11,99.4,16.64,0.52
114035,CHUQUIBAMBILLA,1992,12,90.4,16.42,2.3
114035,CHUQUIBAMBILLA,1993,1,183.4,14.78,2.54
114035,CHUQUIBAMBILLA,1993,2,29.0,16.03,1.83
114035,CHUQUIBAMBILLA,1993,3,182.9,14.21,-999.0
114035,CHUQUIBAMBILLA,1993,4,46.9,15.06,1.48
114035,CHUQUIBAMBILLA,1993,5,0.0,15.35,-3.68
114035,CHUQUIBAMBILLA,1993,6,16.0,15.0,-8.48
114035,CHUQUIBAMBILLA,1993,7,0.0,15.8,-7.29
114035,CHUQUIBAMBILLA,1993,8,28.6,-999.0,-5.85
114035,CHUQUIBAMBILLA,1993,9,9.3,17.63,-2.33
114035,CHUQUIBAMBILLA,1993,10,94.1,18.0,0.1
114035,CHUQUIBAMBILLA,1993,11,162.0,17.93,-999.0
114035,CHUQUIBAMBILLA,1993,12,98.1,17.45,3.52
114035,CHUQUIBAMBILLA,1994,1,209.4,16.37,3.74
114035,CHUQUIBAMBILLA,1994,2,133.1,16.18,-999.0
114035,CHUQUIBAMBILLA,1994,3,139.6,15.73,-999.0
114035,CHUQUIBAMBILLA,1994,4,61.3,15.8,2.76
114035,CHUQUIBAMBILLA,1994,5,0.0,-999.0,-2.79
114035,CHUQUIBAMBILLA,1994,6,0.0,16.18,-7.75
114035,CHUQUIBAMBILLA,1994,7,0.0,17.46,-7.98
114035,CHUQUIBAMBILLA,1994,8,5.8,18.3,-7.77
114035,CHUQUIBAMBILLA,1994,9,6.1,17.84,-1.91
114035,CHUQUIBAMBILLA,1994,10,43.0,19.02,-1.25
114035,CHUQUIBAMBILLA,1994,11,76.3,19.17,2.66
114035,CHUQUIBAMBILLA,1994,12,120.6,18.0,3.88
114035,CHUQUIBAMBILLA,1995,1,119.7,18.12,4.32
114035,CHUQUIBAMBILLA,1995,2,119.7,17.8,2.24
114035,CHUQUIBAMBILLA,1995,3,119.8,15.86,2.82
114035,CHUQUIBAMBILLA,1995,4,15.8,16.61,-0.91
114035,CHUQUIBAMBILLA,1995,5,2.1,16.83,-7.25
114035,CHUQUIBAMBILLA,1995,6,0.0,-999.0,-10.34
114035,CHUQUIBAMBILLA,1995,7,0.0,16.01,-10.27
114035,CHUQUIBAMBILLA,1995,8,0.0,-999.0,-999.0
114035,CHUQUIBAMBILLA,1995,9,2.5,17.22,-4.78
114035,CHUQUIBAMBILLA,1995,10,27.0,18.32,-3.0
114035,CHUQUIBAMBILLA,1995,11,56.7,17.23,-0.92
114035,CHUQUIBAMBILLA,1995,12,123.8,16.48,-0.09
114035,CHUQUIBAMBILLA,1996,1,162.2,14.65,2.24
114035,CHUQUIBAMBILLA,1996,2,112.0,14.91,2.18
114035,CHUQUIBAMBILLA,1996,3,97.8,15.69,1.27
114035,CHUQUIBAMBILLA,1996,4,61.9,15.42,0.6
114035,CHUQUIBAMBILLA,1996,5,1.4,15.21,-4.13
114035,CHUQUIBAMBILLA,1996,6,0.0,14.48,-10.4
114035,CHUQUIBAMBILLA,1996,7,3.4,14.25,-10.59
114035,CHUQUIBAMBILLA,1996,8,5.0,14.13,-999.0
114035,CHUQUIBAMBILLA,1996,9,6.6,15.56,-6.4
114035,CHUQUIBAMBILLA,1996,10,11.8,16.84,-3.35
114035,CHUQUIBAMBILLA,1996,11,57.1,15.2,-0.52
114035,CHUQUIBAMBILLA,1996,12,98.5,15.26,2.08
114035,CHUQUIBAMBILLA,1997,1,205.1,14.35,3.07
114035,CHUQUIBAMBILLA,1997,2,204.3,13.88,2.7
114035,CHUQUIBAMBILLA,1997,3,192.7,13.77,1.74
114035,CHUQUIBAMBILLA,1997,4,63.8,13.83,-2.08
114035,CHUQUIBAMBILLA,1997,5,4.0,15.23,-5.29
114035,CHUQUIBAMBILLA,1997,6,0.0,15.18,-10.67
114035,CHUQUIBAMBILLA,1997,7,0.0,15.21,-9.65
114035,CHUQUIBAMBILLA,1997,8,16.5,13.45,-5.31
114035,CHUQUIBAMBILLA,1997,9,31.0,16.35,-2.55
114035,CHUQUIBAMBILLA,1997,10,35.4,17.74,0.25
114035,CHUQUIBAMBILLA,1997,11,111.6,16.56,1.86
114035,CHUQUIBAMBILLA,1997,12,121.7,17.71,1.93
114035,CHUQUIBAMBILLA,1998,1,128.7,16.82,2.16
114035,CHUQUIBAMBILLA,1998,2,139.1,18.07,3.74
114035,CHUQUIBAMBILLA,1998,3,151.4,17.79,3.44
114035,CHUQUIBAMBILLA,1998,4,22.5,18.15,-0.28
114035,CHUQUIBAMBILLA,1998,5,0.0,-999.0,-8.02
114035,CHUQUIBAMBILLA,1998,6,2.0,-999.0,-7.12
114035,CHUQUIBAMBILLA,1998,7,0.0,16.75,-9.71
114035,CHUQUIBAMBILLA,1998,8,2.0,17.3,-6.11
114035,CHUQUIBAMBILLA,1998,9,8.8,-999.0,-5.43
114035,CHUQUIBAMBILLA,1998,10,72.6,17.43,-0.11
114035,CHUQUIBAMBILLA,1998,11,107.3,16.48,-0.07
114035,CHUQUIBAMBILLA,1998,12,50.9,16.66,0.39
114035,CHUQUIBAMBILLA,1999,1,114.1,15.03,2.21
114035,CHUQUIBAMBILLA,1999,2,162.6,13.7,2.85
114035,CHUQUIBAMBILLA,1999,3,139.9,13.59,2.66
114035,CHUQUIBAMBILLA,1999,4,146.8,13.65,0.48
114035,CHUQUIBAMBILLA,1999,5,9.8,14.32,-4.09
114035,CHUQUIBAMBILLA,1999,6,0.0,-999.0,-10.37
114035,CHUQUIBAMBILLA,1999,7,1.4,13.94,-9.77
114035,CHUQUIBAMBILLA,1999,8,1.7,15.6,-7.4
114035,CHUQUIBAMBILLA,1999,9,20.3,15.67,-4.87
114035,CHUQUIBAMBILLA,1999,10,58.1,15.23,-0.98
114035,CHUQUIBAMBILLA,1999,11,28.0,17.14,-2.67
114035,CHUQUIBAMBILLA,1999,12,94.1,16.4,0.45
114035,CHUQUIBAMBILLA,2000,1,183.4,13.52,2.66
114035,CHUQUIBAMBILLA,2000,2,180.6,13.0,2.17
114035,CHUQUIBAMBILLA,2000,3,120.7,14.17,1.73
114035,CHUQUIBAMBILLA,2000,4,14.4,15.78,-2.02
114035,CHUQUIBAMBILLA,2000,5,17.3,16.0,-6.16
114035,CHUQUIBAMBILLA,2000,6,6.5,14.7,-9.41
114035,CHUQUIBAMBILLA,2000,7,7.0,13.81,-9.53
114035,CHUQUIBAMBILLA,2000,8,5.3,14.95,-6.74
114035,CHUQUIBAMBILLA,2000,9,6.9,16.5,-6.03
114035,CHUQUIBAMBILLA,2000,10,96.0,14.27,-1.61
114035,CHUQUIBAMBILLA,2000,11,17.4,17.95,-3.28
114035,CHUQUIBAMBILLA,2000,12,139.1,14.56,0.52
114035,CHUQUIBAMBILLA,2001,1,238.6,12.84,2.04
114035,CHUQUIBAMBILLA,2001,2,127.3,13.24,3.0
114035,CHUQUIBAMBILLA,2001,3,126.9,13.19,1.94
114035,CHUQUIBAMBILLA,2001,4,25.1,14.92,-0.83
114035,CHUQUIBAMBILLA,2001,5,19.3,14.82,-4.15
114035,CHUQUIBAMBILLA,2001,6,1.2,14.63,-7.2
114035,CHUQUIBAMBILLA,2001,7,4.7,14.25,-8.41
114035,CHUQUIBAMBILLA,2001,8,7.5,14.91,-8.16
114035,CHUQUIBAMBILLA,2001,9,10.8,16.85,-2.8
114035,CHUQUIBAMBILLA,2001,10,40.4,17.32,-1.43
114035,CHUQUIBAMBILLA,2001,11,18.2,18.58,-0.4
114035,CHUQUIBAMBILLA,2001,12,69.9,16.7,1.14
114035,CHUQUIBAMBILLA,2002,1,156.8,15.92,2.4
114035,CHUQUIBAMBILLA,2002,2,175.5,13.5,-999.0
114035,CHUQUIBAMBILLA,2002,3,113.6,14.39,3.29
114035,CHUQUIBAMBILLA,2002,4,105.1,14.36,1.28
114035,CHUQUIBAMBILLA,2002,5,29.2,14.36,-2.84
114035,CHUQUIBAMBILLA,2002,6,2.0,14.31,-6.47
114035,CHUQUIBAMBILLA,2002,7,13.5,12.43,-6.37
114035,CHUQUIBAMBILLA,2002,8,13.6,14.87,-5.84
114035,CHUQUIBAMBILLA,2002,9,22.0,15.87,-2.23
114035,CHUQUIBAMBILLA,2002,10,94.2,16.14,1.44
114035,CHUQUIBAMBILLA,2002,11,102.5,16.28,0.52
114035,CHUQUIBAMBILLA,2002,12,128.0,16.0,2.98
114035,CHUQUIBAMBILLA,2003,1,137.9,15.63,3.6
114035,CHUQUIBAMBILLA,2003,2,154.8,15.54,3.7
114035,CHUQUIBAMBILLA,2003,3,245.0,14.92,3.77
114035,CHUQUIBAMBILLA,2003,4,43.6,15.25,0.83
114035,CHUQUIBAMBILLA,2003,5,4.3,-999.0,-4.22
114035,CHUQUIBAMBILLA,2003,6,3.3,14.21,-10.07
114035,CHUQUIBAMBILLA,2003,7,0.0,14.3,-10.15
114035,CHUQUIBAMBILLA,2003,8,12.6,14.63,-6.68
114035,CHUQUIBAMBILLA,2003,9,23.3,16.07,-4.35
114035,CHUQUIBAMBILLA,2003,10,18.7,17.6,-4.09
114035,CHUQUIBAMBILLA,2003,11,33.6,-999.0,-2.13
114035,CHUQUIBAMBILLA,2003,12,97.6,16.82,0.71
114035,CHUQUIBAMBILLA,2004,1,215.6,13.45,2.88
114035,CHUQUIBAMBILLA,2004,2,137.0,14.58,2.26
114035,CHUQUIBAMBILLA,2004,3,95.7,15.28,1.21
114035,CHUQUIBAMBILLA,2004,4,42.6,14.69,-1.6
114035,CHUQUIBAMBILLA,2004,5,1.1,14.96,-8.68
114035,CHUQUIBAMBILLA,2004,6,2.0,-999.0,-9.72
114035,CHUQUIBAMBILLA,2004,7,3.3,13.73,-10.05
114035,CHUQUIBAMBILLA,2004,8,21.9,14.66,-6.06
114035,CHUQUIBAMBILLA,2004,9,60.6,15.97,-3.09
114035,CHUQUIBAMBILLA,2004,10,13.3,18.0,-0.34
114035,CHUQUIBAMBILLA,2004,11,58.3,18.47,0.43
114035,CHUQUIBAMBILLA,2004,12,142.5,16.41,1.6
114035,CHUQUIBAMBILLA,2005,1,88.1,16.13,2.24
114035,CHUQUIBAMBILLA,2005,2,213.7,15.3,3.64
114035,CHUQUIBAMBILLA,2005,3,97.7,16.35,2.75
114035,CHUQUIBAMBILLA,2005,4,39.0,16.75,0.41
114035,CHUQUIBAMBILLA,2005,5,0.0,16.34,-7.87
114035,CHUQUIBAMBILLA,2005,6,0.0,15.76,-12.12
114035,CHUQUIBAMBILLA,2005,7,0.0,15.92,-8.81
114035,CHUQUIBAMBILLA,2005,8,7.9,16.73,-9.02
114035,CHUQUIBAMBILLA,2005,9,0.0,17.72,-4.03
114035,CHUQUIBAMBILLA,2005,10,118.3,17.06,1.1
114035,CHUQUIBAMBILLA,2005,11,75.7,-999.0,0.98
114035,CHUQUIBAMBILLA,2005,12,97.9,16.5,2.27
114035,CHUQUIBAMBILLA,2006,1,188.8,14.05,2.44
114035,CHUQUIBAMBILLA,2006,2,114.8,15.3,2.36
114035,CHUQUIBAMBILLA,2006,3,-999.0,-999.0,-999.0
114035,CHUQUIBAMBILLA,2006,4,20.5,15.52,0.09
114035,CHUQUIBAMBILLA,2006,5,0.0,15.92,-9.34
114035,CHUQUIBAMBILLA,2006,6,3.2,15.13,-8.51
114035,CHUQUIBAMBILLA,2006,7,0.0,15.21,-11.96
114035,CHUQUIBAMBILLA,2006,8,3.0,16.22,-6.34
114035,CHUQUIBAMBILLA,2006,9,5.6,17.39,-5.58
114035,CHUQUIBAMBILLA,2006,10,48.0,17.39,-1.16
114035,CHUQUIBAMBILLA,2006,11,90.8,16.16,0.55
114035,CHUQUIBAMBILLA,2006,12,208.3,16.45,1.1
114035,CHUQUIBAMBILLA,2007,1,95.6,15.52,2.58
114035,CHUQUIBAMBILLA,2007,2,96.9,15.57,3.0
114035,CHUQUIBAMBILLA,2007,3,130.8,14.05,2.97
114035,CHUQUIBAMBILLA,2007,4,81.9,16.17,1.43
114035,CHUQUIBAMBILLA,2007,5,3.5,15.73,-3.98
114035,CHUQUIBAMBILLA,2007,6,0.0,-999.0,-8.92
114035,CHUQUIBAMBILLA,2007,7,4.6,14.45,-8.92
114035,CHUQUIBAMBILLA,2007,8,0.0,16.62,-8.26
114035,CHUQUIBAMBILLA,2007,9,22.1,16.32,-1.56
114035,CHUQUIBAMBILLA,2007,10,21.1,17.64,-2.55
114035,CHUQUIBAMBILLA,2007,11,67.2,16.56,-1.88
114035,CHUQUIBAMBILLA,2007,12,72.9,15.4,-0.27
114035,CHUQUIBAMBILLA,2008,1,154.5,12.88,2.38
114035,CHUQUIBAMBILLA,2008,2,96.6,17.16,2.76
114035,CHUQUIBAMBILLA,2008,3,44.1,15.38,0.72
114035,CHUQUIBAMBILLA,2008,4,2.9,16.98,-1.18
114035,CHUQUIBAMBILLA,2008,5,2.9,14.44,-10.31
114035,CHUQUIBAMBILLA,2008,6,1.0,14.24,-10.19
114035,CHUQUIBAMBILLA,2008,7,0.0,15.45,-10.74
114035,CHUQUIBAMBILLA,2008,8,2.5,17.85,-8.0
114035,CHUQUIBAMBILLA,2008,9,0.0,18.28,-5.6
114035,CHUQUIBAMBILLA,2008,10,37.8,16.85,-1.14
114035,CHUQUIBAMBILLA,2008,11,47.4,16.46,-2.65
114035,CHUQUIBAMBILLA,2008,12,235.8,13.5,0.73
114035,CHUQUIBAMBILLA,2009,1,114.1,13.94,1.27
114035,CHUQUIBAMBILLA,2009,2,90.4,14.21,2.52
114035,CHUQUIBAMBILLA,2009,3,137.6,15.11,0.9
114035,CHUQUIBAMBILLA,2009,4,65.2,15.28,-1.97
114035,CHUQUIBAMBILLA,2009,5,0.0,15.18,-6.45
114035,CHUQUIBAMBILLA,2009,6,0.0,15.19,-12.48
114035,CHUQUIBAMBILLA,2009,7,0.0,14.38,-9.52
114035,CHUQUIBAMBILLA,2009,8,0.0,17.98,-9.24
114035,CHUQUIBAMBILLA,2009,9,14.4,17.48,-2.52
114035,CHUQUIBAMBILLA,2009,10,19.1,19.44,-1.1
114035,CHUQUIBAMBILLA,2009,11,84.8,17.2,2.63
114035,CHUQUIBAMBILLA,2009,12,131.1,16.46,2.4
114035,CHUQUIBAMBILLA,2010,1,185.7,14.87,3.47
114035,CHUQUIBAMBILLA,2010,2,112.4,15.7,3.76
114035,CHUQUIBAMBILLA,2010,3,139.4,15.76,2.31
114035,CHUQUIBAMBILLA,2010,4,73.0,16.46,0.2
114035,CHUQUIBAMBILLA,2010,5,15.2,-999.0,-5.08
114035,CHUQUIBAMBILLA,2010,6,0.0,15.28,-7.75
114035,CHUQUIBAMBILLA,2010,7,0.0,15.26,-10.66
114035,CHUQUIBAMBILLA,2010,8,0.0,16.7,-9.27
114035,CHUQUIBAMBILLA,2010,9,0.0,17.85,-5.32
114035,CHUQUIBAMBILLA,2010,10,18.4,18.08,-1.11
114035,CHUQUIBAMBILLA,2010,11,58.2,19.34,-0.9
114035,CHUQUIBAMBILLA,2010,12,102.3,16.81,2.79
114035,CHUQUIBAMBILLA,2011,1,122.8,16.88,2.47
114035,CHUQUIBAMBILLA,2011,2,180.7,13.82,3.95
114035,CHUQUIBAMBILLA,2011,3,122.4,14.27,3.79
114035,CHUQUIBAMBILLA,2011,4,72.5,15.52,0.5
114035,CHUQUIBAMBILLA,2011,5,13.5,-999.0,-4.96
114035,CHUQUIBAMBILLA,2011,6,7.8,14.64,-10.9
114035,CHUQUIBAMBILLA,2011,7,9.7,14.41,-8.77
114035,CHUQUIBAMBILLA,2011,8,6.8,17.28,-7.35
114035,CHUQUIBAMBILLA,2011,9,37.2,17.02,-2.31
114035,CHUQUIBAMBILLA,2011,10,31.0,18.53,-2.13
114035,CHUQUIBAMBILLA,2011,11,-999.0,18.67,-1.43
114035,CHUQUIBAMBILLA,2011,12,163.2,15.67,1.16
114035,CHUQUIBAMBILLA,2012,1,171.1,14.62,2.61
114035,CHUQUIBAMBILLA,2012,2,149.6,14.55,3.97
114035,CHUQUIBAMBILLA,2012,3,148.6,-999.0,3.78
114035,CHUQUIBAMBILLA,2012,4,67.4,15.72,2.78
114035,CHUQUIBAMBILLA,2012,5,0.0,16.61,-5.58
114035,CHUQUIBAMBILLA,2012,6,0.0,15.5,-8.9
114035,CHUQUIBAMBILLA,2012,7,0.0,16.98,-9.93
114035,CHUQUIBAMBILLA,2012,8,0.0,17.85,-9.85
114035,CHUQUIBAMBILLA,2012,9,11.9,18.08,-6.15
114035,CHUQUIBAMBILLA,2012,10,22.6,19.67,-1.47
114035,CHUQUIBAMBILLA,2012,11,86.9,18.62,0.02
114035,CHUQUIBAMBILLA,2012,12,174.6,15.95,3.82
114035,CHUQUIBAMBILLA,2013,1,211.3,15.16,3.08
114035,CHUQUIBAMBILLA,2013,2,173.4,15.26,4.25
114035,CHUQUIBAMBILLA,2013,3,129.9,16.32,3.34
114035,CHUQUIBAMBILLA,2013,4,36.3,17.54,-1.77
114035,CHUQUIBAMBILLA,2013,5,3.6,17.28,-3.09
114035,CHUQUIBAMBILLA,2013,6,16.0,15.36,-6.43
114035,CHUQUIBAMBILLA,2013,7,6.7,16.28,-6.34
114035,CHUQUIBAMBILLA,2013,8,7.4,-999.0,-6.73
114035,CHUQUIBAMBILLA,2013,9,5.3,19.31,-6.63
114035,CHUQUIBAMBILLA,2013,10,57.3,18.11,-1.15
114035,CHUQUIBAMBILLA,2013,11,44.6,18.73,-0.83
114035,CHUQUIBAMBILLA,2013,12,214.7,16.6,2.97
114035,CHUQUIBAMBILLA,2014,1,152.0,16.03,3.11
114035,CHUQUIBAMBILLA,2014,2,169.1,-999.0,2.9
114035,CHUQUIBAMBILLA,2014,3,107.3,-999.0,1.96
114035,CHUQUIBAMBILLA,2014,4,41.4,17.85,-0.12
114035,CHUQUIBAMBILLA,2014,5,2.4,-999.0,-5.94
114035,CHUQUIBAMBILLA,2014,6,0.0,-999.0,-8.48
114035,CHUQUIBAMBILLA,2014,7,1.1,16.39,-7.81
114035,CHUQUIBAMBILLA,2014,8,34.2,16.61,-999.0
114035,CHUQUIBAMBILLA,2014,9,38.3,17.88,0.0
114035,CHUQUIBAMBILLA,2014,10,102.9,17.79,-0.61
114035,CHUQUIBAMBILLA,2014,11,78.9,19.32,-1.03
114035,CHUQUIBAMBILLA,2014,12,211.5,17.32,2.16
114035,CHUQUIBAMBILLA,2015,1,233.7,14.63,2.92
114035,CHUQUIBAMBILLA,2015,2,81.3,15.93,3.66
114035,CHUQUIBAMBILLA,2015,3,127.8,16.26,3.42
114035,CHUQUIBAMBILLA,2015,4,91.6,15.17,2.66
114035,CHUQUIBAMBILLA,2015,5,4.2,16.39,-3.11
114035,CHUQUIBAMBILLA,2015,6,0.0,17.4,-7.97
114035,CHUQUIBAMBILLA,2015,7,4.5,16.58,-10.08
114035,CHUQUIBAMBILLA,2015,8,5.5,17.11,-7.66
114035,CHUQUIBAMBILLA,2015,9,40.0,18.16,-3.1
114035,CHUQUIBAMBILLA,2015,10,40.5,17.16,-3.76
114035,CHUQUIBAMBILLA,2015,11,40.9,18.78,-0.64
114035,CHUQUIBAMBILLA,2015,12,170.2,17.21,0.95
114035,CHUQUIBAMBILLA,2016,1,135.1,17.3,1.98
114035,CHUQUIBAMBILLA,2016,2,172.3,16.72,4.73
114035,CHUQUIBAMBILLA,2016,3,109.9,18.55,2.15
114035,CHUQUIBAMBILLA,2016,4,136.0,16.98,1.08
114035,CHUQUIBAMBILLA,2016,5,-999.0,17.73,-6.35
114035,CHUQUIBAMBILLA,2016,6,0.0,17.28,-9.7
114035,CHUQUIBAMBILLA,2016,7,6.6,16.24,-9.45
114035,CHUQUIBAMBILLA,2016,8,13.1,17.98,-7.76
114035,CHUQUIBAMBILLA,2016,9,25.6,18.97,-4.93
114035,CHUQUIBAMBILLA,2016,10,70.5,18.13,0.9
114035,CHUQUIBAMBILLA,2016,11,47.6,19.0,-2.03
114035,CHUQUIBAMBILLA,2016,12,100.2,17.68,1.0
114035,CHUQUIBAMBILLA,2017,1,137.9,15.63,2.52
114035,CHUQUIBAMBILLA,2017,2,100.5,17.1,2.02
114035,CHUQUIBAMBILLA,2017,3,154.1,15.35,2.76
114035,CHUQUIBAMBILLA,2017,4,35.8,16.08,0.8
114035,CHUQUIBAMBILLA,2017,5,32.2,15.96,-1.68
114035,CHUQUIBAMBILLA,2017,6,0.0,17.41,-7.98
114035,CHUQUIBAMBILLA,2017,7,3.1,17.63,-9.6
114035,CHUQUIBAMBILLA,2017,8,0.0,18.28,-8.64
114035,CHUQUIBAMBILLA,2017,9,55.6,18.03,-0.68
114035,CHUQUIBAMBILLA,2017,10,42.2,19.3,-1.87
114035,CHUQUIBAMBILLA,2017,11,80.1,18.79,-0.55
114035,CHUQUIBAMBILLA,2017,12,95.5,17.07,1.76
114035,CHUQUIBAMBILLA,2018,1,131.1,15.59,2.97
114035,CHUQUIBAMBILLA,2018,2,147.4,15.84,3.79
114035,CHUQUIBAMBILLA,2018,3,167.5,15.25,3.34
114035,CHUQUIBAMBILLA,2018,4,22.1,17.27,-1.45
114035,CHUQUIBAMBILLA,2018,5,0.0,17.7,-6.27
114035,CHUQUIBAMBILLA,2018,6,41.0,15.69,-6.25
114035,CHUQUIBAMBILLA,2018,7,27.4,15.18,-8.61
114035,CHUQUIBAMBILLA,2018,8,41.3,15.33,-5.71
114035,CHUQUIBAMBILLA,2018,9,11.7,18.19,-5.77
114035,CHUQUIBAMBILLA,2018,10,78.3,16.73,-0.71
114035,CHUQUIBAMBILLA,2018,11,99.8,18.16,0.38
114035,CHUQUIBAMBILLA,2018,12,53.3,18.56,1.31
114035,CHUQUIBAMBILLA,2019,1,203.8,18.41,4.53
114035,CHUQUIBAMBILLA,2019,2,213.7,17.31,5.64
114035,CHUQUIBAMBILLA,2019,3,111.1,17.07,4.47
114035,CHUQUIBAMBILLA,2019,4,53.6,17.66,2.73
114035,CHUQUIBAMBILLA,2019,5,18.9,18.24,-2.81
114035,CHUQUIBAMBILLA,2019,6,0.0,16.59,-9.03
114035,CHUQUIBAMBILLA,2019,7,0.0,15.54,-10.06
114035,CHUQUIBAMBILLA,2019,8,0.0,17.79,-9.66
114035,CHUQUIBAMBILLA,2019,9,5.5,18.85,-3.52
114035,CHUQUIBAMBILLA,2019,10,31.4,17.61,-3.94
114035,CHUQUIBAMBILLA,2019,11,115.5,17.92,1.63
114035,CHUQUIBAMBILLA,2019,12,141.6,16.74,2.29
114035,CHUQUIBAMBILLA,2020,1,248.7,16.19,3.53
114035,CHUQUIBAMBILLA,2020,2,200.8,16.17,4.8
114035,CHUQUIBAMBILLA,2020,3,-999.0,-999.0,-999.0
114035,CHUQUIBAMBILLA,2020,4,-999.0,-999.0,-999.0
114035,CHUQUIBAMBILLA,2020,5,-999.0,-999.0,-999.0
114035,CHUQUIBAMBILLA,2020,6,-999.0,-999.0,-999.0
114035,CHUQUIBAMBILLA,2020,7,-999.0,-999.0,-999.0
114035,CHUQUIBAMBILLA,2020,8,-999.0,-999.0,-999.0
114035,CHUQUIBAMBILLA,2020,9,-999.0,-999.0,-999.0
114035,CHUQUIBAMBILLA,2020,10,-999.0,-999.0,-999.0
114035,CHUQUIBAMBILLA,2020,11,-999.0,-999.0,-999.0
114035,CHUQUIBAMBILLA,2020,12,-999.0,-999.0,-999.0
114035,CHUQUIBAMBILLA,2021,1,170.5,15.7,2.45
114035,CHUQUIBAMBILLA,2021,2,114.4,15.31,1.98
114035,CHUQUIBAMBILLA,2021,3,147.9,15.01,1.79
114035,CHUQUIBAMBILLA,2021,4,91.6,15.42,-0.4
114035,CHUQUIBAMBILLA,2021,5,0.0,15.34,-5.4
114035,CHUQUIBAMBILLA,2021,6,0.0,15.84,-7.68
114035,CHUQUIBAMBILLA,2021,7,0.0,17.3,-8.06
114035,CHUQUIBAMBILLA,2021,8,0.0,17.88,-6.46
114035,CHUQUIBAMBILLA,2021,9,32.0,19.22,-1.97
114035,CHUQUIBAMBILLA,2021,10,44.3,19.59,-1.26
114035,CHUQUIBAMBILLA,2021,11,55.5,18.9,0.55
114035,CHUQUIBAMBILLA,2021,12,195.4,16.08,3.59
114035,CHUQUIBAMBILLA,2022,1,158.2,15.31,3.44
114035,CHUQUIBAMBILLA,2022,2,85.9,15.71,3.98
114035,CHUQUIBAMBILLA,2022,3,113.5,16.14,3.64
114035,CHUQUIBAMBILLA,2022,4,21.1,17.22,-1.15
114035,CHUQUIBAMBILLA,2022,5,0.0,17.01,-5.9
114035,CHUQUIBAMBILLA,2022,6,0.0,16.0,-9.28
114035,CHUQUIBAMBILLA,2022,7,0.0,17.31,-9.71
114035,CHUQUIBAMBILLA,2022,8,4.8,17.81,-7.16
114035,CHUQUIBAMBILLA,2022,9,0.0,19.43,-5.02
114035,CHUQUIBAMBILLA,2022,10,0.0,20.46,-5.45
114035,CHUQUIBAMBILLA,2022,11,0.0,21.1,-3.7
114035,CHUQUIBAMBILLA,2022,12,124.7,18.5,1.02
114035,CHUQUIBAMBILLA,2023,1,66.4,18.07,1.62
