CODIGO,ESTACION,YEAR,MONTH,PP,TMAX,TMIN
114038,AYAVIRI,1990,1,190.2,15.75,2.65
114038,AYAVIRI,1990,2,111.1,16.94,0.89
114038,AYAVIRI,1990,3,38.6,16.85,0.37
114038,AYAVIRI,1990,4,32.4,17.16,-1.29
114038,AYAVIRI,1990,5,3.8,17.06,-4.75
114038,AYAVIRI,1990,6,33.5,14.11,-5.22
114038,AYAVIRI,1990,7,0.0,14.82,-7.5
114038,AYAVIRI,1990,8,3.5,16.17,-6.38
114038,AYAVIRI,1990,9,15.0,17.33,-3.41
114038,AYAVIRI,1990,10,87.1,17.45,0.62
114038,AYAVIRI,1990,11,71.7,17.07,2.4
114038,AYAVIRI,1990,12,78.3,15.81,1.26
114038,AYAVIRI,1991,1,163.5,16.56,1.83
114038,AYAVIRI,1991,2,95.9,16.31,1.2
114038,AYAVIRI,1991,3,109.8,15.83,2.16
114038,AYAVIRI,1991,4,27.6,16.34,-0.81
114038,AYAVIRI,1991,5,29.6,15.93,-5.67
114038,AYAVIRI,1991,6,35.8,14.44,-7.87
114038,AYAVIRI,1991,7,0.6,14.83,-9.49
114038,AYAVIRI,1991,8,2.9,16.75,-7.07
114038,AYAVIRI,1991,9,13.6,17.7,-1.86
114038,AYAVIRI,1991,10,48.8,17.36,-0.99
114038,AYAVIRI,1991,11,33.2,16.59,0.42
114038,AYAVIRI,1991,12,85.4,16.83,1.8
114038,AYAVIRI,1992,1,109.8,15.15,2.71
114038,AYAVIRI,1992,2,79.3,16.45,2.52
114038,AYAVIRI,1992,3,45.3,17.25,1.39
114038,AYAVIRI,1992,4,27.4,17.73,-1.38
114038,AYAVIRI,1992,5,0.0,17.81,-4.96
114038,AYAVIRI,1992,6,10.2,15.61,-5.5
114038,AYAVIRI,1992,7,0.0,14.59,-7.54
114038,AYAVIRI,1992,8,49.0,13.87,-4.75
114038,AYAVIRI,1992,9,1.1,17.19,-2.96
114038,AYAVIRI,1992,10,54.4,16.91,-0.26
114038,AYAVIRI,1992,11,61.0,15.93,0.9
114038,AYAVIRI,1992,12,43.8,16.08,2.22
114038,AYAVIRI,1993,1,206.6,14.06,2.54
114038,AYAVIRI,1993,2,68.0,15.53,2.0
114038,AYAVIRI,1993,3,120.0,14.22,2.54
114038,AYAVIRI,1993,4,26.6,15.1,0.92
114038,AYAVIRI,1993,5,0.3,16.01,-3.32
114038,AYAVIRI,1993,6,10.8,14.79,-8.34
114038,AYAVIRI,1993,7,0.3,15.3,-6.2
114038,AYAVIRI,1993,8,23.7,15.34,-5.34
114038,AYAVIRI,1993,9,40.8,16.71,-1.29
114038,AYAVIRI,1993,10,84.1,16.73,1.22
114038,AYAVIRI,1993,11,83.0,16.58,2.64
114038,AYAVIRI,1993,12,78.8,15.35,3.32
114038,AYAVIRI,1994,1,113.5,14.85,2.84
114038,AYAVIRI,1994,2,81.9,14.77,3.2
114038,AYAVIRI,1994,3,144.6,14.42,1.79
114038,AYAVIRI,1994,4,69.9,15.18,1.99
114038,AYAVIRI,1994,5,4.7,15.91,-3.78
114038,AYAVIRI,1994,6,0.0,14.97,-8.3
114038,AYAVIRI,1994,7,0.0,15.86,-8.12
114038,AYAVIRI,1994,8,7.5,17.14,-7.25
114038,AYAVIRI,1994,9,4.1,17.55,-1.41
114038,AYAVIRI,1994,10,16.7,18.61,-0.73
114038,AYAVIRI,1994,11,65.5,18.33,2.09
114038,AYAVIRI,1994,12,99.8,16.64,3.25
114038,AYAVIRI,1995,1,96.3,16.56,3.42
114038,AYAVIRI,1995,2,98.4,17.41,2.93
114038,AYAVIRI,1995,3,132.5,15.85,3.87
114038,AYAVIRI,1995,4,44.9,17.41,-0.44
114038,AYAVIRI,1995,5,0.5,17.85,-5.61
114038,AYAVIRI,1995,6,0.0,16.28,-8.04
114038,AYAVIRI,1995,7,0.0,17.48,-7.4
114038,AYAVIRI,1995,8,0.0,19.25,-6.06
114038,AYAVIRI,1995,9,5.1,19.51,-1.81
114038,AYAVIRI,1995,10,15.1,19.5,-0.06
114038,AYAVIRI,1995,11,70.5,18.43,1.75
114038,AYAVIRI,1995,12,104.1,16.26,1.55
114038,AYAVIRI,1996,1,181.6,15.89,3.02
114038,AYAVIRI,1996,2,122.9,15.06,3.43
114038,AYAVIRI,1996,3,61.0,16.43,2.41
114038,AYAVIRI,1996,4,19.8,16.36,0.8
114038,AYAVIRI,1996,5,6.2,15.8,-3.31
114038,AYAVIRI,1996,6,0.0,14.87,-8.01
114038,AYAVIRI,1996,7,0.0,15.32,-8.09
114038,AYAVIRI,1996,8,4.1,15.89,-3.97
