CODIGO,ESTACION,YEAR,MONTH,PP,TMAX,TMIN
114043,TAMBOPATA,1990,1,305.5,26.85,16.17
114043,TAMBOPATA,1990,2,268.5,27.09,15.68
114043,TAMBOPATA,1990,3,72.1,28.23,16.13
114043,TAMBOPATA,1990,4,101.1,26.52,16.31
114043,TAMBOPATA,1990,5,78.0,24.99,15.04
114043,TAMBOPATA,1990,6,171.8,22.97,14.5
114043,TAMBOPATA,1990,7,52.3,22.43,13.23
114043,TAMBOPATA,1990,8,86.4,25.44,12.8
114043,TAMBOPATA,1990,9,93.9,25.24,14.11
114043,TAMBOPATA,1990,10,121.0,27.34,15.72
114043,TAMBOPATA,1990,11,116.5,26.49,16.7
114043,TAMBOPATA,1990,12,264.2,26.7,16.32
114043,TAMBOPATA,1991,1,237.0,26.32,16.99
114043,TAMBOPATA,1991,2,146.2,26.52,17.15
114043,TAMBOPATA,1991,3,120.7,25.95,17.01
114043,TAMBOPATA,1991,4,85.5,26.83,16.69
114043,TAMBOPATA,1991,5,19.6,25.74,-999.0
114043,TAMBOPATA,1991,6,82.3,23.57,14.97
114043,TAMBOPATA,1991,7,3.8,24.78,11.75
114043,TAMBOPATA,1991,8,31.7,24.34,13.38
114043,TAMBOPATA,1991,9,30.7,26.83,13.94
114043,TAMBOPATA,1991,10,197.4,26.3,15.49
114043,TAMBOPATA,1991,11,228.9,26.06,16.59
114043,TAMBOPATA,1991,12,149.8,26.97,16.78
114043,TAMBOPATA,1992,1,248.4,26.23,16.52
114043,TAMBOPATA,1992,2,162.6,26.23,16.66
114043,TAMBOPATA,1992,3,211.9,25.95,16.75
114043,TAMBOPATA,1992,4,138.7,25.07,16.84
114043,TAMBOPATA,1992,5,82.1,25.41,16.9
114043,TAMBOPATA,1992,6,61.1,23.46,16.05
114043,TAMBOPATA,1992,7,38.1,23.47,13.31
114043,TAMBOPATA,1992,8,191.3,23.28,13.75
114043,TAMBOPATA,1992,9,139.6,23.91,15.09
114043,TAMBOPATA,1992,10,103.5,25.29,15.75
114043,TAMBOPATA,1992,11,122.7,25.66,16.01
