CODIGO,ESTACION,YEAR,MONTH,PP,TMAX,TMIN
114093,PUTINA,1990,1,179.0,-999.0,-999.0
114093,PUTINA,1990,2,60.1,-999.0,-999.0
114093,PUTINA,1990,3,75.9,-999.0,-999.0
114093,PUTINA,1990,4,25.7,-999.0,-999.0
114093,PUTINA,1990,5,5.8,-999.0,-999.0
114093,PUTINA,1990,6,61.0,-999.0,-999.0
114093,PUTINA,1990,7,0.0,-999.0,-999.0
114093,PUTINA,1990,8,1.8,-999.0,-999.0
114093,PUTINA,1990,9,17.3,-999.0,-999.0
114093,PUTINA,1990,10,109.0,-999.0,-999.0
114093,PUTINA,1990,11,84.0,-999.0,-999.0
114093,PUTINA,1990,12,114.2,-999.0,-999.0
114093,PUTINA,1991,1,164.8,-999.0,-999.0
114093,PUTINA,1991,2,106.1,-999.0,-999.0
114093,PUTINA,1991,3,134.9,-999.0,-999.0
114093,PUTINA,1991,4,51.0,-999.0,-999.0
114093,PUTINA,1991,5,5.7,-999.0,-999.0
114093,PUTINA,1991,6,45.0,-999.0,-999.0
114093,PUTINA,1991,7,9.8,-999.0,-999.0
114093,PUTINA,1991,8,0.8,-999.0,-999.0
114093,PUTINA,1991,9,14.9,-999.0,-999.0
114093,PUTINA,1991,10,24.8,-999.0,-999.0
114093,PUTINA,1991,11,64.7,-999.0,-999.0
114093,PUTINA,1991,12,108.7,-999.0,-999.0
114093,PUTINA,1992,1,153.6,-999.0,-999.0
114093,PUTINA,1992,2,54.3,-999.0,-999.0
114093,PUTINA,1992,3,53.4,-999.0,-999.0
114093,PUTINA,1992,4,25.2,-999.0,-999.0
114093,PUTINA,1992,5,0.0,-999.0,-999.0
114093,PUTINA,1992,6,1.2,-999.0,-999.0
114093,PUTINA,1992,7,4.0,-999.0,-999.0
114093,PUTINA,1992,8,72.5,-999.0,-999.0
114093,PUTINA,1992,9,20.5,-999.0,-999.0
114093,PUTINA,1992,10,44.5,-999.0,-999.0
114093,PUTINA,1992,11,66.3,-999.0,-999.0
114093,PUTINA,1992,12,123.7,-999.0,-999.0
114093,PUTINA,1993,1,174.4,-999.0,-999.0
114093,PUTINA,1993,2,67.1,-999.0,-999.0
114093,PUTINA,1993,3,75.3,-999.0,-999.0
114093,PUTINA,1993,4,99.8,-999.0,-999.0
114093,PUTINA,1993,5,11.4,-999.0,-999.0
114093,PUTINA,1993,6,0.0,-999.0,-999.0
114093,PUTINA,1993,7,2.1,-999.0,-999.0
114093,PUTINA,1993,8,17.0,-999.0,-999.0
114093,PUTINA,1993,9,24.2,-999.0,-999.0
114093,PUTINA,1993,10,67.3,-999.0,-999.0
114093,PUTINA,1993,11,114.2,-999.0,-999.0
114093,PUTINA,1993,12,124.2,-999.0,-999.0
114093,PUTINA,1994,1,170.8,-999.0,-999.0
114093,PUTINA,1994,2,112.6,-999.0,-999.0
114093,PUTINA,1994,3,113.7,-999.0,-999.0
114093,PUTINA,1994,4,72.4,-999.0,-999.0
114093,PUTINA,1994,5,17.8,-999.0,-999.0
114093,PUTINA,1994,6,5.2,-999.0,-999.0
114093,PUTINA,1994,7,0.0,-999.0,-999.0
114093,PUTINA,1994,8,0.0,-999.0,-999.0
