CODIGO,ESTACION,YEAR,MONTH,PP,TMAX,TMIN
115017,PAUZA,1990,1,-999.0,-999.0,-999.0
115017,PAUZA,1990,2,-999.0,-999.0,-999.0
115017,PAUZA,1990,3,-999.0,-999.0,-999.0
115017,PAUZA,1990,4,-999.0,-999.0,-999.0
115017,PAUZA,1990,5,-999.0,-999.0,-999.0
115017,PAUZA,1990,6,-999.0,-999.0,-999.0
115017,PAUZA,1990,7,-999.0,-999.0,-999.0
115017,PAUZA,1990,8,-999.0,-999.0,-999.0
115017,PAUZA,1990,9,-999.0,-999.0,-999.0
115017,PAUZA,1990,10,-999.0,-999.0,-999.0
115017,PAUZA,1990,11,-999.0,-999.0,-999.0
115017,PAUZA,1990,12,-999.0,-999.0,-999.0
115017,PAUZA,1991,1,-999.0,-999.0,-999.0
115017,PAUZA,1991,2,-999.0,-999.0,-999.0
115017,PAUZA,1991,3,-999.0,-999.0,-999.0
115017,PAUZA,1991,4,-999.0,-999.0,-999.0
115017,PAUZA,1991,5,-999.0,-999.0,-999.0
115017,PAUZA,1991,6,-999.0,-999.0,-999.0
115017,PAUZA,1991,7,-999.0,-999.0,-999.0
115017,PAUZA,1991,8,-999.0,-999.0,-999.0
115017,PAUZA,1991,9,-999.0,-999.0,-999.0
115017,PAUZA,1991,10,-999.0,-999.0,-999.0
115017,PAUZA,1991,11,-999.0,-999.0,-999.0
115017,PAUZA,1991,12,-999.0,-999.0,-999.0
115017,PAUZA,1992,1,-999.0,-999.0,-999.0
115017,PAUZA,1992,2,-999.0,-999.0,-999.0
115017,PAUZA,1992,3,-999.0,-999.0,-999.0
115017,PAUZA,1992,4,-999.0,-999.0,-999.0
115017,PAUZA,1992,5,-999.0,-999.0,-999.0
115017,PAUZA,1992,6,-999.0,-999.0,-999.0
115017,PAUZA,1992,7,-999.0,-999.0,-999.0
115017,PAUZA,1992,8,-999.0,-999.0,-999.0
115017,PAUZA,1992,9,-999.0,-999.0,-999.0
115017,PAUZA,1992,10,-999.0,-999.0,-999.0
115017,PAUZA,1992,11,-999.0,-999.0,-999.0
115017,PAUZA,1992,12,-999.0,-999.0,-999.0
115017,PAUZA,1993,1,-999.0,23.08,9.32
115017,PAUZA,1993,2,-999.0,20.65,9.04
115017,PAUZA,1993,3,-999.0,22.26,9.15
115017,PAUZA,1993,4,-999.0,22.98,8.95
115017,PAUZA,1993,5,-999.0,22.03,6.98
115017,PAUZA,1993,6,-999.0,22.66,6.33
115017,PAUZA,1993,7,-999.0,22.13,6.62
115017,PAUZA,1993,8,-999.0,20.97,6.72
115017,PAUZA,1993,9,-999.0,23.27,8.5
115017,PAUZA,1993,10,-999.0,23.26,9.8
115017,PAUZA,1993,11,-999.0,23.85,10.07
115017,PAUZA,1993,12,-999.0,23.19,10.21
115017,PAUZA,1994,1,-999.0,23.56,10.82
115017,PAUZA,1994,2,-999.0,22.64,11.28
115017,PAUZA,1994,3,-999.0,22.71,7.99
115017,PAUZA,1994,4,-999.0,22.49,10.78
115017,PAUZA,1994,5,-999.0,24.02,12.94
115017,PAUZA,1994,6,-999.0,22.72,12.27
115017,PAUZA,1994,7,-999.0,22.09,8.71
115017,PAUZA,1994,8,-999.0,23.29,8.38
115017,PAUZA,1994,9,-999.0,24.28,8.91
115017,PAUZA,1994,10,-999.0,24.45,7.87
115017,PAUZA,1994,11,-999.0,24.05,9.09
115017,PAUZA,1994,12,-999.0,23.57,9.81
115017,PAUZA,1995,1,-999.0,23.15,9.69
115017,PAUZA,1995,2,-999.0,23.07,9.55
115017,PAUZA,1995,3,-999.0,23.21,8.95
115017,PAUZA,1995,4,-999.0,23.38,8.67
115017,PAUZA,1995,5,-999.0,23.11,7.6
115017,PAUZA,1995,6,-999.0,23.08,6.64
115017,PAUZA,1995,7,-999.0,22.46,6.56
115017,PAUZA,1995,8,-999.0,22.26,7.29
115017,PAUZA,1995,9,-999.0,22.58,8.71
115017,PAUZA,1995,10,-999.0,23.28,-999.0
115017,PAUZA,1995,11,-999.0,23.67,9.67
115017,PAUZA,1995,12,-999.0,-999.0,9.13
115017,PAUZA,1996,1,-999.0,22.76,9.19
115017,PAUZA,1996,2,-999.0,21.21,9.28
115017,PAUZA,1996,3,-999.0,-999.0,9.17
115017,PAUZA,1996,4,-999.0,22.3,9.29
115017,PAUZA,1996,5,-999.0,23.0,7.02
115017,PAUZA,1996,6,-999.0,21.65,-999.0
115017,PAUZA,1996,7,-999.0,21.4,5.64
115017,PAUZA,1996,8,-999.0,22.02,7.49
115017,PAUZA,1996,9,-999.0,23.04,8.46
115017,PAUZA,1996,10,-999.0,23.22,7.96
115017,PAUZA,1996,11,-999.0,23.55,8.88
115017,PAUZA,1996,12,-999.0,23.0,9.36
115017,PAUZA,1997,1,-999.0,20.48,9.8
115017,PAUZA,1997,2,-999.0,-999.0,10.2
115017,PAUZA,1997,3,-999.0,21.02,9.44
115017,PAUZA,1997,4,-999.0,22.58,8.89
115017,PAUZA,1997,5,-999.0,22.79,7.15
