CODIGO,ESTACION,YEAR,MONTH,PP,TMAX,TMIN
115019,COTAHUASI,1990,1,-999.0,-999.0,-999.0
115019,COTAHUASI,1990,2,-999.0,-999.0,-999.0
115019,COTAHUASI,1990,3,-999.0,-999.0,-999.0
115019,COTAHUASI,1990,4,-999.0,-999.0,-999.0
115019,COTAHUASI,1990,5,-999.0,-999.0,-999.0
115019,COTAHUASI,1990,6,-999.0,-999.0,-999.0
115019,COTAHUASI,1990,7,-999.0,-999.0,-999.0
115019,COTAHUASI,1990,8,-999.0,-999.0,-999.0
115019,COTAHUASI,1990,9,-999.0,-999.0,-999.0
115019,COTAHUASI,1990,10,-999.0,-999.0,-999.0
115019,COTAHUASI,1990,11,-999.0,-999.0,-999.0
115019,COTAHUASI,1990,12,-999.0,-999.0,-999.0
115019,COTAHUASI,1991,1,-999.0,-999.0,-999.0
115019,COTAHUASI,1991,2,-999.0,-999.0,-999.0
115019,COTAHUASI,1991,3,-999.0,-999.0,-999.0
115019,COTAHUASI,1991,4,-999.0,-999.0,-999.0
115019,COTAHUASI,1991,5,-999.0,-999.0,-999.0
115019,COTAHUASI,1991,6,-999.0,-999.0,-999.0
115019,COTAHUASI,1991,7,-999.0,-999.0,-999.0
115019,COTAHUASI,1991,8,-999.0,-999.0,-999.0
115019,COTAHUASI,1991,9,-999.0,-999.0,-999.0
115019,COTAHUASI,1991,10,-999.0,-999.0,-999.0
115019,COTAHUASI,1991,11,-999.0,-999.0,-999.0
115019,COTAHUASI,1991,12,-999.0,-999.0,-999.0
115019,COTAHUASI,1992,1,-999.0,-999.0,-999.0
115019,COTAHUASI,1992,2,-999.0,-999.0,-999.0
115019,COTAHUASI,1992,3,-999.0,-999.0,-999.0
115019,COTAHUASI,1992,4,-999.0,23.74,-999.0
115019,COTAHUASI,1992,5,-999.0,-999.0,-999.0
115019,COTAHUASI,1992,6,0.0,23.33,-999.0
115019,COTAHUASI,1992,7,0.0,-999.0,-999.0
115019,COTAHUASI,1992,8,5.5,-999.0,-999.0
115019,COTAHUASI,1992,9,0.0,-999.0,-999.0
115019,COTAHUASI,1992,10,8.4,21.86,-999.0
115019,COTAHUASI,1992,11,0.0,22.89,-999.0
115019,COTAHUASI,1992,12,-999.0,-999.0,-999.0
115019,COTAHUASI,1993,1,-999.0,-999.0,-999.0
115019,COTAHUASI,1993,2,-999.0,-999.0,-999.0
115019,COTAHUASI,1993,3,-999.0,-999.0,-999.0
115019,COTAHUASI,1993,4,-999.0,-999.0,-999.0
115019,COTAHUASI,1993,5,-999.0,22.26,-999.0
115019,COTAHUASI,1993,6,-999.0,-999.0,-999.0
115019,COTAHUASI,1993,7,-999.0,22.01,-999.0
115019,COTAHUASI,1993,8,-999.0,22.05,-999.0
115019,COTAHUASI,1993,9,-999.0,23.17,-999.0
115019,COTAHUASI,1993,10,-999.0,-999.0,-999.0
115019,COTAHUASI,1993,11,-999.0,23.08,-999.0
115019,COTAHUASI,1993,12,-999.0,-999.0,-999.0
115019,COTAHUASI,1994,1,-999.0,22.22,-999.0
115019,COTAHUASI,1994,2,-999.0,21.69,-999.0
115019,COTAHUASI,1994,3,-999.0,23.12,-999.0
115019,COTAHUASI,1994,4,-999.0,22.9,-999.0
115019,COTAHUASI,1994,5,-999.0,23.79,-999.0
115019,COTAHUASI,1994,6,-999.0,22.82,-999.0
115019,COTAHUASI,1994,7,-999.0,22.08,-999.0
115019,COTAHUASI,1994,8,-999.0,22.9,-999.0
115019,COTAHUASI,1994,9,-999.0,23.74,-999.0
