CODIGO,ESTACION,YEAR,MONTH,PP,TMAX,TMIN
115027,PAMPAHUTA,1990,1,160.5,13.74,-0.73
115027,PAMPAHUTA,1990,2,67.1,14.48,-2.56
115027,PAMPAHUTA,1990,3,59.9,14.58,-2.87
115027,PAMPAHUTA,1990,4,36.8,15.58,-4.42
115027,PAMPAHUTA,1990,5,7.1,15.27,-8.76
115027,PAMPAHUTA,1990,6,31.5,10.73,-6.95
115027,PAMPAHUTA,1990,7,0.0,13.45,-12.43
115027,PAMPAHUTA,1990,8,7.5,14.54,-10.38
115027,PAMPAHUTA,1990,9,4.1,16.15,-10.33
115027,PAMPAHUTA,1990,10,93.5,16.52,-3.27
115027,PAMPAHUTA,1990,11,116.7,15.44,-1.32
115027,PAMPAHUTA,1990,12,91.4,14.77,-0.87
115027,PAMPAHUTA,1991,1,205.6,14.35,-0.75
115027,PAMPAHUTA,1991,2,119.3,14.87,-0.63
115027,PAMPAHUTA,1991,3,146.2,13.73,-0.25
115027,PAMPAHUTA,1991,4,58.3,13.91,-2.74
115027,PAMPAHUTA,1991,5,5.8,14.63,-8.41
115027,PAMPAHUTA,1991,6,31.1,12.08,-10.58
115027,PAMPAHUTA,1991,7,3.1,13.66,-13.16
115027,PAMPAHUTA,1991,8,0.0,15.79,-12.53
115027,PAMPAHUTA,1991,9,21.2,15.47,-7.56
115027,PAMPAHUTA,1991,10,29.4,16.68,-7.37
115027,PAMPAHUTA,1991,11,28.6,16.17,-5.35
115027,PAMPAHUTA,1991,12,102.4,15.45,-4.31
115027,PAMPAHUTA,1992,1,96.5,13.63,-1.37
115027,PAMPAHUTA,1992,2,142.3,15.06,-2.18
115027,PAMPAHUTA,1992,3,26.2,16.54,-3.6
115027,PAMPAHUTA,1992,4,9.4,17.2,-7.65
115027,PAMPAHUTA,1992,5,0.0,-999.0,-10.85
115027,PAMPAHUTA,1992,6,2.2,14.76,-11.06
115027,PAMPAHUTA,1992,7,0.0,14.02,-12.95
115027,PAMPAHUTA,1992,8,51.5,12.08,-10.83
115027,PAMPAHUTA,1992,9,0.0,16.01,-10.12
115027,PAMPAHUTA,1992,10,30.3,16.46,-6.58
115027,PAMPAHUTA,1992,11,55.0,15.14,-5.58
115027,PAMPAHUTA,1992,12,81.6,15.51,-2.83
115027,PAMPAHUTA,1993,1,246.2,13.26,-0.47
115027,PAMPAHUTA,1993,2,62.0,14.31,-3.0
115027,PAMPAHUTA,1993,3,138.2,12.6,-0.97
115027,PAMPAHUTA,1993,4,52.5,14.07,-2.13
115027,PAMPAHUTA,1993,5,4.6,15.1,-6.69
115027,PAMPAHUTA,1993,6,1.8,14.21,-12.13
115027,PAMPAHUTA,1993,7,0.0,14.34,-12.64
115027,PAMPAHUTA,1993,8,19.3,13.46,-9.76
115027,PAMPAHUTA,1993,9,1.6,16.18,-8.91
115027,PAMPAHUTA,1993,10,108.2,15.75,-3.26
115027,PAMPAHUTA,1993,11,114.5,15.36,-0.79
115027,PAMPAHUTA,1993,12,175.1,15.29,0.72
115027,PAMPAHUTA,1994,1,224.8,14.0,1.03
115027,PAMPAHUTA,1994,2,168.1,13.34,0.93
115027,PAMPAHUTA,1994,3,127.6,13.56,-0.55
115027,PAMPAHUTA,1994,4,86.3,13.97,-0.73
115027,PAMPAHUTA,1994,5,23.4,14.63,-999.0
115027,PAMPAHUTA,1994,6,1.1,13.79,-11.11
115027,PAMPAHUTA,1994,7,0.0,14.54,-12.05
115027,PAMPAHUTA,1994,8,0.0,16.37,-11.54
115027,PAMPAHUTA,1994,9,15.1,16.83,-7.55
115027,PAMPAHUTA,1994,10,12.9,15.52,-8.31
115027,PAMPAHUTA,1994,11,108.3,14.29,-2.52
115027,PAMPAHUTA,1994,12,165.4,13.48,-0.44
115027,PAMPAHUTA,1995,1,115.4,13.28,-0.14
115027,PAMPAHUTA,1995,2,151.5,13.22,-0.89
115027,PAMPAHUTA,1995,3,120.9,11.88,0.23
115027,PAMPAHUTA,1995,4,40.8,12.93,-2.92
115027,PAMPAHUTA,1995,5,1.1,13.06,-7.32
115027,PAMPAHUTA,1995,6,0.0,12.28,-10.31
115027,PAMPAHUTA,1995,7,0.0,13.5,-10.5
115027,PAMPAHUTA,1995,8,2.6,15.19,-9.63
115027,PAMPAHUTA,1995,9,14.8,14.82,-7.49
115027,PAMPAHUTA,1995,10,15.1,16.68,-6.5
115027,PAMPAHUTA,1995,11,64.2,14.28,-3.82
115027,PAMPAHUTA,1995,12,142.8,12.83,-2.39
115027,PAMPAHUTA,1996,1,254.5,12.85,-0.45
115027,PAMPAHUTA,1996,2,164.2,11.7,0.88
115027,PAMPAHUTA,1996,3,73.5,12.97,-0.79
115027,PAMPAHUTA,1996,4,73.0,12.23,-1.2
115027,PAMPAHUTA,1996,5,21.5,11.66,-4.92
115027,PAMPAHUTA,1996,6,0.0,11.47,-9.71
115027,PAMPAHUTA,1996,7,0.0,11.66,-11.81
115027,PAMPAHUTA,1996,8,27.9,12.08,-7.86
115027,PAMPAHUTA,1996,9,18.8,13.99,-7.44
115027,PAMPAHUTA,1996,10,3.0,15.34,-6.11
115027,PAMPAHUTA,1996,11,93.2,13.41,-3.43
115027,PAMPAHUTA,1996,12,228.3,11.58,-0.72
115027,PAMPAHUTA,1997,1,220.1,10.95,0.57
115027,PAMPAHUTA,1997,2,185.5,10.95,0.44
115027,PAMPAHUTA,1997,3,100.3,11.29,-0.49
115027,PAMPAHUTA,1997,4,55.4,11.19,-3.07
115027,PAMPAHUTA,1997,5,9.1,11.62,-6.19
115027,PAMPAHUTA,1997,6,0.0,12.19,-11.09
115027,PAMPAHUTA,1997,7,0.3,12.65,-10.3
115027,PAMPAHUTA,1997,8,26.6,10.77,-6.97
115027,PAMPAHUTA,1997,9,37.9,13.35,-4.99
115027,PAMPAHUTA,1997,10,33.6,14.85,-5.13
115027,PAMPAHUTA,1997,11,96.9,14.19,-2.17
115027,PAMPAHUTA,1997,12,103.7,15.42,-1.47
115027,PAMPAHUTA,1998,1,154.6,13.77,1.55
115027,PAMPAHUTA,1998,2,159.8,14.66,1.21
115027,PAMPAHUTA,1998,3,103.4,14.26,-0.39
115027,PAMPAHUTA,1998,4,29.7,14.74,-3.72
115027,PAMPAHUTA,1998,5,0.0,14.18,-9.96
115027,PAMPAHUTA,1998,6,0.9,12.55,-9.01
115027,PAMPAHUTA,1998,7,0.0,13.31,-11.78
115027,PAMPAHUTA,1998,8,0.0,14.39,-11.47
115027,PAMPAHUTA,1998,9,0.0,15.19,-10.91
115027,PAMPAHUTA,1998,10,31.8,15.35,-6.72
115027,PAMPAHUTA,1998,11,104.3,14.51,-5.03
115027,PAMPAHUTA,1998,12,45.0,15.06,-1.89
115027,PAMPAHUTA,1999,1,153.5,12.68,-1.77
115027,PAMPAHUTA,1999,2,163.9,11.14,0.4
115027,PAMPAHUTA,1999,3,204.9,11.27,0.9
115027,PAMPAHUTA,1999,4,116.1,11.61,-1.07
115027,PAMPAHUTA,1999,5,19.3,12.24,-5.68
115027,PAMPAHUTA,1999,6,1.1,11.91,-10.54
115027,PAMPAHUTA,1999,7,0.8,11.7,-10.37
115027,PAMPAHUTA,1999,8,1.9,13.11,-9.93
115027,PAMPAHUTA,1999,9,13.5,13.33,-9.37
115027,PAMPAHUTA,1999,10,118.3,11.82,-3.65
115027,PAMPAHUTA,1999,11,19.5,14.55,-6.63
115027,PAMPAHUTA,1999,12,118.0,13.87,-2.91
115027,PAMPAHUTA,2000,1,202.1,11.35,0.46
115027,PAMPAHUTA,2000,2,258.8,10.88,-0.04
115027,PAMPAHUTA,2000,3,181.6,11.64,-0.85
115027,PAMPAHUTA,2000,4,23.3,12.63,-4.15
115027,PAMPAHUTA,2000,5,9.4,13.16,-6.81
115027,PAMPAHUTA,2000,6,3.9,10.86,-11.23
115027,PAMPAHUTA,2000,7,0.4,10.69,-12.66
115027,PAMPAHUTA,2000,8,7.7,12.7,-10.22
115027,PAMPAHUTA,2000,9,5.1,14.45,-10.4
115027,PAMPAHUTA,2000,10,89.7,11.85,-5.03
115027,PAMPAHUTA,2000,11,9.9,15.14,-7.61
115027,PAMPAHUTA,2000,12,136.1,12.12,-2.36
115027,PAMPAHUTA,2001,1,299.0,10.37,0.42
115027,PAMPAHUTA,2001,2,248.1,10.86,0.52
115027,PAMPAHUTA,2001,3,149.3,10.87,0.07
