CODIGO,ESTACION,YEAR,MONTH,PP,TMAX,TMIN
115029,IMATA,1990,1,113.0,11.59,-2.22
115029,IMATA,1990,2,21.2,11.96,-4.58
115029,IMATA,1990,3,56.6,12.35,-3.55
115029,IMATA,1990,4,23.6,11.58,-5.0
115029,IMATA,1990,5,12.2,12.03,-9.58
115029,IMATA,1990,6,29.7,8.39,-8.19
115029,IMATA,1990,7,0.0,10.31,-12.75
115029,IMATA,1990,8,7.5,11.48,-11.38
115029,IMATA,1990,9,0.0,12.9,-11.5
115029,IMATA,1990,10,15.9,13.88,-6.55
115029,IMATA,1990,11,109.3,13.03,-3.16
115029,IMATA,1990,12,96.6,12.25,-2.62
115029,IMATA,1991,1,114.2,12.6,-1.84
115029,IMATA,1991,2,74.9,12.38,-1.8
115029,IMATA,1991,3,133.9,11.96,-1.22
115029,IMATA,1991,4,8.5,12.86,-4.12
115029,IMATA,1991,5,0.0,12.61,-9.84
115029,IMATA,1991,6,16.0,10.17,-12.91
115029,IMATA,1991,7,0.0,10.89,-13.45
115029,IMATA,1991,8,0.0,12.82,-12.73
115029,IMATA,1991,9,0.0,12.2,-10.24
115029,IMATA,1991,10,12.1,14.15,-9.65
115029,IMATA,1991,11,31.4,13.2,-7.63
115029,IMATA,1991,12,49.6,13.48,-6.28
115029,IMATA,1992,1,44.0,13.26,-3.31
115029,IMATA,1992,2,42.9,14.66,-4.93
115029,IMATA,1992,3,8.3,14.98,-6.78
115029,IMATA,1992,4,5.0,13.81,-8.87
115029,IMATA,1992,5,0.0,13.74,-12.18
115029,IMATA,1992,6,2.5,11.12,-11.94
115029,IMATA,1992,7,0.3,10.26,-13.15
115029,IMATA,1992,8,4.5,9.28,-12.18
115029,IMATA,1992,9,0.0,12.69,-12.67
115029,IMATA,1992,10,7.3,13.37,-9.18
115029,IMATA,1992,11,22.1,13.23,-7.88
115029,IMATA,1992,12,105.0,12.64,-4.63
115029,IMATA,1993,1,182.3,11.29,-1.95
115029,IMATA,1993,2,36.6,12.71,-4.91
115029,IMATA,1993,3,136.4,11.49,-2.5
115029,IMATA,1993,4,22.1,12.61,-3.88
115029,IMATA,1993,5,0.0,11.94,-8.96
115029,IMATA,1993,6,1.8,11.22,-13.03
115029,IMATA,1993,7,0.0,11.12,-13.59
115029,IMATA,1993,8,15.0,10.74,-10.51
115029,IMATA,1993,9,0.8,13.02,-10.46
115029,IMATA,1993,10,35.0,13.69,-6.94
115029,IMATA,1993,11,42.1,14.0,-3.92
115029,IMATA,1993,12,88.0,13.85,-2.36
115029,IMATA,1994,1,210.4,11.86,-1.57
115029,IMATA,1994,2,182.4,11.74,-1.69
115029,IMATA,1994,3,86.5,11.69,-2.25
115029,IMATA,1994,4,66.6,12.27,-3.64
115029,IMATA,1994,5,3.2,12.12,-8.89
115029,IMATA,1994,6,0.0,10.86,-13.03
115029,IMATA,1994,7,0.0,11.55,-13.31
115029,IMATA,1994,8,1.0,13.08,-12.86
115029,IMATA,1994,9,0.0,13.6,-10.42
115029,IMATA,1994,10,0.0,15.15,-10.38
115029,IMATA,1994,11,28.0,14.74,-5.38
115029,IMATA,1994,12,79.0,13.85,-3.11
115029,IMATA,1995,1,60.8,13.88,-1.98
115029,IMATA,1995,2,58.0,13.4,-3.5
115029,IMATA,1995,3,102.1,11.68,-1.36
115029,IMATA,1995,4,14.8,13.7,-5.71
115029,IMATA,1995,5,0.0,13.01,-9.86
115029,IMATA,1995,6,0.0,11.45,-13.22
115029,IMATA,1995,7,0.0,12.33,-13.56
115029,IMATA,1995,8,0.3,14.41,-12.34
115029,IMATA,1995,9,8.8,14.01,-9.6
115029,IMATA,1995,10,1.0,15.78,-10.25
115029,IMATA,1995,11,41.2,14.35,-6.73
115029,IMATA,1995,12,49.5,14.08,-5.54
115029,IMATA,1996,1,141.4,12.56,-2.42
115029,IMATA,1996,2,168.4,11.99,-0.95
115029,IMATA,1996,3,66.3,13.21,-2.71
115029,IMATA,1996,4,47.8,12.85,-2.6
115029,IMATA,1996,5,6.4,12.27,-7.67
115029,IMATA,1996,6,0.0,11.47,-12.52
115029,IMATA,1996,7,0.0,11.43,-13.64
115029,IMATA,1996,8,8.3,12.46,-10.54
115029,IMATA,1996,9,0.0,13.88,-10.1
115029,IMATA,1996,10,0.7,15.01,-9.86
115029,IMATA,1996,11,19.2,14.19,-6.31
115029,IMATA,1996,12,87.0,12.95,-2.97
115029,IMATA,1997,1,117.1,10.99,-1.05
115029,IMATA,1997,2,182.6,10.92,-1.41
115029,IMATA,1997,3,52.5,12.25,-2.6
115029,IMATA,1997,4,14.3,11.65,-5.21
115029,IMATA,1997,5,10.5,11.68,-9.74
115029,IMATA,1997,6,0.0,11.15,-14.46
115029,IMATA,1997,7,0.0,11.9,-12.31
115029,IMATA,1997,8,27.4,10.38,-8.61
115029,IMATA,1997,9,44.0,12.56,-5.54
115029,IMATA,1997,10,0.1,15.11,-7.2
115029,IMATA,1997,11,3.8,14.98,-5.16
115029,IMATA,1997,12,43.9,15.57,-3.73
115029,IMATA,1998,1,124.0,14.24,0.98
115029,IMATA,1998,2,89.9,14.39,0.07
115029,IMATA,1998,3,60.4,15.46,-1.27
115029,IMATA,1998,4,-999.0,15.36,-6.01
115029,IMATA,1998,5,0.0,13.7,-11.18
115029,IMATA,1998,6,0.0,11.93,-10.29
115029,IMATA,1998,7,0.0,12.7,-12.55
115029,IMATA,1998,8,0.0,13.44,-11.58
115029,IMATA,1998,9,0.4,14.44,-11.32
115029,IMATA,1998,10,3.6,15.15,-7.85
115029,IMATA,1998,11,35.4,14.61,-6.31
115029,IMATA,1998,12,74.8,14.72,-4.41
115029,IMATA,1999,1,71.8,13.6,-2.8
115029,IMATA,1999,2,218.5,10.48,-0.22
115029,IMATA,1999,3,255.7,10.37,0.11
115029,IMATA,1999,4,66.2,11.42,-1.72
115029,IMATA,1999,5,1.6,12.37,-7.38
