CODIGO,ESTACION,YEAR,MONTH,PP,TMAX,TMIN
115033,CABANILLAS,1990,1,172.5,14.85,4.19
115033,CABANILLAS,1990,2,23.4,16.41,2.73
115033,CABANILLAS,1990,3,49.2,16.27,2.91
115033,CABANILLAS,1990,4,13.5,16.35,2.33
115033,CABANILLAS,1990,5,2.4,16.78,-0.69
115033,CABANILLAS,1990,6,34.3,14.6,-2.8
115033,CABANILLAS,1990,7,0.0,15.27,-4.06
115033,CABANILLAS,1990,8,9.8,15.96,0.15
115033,CABANILLAS,1990,9,1.0,16.32,0.25
115033,CABANILLAS,1990,10,110.6,15.32,2.21
115033,CABANILLAS,1990,11,130.0,15.07,3.47
115033,CABANILLAS,1990,12,101.9,14.05,3.7
115033,CABANILLAS,1991,1,106.4,15.14,3.13
115033,CABANILLAS,1991,2,144.1,14.51,3.95
115033,CABANILLAS,1991,3,118.4,15.11,3.65
115033,CABANILLAS,1991,4,70.1,14.65,3.13
115033,CABANILLAS,1991,5,5.8,16.19,-0.63
115033,CABANILLAS,1991,6,35.6,15.38,-4.27
115033,CABANILLAS,1991,7,0.0,-999.0,-1.95
115033,CABANILLAS,1991,8,0.0,16.4,-0.65
115033,CABANILLAS,1991,9,6.3,15.9,0.72
115033,CABANILLAS,1991,10,13.8,16.89,1.17
115033,CABANILLAS,1991,11,30.5,17.69,2.17
115033,CABANILLAS,1991,12,61.4,16.39,2.95
115033,CABANILLAS,1992,1,106.8,14.52,3.82
115033,CABANILLAS,1992,2,75.1,15.58,4.0
115033,CABANILLAS,1992,3,28.5,16.19,2.94
115033,CABANILLAS,1992,4,8.5,17.12,1.57
115033,CABANILLAS,1992,5,0.0,16.85,-0.81
115033,CABANILLAS,1992,6,2.7,15.98,-0.34
115033,CABANILLAS,1992,7,2.2,15.61,-2.99
115033,CABANILLAS,1992,8,31.1,14.6,-1.06
115033,CABANILLAS,1992,9,0.0,16.98,1.13
115033,CABANILLAS,1992,10,47.5,16.37,1.89
115033,CABANILLAS,1992,11,27.2,16.07,2.91
115033,CABANILLAS,1992,12,64.9,17.12,3.7
115033,CABANILLAS,1993,1,147.2,15.05,4.15
115033,CABANILLAS,1993,2,67.4,15.44,3.79
115033,CABANILLAS,1993,3,96.3,15.02,4.32
115033,CABANILLAS,1993,4,69.5,15.5,3.61
115033,CABANILLAS,1993,5,3.0,15.05,1.22
115033,CABANILLAS,1993,6,0.0,15.1,-2.71
115033,CABANILLAS,1993,7,0.0,15.16,-1.03
115033,CABANILLAS,1993,8,26.3,14.74,-0.83
115033,CABANILLAS,1993,9,9.5,16.55,2.08
115033,CABANILLAS,1993,10,113.4,16.03,4.01
115033,CABANILLAS,1993,11,83.0,16.23,5.0
115033,CABANILLAS,1993,12,115.0,16.07,5.61
115033,CABANILLAS,1994,1,133.8,14.53,4.68
115033,CABANILLAS,1994,2,105.2,14.11,4.97
115033,CABANILLAS,1994,3,162.1,14.16,3.94
115033,CABANILLAS,1994,4,110.2,13.96,4.08
115033,CABANILLAS,1994,5,0.0,14.71,1.3
115033,CABANILLAS,1994,6,0.0,13.85,-1.67
115033,CABANILLAS,1994,7,0.0,14.11,-1.69
115033,CABANILLAS,1994,8,0.0,14.96,-1.18
115033,CABANILLAS,1994,9,6.5,15.82,1.32
115033,CABANILLAS,1994,10,14.3,17.73,2.03
115033,CABANILLAS,1994,11,51.2,17.38,4.49
115033,CABANILLAS,1994,12,98.0,15.81,4.63
115033,CABANILLAS,1995,1,125.8,16.23,4.87
115033,CABANILLAS,1995,2,70.6,16.71,4.75
115033,CABANILLAS,1995,3,100.2,15.0,4.5
115033,CABANILLAS,1995,4,5.0,16.48,2.41
115033,CABANILLAS,1995,5,0.0,16.52,-0.4
115033,CABANILLAS,1995,6,0.0,15.55,-1.55
115033,CABANILLAS,1995,7,0.0,16.4,-999.0
115033,CABANILLAS,1995,8,0.2,17.84,-0.18
115033,CABANILLAS,1995,9,16.6,17.17,1.97
115033,CABANILLAS,1995,10,9.9,19.23,3.11
115033,CABANILLAS,1995,11,32.8,18.55,4.1
115033,CABANILLAS,1995,12,55.3,16.6,3.79
115033,CABANILLAS,1996,1,206.3,16.66,4.83
115033,CABANILLAS,1996,2,102.8,15.28,5.17
115033,CABANILLAS,1996,3,57.3,16.73,4.65
115033,CABANILLAS,1996,4,37.7,16.05,3.69
115033,CABANILLAS,1996,5,1.9,16.02,1.65
115033,CABANILLAS,1996,6,0.0,15.35,-1.48
115033,CABANILLAS,1996,7,2.0,15.24,-2.75
115033,CABANILLAS,1996,8,17.6,16.14,0.92
115033,CABANILLAS,1996,9,10.3,17.6,1.31
115033,CABANILLAS,1996,10,14.3,18.92,3.34
115033,CABANILLAS,1996,11,57.8,16.55,3.78
115033,CABANILLAS,1996,12,165.6,15.89,4.57
115033,CABANILLAS,1997,1,158.5,15.11,4.48
115033,CABANILLAS,1997,2,242.8,14.52,4.65
115033,CABANILLAS,1997,3,160.0,14.63,3.84
115033,CABANILLAS,1997,4,75.1,14.47,2.47
115033,CABANILLAS,1997,5,3.7,15.24,0.53
115033,CABANILLAS,1997,6,0.0,15.77,-0.7
115033,CABANILLAS,1997,7,0.0,15.94,-1.69
115033,CABANILLAS,1997,8,22.4,14.16,0.41
115033,CABANILLAS,1997,9,46.5,16.62,2.63
115033,CABANILLAS,1997,10,38.0,17.87,3.67
115033,CABANILLAS,1997,11,103.3,17.58,4.93
115033,CABANILLAS,1997,12,88.4,18.82,6.29
115033,CABANILLAS,1998,1,152.0,17.95,6.55
115033,CABANILLAS,1998,2,168.1,18.32,6.98
115033,CABANILLAS,1998,3,110.3,18.21,6.34
115033,CABANILLAS,1998,4,16.9,18.23,4.03
115033,CABANILLAS,1998,5,0.0,17.97,0.08
115033,CABANILLAS,1998,6,0.0,16.35,-0.26
115033,CABANILLAS,1998,7,0.0,16.69,-1.9
115033,CABANILLAS,1998,8,6.3,18.0,0.72
115033,CABANILLAS,1998,9,0.0,19.07,1.54
115033,CABANILLAS,1998,10,47.7,18.48,4.15
115033,CABANILLAS,1998,11,61.6,18.45,4.4
115033,CABANILLAS,1998,12,42.7,18.9,5.14
115033,CABANILLAS,1999,1,95.9,16.6,5.01
115033,CABANILLAS,1999,2,118.3,14.71,5.46
115033,CABANILLAS,1999,3,112.3,15.02,5.36
115033,CABANILLAS,1999,4,104.4,14.82,3.75
115033,CABANILLAS,1999,5,5.4,15.98,1.66
115033,CABANILLAS,1999,6,0.0,15.54,-1.27
115033,CABANILLAS,1999,7,1.8,14.94,-0.37
115033,CABANILLAS,1999,8,1.8,15.9,0.75
115033,CABANILLAS,1999,9,21.9,16.45,1.45
115033,CABANILLAS,1999,10,104.0,15.73,3.17
115033,CABANILLAS,1999,11,3.0,18.18,3.53
115033,CABANILLAS,1999,12,95.3,17.77,5.31
115033,CABANILLAS,2000,1,134.6,15.07,5.25
115033,CABANILLAS,2000,2,221.9,14.66,4.68
115033,CABANILLAS,2000,3,133.3,15.53,5.16
115033,CABANILLAS,2000,4,31.7,15.92,3.22
115033,CABANILLAS,2000,5,0.6,15.89,1.64
115033,CABANILLAS,2000,6,0.0,14.77,-0.02
115033,CABANILLAS,2000,7,0.0,14.37,-1.6
115033,CABANILLAS,2000,8,6.9,15.32,1.08
115033,CABANILLAS,2000,9,15.8,17.23,2.18
115033,CABANILLAS,2000,10,118.3,15.45,3.61
115033,CABANILLAS,2000,11,13.5,18.02,3.95
115033,CABANILLAS,2000,12,110.4,15.66,4.64
115033,CABANILLAS,2001,1,273.9,13.61,5.21
115033,CABANILLAS,2001,2,224.6,13.88,5.71
115033,CABANILLAS,2001,3,78.2,13.95,5.29
115033,CABANILLAS,2001,4,63.9,14.83,4.25
115033,CABANILLAS,2001,5,11.5,15.0,2.26
115033,CABANILLAS,2001,6,0.8,14.21,0.79
115033,CABANILLAS,2001,7,0.4,14.33,-0.48
115033,CABANILLAS,2001,8,16.7,14.72,0.0
115033,CABANILLAS,2001,9,21.6,16.77,3.37
115033,CABANILLAS,2001,10,71.3,16.82,4.01
115033,CABANILLAS,2001,11,36.9,18.45,5.25
115033,CABANILLAS,2001,12,52.6,17.26,4.66
115033,CABANILLAS,2002,1,93.7,17.02,5.22
115033,CABANILLAS,2002,2,166.9,15.09,5.77
115033,CABANILLAS,2002,3,160.5,15.31,5.63
115033,CABANILLAS,2002,4,125.7,14.83,4.8
115033,CABANILLAS,2002,5,28.7,14.98,2.57
115033,CABANILLAS,2002,6,6.2,15.05,1.0
115033,CABANILLAS,2002,7,16.0,13.39,-0.43
115033,CABANILLAS,2002,8,22.9,15.06,0.62
115033,CABANILLAS,2002,9,8.8,16.23,2.7
115033,CABANILLAS,2002,10,116.3,16.15,4.29
115033,CABANILLAS,2002,11,78.0,17.18,4.7
115033,CABANILLAS,2002,12,105.3,16.69,5.63
115033,CABANILLAS,2003,1,217.2,16.1,5.77
115033,CABANILLAS,2003,2,92.5,16.02,6.06
115033,CABANILLAS,2003,3,116.7,15.08,5.18
115033,CABANILLAS,2003,4,22.1,15.85,3.71
115033,CABANILLAS,2003,5,10.8,15.77,2.08
115033,CABANILLAS,2003,6,2.6,14.83,-1.73
115033,CABANILLAS,2003,7,0.0,16.02,-1.53
115033,CABANILLAS,2003,8,0.9,15.77,-0.08
115033,CABANILLAS,2003,9,16.9,16.2,1.31
115033,CABANILLAS,2003,10,14.0,17.97,3.14
115033,CABANILLAS,2003,11,68.1,18.97,3.93
115033,CABANILLAS,2003,12,136.2,18.42,5.37
115033,CABANILLAS,2004,1,193.0,15.24,5.47
115033,CABANILLAS,2004,2,100.1,15.83,5.53
115033,CABANILLAS,2004,3,81.6,16.82,5.46
115033,CABANILLAS,2004,4,34.2,16.43,4.2
115033,CABANILLAS,2004,5,8.5,16.77,0.84
115033,CABANILLAS,2004,6,0.5,14.91,-0.95
115033,CABANILLAS,2004,7,7.7,14.42,-1.19
115033,CABANILLAS,2004,8,18.4,15.0,0.03
115033,CABANILLAS,2004,9,12.8,16.83,2.8
115033,CABANILLAS,2004,10,2.9,18.82,4.1
115033,CABANILLAS,2004,11,30.7,19.83,4.5
115033,CABANILLAS,2004,12,58.2,18.65,5.72
115033,CABANILLAS,2005,1,75.3,17.5,5.66
115033,CABANILLAS,2005,2,265.7,15.61,5.19
115033,CABANILLAS,2005,3,84.0,16.86,5.26
115033,CABANILLAS,2005,4,49.7,17.12,4.3
115033,CABANILLAS,2005,5,0.0,17.29,0.29
115033,CABANILLAS,2005,6,0.0,16.13,-2.13
115033,CABANILLAS,2005,7,0.0,16.94,-0.86
115033,CABANILLAS,2005,8,0.5,17.21,-1.46
115033,CABANILLAS,2005,9,5.8,17.69,1.51
115033,CABANILLAS,2005,10,30.6,17.84,3.08
115033,CABANILLAS,2005,11,70.6,17.72,2.95
115033,CABANILLAS,2005,12,79.9,17.22,3.88
115033,CABANILLAS,2006,1,230.2,15.0,4.28
115033,CABANILLAS,2006,2,107.3,16.62,4.76
115033,CABANILLAS,2006,3,141.3,16.29,4.7
115033,CABANILLAS,2006,4,49.9,15.8,2.75
115033,CABANILLAS,2006,5,0.0,16.43,-1.53
115033,CABANILLAS,2006,6,0.7,15.69,-1.93
115033,CABANILLAS,2006,7,0.0,15.25,-4.08
115033,CABANILLAS,2006,8,2.8,16.6,0.31
115033,CABANILLAS,2006,9,44.2,17.66,1.74
115033,CABANILLAS,2006,10,38.0,18.14,3.43
115033,CABANILLAS,2006,11,60.2,17.98,4.55
115033,CABANILLAS,2006,12,69.0,18.22,4.3
115033,CABANILLAS,2007,1,68.1,17.33,4.69
115033,CABANILLAS,2007,2,105.4,16.9,4.51
115033,CABANILLAS,2007,3,268.6,15.62,4.19
115033,CABANILLAS,2007,4,67.5,16.04,3.3
115033,CABANILLAS,2007,5,2.4,16.58,2.48
115033,CABANILLAS,2007,6,0.0,16.55,0.01
115033,CABANILLAS,2007,7,0.8,15.92,-1.25
115033,CABANILLAS,2007,8,0.0,18.2,1.49
115033,CABANILLAS,2007,9,75.4,15.34,2.67
115033,CABANILLAS,2007,10,40.6,18.07,3.17
115033,CABANILLAS,2007,11,97.6,18.16,3.17
115033,CABANILLAS,2007,12,83.9,17.38,3.78
115033,CABANILLAS,2008,1,271.6,15.19,4.36
115033,CABANILLAS,2008,2,74.5,16.12,4.03
115033,CABANILLAS,2008,3,65.1,16.1,2.99
115033,CABANILLAS,2008,4,6.3,17.32,2.43
115033,CABANILLAS,2008,5,0.0,16.45,-0.89
115033,CABANILLAS,2008,6,0.2,16.42,-1.17
115033,CABANILLAS,2008,7,0.0,16.05,-2.37
115033,CABANILLAS,2008,8,0.6,17.53,-1.19
115033,CABANILLAS,2008,9,1.8,18.43,0.51
115033,CABANILLAS,2008,10,34.9,17.95,3.38
115033,CABANILLAS,2008,11,70.1,18.75,4.54
115033,CABANILLAS,2008,12,153.5,16.68,4.39
115033,CABANILLAS,2009,1,88.8,16.41,4.15
115033,CABANILLAS,2009,2,119.7,16.06,4.03
115033,CABANILLAS,2009,3,111.4,16.16,3.59
115033,CABANILLAS,2009,4,24.6,16.43,1.9
115033,CABANILLAS,2009,5,0.0,16.7,1.2
115033,CABANILLAS,2009,6,0.0,16.58,-2.05
115033,CABANILLAS,2009,7,1.6,16.35,-0.06
115033,CABANILLAS,2009,8,0.5,17.28,-1.34
115033,CABANILLAS,2009,9,1.4,18.64,2.01
